Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa019AA032054,B.Az9504,50,S1,630,2016-07-03 20:13:39.08,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137816979051819,0.0275633958103638,0.0689084895259096,0.316979051819184,0.71664829106946,1.17144432194046,2.52205071664829,2.4393605292172,2.48070562293275,2.92171995589857,2.81146637265711,3.32138919514884,3.7348401323043,3.67971334068357,3.41786108048512,3.37651598676957,3.48676957001103,2.61852260198456,2.31532524807056,2.23263506063947,1.99834619625138,1.79162072767365,1.73649393605292,1.43329658213892,1.72271223814774,1.47464167585447,1.69514884233738,1.65380374862183,1.9018743109151,2.17750826901874,2.53583241455347,3.33517089305402,3.80374862183021,5.3335170893054,6.09151047409041,5.34729878721058,4.83737596471885,3.37651598676957,2.17750826901874,0.978500551267916,0.468577728776185,0.261852260198456,0.110253583241455,0.0551267916207277,0.0137816979051819,0.0137816979051819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa019AA032054,B.Az9504,50,S1,4756,2016-07-08 20:13:52.186,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739918608953015,0.199778024417314,0.577136514983352,1.50203477617462,3.32963374028857,5.23122456529782,6.48168701442841,6.72586015538291,6.25231224565298,6.29670736219016,6.40029596744358,6.40769515353311,5.95634480207177,5.91194968553459,5.71957084720681,5.20902700702923,4.72807991120977,4.15834258231595,3.47761746207917,2.65630780614132,2.42693303736589,1.98298187199408,1.46503884572697,1.19866814650388,0.99149093599704,0.710321864594895,0.429152793192749,0.377358490566038,0.229374768775435,0.199778024417314,0.162782093969663,0.258971513133555,0.192378838327784,0.184979652238254,0.236773954864965,0.281169071402146,0.288568257491676,0.221975582685905,0.177580466148724,0.236773954864965,0.125786163522013,0.0813910469848317,0.0517943026267111,0.096189419163892,0.0221975582685905,0.0147983721790603,0.0369959304476508,0.0221975582685905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa019AA032054,B.Az9504,50,S1,4886,2016-07-05 14:23:45.735,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748262960983431,0.299305184393373,0.823089257081774,2.05237840726884,2.80064136825227,3.22822020309995,3.67717797969001,3.69855692143239,3.57028327097809,3.60235168359166,3.46338856226617,3.17477284874399,3.51683591662213,2.97167290219134,2.78995189738108,2.28754676643506,2.45857830037413,2.43719935863175,2.31961517904864,2.03099946552646,1.92410475681454,1.78514163548904,1.59273115980759,1.43238909673971,1.52859433458044,1.35756280064137,1.36825227151256,1.47514698022448,1.47514698022448,1.5820416889364,2.2340994120791,2.59754142169963,3.30304649919829,3.98717263495457,4.69267771245323,4.06199893105291,3.59166221272047,3.23890967397114,2.45857830037413,1.4430785676109,0.833778727952966,0.395510422234099,0.224478888295029,0.106894708711919,0.0213789417423838,0.0106894708711919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa019AA032054,B.Az9504,50,S1,5928,2016-07-13 20:13:57.463,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114942528735632,0.0114942528735632,0.0804597701149425,0.32183908045977,1.25287356321839,3.75862068965517,5.52873563218391,8.05747126436782,8.04597701149425,7.67816091954023,6.20689655172414,5.11494252873563,5,4.89655172413793,4.26436781609195,3.6551724137931,3.16091954022989,2.75862068965517,2.40229885057471,2.27586206896552,1.85057471264368,1.70114942528736,1.51724137931034,0.988505747126437,0.942528735632184,0.482758620689655,0.64367816091954,0.620689655172414,0.71264367816092,1,1.28735632183908,1.85057471264368,2.54022988505747,2.67816091954023,2.1264367816092,1.90804597701149,1.19540229885057,0.747126436781609,0.379310344827586,0.160919540229885,0.114942528735632,0.0459770114942529,0.0229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Fa019AA032054,B.Az9504,50,S1,7638,2016-07-02 07:13:57.311,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00872905027932961,0,0.0523743016759777,0.0698324022346369,0.21822625698324,0.637220670391061,1.78945530726257,4.20740223463687,7.62918994413408,11.3739525139665,12.7269553072626,11.4612430167598,9.77653631284916,7.26256983240224,6.36347765363128,5.49930167597765,3.67493016759777,2.46159217877095,2.0338687150838,1.64106145251397,1.30062849162011,1.04748603351955,1.09986033519553,1.01256983240223,0.951466480446927,0.820530726256983,0.602304469273743,0.654678770949721,0.750698324022346,0.576117318435754,0.488826815642458,0.488826815642458,0.288058659217877,0.200768156424581,0.244413407821229,0.148393854748603,0.130935754189944,0.0960195530726257,0.104748603351955,0.0261871508379888,0.0349162011173184,0.0261871508379888,0.0174581005586592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa019AA032054,B.Az9504,50,S1,7646,2016-07-16 10:28:57.251,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127713920817369,0.127713920817369,1.40485312899106,2.55427841634738,5.87484035759898,6.25798212005108,6.89655172413793,8.42911877394636,8.93997445721584,9.96168582375479,8.04597701149425,6.38569604086845,7.53512132822478,5.61941251596424,5.87484035759898,3.3205619412516,3.06513409961686,2.42656449553001,2.29885057471264,1.53256704980843,0.766283524904214,0.893997445721584,0.255427841634738,0.766283524904214,0.127713920817369,0.255427841634738,0,0.127713920817369,0,0.127713920817369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa019AA032054,B.Az9504,50,S1,13466,2016-07-07 07:14:33.472,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323650780807509,0.210373007524881,0.655392831135205,1.2541467756291,2.39501577797556,3.51161097176147,4.46638077514362,4.99231329395582,5.09749979771826,4.3450117323408,4.37737681042155,4.51492839226475,4.88712679019338,4.81430536451169,5.35642042236427,4.73339266930981,4.53111093130512,4.32073792378024,3.98090460393236,3.43878954607978,2.87240067966664,3.02613480055021,2.53256735981876,1.62634517355773,1.3188769317906,1.06804757666478,0.647301561615017,0.712031717776519,0.56638886641314,0.598753944493891,0.671575370175581,0.881948377700461,1.2541467756291,1.43215470507323,1.82053564204224,1.76389675540092,1.59398009547698,0.954769803382151,0.792944412978396,0.598753944493891,0.396472206489198,0.35601585888826,0.210373007524881,0.10518650376244,0.0970952342422526,0.0728214256816895,0.056638886641314,0.0323650780807509,0.0242738085605632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa019AA032054,B.Az9504,50,S1,13798,2016-07-14 16:58:47.545,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288600288600289,0.0577200577200577,0.577200577200577,1.51515151515152,3.11688311688312,3.95382395382395,4.21356421356421,3.78066378066378,3.27561327561328,3.08802308802309,2.74170274170274,2.74170274170274,2.33766233766234,2.38095238095238,2.19336219336219,2.22222222222222,2.23665223665224,2.74170274170274,2.58297258297258,2.43867243867244,2.26551226551227,2.15007215007215,2.23665223665224,1.57287157287157,1.44300144300144,1.44300144300144,1.11111111111111,1.35642135642136,1.68831168831169,1.76046176046176,2.42424242424242,3.04473304473304,3.86724386724387,5.3968253968254,5.77200577200577,4.97835497835498,3.91053391053391,2.66955266955267,1.25541125541126,0.836940836940837,0.288600288600289,0.173160173160173,0.115440115440115,0.0144300144300144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa019AA032054,B.Az9504,50,S1,22250,2016-07-07 07:14:33.472,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147275405007364,0.0589101620029455,0.53019145802651,1.03092783505155,3.00441826215022,4.56553755522828,4.66863033873343,3.81443298969072,2.98969072164948,2.48895434462445,2.68041237113402,2.20913107511046,1.53166421207658,1.76730486008837,1.98821796759941,1.87039764359352,2.48895434462445,2.56259204712813,3.19587628865979,3.43151693667158,3.69661266568483,2.66568483063328,2.60677466863034,2.23858615611193,1.9440353460972,1.50220913107511,1.26656848306333,1.14874815905744,1.4580265095729,1.67893961708395,2.23858615611193,2.63622974963181,3.41678939617084,4.03534609720177,4.99263622974963,4.9779086892489,3.85861561119293,3.16642120765832,1.89985272459499,0.927835051546392,0.294550810014728,0.294550810014728,0.147275405007364,0.0147275405007364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa019AA032054,B.Az9504,50,S1,22816,2016-07-09 18:51:16.768,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277700638711469,0.388780894196057,1.08303249097473,2.61038600388781,3.74895862260483,3.91557900583171,4.60983060261039,3.91557900583171,3.44348792002222,3.88780894196057,3.33240766453763,3.47125798389336,3.02693696195501,3.77672868647598,3.88780894196057,4.13773951680089,4.88753124132186,4.85976117745071,3.52679811163566,4.05442932518745,4.35990002777006,4.52652041099695,4.05442932518745,3.86003887808942,3.41571785615107,3.1380172174396,2.74923632324354,2.52707581227437,1.74951402388225,0.999722299361288,0.527631213551791,0.666481532907526,0.388780894196057,0.194390447098028,0.0833101916134407,0.0555401277422938,0.0277700638711469,0.0277700638711469,0,0.0277700638711469,0.0277700638711469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
