Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa019AA032054,B.Az9504,50,S1,630,2016-07-03 20:13:39.08,SV,VIS,256,hue,0,0,0,0.0137816979051819,0,0.0413450937155458,0.151598676957001,0.330760749724366,0.702866593164278,1.52976846747519,3.84509371554576,6.6289966923925,8.80650496141125,8.75137816979052,6.49117971334068,3.50055126791621,2.35667034178611,1.79162072767365,1.39195148842337,1.28169790518192,1.28169790518192,1.47464167585447,1.33682469680265,1.5986769570011,1.4470782800441,1.68136714443219,1.79162072767365,1.61245865490628,1.87431091510474,2.71499448732084,1.9845644983462,2.68743109151047,2.26019845644983,2.61852260198456,2.03969128996692,2.31532524807056,2.75633958103638,2.92171995589857,3.10088202866593,3.41786108048512,2.64608599779493,1.88809261300992,1.39195148842337,0.730429988974642,0.689084895259096,0.441014332965821,0.303197353914002,0.248070562293275,0.248070562293275,0.234288864388093,0.151598676957001,0.137816979051819,0.124035281146637,0.0689084895259096,0.0551267916207277,0.0137816979051819,0.0137816979051819,0.0413450937155458,0.0275633958103638,0,0.0137816979051819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa019AA032054,B.Az9504,50,S1,4756,2016-07-08 20:13:52.186,SV,VIS,256,hue,0,0,0.00739918608953015,0.00739918608953015,0.0295967443581206,0.0369959304476508,0.0739918608953015,0.0887902330743618,0.0739918608953015,0.147983721790603,0.273769885312616,0.406955234924158,0.436551979282279,0.4661487236404,0.421753607103219,0.414354421013689,0.414354421013689,0.547539770625231,0.658527561968184,0.910099889012209,1.02848686644469,1.47983721790603,1.51683314835368,2.00517943026267,2.13096559378468,2.17536071032186,2.81908990011099,2.90048094709582,2.944876063633,3.15945246022937,2.34554199038106,3.29263780984092,3.0188679245283,3.27044025157233,3.21864594894562,3.92156862745098,4.01775804661487,3.96596374398816,4.83166851646319,4.62449130595634,4.75027746947836,5.91934887162412,6.48168701442841,5.51239363669996,4.75027746947836,3.20384757676656,1.96818349981502,1.16167221605623,0.591934887162412,0.384757676655568,0.258971513133555,0.155382907880133,0.184979652238254,0.133185349611543,0.133185349611543,0.0813910469848317,0.0443951165371809,0.0665926748057714,0.0295967443581206,0.0221975582685905,0.00739918608953015,0.00739918608953015,0.00739918608953015,0.0221975582685905,0.0147983721790603,0,0.00739918608953015,0,0,0.0147983721790603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa019AA032054,B.Az9504,50,S1,4886,2016-07-05 14:23:45.735,SV,VIS,256,hue,0,0,0,0.0106894708711919,0.0320684126135756,0.085515766969535,0.128273650454303,0.267236771779797,0.748262960983431,1.40032068412614,3.1533939070016,5.56921432389097,7.51469802244789,6.87332977017638,5.17370390165687,2.99305184393373,2.05237840726884,1.47514698022448,1.40032068412614,1.35756280064137,1.40032068412614,1.40032068412614,1.29342597541422,1.30411544628541,1.40032068412614,1.29342597541422,1.72100481026189,1.53928380545163,1.64617851416355,2.08444681988242,1.68893639764832,2.12720470336718,1.85996793158739,2.52271512560128,2.67236771779797,2.81133083912346,2.69374665954035,3.32442544094067,3.66648850881881,4.36130411544629,4.97060395510422,4.28647781934794,2.40513094601817,1.35756280064137,0.833778727952966,0.641368252271513,0.459647247461251,0.406199893105291,0.374131480491716,0.267236771779797,0.149652592196686,0.256547300908605,0.128273650454303,0.106894708711919,0.117584179583111,0.0641368252271513,0.0320684126135756,0.0320684126135756,0.0213789417423838,0.0106894708711919,0.0106894708711919,0.0106894708711919,0.0106894708711919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa019AA032054,B.Az9504,50,S1,5928,2016-07-13 20:13:57.463,SV,VIS,256,hue,0,0,0,0.0114942528735632,0.0114942528735632,0.0459770114942529,0.137931034482759,0.402298850574713,0.632183908045977,1.62068965517241,2.2183908045977,3.11494252873563,2.85057471264368,2.18390804597701,1.45977011494253,0.988505747126437,0.793103448275862,0.505747126436782,0.517241379310345,0.563218390804598,0.528735632183908,0.71264367816092,0.655172413793103,1.10344827586207,1.32183908045977,1.49425287356322,1.37931034482759,1.75862068965517,1.85057471264368,1.83908045977011,2.03448275862069,2.06896551724138,2.1264367816092,1.90804597701149,2.58620689655172,2.54022988505747,3.11494252873563,3.66666666666667,4.35632183908046,5.29885057471264,7.59770114942529,8.03448275862069,8.42528735632184,6.54022988505747,4.54022988505747,2.25287356321839,0.735632183908046,0.448275862068965,0.252873563218391,0.172413793103448,0.103448275862069,0.103448275862069,0.0804597701149425,0.0459770114942529,0.0344827586206897,0.0229885057471264,0.0574712643678161,0.0229885057471264,0.0229885057471264,0.0229885057471264,0.0114942528735632,0,0.0229885057471264,0.0114942528735632,0.0229885057471264,0.0114942528735632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Fa019AA032054,B.Az9504,50,S1,7638,2016-07-02 07:13:57.311,SV,VIS,256,hue,0,0,0,0,0.00872905027932961,0,0.0174581005586592,0.043645251396648,0.0349162011173184,0.130935754189944,0.174581005586592,0.139664804469274,0.270600558659218,0.322974860335196,0.392807262569832,0.375349162011173,0.462639664804469,0.645949720670391,0.776885474860335,0.733240223463687,0.89909217877095,0.837988826815642,0.881634078212291,0.837988826815642,0.960195530726257,0.864175977653631,0.741969273743017,0.66340782122905,0.698324022346369,0.707053072625698,0.881634078212291,0.741969273743017,0.89036312849162,0.977653631284916,1.23079608938547,1.66724860335196,2.07751396648045,2.19099162011173,3.31703910614525,3.53526536312849,4.4518156424581,6.04050279329609,6.51187150837989,6.79120111731844,6.59916201117318,5.56040502793296,4.66131284916201,4.18121508379888,4.13756983240223,3.26466480446927,4.08519553072626,3.50034916201117,2.55761173184358,2.93296089385475,1.84182960893855,1.13477653631285,0.733240223463687,0.43645251396648,0.183310055865922,0.122206703910615,0.0261871508379888,0.0174581005586592,0.0174581005586592,0.00872905027932961,0.043645251396648,0.00872905027932961,0,0.00872905027932961,0.00872905027932961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa019AA032054,B.Az9504,50,S1,7646,2016-07-16 10:28:57.251,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127713920817369,0.255427841634738,0.127713920817369,0,0.510855683269476,0.510855683269476,0.383141762452107,0.766283524904214,1.53256704980843,1.78799489144317,1.40485312899106,2.55427841634738,2.55427841634738,0.893997445721584,2.93742017879949,2.17113665389527,3.44827586206897,3.19284802043423,3.95913154533844,3.7037037037037,5.23627075351213,4.59770114942529,5.87484035759898,5.87484035759898,8.55683269476373,11.1111111111111,6.76883780332056,6.76883780332056,4.34227330779055,2.42656449553001,1.6602809706258,0.766283524904214,0.510855683269476,0.255427841634738,0,0.383141762452107,0,0.127713920817369,0.638569604086845,0.255427841634738,0.255427841634738,0,0.255427841634738,0.127713920817369,0.127713920817369,0.255427841634738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa019AA032054,B.Az9504,50,S1,13466,2016-07-07 07:14:33.472,SV,VIS,256,hue,0,0,0.00809126952018772,0.00809126952018772,0.0242738085605632,0.0485476171211263,0.0970952342422526,0.275103163686382,0.679666639695768,1.30269439275022,1.7153491382798,2.28982927421312,1.98236103244599,1.61016263451736,0.954769803382151,0.728214256816895,0.574480135933328,0.445019823610324,0.445019823610324,0.841492030099523,0.865765838660086,1.18941661946759,1.37551581843191,1.72344040779998,2.16036896189012,2.58111497693988,3.27696415567603,3.51161097176147,4.0860911076948,4.65247997410794,5.32405534428352,4.17509507241686,4.0213609515333,3.5601585888826,3.73816651832673,4.15891253337649,5.15413868435958,6.28691641718586,6.90994417024031,5.87426167165628,3.1636863823934,2.28982927421312,0.987134881462902,0.768670604417833,0.485476171211263,0.501658710251638,0.396472206489198,0.396472206489198,0.420746015049761,0.291285702726758,0.242738085605632,0.226555546565256,0.137551581843191,0.210373007524881,0.121369042802816,0.0970952342422526,0.121369042802816,0.0809126952018772,0.0647301561615017,0.056638886641314,0.0647301561615017,0.056638886641314,0.0404563476009386,0.0485476171211263,0.0323650780807509,0.0161825390403754,0.0161825390403754,0,0.00809126952018772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa019AA032054,B.Az9504,50,S1,13798,2016-07-14 16:58:47.545,SV,VIS,256,hue,0,0,0,0,0,0.0432900432900433,0.158730158730159,0.432900432900433,0.952380952380952,2.12121212121212,3.96825396825397,7.46031746031746,8.65800865800866,7.07070707070707,4.11255411255411,2.48196248196248,1.61616161616162,1.06782106782107,1.11111111111111,0.865800865800866,1.37085137085137,1.28427128427128,1.64502164502165,2.00577200577201,1.77489177489177,1.97691197691198,1.93362193362193,2.00577200577201,1.93362193362193,1.52958152958153,1.51515151515152,1.7027417027417,1.7027417027417,1.5007215007215,1.84704184704185,1.76046176046176,2.27994227994228,2.3953823953824,2.78499278499278,3.56421356421356,4.01154401154401,4.31457431457431,3.85281385281385,2.78499278499278,1.52958152958153,0.764790764790765,0.404040404040404,0.331890331890332,0.274170274170274,0.202020202020202,0.115440115440115,0.144300144300144,0.101010101010101,0.144300144300144,0.12987012987013,0.0721500721500721,0.0144300144300144,0.0288600288600289,0.0144300144300144,0.0288600288600289,0.0432900432900433,0.0144300144300144,0.0144300144300144,0,0.0288600288600289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa019AA032054,B.Az9504,50,S1,22250,2016-07-07 07:14:33.472,SV,VIS,256,hue,0,0,0,0,0,0.0589101620029455,0.1620029455081,0.235640648011782,0.824742268041237,1.54639175257732,3.00441826215022,5.67010309278351,6.81885125184094,7.21649484536082,4.87481590574374,2.96023564064801,1.82621502209131,1.1340206185567,1.07511045655376,0.972017673048601,1.28129602356406,1.75257731958763,1.87039764359352,2.34167893961708,2.40058910162003,2.84241531664212,3.54933726067747,3.01914580265096,2.45949926362298,2.1060382916053,1.85567010309278,1.81148748159057,1.7820324005891,1.70839469808542,1.85567010309278,1.89985272459499,2.40058910162003,3.46097201767305,4.94845360824742,5.24300441826215,3.75552282768778,1.51693667157585,1.25184094256259,0.471281296023564,0.456553755522828,0.220913107511046,0.294550810014728,0.279823269513991,0.206185567010309,0.294550810014728,0.206185567010309,0.235640648011782,0.265095729013255,0.147275405007364,0.132547864506627,0.1620029455081,0.147275405007364,0.176730486008837,0.0883652430044183,0.117820324005891,0.0441826215022091,0.0883652430044183,0.0883652430044183,0.132547864506627,0.0589101620029455,0.0736377025036819,0.0883652430044183,0.0147275405007364,0,0.0147275405007364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa019AA032054,B.Az9504,50,S1,22816,2016-07-09 18:51:16.768,SV,VIS,256,hue,0,0,0,0,0,0,0,0.0277700638711469,0,0.0277700638711469,0.0555401277422938,0.0833101916134407,0.138850319355735,0.0833101916134407,0.0833101916134407,0.277700638711469,0.44432102193835,0.72202166064982,1.3051930019439,1.63843376839767,2.05498472646487,2.36045542904749,2.7214662593724,2.86031657872813,3.05470702582616,3.66564843099139,3.69341849486254,3.63787836712024,2.38822549291863,3.02693696195501,2.27714523743405,2.2493751735629,1.99944459872258,2.77700638711469,2.88808664259928,3.19355734518189,3.1380172174396,3.41571785615107,4.52652041099695,4.0266592613163,4.16550958067204,5.3873923910025,6.19272424326576,5.35962232713135,3.38794779227992,2.41599555678978,1.13857261871702,1.02749236323244,0.999722299361288,0.44432102193835,0.666481532907526,0.388780894196057,0.388780894196057,0.305470702582616,0.222160510969175,0.194390447098028,0.249930574840322,0.166620383226881,0.249930574840322,0.194390447098028,0.0555401277422938,0.138850319355735,0.222160510969175,0.194390447098028,0.249930574840322,0.166620383226881,0.166620383226881,0.111080255484588,0.194390447098028,0.0555401277422938,0.0555401277422938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
