Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa017AA032052,BTx623,50,Grain 1,1210,2016-07-05 14:49:42.035,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.815928,1.740489,1.832094,1.988361,2.166182,2.721198,3.389374,4.27309,5.717211,6.789525,7.705572,8.810217,8.885656,8.125876,7.155944,5.550167,4.353917,3.459425,2.446384,1.945253,1.250135,1.212415,1.007652,0.8082768,0.7813342,0.7220606,0.7543916,0.6035133,0.452635,0.5119086,0.3664188,0.242483,0.2370945,0.07543916,0.05927363,0.02155405,0.01616554,0.005388512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa017AA032052,BTx623,50,Grain 1,1344,2016-07-07 07:40:36.799,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.625298,4.057279,4.295943,4.295943,4.057279,4.534606,4.534606,3.818616,3.579952,2.625298,4.295943,4.534606,4.534606,4.295943,3.341289,5.727924,5.48926,8.591885,6.443914,5.48926,3.818616,2.625298,1.193317,0.477327,0.2386635,0,0.477327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa017AA032052,BTx623,50,Grain 1,1914,2016-07-16 10:54:50.741,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.282248,2.990033,3.394482,4.073379,4.752275,5.228947,6.890077,6.557851,7.756753,7.785642,7.973422,8.146757,7.698974,6.904521,4.940055,3.538928,2.152246,1.372237,1.314459,0.8811209,0.5344504,0.7511195,0.5777842,0.5200058,0.3611151,0.2022245,0.144446,0.1300014,0.0144446,0.04333381,0.0144446,0.02888921,0,0.02888921,0.0144446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa017AA032052,BTx623,50,Grain 1,2248,2016-07-08 20:39:47.124,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.006758,4.248129,4.055033,4.996379,5.57567,7.24113,7.048033,7.965243,7.24113,6.372194,5.092928,4.320541,2.824041,2.172339,1.641323,1.206855,1.520637,1.979242,1.544774,1.906831,1.762008,2.027516,1.66546,1.641323,2.07579,1.713734,1.786145,1.66546,1.110307,0.6999759,0.482742,0.1689597,0.1930968,0.0241371,0,0.0241371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa017AA032052,BTx623,50,Grain 1,7288,2016-07-09 19:17:13.108,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.020736,1.241896,1.355311,1.793849,2.226717,3.166172,3.875017,4.638678,5.459048,6.385271,7.381434,7.838875,8.201803,7.967412,6.683931,4.87874,4.024346,3.470503,2.92611,2.640682,2.3269,1.831654,1.478177,1.149273,0.982931,0.7542105,0.5992099,0.4914655,0.457441,0.4385385,0.4045139,0.3440259,0.2759768,0.262745,0.2154887,0.2514035,0.1644519,0.1360981,0.08695159,0.06426857,0.0510368,0.03024403,0.01512202,0.007561008,0.001890252,0.001890252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fa017AA032052,BTx623,50,Grain 1,8654,2016-07-19 17:30:20.205,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.369494,3.566732,4.355687,4.158448,5.013149,5.621302,6.229454,6.574622,7.380013,7.922419,7.560815,7.034845,6.213018,5.144642,3.994083,3.303748,2.613412,1.627219,1.512163,1.495726,1.380671,1.117686,0.6738988,0.739645,0.3616042,0.3122945,0.2794214,0.1972387,0.08218277,0.06574622,0.01643655,0.01643655,0.03287311,0.01643655,0,0.01643655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Fa017AA032052,BTx623,50,Grain 1,10236,2016-07-13 20:39:50.788,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.812544,2.798481,2.861763,3.086767,2.925046,2.995359,2.63676,2.334411,1.996906,1.884404,1.694558,1.764871,2.264098,1.905499,2.053157,2.22191,2.158627,2.418788,2.622697,3.171143,3.585994,3.97975,4.478976,5.048516,5.350865,4.992266,4.471945,3.494586,2.552384,2.081283,1.729715,1.364084,1.244551,0.9914217,0.9914217,1.019547,0.8929827,0.9281395,0.7664182,0.4921952,0.4148502,0.2039094,0.1476586,0.08437632,0.0351568,0.02812544,0.02109408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Fa017AA032052,BTx623,50,Grain 1,13428,2016-07-06 10:54:43.097,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.359511,5.279232,8.077786,9.311892,8.838195,8.034156,7.117926,6.544503,5.590875,5.603341,4.77437,4.506358,3.733483,3.46547,2.779855,2.493144,1.919721,1.527051,1.346298,0.9473947,0.7791075,0.7604089,0.623286,0.5048616,0.3864373,0.4300673,0.268013,0.2181501,0.1620544,0.1371229,0.1433558,0.1308901,0.04363002,0.0623286,0.03739716,0.02493144,0.0311643,0.00623286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Fa017AA032052,BTx623,50,Grain 1,17746,2016-07-16 10:54:50.741,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.672613,3.702593,4.557038,4.317194,3.672613,3.102983,3.087993,2.788188,2.90811,2.548344,2.698246,3.192925,3.762554,4.452106,5.321541,5.726278,6.880528,6.595713,5.366512,4.062359,3.50772,3.327837,2.93809,2.458402,1.948733,1.469045,0.8094738,0.3597662,0.3897467,0.2398441,0.07495128,0.04497077,0.01499026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa017AA032052,BTx623,50,Grain 1,20854,2016-07-05 14:49:42.035,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.457941,1.490704,1.908428,2.268818,2.743877,3.046933,3.292653,4.521255,4.676878,4.422967,4.906217,4.439348,4.316488,5.19289,5.921861,7.494471,6.446064,6.052912,5.233844,4.119912,3.005979,2.252437,2.04767,1.498894,1.269555,1.015644,0.9828815,0.9665001,0.5979196,0.4914407,0.5487755,0.3030551,0.2621017,0.229339,0.1883856,0.1228602,0.1228602,0.09009747,0.03276272,0.01638136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
