Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa018AA032053,CK60B,50,Grain 2,4090,2016-07-17 07:48:01.628,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076413652572593,0.203769740193581,0.382068262862965,0.534895568008151,1.01884870096791,1.40091696383087,1.68110035659705,1.52827305145186,1.78298522669384,2.06316861946001,2.57259296994396,2.44523688232298,2.11411105450841,1.57921548650025,1.65562913907285,1.65562913907285,1.47733061640346,1.80845644421803,1.52827305145186,2.01222618441161,2.36882322975038,2.80183392766174,4.3046357615894,5.32348446255731,5.78196637799287,7.08099847172695,8.02343352012226,8.91492613346918,7.84513499745288,6.77534386143658,4.81406011207336,2.95466123280693,1.80845644421803,0.815078960774325,0.407539480387162,0.305654610290372,0.076413652572593,0.0509424350483953,0,0.0254712175241977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Fa018AA032053,CK60B,50,Grain 2,4240,2016-07-06 11:02:45.521,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231594061928252,0.00463188123856504,0.0162115843349777,0.0370550499085203,0.138956437156951,0.363602677227356,0.768892285601797,1.29461080617893,2.44331735334306,3.90235994349105,6.00523402579958,7.66576344982515,8.6917251441673,9.26607841774937,9.44440584543412,8.0293661270525,6.38273234674263,4.68514787280854,3.51328191945159,2.73049399013409,2.20940735079553,2.02644804187221,1.83190902985247,1.55168021491929,1.41040783714306,1.28303110308252,1.23439635007758,1.10933555663633,1.08154426920494,0.995854466291484,0.863845850992381,0.868477732230946,0.690150304546191,0.734153176312559,0.724889413835429,0.678570601449779,0.625303967206281,0.613724264109868,0.518770698719285,0.451608420760092,0.430764955186549,0.375182380323768,0.354338914750226,0.326547627318836,0.28486069617175,0.298756339887445,0.215382477593275,0.215382477593275,0.152852080872646,0.155168021491929,0.0856898029134533,0.0694782185784757,0.0440028717663679,0.0231594061928252,0.0254753468121077,0.0254753468121077,0.00926376247713009,0.00463188123856504,0.00926376247713009,0.00231594061928252,0.00231594061928252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Fa018AA032053,CK60B,50,Grain 2,5568,2016-07-08 20:47:49.138,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157368793768196,0.0472106381304587,0.173105673145015,0.322606027224801,0.873396805413487,1.64450389487765,2.69100637343615,4.17027303485719,5.35840742780707,5.51577622157526,5.11448579746636,4.06798331890786,4.28829963018334,3.76898261074829,3.91061452513966,3.46211346290031,3.43063970414667,3.10016523723346,2.96640176253049,2.75395389094343,2.65953261468251,2.28971594932725,2.20316311275474,2.16382091431269,1.73105673145015,1.4477929026674,1.10158155637737,0.897002124478716,0.692422692580061,0.660948933826422,0.511448579746636,0.668817373514832,0.723896451333701,0.904870564167126,1.15666063419624,1.38484538516012,2.17955779368951,2.28184750963884,2.99787552128413,3.14737587536392,3.01361240066095,2.59658509717523,2.06153119836336,1.35337162640648,0.74750177039893,0.448501062239358,0.110158155637737,0.0786843968840979,0.0393421984420489,0.0393421984420489,0.0236053190652294,0.00786843968840979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa018AA032053,CK60B,50,Grain 2,5842,2016-07-13 20:47:50.681,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248818113958696,0.149290868375218,0.597163473500871,1.59243592933566,2.46329932819109,2.7867628763374,3.45857178402588,4.13038069171436,3.63274446379696,4.47872605125653,4.03085344613088,3.75715352077631,3.23463548146305,3.08534461308783,2.86140831052501,2.09007215725305,1.9656631002737,1.61731774073153,1.49290868375218,1.716844986315,1.46802687235631,1.81637223189848,2.41353570539935,1.84125404329435,2.28912664842,3.25951729285892,3.65762627519283,4.42896242846479,4.85195322219458,5.74769843244588,4.82707141079871,4.32943518288131,3.28439910425479,2.93605374471261,1.49290868375218,1.02015426723065,0.62204528489674,0.323463548146305,0.0746454341876089,0.124409056979348,0.0248818113958696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Fa018AA032053,CK60B,50,Grain 2,6534,2016-07-19 17:38:20.339,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016803898504453,0.252058477566796,0.470509158124685,1.57956645941858,2.5037808771635,4.08334733658209,4.80591497227357,4.25138632162662,3.37758359939506,3.39438749789951,2.77264325323475,2.36934968912788,2.2181146025878,1.84842883548983,2.05007561754327,2.01646782053436,2.2181146025878,2.15089900856999,2.43656528314569,2.7894471517392,2.20131070408335,2.06687951604772,1.966056125021,1.86523273399429,1.71399764745421,1.41152747437405,1.66358595194085,1.54595866240968,1.6803898504453,1.52915476390523,1.86523273399429,2.87346664426147,2.97429003528819,3.62964207696186,4.58746429171568,4.62107208872458,4.11695513359099,3.88170055452865,2.85666274575702,1.71399764745421,0.77297933120484,0.453705259620232,0.235254579062342,0.0840194925222652,0.0336077970089061,0.0504116955133591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Fa018AA032053,CK60B,50,Grain 2,8034,2016-07-20 16:01:57.585,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032121289991006,0.0224849029937042,0.141333675960427,0.340485673904664,1.03751766670949,2.24849029937042,3.87703970191443,5.90068097134781,7.4264422459206,7.94038288577669,8.06886804574072,7.13413850700244,6.02274187331363,5.24219452653219,4.07940382885777,3.59758447899268,3.03867403314917,2.87485545419504,2.52152126429397,2.45085442631376,2.37697545933445,2.23885391237312,2.10073236541179,1.68957985352692,1.53218553257099,1.19812411666453,1.00539637671849,0.812668636772453,0.793395862777849,0.860850571758962,0.85121418476166,1.0439419247077,1.12745727868431,1.21739689065913,1.0600025697032,1.10497237569061,1.17563921367082,0.976487215726584,0.742001798792239,0.494667865861493,0.37260696389567,0.350122060901966,0.305152254914557,0.244121803931646,0.173454965951433,0.0963638699730181,0.0481819349865091,0.0128485159964024,0.0192727739946036,0.0032121289991006,0.0032121289991006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa018AA032053,CK60B,50,Grain 2,8290,2016-07-11 11:02:43.543,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386100386100386,0.424710424710425,1.11969111969112,2.8957528957529,3.47490347490348,3.93822393822394,3.3976833976834,3.05019305019305,3.28185328185328,3.59073359073359,3.43629343629344,4.32432432432432,4.71042471042471,3.62934362934363,3.8996138996139,2.8957528957529,2.74131274131274,2.35521235521236,2.16216216216216,1.54440154440154,1.23552123552124,1.08108108108108,1.77606177606178,1.11969111969112,1.50579150579151,1.89189189189189,2.23938223938224,2.2007722007722,3.47490347490348,3.82239382239382,3.97683397683398,4.01544401544402,3.66795366795367,4.13127413127413,2.54826254826255,1.85328185328185,1.15830115830116,0.540540540540541,0.463320463320463,0.231660231660232,0.154440154440154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Fa018AA032053,CK60B,50,Grain 2,8626,2016-07-04 17:32:42.475,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199760287654814,0.129844186975629,0.219736316420296,0.69916100679185,2.48701558130244,3.76548142229325,5.52337195365561,6.60207750699161,8.56971634039153,9.45864962045545,9.5685177786656,6.92169396723931,6.4023172193368,4.53455852976428,4.28485817019576,4.54454654414702,4.4646424290851,3.26608070315621,2.58689572512984,2.16739912105473,1.58809428685577,1.23851378345985,1.20854974031163,0.898921294446664,0.779065121853776,0.898921294446664,0.888933280063923,0.659208949260887,0.619256891729924,0.569316819816221,0.629244906112665,0.489412704754295,0.569316819816221,0.549340791050739,0.339592489013184,0.229724330803036,0.219736316420296,0.169796244506592,0.0998801438274071,0.129844186975629,0.0799041150619257,0.0898921294446664,0.0399520575309628,0.069916100679185,0.129844186975629,0.0898921294446664,0.0299640431482221,0.0199760287654814,0.069916100679185,0.0898921294446664,0.0299640431482221,0.0499400719137036,0.0199760287654814,0.0399520575309628,0.0399520575309628,0.069916100679185,0.0299640431482221,0,0.00998801438274071,0,0,0.00998801438274071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa018AA032053,CK60B,50,Grain 2,8728,2016-07-16 11:02:51.333,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243116756822464,0.091168783808424,0.249194675743026,0.619947729897283,1.68966145991612,3.59205008205191,5.17230900139792,6.04145140703823,6.05968516379991,4.91095848781377,3.4826475414818,3.14836200085091,2.33392086549565,2.30353127089285,2.36431046009846,2.23059624384611,1.99963532486477,2.20628456816386,2.24883000060779,2.2002066492433,2.16373913571993,1.93277821673859,2.03002491946757,1.9145444599769,2.15158329787881,1.68358354099556,1.8355315140096,1.57418100042545,1.42831094633198,1.48909013553759,1.33106424360299,1.31890840576187,1.03932413541603,1.34929800036468,1.57418100042545,1.75044064912174,2.20628456816386,2.60742721692093,2.84446605482283,2.84446605482283,2.79584270345834,1.90846654105634,1.31890840576187,1.19127210843007,0.94815535160761,0.613869810976722,0.474077675803805,0.328207621710326,0.182337567616848,0.0729350270467392,0.0972467027289856,0.0182337567616848,0.0121558378411232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa018AA032053,CK60B,50,Grain 2,9974,2016-07-15 14:17:41.137,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172801105927078,0.276481769483325,0.881285640228098,2.50561603594263,2.93761880076032,3.97442543632279,4.26818731639882,4.14722654224987,4.4409884223259,4.63106963884569,4.16450665284258,4.25090720580612,3.81890444098842,3.62882322446864,4.16450665284258,3.80162433039571,3.24866079142907,3.07585968550199,2.79937791601866,2.10817349231035,1.60705028512182,1.19232763089684,1.01952652496976,1.01952652496976,1.17504752030413,1.27872818386038,1.3305685156385,1.90081216519786,2.60929669949888,3.62882322446864,4.11266632106445,4.35458786936236,3.80162433039571,3.17954034905823,2.35009504060826,1.12320718852601,0.70848453430102,0.241921548297909,0.103680663556247,0.086400552963539,0.0345602211854156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
