Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa028AA032063,China 17,50,S10,1034,2016-07-18 20:06:56.808,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0.129533678756477,0.0431778929188256,0.215889464594128,0.38860103626943,0.172711571675302,0.302245250431779,0.172711571675302,0.259067357512953,0.474956822107081,0.345423143350604,0.215889464594128,0.863557858376511,1.20898100172712,1.42487046632124,2.41796200345423,2.24525043177893,2.33160621761658,3.19516407599309,2.59067357512953,2.97927461139896,2.33160621761658,1.38169257340242,2.07253886010363,1.81347150259067,2.33160621761658,2.37478411053541,2.2020725388601,2.89291882556131,2.72020725388601,2.80656303972366,3.84283246977547,6.0880829015544,9.58549222797927,12.0034542314335,9.24006908462867,6.0880829015544,2.59067357512953,1.59758203799655,0.734024179620035,0.518134715025907,0.302245250431779,0.345423143350604,0.172711571675302,0.129533678756477,0.172711571675302,0.0431778929188256,0.172711571675302,0.0431778929188256,0.259067357512953,0.129533678756477,0.0863557858376511,0.129533678756477,0.129533678756477,0.129533678756477,0.172711571675302,0.0863557858376511,0.0431778929188256,0.0863557858376511,0,0.0863557858376511,0.0431778929188256,0.0431778929188256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Fa028AA032063,China 17,50,S10,4160,2016-07-20 15:21:14.223,SV,VIS,256,hue,0,0,0,0,0,0,0,0.015890672175433,0.015890672175433,0.015890672175433,0.031781344350866,0.031781344350866,0.143016049578897,0.0476720165262991,0.15890672175433,0.111234705228031,0.397266804385826,0.460829493087558,1.08056570792945,1.04878436357858,1.38248847926267,1.47783251231527,1.70030192277133,1.95455267757826,2.30414746543779,2.01811536627999,2.55839822024472,2.49483553154298,1.8750993167011,2.63785158112188,1.97044334975369,2.16113141585889,2.89210233592881,2.82853964722708,2.59017956459558,3.62307325599873,3.5118385507707,3.78197997775306,4.48116955347211,5.80009534403305,6.7853170189099,8.2313681868743,7.69108533290958,6.5469569362784,5.03734307961227,2.93977435245511,1.6367392340696,1.14412839663118,0.556173526140156,0.413157476561259,0.429048148736692,0.222469410456062,0.127125377403464,0.143016049578897,0.15890672175433,0.127125377403464,0.031781344350866,0.015890672175433,0.0476720165262991,0.0635626887017321,0.015890672175433,0.031781344350866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa028AA032063,China 17,50,S10,8884,2016-07-04 16:51:57.512,SV,VIS,256,hue,0,0,0,0.0105820105820106,0,0,0.0740740740740741,0.275132275132275,0.444444444444444,0.825396825396825,0.783068783068783,1.13227513227513,0.455026455026455,0.338624338624339,0.232804232804233,0.338624338624339,0.296296296296296,0.37037037037037,0.380952380952381,0.317460317460317,0.35978835978836,0.507936507936508,0.772486772486772,1.38624338624339,1.68253968253968,1.98941798941799,2.34920634920635,2.85714285714286,2.8042328042328,2.76190476190476,2.57142857142857,2.39153439153439,2.39153439153439,2.67724867724868,2.78306878306878,3.5026455026455,4.01058201058201,5.15343915343915,6.22222222222222,7.57671957671958,8.1058201058201,8.6984126984127,7.06878306878307,4.91005291005291,2.05291005291005,0.973544973544974,0.592592592592593,0.296296296296296,0.35978835978836,0.317460317460317,0.253968253968254,0.306878306878307,0.232804232804233,0.306878306878307,0.317460317460317,0.275132275132275,0.19047619047619,0.253968253968254,0.275132275132275,0.116402116402116,0.211640211640212,0.17989417989418,0.0952380952380952,0.158730158730159,0.169312169312169,0.0952380952380952,0.0529100529100529,0.0740740740740741,0.0211640211640212,0,0.0105820105820106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa028AA032063,China 17,50,S10,10370,2016-07-05 14:16:58.37,SV,VIS,256,hue,0,0,0.0167266036631262,0.0167266036631262,0.0250899054946893,0.0501798109893786,0.0919963201471941,0.317805469599398,0.660700844693485,1.44685121686042,3.00242535753115,5.41941958685289,6.6404616542611,6.44810571213515,4.36564355607594,2.54244375679518,1.5639374425023,1.19595216191352,0.953416408798194,1.0203228234507,1.06213933260851,1.21267876557665,1.52212093334448,1.84828970477545,1.73120347913356,1.8817429121017,2.16609517437484,2.35008781466923,2.38354102199548,2.57589696412144,2.30827130551142,2.45881073847955,2.4253575311533,2.57589696412144,2.40863092749017,2.7431630007527,3.34532073262524,3.85548214435059,4.89253157146441,4.90925817512754,4.24855733043406,2.82679601906833,1.99046583591202,1.0203228234507,0.618884335535669,0.434891695241281,0.209082545789078,0.292715564104709,0.192355942125951,0.183992640294388,0.142176131136573,0.150539432968136,0.13381282930501,0.13381282930501,0.150539432968136,0.150539432968136,0.10872292381032,0.083633018315631,0.0752697164840679,0.0501798109893786,0.0669064146525048,0.0334532073262524,0.100359621978757,0.0418165091578155,0.0585431128209417,0.0334532073262524,0.0083633018315631,0.0083633018315631,0.0167266036631262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa028AA032063,China 17,50,S10,11460,2016-07-06 10:21:59.956,SV,VIS,256,hue,0,0,0.0206868018204386,0,0.0413736036408771,0.310302027306578,0.661977658254034,1.36532892014894,3.33057509309061,5.19238725693008,10.2399669011171,15.142738932561,15.6185353744311,14.0256516342573,9.72279685560612,4.96483243690525,3.55812991311543,2.06868018204386,1.88249896565991,1.36532892014894,1.13777410012412,0.910219280099297,0.972279685560612,1.05502689284237,0.703351261894911,0.889532478278858,0.599917252792718,0.28961522548614,0.43442283822921,0.496483243690525,0.330988829127017,0.413736036408771,0.455109640049648,0.537856847331402,0.517170045510964,0.124120810922631,0.14480761274307,0.103434009102193,0.0827472072817542,0.0413736036408771,0.0827472072817542,0.0206868018204386,0.0413736036408771,0.0206868018204386,0,0,0,0,0.0206868018204386,0,0,0.0206868018204386,0.0206868018204386,0,0.0206868018204386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Fa028AA032063,China 17,50,S10,13438,2016-07-17 07:07:03.633,SV,VIS,256,hue,0.0241487563390485,0.0241487563390485,0,0.0724462690171456,0.0603718908476213,0.241487563390485,0.362231345085728,0.543347017628592,0.917652740883844,2.17338807051437,3.22385897126298,5.49384206713354,6.15793286645738,4.64863559526684,3.05481767688964,2.17338807051437,1.35233035498672,1.37647911132577,1.49722289302101,1.5938179183772,2.02849553248008,2.22168558319247,2.29413185220961,2.71673508814296,2.47524752475248,3.10311518956774,3.24800772760203,3.11518956773726,2.71673508814296,3.22385897126298,2.76503260082106,2.60806568461724,2.9340738951944,3.24800772760203,2.92199951702487,3.46534653465347,3.50156966916204,3.54986718184013,2.82540449166868,1.75078483458102,1.6904129437334,0.953875875392417,0.652016421154311,0.73653706834098,0.627867664815262,0.33808258874668,0.422603235933349,0.458826370441922,0.362231345085728,0.313933832407631,0.241487563390485,0.16904129437334,0.217338807051437,0.217338807051437,0.132818159864767,0.108669403525718,0.0845206471866699,0.0482975126780971,0.0603718908476213,0.0482975126780971,0.108669403525718,0.0120743781695243,0.0241487563390485,0.0482975126780971,0.0482975126780971,0.0724462690171456,0.0241487563390485,0.0362231345085728,0.0120743781695243,0,0.0241487563390485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Fa028AA032063,China 17,50,S10,15434,2016-07-18 20:06:56.808,SV,VIS,256,hue,0,0,0.0125976316452507,0.0125976316452507,0.0251952632905014,0.0503905265810028,0.239355001259763,0.592088687326783,1.56210632401109,2.98563869992441,5.5177626606198,9.9395313681028,10.6953892668178,9.71277399848828,6.63895187704712,3.50214159737969,2.31796422272613,1.59989921894684,1.02040816326531,0.919627110103301,0.894431846812799,1.12118921642731,1.12118921642731,0.970017636684303,1.04560342655581,1.10859158478206,1.23456790123457,1.42353237591333,1.80146132527085,1.39833711262283,1.28495842781557,1.37314184933233,1.52431342907533,1.63769211388259,1.72587553539934,2.11640211640212,2.10380448475687,2.55731922398589,2.28017132779038,2.6832955404384,2.55731922398589,2.56991685563114,1.99042579994961,1.36054421768707,0.453514739229025,0.390526581002771,0.277147896195515,0.201562106324011,0.18896447467876,0.226757369614512,0.113378684807256,0.0629881582262535,0.138573948097758,0.163769211388259,0.138573948097758,0.0377928949357521,0.100781053162006,0.0251952632905014,0.0503905265810028,0.0377928949357521,0.0125976316452507,0.0377928949357521,0.0125976316452507,0.0125976316452507,0.0377928949357521,0,0,0.0125976316452507,0.0251952632905014,0.0125976316452507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Fa028AA032063,China 17,50,S10,15632,2016-07-15 13:36:57.127,SV,VIS,256,hue,0,0,0,0.010634903754121,0.010634903754121,0.010634903754121,0.180793363820057,0.340316920131873,1.18047431670743,2.09507603956184,4.57300861427204,8.43347867701797,10.6880782728916,10.1137934701691,6.33840263745613,3.66904179517175,2.13761565457833,1.36126768052749,0.808252685313198,0.62745932149314,0.62745932149314,0.786982877804956,0.903966819100287,0.574284802722535,0.957141337870892,1.11666489418271,1.16983941295331,1.05285547165798,1.27618845049452,1.42507710305222,1.32936296926513,1.64841008188876,1.60587046687227,1.65904498564288,1.74412421567585,2.2758694033819,2.49920238221844,2.79697968733383,3.37126449005637,4.04126342656599,4.44538976922259,4.04126342656599,2.37158353716899,1.42507710305222,0.72317345528023,0.446665957673083,0.233967882590663,0.170158460065936,0.212698075082421,0.10634903754121,0.0638094225247262,0.0319047112623631,0.0425396150164841,0.0744443262788472,0.0638094225247262,0.0212698075082421,0.0319047112623631,0,0.0212698075082421,0,0.0319047112623631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa028AA032063,China 17,50,S10,17050,2016-07-07 07:07:41.612,SV,VIS,256,hue,0,0,0,0.0182715147085693,0.027407272062854,0.0365430294171387,0.118764845605701,0.465923625068518,0.666910286862781,1.251598757537,2.61282660332542,4.54047140507948,5.94737803763932,5.02466654485657,3.93751141969669,2.6219623606797,2.41183994153115,1.9093732870455,1.81801571350265,1.93678055910835,1.82715147085693,2.22912479444546,2.41183994153115,2.89603508130824,3.06961447103965,3.02393568426823,3.18837931664535,2.89603508130824,2.73159144893112,2.88689932395396,3.38023022108533,2.77727023570254,2.79554175041111,2.8594920518911,2.85035629453682,3.44418052256532,3.38023022108533,2.60369084597113,2.37529691211401,1.9093732870455,1.81801571350265,1.4891284487484,0.849625433948474,0.694317558925635,0.70345331627992,0.493330897131372,0.493330897131372,0.365430294171387,0.328887264754248,0.255801205919971,0.210122419148547,0.173579389731409,0.164443632377124,0.13703636031427,0.118764845605701,0.173579389731409,0.118764845605701,0.13703636031427,0.054814544125708,0.0730860588342774,0.109629088251416,0.0365430294171387,0.0456787867714234,0.0365430294171387,0.027407272062854,0.00913575735428467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa028AA032063,China 17,50,S10,17550,2016-07-05 14:16:58.37,SV,VIS,256,hue,0,0,0,0,0,0,0.0413736036408771,0.0827472072817542,0.496483243690525,0.57923045097228,1.15846090194456,1.73769135291684,1.90318576748035,1.15846090194456,1.19983450558544,0.620604054613157,0.496483243690525,0.372362432767894,0.786098469176665,1.0757136946628,1.82043856019859,2.11005378568473,2.5237898220935,2.64791063301614,2.8961522548614,3.39263549855192,2.8961522548614,3.18576748034754,2.81340504757964,3.35126189491105,2.15142738932561,2.44104261481175,2.73065784029789,2.44104261481175,3.14439387670666,3.88911874224245,3.88911874224245,4.55109640049648,3.68225072403806,4.30285477865122,4.75796441870087,5.87505171700455,4.46834919321473,3.76499793131982,2.5237898220935,1.40670252378982,1.15846090194456,0.827472072817542,0.330988829127017,0.248241621845263,0.57923045097228,0.455109640049648,0.0413736036408771,0.165494414563508,0.124120810922631,0.165494414563508,0.0827472072817542,0.0413736036408771,0.124120810922631,0.0413736036408771,0.0827472072817542,0.124120810922631,0,0,0.0413736036408771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
