Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa024AA032059,Chinese Amber,50,S6,592,2016-07-18 20:52:01.397,SV,VIS,256,hue,0,0,0.0105340777414937,0,0.0210681554829875,0.0842726219319499,0.0842726219319499,0.284420099020331,0.663646897714105,1.26408932897925,1.99094069314232,3.73959759823027,4.24523332982197,3.91867691983567,3.32876856631202,2.29642894764563,1.5063731170336,1.1798167070473,1.28515748446224,1.10607816285684,1.41156641736016,1.72758874960497,1.81186137153692,1.8434636047614,2.06467923733277,2.26482671442115,2.32803118087012,2.89687137891078,2.66512166859791,2.3490993363531,2.37016749183609,2.57031496892447,2.25429263667966,2.79153060149584,3.14968924470663,3.79226798693774,3.83440429790372,4.0345517749921,4.13989255240704,3.96081323080164,4.27683556304645,3.95027915306015,3.11808701148214,2.14895185926472,1.25355525123775,0.653112819972611,0.421363109659749,0.389760876435268,0.316022332244812,0.25281786579585,0.316022332244812,0.210681554829875,0.200147477088381,0.158011166122406,0.179079321605393,0.1685452438639,0.105340777414937,0.105340777414937,0.0632044664489624,0.0737385441904561,0.0737385441904561,0.0632044664489624,0.0948066996734436,0.0316022332244812,0.0210681554829875,0.0421363109659749,0.0210681554829875,0.0105340777414937,0,0.0105340777414937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Fa024AA032059,Chinese Amber,50,S6,1632,2016-07-03 20:51:55.253,SV,VIS,256,hue,0,0.00771962328238382,0,0,0.0385981164119191,0.0540373629766867,0.108074725953373,0.146672842365293,0.416859657248726,0.779681951520766,1.47444804693531,2.50887756677474,3.30399876486027,3.13416705264783,2.16921414234985,1.72147599197159,1.35093407441717,1.01899027327466,1.01127064999228,1.21198085533426,1.29689671144048,1.46672842365293,1.77551335494828,1.89902732746642,2.46255982708044,2.84854099119963,3.26540064844836,3.4815501003551,3.73629766867377,4.31526941485255,4.37702640111163,4.33070866141732,4.51597962019453,5.3419793114096,5.31110081828007,4.57773660645361,4.42334414080593,3.78261540836807,3.71313879882662,2.81766249807009,2.49343832020997,1.97622356029026,1.39725181411147,0.880037054191755,0.663887602285008,0.501775513354948,0.463177396943029,0.347383047707272,0.254747568318666,0.177551335494828,0.16211208893006,0.146672842365293,0.0540373629766867,0.0463177396943029,0.084915856106222,0.0385981164119191,0.0463177396943029,0.0154392465647676,0.0308784931295353,0.00771962328238382,0,0.00771962328238382,0.00771962328238382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa024AA032059,Chinese Amber,50,S6,4906,2016-07-08 20:52:08.862,SV,VIS,256,hue,0.00724847781965787,0,0.0144969556393157,0.0144969556393157,0.0289939112786315,0.0797332560162366,0.173963467671789,0.398666280081183,0.775587126703392,1.32647144099739,1.90634966657002,2.55871267033923,2.63844592635547,2.47173093650333,1.79037402145549,1.46419251957089,1.05827776167005,0.78283560452305,0.768338648883734,0.826326471440997,1.02203537257176,1.377210785735,1.63815598724268,2.3050159466512,2.72542766019136,2.76891852710931,2.36300376920847,2.50072484778197,2.5804581037982,2.47173093650333,2.32676138011018,2.33400985792983,2.66019135981444,2.96462742824007,2.95013047260075,3.31255436358365,3.39953609741954,4.24760800231951,4.59553493766309,5.06668599594085,5.32763119744854,5.13192229631777,4.71151058277762,3.44302696433749,2.04407074514352,1.1525079733256,0.57987822557263,0.347926935343578,0.275442157146999,0.282690634966657,0.20295737895042,0.217454334589736,0.246448245868368,0.188460423311105,0.108727167294868,0.0797332560162366,0.1377210785735,0.108727167294868,0.130472600753842,0.057987822557263,0.0652363003769209,0.0434908669179472,0.0797332560162366,0.0869817338358945,0.0434908669179472,0.057987822557263,0.057987822557263,0.0362423890982894,0.0362423890982894,0.00724847781965787,0.0144969556393157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa024AA032059,Chinese Amber,50,S6,5316,2016-07-03 20:51:55.253,SV,VIS,256,hue,0,0,0,0,0.00794344268806101,0.039717213440305,0.0873778695686711,0.182699181825403,0.516323774723965,1.19151640320915,2.343315592978,3.6063229803797,4.64691397251569,3.95583445865438,2.90730002383033,1.96203034395107,1.33449837159425,1.04059099213599,1.03264754944793,0.913495909127016,1.07236476288824,1.06442132020017,1.29478115815394,1.42981968385098,1.69195329255699,1.63634919374057,1.90642624513464,1.67606640718087,1.64429263642863,2.25593772340933,1.61251886567638,2.16061641115259,2.27976805147351,2.76431805544523,2.88346969576614,3.21709428866471,4.03526888553499,4.26562872348876,4.8693303677814,4.53570577488283,5.09969020573517,4.70251807133211,3.90817380252601,3.4633410119946,2.69282707125268,1.64429263642863,1.1200254190166,0.86583525299865,0.508380332035904,0.500436889347843,0.23830328064183,0.230359837953769,0.198586067201525,0.15886885376122,0.103264754944793,0.0794344268806101,0.111208197632854,0.0953213122567321,0.047660656128366,0.047660656128366,0.023830328064183,0.015886885376122,0.039717213440305,0.031773770752244,0,0,0.00794344268806101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa024AA032059,Chinese Amber,50,S6,7762,2016-07-14 17:37:03.262,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01383700013837,0.02767400027674,0.05534800055348,0.16604400166044,0.29057700290577,0.40127300401273,0.58115400581154,0.92707900927079,1.34218901342189,1.6604400166044,1.86799501867995,2.00636502006365,2.28310502283105,2.767400027674,2.43531202435312,2.767400027674,2.4906600249066,1.49439601494396,1.7988100179881,1.90950601909506,2.17240902172409,2.14473502144735,2.6290300262903,3.1825100318251,3.58378303583783,4.58004704580047,6.07444306074443,6.83547806835478,8.35754808357548,8.26068908260689,8.46824408468244,6.7801300678013,3.48692403486924,1.96485401964854,0.70568700705687,0.40127300401273,0.24906600249066,0.29057700290577,0.26290300262903,0.16604400166044,0.33208800332088,0.19371800193718,0.19371800193718,0.12453300124533,0.09685900096859,0.19371800193718,0.11069600110696,0.15220700152207,0.04151100041511,0.16604400166044,0.15220700152207,0.09685900096859,0.11069600110696,0.08302200083022,0.01383700013837,0.04151100041511,0.01383700013837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa024AA032059,Chinese Amber,50,S6,10942,2016-07-16 11:07:11.086,SV,VIS,256,hue,0,0,0.0124269914253759,0.0248539828507518,0.0124269914253759,0.0745619485522555,0.186404871380639,0.360382751335902,0.708338511246427,1.69007083385112,3.0943208649186,5.1074934758295,6.56145147259848,6.41232757549397,4.44886293028458,2.60966819932894,1.87647570523176,1.59065490244812,1.05629427115695,1.23027215111222,1.49123897104511,1.3421150739406,1.87647570523176,2.23685845656766,2.3735553622468,3.01975891636635,3.05703989064248,3.34286069342612,2.94519696781409,2.72151112215733,2.75879209643345,3.23101777059774,2.7339381135827,2.89548900211259,3.29315272772462,3.26829874487387,3.18130980489623,3.08189387349323,2.75879209643345,2.19957748229154,2.16229650801541,1.49123897104511,1.18056418541071,0.720765502671803,0.509506648440413,0.260966819932894,0.33552876848515,0.260966819932894,0.298247794209022,0.260966819932894,0.173977879955263,0.136696905679135,0.124269914253759,0.124269914253759,0.124269914253759,0.0497079657015037,0.0869889399776314,0.136696905679135,0.111842922828383,0.0497079657015037,0.0497079657015037,0.0248539828507518,0.0869889399776314,0.0497079657015037,0.0745619485522555,0.0248539828507518,0.0745619485522555,0.0372809742761277,0.0497079657015037,0.0248539828507518,0.0124269914253759,0.0248539828507518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa024AA032059,Chinese Amber,50,S6,14326,2016-07-07 07:53:01.505,SV,VIS,256,hue,0,0,0,0.0181818181818182,0,0.0727272727272727,0.218181818181818,0.418181818181818,1.2,2.83636363636364,4.94545454545455,8.12727272727273,9.12727272727273,7.89090909090909,5.6,3.76363636363636,2.03636363636364,1.49090909090909,1.43636363636364,1.07272727272727,1.36363636363636,1.69090909090909,1.56363636363636,1.49090909090909,1.58181818181818,1.83636363636364,1.85454545454545,1.72727272727273,2.12727272727273,2.29090909090909,1.87272727272727,2.18181818181818,2.07272727272727,2.38181818181818,2.76363636363636,2.96363636363636,3.36363636363636,4.21818181818182,3.96363636363636,2.18181818181818,1.23636363636364,0.818181818181818,0.254545454545455,0.272727272727273,0.254545454545455,0.236363636363636,0.181818181818182,0.2,0.0909090909090909,0.0909090909090909,0.145454545454545,0.0909090909090909,0.0181818181818182,0.0363636363636364,0.109090909090909,0.0727272727272727,0.0181818181818182,0.0181818181818182,0.0363636363636364,0.0363636363636364,0.0363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa024AA032059,Chinese Amber,50,S6,16978,2016-07-15 14:22:00.849,SV,VIS,256,hue,0,0.0215169445938677,0.0107584722969338,0.0322754168908015,0.0860677783754707,0.13986013986014,0.247444862829478,0.559440559440559,0.849919311457773,1.55997848305541,3.41043571812803,6.18612157073696,7.62775685852609,7.8859601936525,5.50833781603012,3.10919849381388,1.80742334588488,1.60301237224314,0.989779451317913,0.892953200645508,0.968262506724045,1.11888111888112,1.06508875739645,1.47391070467994,1.463152232383,1.73211403980635,2.49596557288865,2.28079612694997,2.29155459924691,2.32383001613771,2.32383001613771,2.44217321140398,2.66810112963959,3.10919849381388,2.68961807423346,2.98009682625067,2.59279182356105,3.34588488434642,3.04464766003228,2.71113501882733,3.08768154922001,2.74341043571813,1.71059709521248,1.22646584185046,0.849919311457773,0.548682087143626,0.355029585798817,0.247444862829478,0.215169445938677,0.215169445938677,0.236686390532544,0.0430338891877353,0.118343195266272,0.0753093060785369,0.0968262506724045,0.0860677783754707,0.0215169445938677,0.0215169445938677,0.0753093060785369,0.0537923614846692,0.0753093060785369,0.0215169445938677,0.0322754168908015,0.0322754168908015,0.0430338891877353,0.0430338891877353,0.0322754168908015,0.0215169445938677,0.0107584722969338,0.0107584722969338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa024AA032059,Chinese Amber,50,S6,17130,2016-07-20 16:06:17.016,SV,VIS,256,hue,0,0,0,0,0,0.0259380944146637,0.0345841258862182,0.0951063461871001,0.268026975618191,0.605222203008819,1.29690472073318,2.19609199377486,2.49870309527927,2.82725229119834,2.68891578765347,1.98858723845755,1.53034757046516,1.29690472073318,1.07210790247277,1.15856821718831,1.39201106692028,1.28825868926163,1.65139201106692,1.91941898668511,2.24796818260418,2.10098564758776,2.5678713470517,2.27390627701885,2.36036659173439,2.27390627701885,1.97129517551444,1.73785232578247,2.08369358464465,2.25661421407574,2.46411896939305,2.84454435414145,3.30278402213384,3.49299671450804,4.08092685457375,4.44406017637904,5.3086633235345,5.26543316617673,4.65156493169635,4.70344112052568,3.57081099775203,2.05775549022998,1.50440947605049,0.717620612139028,0.475531730935501,0.458239667992391,0.328549195919073,0.233442849731973,0.198858723845755,0.328549195919073,0.242088881203528,0.172920629431091,0.268026975618191,0.146982535016427,0.1902126923742,0.164274597959537,0.0691682517724365,0.181566660902646,0.164274597959537,0.077814283243991,0.0605222203008819,0.0432301573577728,0.0432301573577728,0.0172920629431091,0.00864603147155456,0,0.00864603147155456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa024AA032059,Chinese Amber,50,S6,18398,2016-07-12 09:19:33.947,SV,VIS,256,hue,0,0,0,0.0069993700566949,0.0139987401133898,0.0139987401133898,0.0349968502834745,0.118989290963813,0.230979211870932,0.468957793798558,0.748932596066354,1.37887590116889,1.84783369496745,1.98082172604466,2.11380975712186,1.73584377406033,1.05690487856093,1.00790928816407,0.923916847483726,0.874921257086862,1.07090361867432,1.28788409043186,1.31588157065864,1.67984881360678,1.84083432491076,2.27479526842584,2.27479526842584,2.55477007069364,2.71575558199762,2.86974172324491,2.4707776300133,2.37278644921957,2.3377895989361,2.53377196052355,2.54077133058025,2.62476377126059,2.92573668369847,3.07272345488906,3.59767620914118,3.98964093231609,4.44459998600126,5.28452439280465,5.12353888150067,5.20053195212431,4.48659620634143,3.93364597186253,2.84174424301813,2.17680408763211,1.37887590116889,0.678938895499405,0.454959053685168,0.272975432211101,0.244977951984321,0.132988031077203,0.132988031077203,0.0419962203401694,0.0419962203401694,0.0349968502834745,0.0209981101700847,0.0559949604535592,0.0139987401133898,0.0139987401133898,0.0279974802267796,0.0139987401133898,0.0069993700566949,0.0069993700566949,0.0139987401133898,0.0069993700566949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
