Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa021AA032056,ICSV700,50,S3,134,2016-07-03 20:20:26.466,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933488914819137,0.163360560093349,0.373395565927655,0.863477246207701,2.07701283547258,3.38389731621937,4.90081680280047,5.41423570595099,7.07117852975496,6.93115519253209,7.46791131855309,6.09101516919487,5.64760793465578,4.38739789964994,3.8973162193699,3.36056009334889,3.61726954492415,3.22053675612602,3.75729288214702,3.66394399066511,3.85064177362894,3.82730455075846,3.52392065344224,3.17386231038506,2.49708284714119,2.14702450408401,1.84364060676779,0.910151691948658,0.676779463243874,0.420070011668611,0.233372228704784,0.14002333722287,0.186697782963827,0.14002333722287,0.0466744457409568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa021AA032056,ICSV700,50,S3,2366,2016-07-02 07:20:47.323,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043757292882147,0.233372228704784,0.627187864644107,1.96907817969662,3.32555425904317,5.8926487747958,5.68844807467911,6.76779463243874,5.64469078179697,5.04667444574096,5.00291715285881,4.85705950991832,4.463243873979,4.33197199533256,4.02567094515753,3.67561260210035,3.86522753792299,2.85880980163361,2.68378063010502,1.85239206534422,1.66277712952159,1.47316219369895,1.75029171528588,1.34189031505251,0.933488914819136,0.860560093348891,0.831388564760793,0.962660443407235,1.35647607934656,1.57526254375729,1.70653442240373,1.58984830805134,1.69194865810968,2.2024504084014,1.76487747957993,1.89614935822637,1.22520420070012,1.06476079346558,0.539673278879813,0.306301050175029,0.204200700116686,0.102100350058343,0.043757292882147,0,0,0.014585764294049,0.029171528588098,0,0,0.014585764294049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa021AA032056,ICSV700,50,S3,3220,2016-07-05 14:30:33.565,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849473326537547,0.0169894665307509,0.178389398572885,0.747536527353041,2.24260958205912,4.48521916411825,6.29459734964322,7.22901800883452,6.65137614678899,5.71695548759769,4.68909276248726,3.89058783554196,3.23649337410805,3.1515460414543,2.48046211348964,1.8348623853211,1.8688413183826,1.82636765205573,2.05572545022086,1.80937818552497,1.78389398572885,1.42711518858308,1.49507305470608,1.34216785592932,1.35915732246007,1.12979952429494,0.908936459395175,0.883452259599048,0.815494393476045,0.874957526333673,0.883452259599048,1.51206252123683,1.72443085287122,2.55691471287802,3.40638803941556,3.5677879714577,3.71219843696908,3.59327217125382,2.90519877675841,1.67346245327897,1.18076792388719,0.552157662249405,0.169894665307509,0.0764525993883792,0.0339789330615019,0.0169894665307509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa021AA032056,ICSV700,50,S3,3498,2016-07-14 17:05:34.898,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348845321984232,0,0.00348845321984232,0,0.00348845321984232,0.0174422660992116,0.0279076257587386,0.087211330496058,0.320937696225494,0.770948161585153,1.8872531919347,3.64892206795507,6.46759226958766,9.71185376404102,11.0583967069002,10.4409404869881,9.42928905323379,8.09321147003419,6.63852647735994,5.56757133886835,3.73613339845113,2.83262401451197,2.26051768645782,2.06167585292681,1.76515732924021,1.53143096351078,1.52794251029094,1.25584315914324,1.16514337542734,1.18607409474639,1.08142049815112,0.795367334124049,0.732575176166888,0.641875392450987,0.638386939231145,0.484894997558083,0.401172120281867,0.380241400962813,0.28605316402707,0.209307193190539,0.184888020651643,0.146515035233377,0.0662806111770041,0.0348845321984232,0.0593037047373195,0.0348845321984232,0.0313960789785809,0.0313960789785809,0.0453498918579502,0.0418614386381079,0.0418614386381079,0.0279076257587386,0.0313960789785809,0.010465359659527,0.010465359659527,0.00697690643968464,0.00348845321984232,0.0139538128793693,0.0174422660992116,0.00348845321984232,0.00348845321984232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa021AA032056,ICSV700,50,S3,5266,2016-07-05 14:30:33.565,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245398773006135,0.159509202453988,0.441717791411043,1.11656441717791,2.33128834355828,3.93865030674847,4.73619631901841,4.38036809815951,4.57668711656442,3.95092024539877,4.28220858895706,3.6441717791411,3.36196319018405,3.55828220858896,4.07361963190184,3.97546012269939,4,4.03680981595092,4.40490797546012,3.73006134969325,3.30061349693252,2.88343558282209,2.5521472392638,2.25766871165644,1.82822085889571,1.6441717791411,1.55828220858896,1.55828220858896,1.70552147239264,1.61963190184049,2.13496932515337,2.03680981595092,2.04907975460123,2.31901840490798,1.79141104294479,1.61963190184049,1.0920245398773,0.539877300613497,0.343558282208589,0.245398773006135,0.134969325153374,0.0122699386503067,0,0.0368098159509202,0.0122699386503067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa021AA032056,ICSV700,50,S3,5604,2016-07-07 07:21:23.313,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191204588910134,0.420650095602294,1.30019120458891,2.75334608030593,5.08604206500956,8.1453154875717,9.06309751434034,10.6309751434034,7.72466539196941,6.34799235181644,4.78011472275335,4.55066921606119,3.51816443594646,4.13001912045889,4.39770554493308,3.63288718929254,4.282982791587,4.01529636711281,2.82982791586998,2.48565965583174,1.95028680688337,1.52963671128107,1.41491395793499,0.573613766730402,0.497131931166348,0.382409177820268,0.267686424474187,0.11472275334608,0.420650095602294,0.191204588910134,0.764818355640535,0.956022944550669,0.344168260038241,0.229445506692161,0.0382409177820268,0.0382409177820268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa021AA032056,ICSV700,50,S3,9306,2016-07-10 15:25:01.495,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594000594000594,0.0891000891000891,0.712800712800713,2.39085239085239,4.76685476685477,5.86575586575587,4.97475497475497,4.81140481140481,3.41550341550342,2.95515295515295,2.27205227205227,1.67805167805168,1.36620136620137,1.67805167805168,1.36620136620137,1.2028512028512,1.63350163350163,1.41075141075141,1.55925155925156,1.85625185625186,1.21770121770122,1.55925155925156,1.55925155925156,1.12860112860113,0.905850905850906,0.95040095040095,0.742500742500742,0.876150876150876,1.26225126225126,1.61865161865162,2.36115236115236,2.61360261360261,3.99465399465399,4.75200475200475,5.73210573210573,5.80635580635581,4.98960498960499,4.38075438075438,3.26700326700327,1.91565191565192,1.15830115830116,0.623700623700624,0.297000297000297,0.178200178200178,0.0148500148500148,0.0297000297000297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fa021AA032056,ICSV700,50,S3,10352,2016-07-09 18:58:04.614,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012923235978289,0.0258464719565779,0.0904626518480227,0.297234427500646,0.646161798914448,1.42155595761179,1.88679245283019,2.77849573533213,2.61049366761437,2.50710777978806,2.46833807185319,2.23571982424399,2.14525717239597,1.95140863272163,1.93848539674334,1.9901783406565,2.28741276815715,2.40372189196175,2.2227965882657,2.08064099250452,2.17110364435255,2.19695011630912,1.93848539674334,1.34401654174205,1.24063065391574,0.956319462393383,1.03385887826312,0.659085034892737,0.99508917032825,1.4086327216335,1.43447919359007,1.9901783406565,3.01111398294133,3.76066166968209,4.78159731196692,6.75885241664513,7.53424657534247,7.6117859912122,5.84130266218661,3.88989402946498,2.62341690359266,1.56371155337296,0.568622383044714,0.413543551305247,0.193848539674334,0.0258464719565779,0.0387697079348669,0.012923235978289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fa021AA032056,ICSV700,50,S3,10534,2016-07-03 20:20:26.466,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231107002542177,0.0693321007626531,0.127108851398197,0.392881904321701,1.14397966258378,2.02218627224405,3.31638548648024,4.80702565287728,5.73145366304599,5.76611971342732,6.04344811647793,4.96880055465681,4.27547954703028,4.14837069563208,4.07903859486942,3.82482089207303,3.53593713889531,2.95816963253987,2.92350358215854,2.56528772821816,2.17240582389646,1.99907557198983,1.74485786919344,1.32886526461752,1.31730991449041,1.05153686156691,0.797319158770511,0.889761959787382,0.774208458516293,0.947538710422926,1.3057545643633,1.5715276172868,1.8257453200832,2.44973422694708,2.53062167783684,2.93505893228565,2.42662352669286,3.16616593482783,2.0915183730067,1.65241506817657,0.878206609660273,0.727987058007858,0.40443725444881,0.161774901779524,0.0693321007626531,0,0.0231107002542177,0.0231107002542177,0.0115553501271089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa021AA032056,ICSV700,50,S3,10592,2016-07-13 20:20:44.335,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491448791035974,0.304698250442304,1.21879300176922,3.01749557696088,5.6516610969137,6.92942795360723,7.48967957538824,7.55848240613328,6.75250638883428,6.57558482406133,4.79654020051111,3.97090623157067,3.10595635934736,2.29015136622764,2.5751916650285,2.25083546294476,2.17220365637901,2.06408492235109,2.2704934145862,2.2704934145862,2.17220365637901,2.04442697070965,1.88716335757814,1.72007076862591,1.50383330057008,1.50383330057008,1.02221348535483,1.08118734027914,1.0615293886377,1.04187143699626,1.10084529192058,1.21879300176922,1.63160998623943,1.72007076862591,1.57263613131512,1.39571456654217,1.26793788087281,0.7568311381954,0.511106742677413,0.275211322980146,0.0982897582071948,0.0589738549243169,0.0294869274621584,0,0,0,0.00982897582071948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
