Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa021AA032056,ICSV700,50,S3,134,2016-07-03 20:20:26.466,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0.0233372228704784,0.0700116686114352,0.14002333722287,0.116686114352392,0.163360560093349,0.210035005834306,0.210035005834306,0.466744457409568,0.863477246207701,0.956826137689615,1.49358226371062,1.93698949824971,2.07701283547258,2.5904317386231,2.68378063010502,3.10385064177363,2.98716452742124,3.43057176196033,3.22053675612602,2.68378063010502,2.63710618436406,1.82030338389732,2.31038506417736,2.47374562427071,2.24037339556593,2.45040840140023,2.5904317386231,3.08051341890315,3.82730455075846,3.73395565927655,4.92415402567095,5.32088681446908,5.8343057176196,5.69428238039673,4.52742123687281,4.62077012835473,3.45390898483081,1.98366394399067,1.30688448074679,0.863477246207701,0.58343057176196,0.536756126021004,0.396732788798133,0.326721120186698,0.326721120186698,0.210035005834306,0.396732788798133,0.350058343057176,0.14002333722287,0.210035005834306,0.210035005834306,0.210035005834306,0.0700116686114352,0.163360560093349,0.163360560093349,0.14002333722287,0.116686114352392,0.14002333722287,0.0700116686114352,0.0933488914819137,0,0.0233372228704784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa021AA032056,ICSV700,50,S3,2366,2016-07-02 07:20:47.323,SV,VIS,256,hue,0.014585764294049,0,0.014585764294049,0.014585764294049,0.014585764294049,0.014585764294049,0.0875145857642941,0.175029171528588,0.568844807467911,0.685530921820303,1.09393232205368,2.15869311551925,2.61085180863477,2.9463243873979,2.55250875145858,1.70653442240373,1.47316219369895,0.860560093348891,0.860560093348891,0.87514585764294,0.831388564760793,0.816802800466744,1.12310385064177,1.487747957993,1.72112018669778,1.47316219369895,1.56067677946324,2.64002333722287,2.55250875145858,2.90256709451575,2.90256709451575,3.39848308051342,3.28179696616103,3.73395565927655,3.31096849474912,3.6901983663944,3.6318553092182,3.89439906651109,4.74037339556593,6.38856476079347,7.42415402567095,6.549008168028,4.39031505250875,2.49416569428238,1.4002333722287,0.656359393232205,0.510501750291715,0.189614935822637,0.306301050175029,0.218786464410735,0.262543757292882,0.102100350058343,0.160443407234539,0.0875145857642941,0.160443407234539,0.102100350058343,0.058343057176196,0.014585764294049,0.043757292882147,0.029171528588098,0,0,0.014585764294049,0.014585764294049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa021AA032056,ICSV700,50,S3,3220,2016-07-05 14:30:33.565,SV,VIS,256,hue,0,0,0,0,0.00849473326537547,0.0254841997961264,0.0849473326537547,0.229357798165138,0.552157662249405,1.35915732246007,3.55079850492695,6.28610261637785,6.77879714576962,5.20727149167516,2.97315664288141,1.46958885490996,0.917431192660551,0.891946992864424,0.832483860006796,0.951410125722052,1.18926265715257,1.29969418960245,1.19775739041794,1.32517838939857,1.3506625891947,1.41012572205233,1.42711518858308,1.13829425756031,0.976894325518179,1.26571525654094,0.959904858987428,1.36765205572545,1.02786272511043,1.67346245327897,1.63948352021747,1.93679918450561,1.97927285083248,1.7669045191981,2.14067278287462,2.37852531430513,2.82025144410466,3.62725110431532,4.65511382942576,5.36017669045192,5.86136595310907,5.5045871559633,3.83961943594971,2.44648318042813,1.29119945633707,0.815494393476045,0.4502208630649,0.314305130818892,0.271831464492015,0.178389398572885,0.161399932042134,0.0679578661230037,0.127420998980632,0.110431532449881,0.118926265715257,0.0764525993883792,0.0934420659191301,0.0679578661230037,0.0594631328576283,0.00849473326537547,0.00849473326537547,0.0254841997961264,0.0254841997961264,0.0169894665307509,0.0254841997961264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa021AA032056,ICSV700,50,S3,3498,2016-07-14 17:05:34.898,SV,VIS,256,hue,0.00697690643968464,0.00348845321984232,0.0139538128793693,0.0244191725388963,0.0279076257587386,0.0488383450777925,0.0453498918579502,0.0348845321984232,0.0558152515174771,0.101165143375427,0.125584315914324,0.0593037047373195,0.115118956254797,0.156980394892904,0.268610897927859,0.296518523686597,0.341868415544548,0.572106328054141,0.627921579571618,0.610479313472406,0.715132910067676,0.715132910067676,0.767459708365311,1.03258215307333,1.07793204493128,1.15467801576781,1.03258215307333,1.00816298053443,0.88606711783995,1.01165143375427,0.945370822577269,0.938393916137585,0.882578664620107,1.02560524663364,1.21398172050513,1.52794251029094,1.85934556617596,2.23958696713877,2.81169329519291,3.1326309914184,3.56171073745901,4.03265192213772,4.30823972650527,4.0884671736552,4.1791669573711,4.9954650108142,5.19779529756506,6.58271122584246,6.64201493057978,7.20016744575455,6.38038093909161,5.12453777994837,3.35938045070816,2.35819437661341,1.09886276425033,0.519779529756506,0.310472336565967,0.136049675573851,0.087211330496058,0.0697690643968464,0.0593037047373195,0.0453498918579502,0.0244191725388963,0.0279076257587386,0.0348845321984232,0.0139538128793693,0.0174422660992116,0.0139538128793693,0.00348845321984232,0,0.00348845321984232,0.00348845321984232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348845321984232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa021AA032056,ICSV700,50,S3,5266,2016-07-05 14:30:33.565,SV,VIS,256,hue,0,0,0,0,0,0.0122699386503067,0.098159509202454,0.282208588957055,0.478527607361963,1.04294478527607,1.86503067484663,2.77300613496933,2.98159509202454,2.7361963190184,2.42944785276074,1.87730061349693,1.21472392638037,1.21472392638037,1.4478527607362,1.84049079754601,1.77914110429448,2.04907975460123,2.25766871165644,2.7361963190184,2.78527607361963,3.41104294478528,3.73006134969325,3.97546012269939,3.93865030674847,3.60736196319018,3.10429447852761,3.04294478527607,2.87116564417178,3.04294478527607,3.48466257668712,3.11656441717791,3.75460122699387,3.4478527607362,4,3.38650306748466,3.21472392638037,2.82208588957055,1.36196319018405,0.957055214723926,0.760736196319018,0.662576687116564,0.552147239263804,0.417177914110429,0.294478527607362,0.441717791411043,0.343558282208589,0.245398773006135,0.269938650306748,0.245398773006135,0.171779141104294,0.171779141104294,0.098159509202454,0.171779141104294,0.159509202453988,0.110429447852761,0.110429447852761,0.208588957055215,0.0858895705521472,0.0368098159509202,0.110429447852761,0.0736196319018405,0.0245398773006135,0.049079754601227,0,0.0122699386503067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa021AA032056,ICSV700,50,S3,5604,2016-07-07 07:21:23.313,SV,VIS,256,hue,0,0,0,0,0,0,0,0.0382409177820268,0.0764818355640535,0.382409177820268,0.382409177820268,0.726577437858509,0.535372848948375,0.344168260038241,0.267686424474187,0.191204588910134,0.11472275334608,0.191204588910134,0.11472275334608,0.420650095602294,0.305927342256214,0.841300191204589,0.726577437858509,1.26195028680688,1.5678776290631,1.7208413001912,1.95028680688337,2.33269598470363,2.21797323135755,3.21223709369025,2.7151051625239,4.01529636711281,4.09177820267686,4.35946462715105,4.51242829827916,5.92734225621415,7.49521988527725,7.5717017208413,9.33078393881453,6.11854684512428,4.93307839388145,4.35946462715105,4.55066921606119,2.7151051625239,2.44741873804971,1.1472275334608,0.650095602294455,0.611854684512428,0.305927342256214,0.267686424474187,0.420650095602294,0.152963671128107,0.229445506692161,0.229445506692161,0.229445506692161,0.11472275334608,0.0764818355640535,0.191204588910134,0.0764818355640535,0.0764818355640535,0.0764818355640535,0,0,0,0,0,0.0382409177820268,0.0382409177820268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa021AA032056,ICSV700,50,S3,9306,2016-07-10 15:25:01.495,SV,VIS,256,hue,0,0,0,0,0,0.0891000891000891,0.222750222750223,0.51975051975052,1.23255123255123,2.28690228690229,4.54410454410454,7.94475794475794,8.77635877635878,8.50905850905851,5.5984555984556,2.97000297000297,1.67805167805168,1.05435105435105,0.801900801900802,0.638550638550639,0.638550638550639,0.712800712800713,0.668250668250668,1.24740124740125,1.29195129195129,1.3959013959014,1.3959013959014,1.0989010989011,1.15830115830116,1.0989010989011,0.638550638550639,0.98010098010098,0.95040095040095,0.697950697950698,0.935550935550936,0.905850905850906,1.08405108405108,1.4998514998515,1.61865161865162,2.56905256905257,2.95515295515295,4.44015444015444,5.44995544995545,5.46480546480546,4.66290466290466,2.65815265815266,2.15325215325215,0.920700920700921,0.668250668250668,0.237600237600238,0.207900207900208,0.103950103950104,0.118800118800119,0.0445500445500445,0.0594000594000594,0.0594000594000594,0.0445500445500445,0.0891000891000891,0.0297000297000297,0.0148500148500148,0.0297000297000297,0.0148500148500148,0.0297000297000297,0.0594000594000594,0,0,0,0.0148500148500148,0.0148500148500148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fa021AA032056,ICSV700,50,S3,10352,2016-07-09 18:58:04.614,SV,VIS,256,hue,0,0,0,0.012923235978289,0.012923235978289,0.0516929439131559,0.219695011630912,0.504006203153269,1.34401654174205,2.61049366761437,5.69914706642543,9.88627552339106,11.1915223571982,10.0155078831739,6.12561385370897,2.83018867924528,2.05479452054794,1.00801240630654,0.775394158697338,0.814163866632205,0.775394158697338,0.917549754458516,0.99508917032825,1.42155595761179,1.35693977772034,1.62832773326441,1.79632980098217,2.05479452054794,2.00310157663479,2.06771775652623,1.89971568880848,2.09356422848281,2.02894804859137,2.40372189196175,2.75264926337555,3.33419488239855,3.26957870250711,2.84311191522357,2.84311191522357,1.58955802532954,1.00801240630654,0.633238562936159,0.426466787283536,0.413543551305247,0.297234427500646,0.323080899457224,0.232618247609201,0.180925303696045,0.155078831739468,0.103385887826312,0.232618247609201,0.12923235978289,0.103385887826312,0.0904626518480227,0.116309123804601,0.0646161798914448,0.0646161798914448,0.0387697079348669,0.0646161798914448,0.0387697079348669,0.0258464719565779,0.012923235978289,0,0.012923235978289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fa021AA032056,ICSV700,50,S3,10534,2016-07-03 20:20:26.466,SV,VIS,256,hue,0,0,0.0115553501271089,0,0.0346660503813266,0.0346660503813266,0.184885602033742,0.242662352669286,0.681765657499422,1.45597411601572,2.62306447885371,3.55904783914953,4.63369540097065,4.61058470071643,3.21238733533626,2.14929512364225,1.20175641321932,0.90131730991449,0.647099607118096,0.670210307372313,0.681765657499422,1.10931361220245,0.762653108389184,1.01687081118558,1.13242431245667,1.1786457129651,1.46752946614282,1.59463831754102,1.51375086665126,1.74485786919344,1.77952391957476,2.55373237809106,2.63461982898082,3.08527848393806,3.30483013635313,3.73237809105616,4.72613820198752,4.39103304830136,5.02657730529235,5.31546105847007,5.3501271088514,5.06124335567368,4.58747400046221,3.38571758724289,1.94129882135429,1.13242431245667,0.762653108389184,0.635544256990987,0.40443725444881,0.207996302287959,0.173330251906633,0.138664201525306,0.0924428010168708,0.080887450889762,0.10399815114398,0.080887450889762,0.0462214005084354,0.0693321007626531,0.0346660503813266,0.0462214005084354,0.0115553501271089,0.0115553501271089,0.0115553501271089,0.0115553501271089,0,0,0,0.0115553501271089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa021AA032056,ICSV700,50,S3,10592,2016-07-13 20:20:44.335,SV,VIS,256,hue,0,0,0,0,0.00982897582071948,0.019657951641439,0.0491448791035974,0.176921564772951,0.324356202083743,0.7568311381954,1.48417534892864,2.13288775309613,2.3196382936898,2.10340082563397,1.60212305877728,1.14016119520346,0.992726557892668,0.825633968940437,0.796147041478278,1.16964812266562,1.21879300176922,1.32691173579713,1.37605661490073,1.60212305877728,1.60212305877728,1.9166502850403,1.93630823668174,1.23845095341065,1.31708275997641,1.27776685669353,1.13033221938274,1.38588559072145,1.22862197758994,1.70041281698447,1.76921564772951,2.03459799488893,2.23117751130332,2.91920581875369,3.784155690977,5.18969923333989,6.72301946137212,7.58796933359544,7.80420680165127,7.15549439748378,6.0055042264596,4.33457833693729,3.0273245527816,1.12050324356202,0.707686259091803,0.226066443876548,0.157263613131512,0.0688028307450364,0.176921564772951,0.108118734027914,0.0589738549243169,0.127776685669353,0.108118734027914,0.0589738549243169,0.0688028307450364,0.00982897582071948,0.00982897582071948,0.0589738549243169,0.0294869274621584,0.00982897582071948,0.0491448791035974,0.019657951641439,0.0393159032828779,0.0294869274621584,0.019657951641439,0.00982897582071948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
