Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa023AA032058,Leoti,50,S5,1276,2016-07-20 15:40:21.71,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253742704897234,0.0507485409794468,0.0253742704897234,0.0253742704897234,0,0.0507485409794468,0.0507485409794468,0.304491245876681,0.279116975386958,0.938848008119767,1.47170768840396,2.76579548337985,4.64349149961939,8.70337477797513,10.5303222532352,12.382643998985,11.4437959908653,8.42425780258818,6.52118751585892,5.37934534382136,4.36437452423243,2.8165440243593,2.20756153260594,1.70007612281147,1.37021060644506,1.26871352448617,1.26871352448617,1.29408779497589,1.26871352448617,1.54783049987313,1.192590713017,0.989596549099213,0.938848008119767,0.761228114691703,0.862725196650596,0.735853844201979,0.532859680284192,0.431362598325298,0.228368434407511,0.177619893428064,0,0.0253742704897234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa023AA032058,Leoti,50,S5,8354,2016-07-20 15:40:21.71,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109709270433352,0,0.153592978606692,0.230389467910038,0.921557871640154,2.1832144816237,3.44487109160724,3.96050466264399,4.20186505759737,4.04827207899067,3.89467910038398,3.89467910038398,3.69720241360395,3.47778387273725,3.28030718595721,3.46681294569391,3.07185957213385,2.98409215578716,3.09380142622052,2.61108063631377,2.5891387822271,2.28195282501371,2.13933077345036,1.56884256719693,1.29456939111355,1.02029621503017,1.14097641250686,0.965441579813494,1.02029621503017,1.32748217224355,1.22874382885354,2.09544706527702,2.16127262753703,2.78661546900713,3.55458036204059,3.92759188151399,4.25671969281404,3.31321996708722,2.9950630828305,2.52331321996709,1.23971475589687,0.789906747120132,0.438837081733407,0.252331321996709,0.219418540866703,0.109709270433352,0.0438837081733406,0.0548546352166758,0.0219418540866703,0,0,0,0.0109709270433352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa023AA032058,Leoti,50,S5,11066,2016-07-07 07:26:58.091,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287232514720666,0.201062760304466,0.459572023553066,1.2063765618268,2.01062760304466,2.4558380008617,2.78615539279046,2.78615539279046,2.9728565273589,3.5760448082723,3.41806692517593,3.54732155680023,3.11647278471923,2.8005170185265,3.07338790751113,2.91541002441476,2.65690076116616,2.2834984920293,1.95318110010053,1.79520321700416,1.82392646847623,1.62286370817176,1.4648858250754,0.990952175786299,1.09148355593853,1.32126956771507,1.5510555794916,2.2404136148212,3.0590262817751,3.94944707740916,5.37124802527646,6.43400832974293,6.01752118339796,5.25635501938819,4.36593422375413,3.50423667959213,2.0680741059888,0.990952175786299,0.574465029441333,0.143616257360333,0.100531380152233,0.0143616257360333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa023AA032058,Leoti,50,S5,15526,2016-07-16 10:41:17.431,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131995776135164,0.158394931362196,0.527983104540655,1.13516367476241,1.72914466737064,2.46832101372756,3.28669482576558,3.4714889123548,3.5506863780359,3.98627243928194,2.85110876451954,2.66631467793031,2.78511087645195,2.40232312565998,2.16473072861668,2.3363252375924,1.95353748680042,2.21752903907075,2.00633579725449,1.67634635691658,1.63674762407603,1.74234424498416,1.59714889123548,1.70274551214361,1.54435058078142,1.50475184794087,0.910770855332629,1.06916578669483,1.31995776135164,1.04276663146779,1.24076029567054,1.4519535374868,2.23072861668427,2.8247096092925,4.01267159450898,4.10506863780359,4.93664202745512,5.33262935586061,5.34582893347413,4.42185850052798,2.7455121436114,1.91393875395987,1.13516367476241,0.501583949313622,0.211193241816262,0.131995776135164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa023AA032058,Leoti,50,S5,15774,2016-07-15 13:56:04.546,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373761913660998,0.112128574098299,0.317697626611848,1.36423098486264,3.23304055316763,7.13885255092506,8.2788263875911,7.84900018688096,7.47523827321996,6.39132872360307,6.29788824518782,5.36348346103532,5.36348346103532,5.58774060923192,4.82152868622687,5.34479536535227,4.70940011212857,4.13006914595403,3.43860960568118,3.08353578770323,2.41076434311344,1.98093814240329,1.43898336759484,1.25210241076434,1.00915716688469,0.467202392076247,0.523266679125397,0.261633339562699,0.0747523827321996,0.0560642870491497,0.0560642870491497,0.0747523827321996,0.0186880956830499,0,0,0,0.0186880956830499,0,0,0.0186880956830499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa023AA032058,Leoti,50,S5,16938,2016-07-15 13:56:04.546,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371085052694077,0,0.00742170105388155,0.0222651031616447,0.126168917915986,0.486121419029241,1.36930384444115,3.9038147543417,7.7630993023601,11.9303844441146,13.1475434169512,11.2550096482114,9.28454801840582,6.57191628321211,5.4697936767107,4.41962297758646,4.26747810598189,3.35089802582752,2.84251150363663,2.14487160457177,1.62535253080006,1.34332789075256,1.07985750333977,0.972242838058483,0.916580080154371,0.808965414873089,0.7644352085498,0.76814605907674,0.675374795903221,0.641977141160754,0.437880362179011,0.374795903221018,0.274602938993617,0.215229330562565,0.141012320023749,0.141012320023749,0.0593736084310524,0.0964821137004601,0.0630844589579932,0.0705061600118747,0.0482410568502301,0.0259759536885854,0.0296868042155262,0.0111325515808223,0.0148434021077631,0.00742170105388155,0.00371085052694077,0.00742170105388155,0.0148434021077631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa023AA032058,Leoti,50,S5,22018,2016-07-08 20:26:12.879,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01383700013837,0.00922466675891333,0.0784096674507633,0.202942668696093,0.558092338914257,1.3514136801808,2.71666436049998,4.736866380702,6.04215672708823,6.46649139799825,5.95913472625801,4.7045800470458,3.80056270467229,3.20557169872238,3.04875236382086,3.02569069692357,2.74895069415617,2.35690235690236,2.6290300262903,2.6613163599465,2.59213135925465,2.31077902310779,2.57368202573682,2.36151469028181,2.34767769014344,1.94179235275126,1.68811401688114,1.42982334763157,1.04238734375721,0.89940500899405,0.87173100871731,0.94091600940916,0.876343342096767,0.765647340989807,1.15308334486417,1.25916701259167,1.68811401688114,1.89105668557723,2.20469535538029,2.01558968682256,2.08016235413496,1.84032101840321,1.52668234860016,1.29606567962732,1.11618467782851,0.87173100871731,0.60882800608828,0.558092338914257,0.34592500345925,0.198330335316637,0.156819334901527,0.11069600110696,0.04151100041511,0.0461233337945667,0.0230616668972833,0.00461233337945667,0.00461233337945667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa023AA032058,Leoti,50,S5,22310,2016-07-17 07:26:21.348,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046583850931677,0.124223602484472,0.279503105590062,0.62111801242236,1.66149068322981,2.43788819875776,2.37577639751553,3.01242236024845,2.81055900621118,3.3695652173913,3.40062111801242,2.74844720496894,3.47826086956522,3.22981366459627,2.93478260869565,2.8416149068323,2.32919254658385,2.37577639751553,1.87888198757764,1.5527950310559,1.11801242236025,0.885093167701863,0.605590062111801,0.93167701863354,0.807453416149068,1.11801242236025,1.44409937888199,1.73913043478261,2.65527950310559,2.65527950310559,3.27639751552795,4.16149068322981,6.04037267080745,6.47515527950311,6.07142857142857,5.8695652173913,4.3944099378882,2.53105590062112,1.87888198757764,0.854037267080745,0.481366459627329,0.295031055900621,0.031055900621118,0.077639751552795,0.046583850931677,0.031055900621118,0.015527950310559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Fa023AA032058,Leoti,50,S5,22624,2016-07-08 20:26:12.879,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00867152271938952,0.0953867499132848,0.37287547693375,0.633021158515435,1.36142906694416,2.17655220256677,2.08983697537288,2.95698924731183,3.82414151925078,4.36177592785293,5.15955601803677,5.17689906347555,5.30697190426639,4.89941033645508,4.60457856399584,4.19701699618453,3.79812695109261,3.52063822407215,2.93097467915366,2.95698924731183,2.28928199791883,2.12452306625043,1.64758931668401,1.26604231703087,1.01456815816857,0.650364203954214,0.815123135622615,0.641692681234825,1.03191120360735,1.30072840790843,1.76899063475546,2.24592438432189,2.8962885882761,3.29517863336802,3.8935137010059,3.77211238293444,3.32119320152619,2.32396808879639,1.61290322580645,0.945195976413458,0.416233090530697,0.18210197710718,0.0780437044745057,0.0346860908775581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa023AA032058,Leoti,50,S5,22942,2016-07-16 10:41:17.431,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163723541106303,0.100573032393872,0.350836159513507,0.881768214243948,2.08396678751023,3.68144076716174,5.41691030288855,7.32312010291194,8.31013916500994,8.649280785873,7.38860951935446,6.09987136007484,5.20874751491054,4.45561922582154,3.80306396912642,3.39375511636066,3.01251315635598,2.73418313647527,2.3272131914396,2.20792889720501,2.08630569524032,1.67465793474447,1.55537364050988,1.39165009940358,1.07355864811133,1.02911940123962,0.909835107005029,0.886446029704128,0.926207461115659,0.98935796982809,1.20921529645655,1.29575488246989,1.32616068296106,1.3635832066425,1.27470471289908,1.14372588001403,0.778856274119986,0.582388024792422,0.463103730557829,0.238568588469185,0.137995556075313,0.0771839550929716,0.0561337855221611,0.0233890773009005,0.0444392468717109,0.0116945386504502,0,0.0046778154601801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
