Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa023AA032058,Leoti,50,S5,1276,2016-07-20 15:40:21.71,SV,VIS,256,hue,0,0,0,0,0,0,0,0.0253742704897234,0.0507485409794468,0.101497081958894,0.0761228114691703,0.202994163917787,0.228368434407511,0.355239786856128,0.279116975386958,0.685105303222532,0.786602385181426,1.39558487693479,1.192590713017,1.06571936056838,1.29408779497589,1.11646790154783,1.54783049987313,0.938848008119767,1.39558487693479,1.31946206546562,0.88809946714032,0.837350926160873,0.96422227860949,0.710479573712256,1.21796498350672,1.09109363105811,0.913473737630043,1.11646790154783,0.710479573712256,1.06571936056838,1.42095914742451,1.64932758183202,2.30905861456483,3.55239786856128,3.34940370464349,3.65389495052017,4.94798274549607,4.74498858157828,5.70921086018777,5.60771377822888,6.8256787617356,6.19132199949251,6.0644506470439,5.07485409794468,4.64349149961939,3.40015224562294,2.58817558995179,1.64932758183202,0.88809946714032,0.735853844201979,0.634356762243085,0.228368434407511,0.126871352448617,0.101497081958894,0.0507485409794468,0.0253742704897234,0.0253742704897234,0.0253742704897234,0.0507485409794468,0.0253742704897234,0.0507485409794468,0,0.0253742704897234,0,0.0253742704897234,0.0253742704897234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa023AA032058,Leoti,50,S5,8354,2016-07-20 15:40:21.71,SV,VIS,256,hue,0,0,0,0.0219418540866703,0.0329127811300055,0.0767964893033461,0.120680197476687,0.219418540866703,0.471749862863412,1.09709270433352,2.2161272627537,4.64070213933077,6.18760285244103,6.51673066374109,5.03565551289084,3.44487109160724,2.10641799232035,1.26165660998354,0.976412506856829,0.833790455293472,0.866703236423478,0.965441579813494,1.19583104772353,1.38233680746023,1.67855183763028,2.22709818979704,2.28195282501371,2.47942951179375,2.61108063631377,3.09380142622052,2.84147010422381,2.66593527153044,2.42457487657707,2.35874931431706,2.16127262753703,2.81952825013714,2.75370268787713,3.4009873834339,3.26933625891388,3.34613274821722,3.78496982995063,4.64070213933077,3.70817334064728,2.4026330224904,1.16291826659353,0.526604498080088,0.36204059243006,0.296215030170049,0.175534832693363,0.0987383433900165,0.131651124520022,0.120680197476687,0.065825562260011,0.0877674163466813,0.0329127811300055,0.065825562260011,0.0548546352166758,0.0438837081733406,0.0219418540866703,0.0219418540866703,0.0438837081733406,0,0.0219418540866703,0.0109709270433352,0.0109709270433352,0,0.0109709270433352,0.0109709270433352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa023AA032058,Leoti,50,S5,11066,2016-07-07 07:26:58.091,SV,VIS,256,hue,0,0,0,0,0,0.0718081286801666,0.244147637512566,0.416487146344966,1.39307769639523,2.64253913543013,5.39997127674853,8.34410455263536,9.36377997989372,8.41591268131553,5.3856096510125,2.87232514720666,1.56541720522763,1.27818469050697,0.789889415481832,0.919144047106132,1.27818469050697,1.22073818756283,1.3356311934511,1.60850208243573,1.78084159126813,1.4218009478673,1.8957345971564,1.96754272583656,1.92445784862846,2.1973287376131,1.5079707022835,1.8957345971564,1.83828809421226,1.9819043515726,2.3265833692374,2.29786011776533,3.00157977883096,2.77179376705443,2.9728565273589,2.68562401263823,3.13083441045526,2.1973287376131,1.49360907654747,1.23509981329887,0.818612666953899,0.3877638948729,0.315955766192733,0.359040643400833,0.2154243860405,0.186701134568433,0.1292546316243,0.1292546316243,0.114893005888267,0.0430848772081,0.0430848772081,0.0574465029441333,0.0574465029441333,0,0.0143616257360333,0,0,0.0287232514720666,0.0143616257360333,0,0,0.0143616257360333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa023AA032058,Leoti,50,S5,15526,2016-07-16 10:41:17.431,SV,VIS,256,hue,0,0,0,0,0.0131995776135164,0.105596620908131,0.224392819429778,0.541182682154171,1.31995776135164,2.78511087645195,5.09503695881732,7.86694825765576,8.57972544878564,6.83738120380148,4.36906019007392,2.66631467793031,1.51795142555438,0.963569165786695,0.950369588173178,1.00316789862724,1.10876451953537,0.778775079197466,0.857972544878564,1.51795142555438,1.28035902851109,1.63674762407603,1.47835269271383,1.46515311510032,1.54435058078142,1.59714889123548,1.34635691657867,1.54435058078142,1.39915522703273,1.91393875395987,2.05913410770855,1.94033790918691,2.53431890179514,3.12829989440338,3.65628299894403,4.68585005279831,5.25343189017951,4.76504751847941,3.19429778247096,1.68954593453009,0.831573389651531,0.395987328405491,0.263991552270327,0.197993664202746,0.118796198521647,0.171594508975713,0.118796198521647,0.0659978880675818,0.0395987328405491,0.0395987328405491,0.0527983104540655,0,0.0395987328405491,0.105596620908131,0.0527983104540655,0.0395987328405491,0.0527983104540655,0.0395987328405491,0.0395987328405491,0,0.0263991552270327,0.0527983104540655,0.0131995776135164,0,0.0131995776135164,0.0131995776135164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa023AA032058,Leoti,50,S5,15774,2016-07-15 13:56:04.546,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0.0373761913660998,0,0,0,0,0.0560642870491497,0,0.0934404784152495,0.130816669781349,0.261633339562699,0.224257148196599,0.280321435245748,0.355073817977948,0.579330966174547,0.953092879835545,0.934404784152495,1.15866193234909,1.25210241076434,1.36423098486264,1.81274528125584,2.57895720426089,2.13044290786769,2.26125957764904,2.35470005606429,2.27994767333209,2.84059054382358,3.83105961502523,4.80284059054382,5.88675014016072,9.5496168940385,12.1659502896655,13.5488693702112,10.5774621566062,7.23229302934031,3.49467389273033,1.81274528125584,0.840964305737245,0.579330966174547,0.485890487759297,0.280321435245748,0.130816669781349,0.130816669781349,0.0747523827321996,0.149504765464399,0.112128574098299,0.130816669781349,0,0.0560642870491497,0.0373761913660998,0.0747523827321996,0.0186880956830499,0,0.0373761913660998,0.0186880956830499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa023AA032058,Leoti,50,S5,16938,2016-07-15 13:56:04.546,SV,VIS,256,hue,0,0,0,0,0,0,0.00371085052694077,0.00371085052694077,0.0259759536885854,0.0185542526347039,0.0445302063232893,0.0705061600118747,0.0519519073771708,0.081638711592697,0.0779278610657563,0.14472317055069,0.14472317055069,0.178120825293157,0.282024640047499,0.311711444263025,0.426747810598189,0.471278016921478,0.593736084310524,0.760724358022859,0.723615852753451,0.649398842214636,0.712483301172629,0.705061600118747,0.771856909603681,0.738459254861214,0.786700311711444,0.81267626540003,0.760724358022859,0.946266884369898,0.942556033842957,1.20602642125575,1.43981000445302,1.94077482559003,2.71634258572065,3.58468160902479,5.51061303250705,9.06189698678937,12.8543862253228,14.5094255603384,12.3905299094552,7.37345999703132,4.82781653554995,3.38429568056999,2.16713670773341,1.49918361288407,1.17262876651328,0.630844589579932,0.404482707436544,0.23749443372421,0.174409974766216,0.115036366335164,0.081638711592697,0.0705061600118747,0.0667953094849339,0.0482410568502301,0.0593736084310524,0.0408193557963485,0.0222651031616447,0.0222651031616447,0.0519519073771708,0.0222651031616447,0.0148434021077631,0.0222651031616447,0.00742170105388155,0.00742170105388155,0.00742170105388155,0.00742170105388155,0.00371085052694077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa023AA032058,Leoti,50,S5,22018,2016-07-08 20:26:12.879,SV,VIS,256,hue,0.00461233337945667,0.01383700013837,0.01383700013837,0.0184493335178267,0.05534800055348,0.106083667727503,0.16604400166044,0.31825100318251,0.585766339190997,1.08851067755177,1.61892901618929,3.0441400304414,3.75905170425718,3.77750103777501,3.21018403210184,2.14934735482681,1.42521101425211,1.02393801023938,0.98242700982427,0.880955675476224,0.908629675752963,0.973202343065357,1.43904801439048,1.51284534846179,1.98791568654582,1.94179235275126,2.30155435634888,2.41225035745584,2.22314468889811,2.30616668972833,2.52755869194225,2.12628568792952,2.36151469028181,2.43531202435312,2.61058069277247,3.27014436603478,3.98505603985056,4.75070338084037,6.81702873483695,7.67031041003644,7.31054840643882,4.80605138139385,2.39841335731747,0.991651676583183,0.544255338775887,0.382823670494903,0.24906600249066,0.253678335870117,0.24906600249066,0.230616668972833,0.17988100179881,0.17988100179881,0.170656335039897,0.119920667865873,0.1383700013837,0.161431668280983,0.142982334763157,0.09685900096859,0.08302200083022,0.101471334348047,0.0599603339329367,0.0922466675891333,0.0645726673123933,0.05534800055348,0.0461233337945667,0.0368986670356533,0.0322863336561967,0.00922466675891333,0.00922466675891333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa023AA032058,Leoti,50,S5,22310,2016-07-17 07:26:21.348,SV,VIS,256,hue,0,0,0,0.031055900621118,0.062111801242236,0.093167701863354,0.217391304347826,0.388198757763975,0.885093167701863,1.77018633540373,4.11490683229814,8.02795031055901,10.7142857142857,10.5124223602484,7.08074534161491,3.75776397515528,2.26708074534162,1.50621118012422,0.822981366459627,0.683229813664596,0.636645962732919,0.527950310559006,0.698757763975155,0.77639751552795,1.31987577639752,1.6304347826087,1.72360248447205,2.12732919254658,2.70186335403727,3.12111801242236,3.24534161490683,3.40062111801242,3.1055900621118,3.1832298136646,3.47826086956522,2.98136645962733,2.95031055900621,2.63975155279503,1.94099378881988,1.30434782608696,0.869565217391304,0.590062111801242,0.388198757763975,0.403726708074534,0.31055900621118,0.15527950310559,0.263975155279503,0.201863354037267,0.108695652173913,0.077639751552795,0.046583850931677,0.062111801242236,0.015527950310559,0.046583850931677,0.015527950310559,0,0,0,0,0,0.015527950310559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Fa023AA032058,Leoti,50,S5,22624,2016-07-08 20:26:12.879,SV,VIS,256,hue,0,0,0,0,0.00867152271938952,0.0607006590357267,0.0607006590357267,0.277488727020465,0.72840790842872,1.43947277141866,2.55809920221991,4.61325008671523,5.80992022199098,5.66250433576136,3.76344086021505,2.25459590704128,1.1619840443982,1.01456815816857,0.73707943114811,0.442247658688866,0.685050294831772,0.72840790842872,1.01456815816857,1.06659729448491,1.38744363510232,1.66493236212279,1.74297606659729,1.86437738466875,2.0724939299341,2.46271245230662,1.93374956642386,2.25459590704128,2.28061047519944,2.39334027055151,2.64481442941381,2.57544224765869,3.07839056538328,3.09573361082206,3.806798473812,3.88484217828651,4.28373222337843,4.70863683662851,4.68262226847034,4.24904613250087,3.04370447450572,1.97710718002081,1.08394033992369,0.780437044745057,0.502948317724592,0.338189386056191,0.286160249739854,0.225459590704128,0.121401318071453,0.138744363510232,0.0867152271938953,0.121401318071453,0.0260145681581686,0.0346860908775581,0.017343045438779,0.00867152271938952,0.0260145681581686,0.017343045438779,0,0,0,0.00867152271938952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa023AA032058,Leoti,50,S5,22942,2016-07-16 10:41:17.431,SV,VIS,256,hue,0,0.00233890773009005,0.0046778154601801,0.00701672319027014,0.0187112618407204,0.0280668927610806,0.0514559700619811,0.140334463805403,0.318091451292247,0.580049117062332,0.935563092036019,1.56706817916033,1.8103145830897,1.92492106186411,1.59045725646123,1.27938252835926,1.02911940123962,1.09460881768214,1.18114840369547,1.18816512688574,1.35422757572214,1.63489650333294,1.74248625891709,2.06057771020933,2.13074494211203,2.09800023389077,2.25938486726699,2.31084083732897,2.24535142088645,2.40205823880248,2.35528008420068,2.45819202432464,2.38100806923167,2.45117530113437,2.60554321132031,3.16921997427201,3.53876739562624,4.03695474213542,4.32931820839668,4.42053560987019,4.42989124079055,4.57724242778622,4.8649280785873,4.7713717693837,4.53280318091451,3.77265816863525,2.25938486726699,1.48286750087709,0.905157291544848,0.50052625423927,0.313413635832066,0.175418079756754,0.149690094725763,0.100573032393872,0.0771839550929716,0.0421003391416209,0.0584726932522512,0.0397614314115308,0.046778154601801,0.0210501695708104,0.0187112618407204,0.0210501695708104,0.0233890773009005,0.0210501695708104,0.0187112618407204,0.0140334463805403,0.00935563092036019,0.00701672319027014,0.0046778154601801,0.00233890773009005,0.00233890773009005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
