Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa008AA032043,M81e,50,E8,1394,2016-07-17 07:22:37.612,SV,VIS,256,hue,0,0,0,0.0108589423390162,0.0434357693560647,0.0542947116950809,0.152025192746227,0.553806059289825,1.02074057986752,2.69301770007601,4.90824193723531,8.20936040829623,9.28439569985883,8.42653925507656,5.33174068845694,3.24682375936584,2.01976327505701,1.23791942664784,0.879574329460311,0.760125963731133,0.727549136714084,0.716690194375068,0.445216635899663,0.82527961776523,0.749267021392116,0.640677598001955,0.716690194375068,0.727549136714084,0.96644586817244,0.923010098816375,0.651536540340971,0.96644586817244,0.977304810511456,1.16190683027473,1.34650885003801,1.70485394722554,2.01976327505701,2.00890433271799,2.47583885329569,3.02964491258551,4.10468020414812,4.79965251384515,4.78879357150613,4.51732001303073,4.16983385818221,1.9437506786839,1.23791942664784,0.575523943967858,0.336627212509502,0.184602019763275,0.14116625040721,0.0542947116950809,0.0760125963731133,0.0760125963731133,0.0217178846780324,0.0651536540340971,0.0325768270170485,0.0542947116950809,0.0651536540340971,0.0542947116950809,0.0217178846780324,0.0434357693560647,0.0108589423390162,0.0108589423390162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Fa008AA032043,M81e,50,E8,4464,2016-07-03 20:22:17.602,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0.0357909806728704,0.0715819613457409,0.0357909806728704,0.107372942018611,0.143163922691482,0.429491768074445,0.393700787401575,0.393700787401575,0.751610594130279,0.894774516821761,1.07372942018611,1.75375805297065,1.96850393700787,1.96850393700787,2.07587687902649,2.64853256979241,2.25483178239084,3.18539727988547,2.43378668575519,2.25483178239084,2.5411596277738,2.25483178239084,1.86113099498926,2.5411596277738,2.07587687902649,2.82748747315676,3.43593414459556,3.22118826055834,4.61703650680029,5.61918396564066,8.69720830350752,8.62562634216177,7.30136005726557,5.47602004294918,3.90121689334288,2.82748747315676,1.86113099498926,1.43163922691482,0.680028632784538,0.82319255547602,0.286327845382963,0.393700787401575,0.143163922691482,0.178954903364352,0.107372942018611,0.0357909806728704,0.178954903364352,0.0715819613457409,0.0357909806728704,0.107372942018611,0.143163922691482,0.0715819613457409,0.143163922691482,0.0715819613457409,0.0357909806728704,0.107372942018611,0.178954903364352,0.0715819613457409,0.107372942018611,0.0357909806728704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa008AA032043,M81e,50,E8,6526,2016-07-02 07:22:38.92,SV,VIS,256,hue,0,0,0,0,0.0263991552270327,0.0131995776135164,0.0923970432946146,0.14519535374868,0.369588173178458,0.805174234424498,1.80834213305174,3.56388595564942,4.87064413938754,5.39862724392819,4.02587117212249,2.54751847940866,1.34635691657867,1.01636747624076,0.765575501583949,0.633579725448786,0.607180570221753,0.475184794086589,1.02956705385428,1.17476240760296,1.22756071805702,1.610348468849,1.75554382259768,1.79514255543823,2.13833157338965,2.67951425554382,2.13833157338965,2.57391763463569,2.79831045406547,2.50791974656811,2.62671594508976,2.91710665258712,3.28669482576558,3.90707497360084,5.53062302006336,6.73178458289335,6.16420274551214,5.57022175290391,3.95987328405491,2.85110876451954,1.66314677930306,0.514783526927138,0.343189017951426,0.303590285110876,0.29039070749736,0.237592397043295,0.184794086589229,0.158394931362196,0.158394931362196,0.14519535374868,0.131995776135164,0.131995776135164,0.0527983104540655,0.0263991552270327,0.0263991552270327,0.0131995776135164,0.0659978880675818,0.0263991552270327,0.0131995776135164,0,0.0131995776135164,0.0131995776135164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa008AA032043,M81e,50,E8,8204,2016-07-11 10:37:26.446,SV,VIS,256,hue,0,0,0,0,0,0.0306541597694807,0.104224143216234,0.165532462755196,0.392373245049353,0.827662313775979,1.53883882042793,2.11513702409417,1.92508123352339,1.79633376249157,1.14033474342468,0.766353994237018,0.600821531481822,0.888970633314941,0.93801728894611,1.09128808779351,1.47139966893507,1.7534179388143,1.80859542639936,2.12126785604807,2.29293115075716,2.36650113420391,2.36037030225002,2.09061369627858,1.92508123352339,2.15805284777144,1.76567960272209,2.05382870455521,1.9005579057078,2.04769787260131,2.41554778983508,2.63012690822145,3.05315431304028,3.27386426338054,3.6539758445221,3.39035007050457,3.29838759119613,3.62945251670652,4.40193734289743,5.86720617987861,7.12402673042732,5.60358040586108,4.19348905646496,2.03543620869352,1.06063392802403,0.472074060450003,0.19005579057078,0.1594016308013,0.183924958616884,0.141009134939611,0.1594016308013,0.0551774875850653,0.0919624793084422,0.0980933112623383,0.0367849917233769,0.0797008154006499,0.0613083195389614,0.042915823677273,0.042915823677273,0.0367849917233769,0.00613083195389614,0.0183924958616884,0.0245233278155846,0.0122616639077923,0.00613083195389614,0.0122616639077923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Fa008AA032043,M81e,50,E8,8368,2016-07-05 14:32:24.677,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0.0737463126843658,0.147492625368732,0.221238938053097,0.51622418879056,0.51622418879056,0.663716814159292,0.884955752212389,1.10619469026549,0.663716814159292,0.442477876106195,0.663716814159292,0.442477876106195,1.17994100294985,0.811209439528024,1.10619469026549,1.54867256637168,2.43362831858407,1.76991150442478,2.21238938053097,2.3598820058997,2.65486725663717,2.87610619469027,3.39233038348083,3.53982300884956,4.42477876106195,4.86725663716814,4.79351032448378,4.94100294985251,6.19469026548673,6.78466076696165,8.11209439528024,7.52212389380531,7.81710914454277,6.12094395280236,1.62241887905605,1.76991150442478,1.03244837758112,0.442477876106195,0.294985250737463,0.221238938053097,0.442477876106195,0.0737463126843658,0.0737463126843658,0,0,0.0737463126843658,0.0737463126843658,0,0,0,0,0.0737463126843658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa008AA032043,M81e,50,E8,10060,2016-07-18 20:22:23.691,SV,VIS,256,hue,0,0,0.00467027834858958,0,0.0140108350457687,0.00467027834858958,0.00467027834858958,0.0420325051373062,0.0513730618344853,0.0653838968802541,0.116756958714739,0.2241733607323,0.284886979263964,0.523071175042032,0.76592564916869,0.868671772837661,0.667849803848309,0.54642256678498,0.742574257425743,0.910704277974967,1.00410984494676,1.20493181393611,1.50849990659443,1.97552774145339,2.31645806090043,2.241733607323,2.79749673080516,3.16177844199514,3.63347655520269,3.76891462731179,4.44143470950869,3.44666542125911,3.34391929759014,3.4513356996077,3.83896880254063,4.32467775079395,4.36203997758266,4.60022417336073,5.06725200821969,6.81393611059219,7.72931066691575,7.24360171866243,4.62824584345227,2.43788529796376,0.821968989351765,0.467027834858958,0.373622267887166,0.33158976274986,0.354941154492808,0.214832804035121,0.205492247337941,0.172800298897814,0.154119185503456,0.177470577246404,0.191481412292173,0.126097515411919,0.149448907154866,0.168130020549225,0.149448907154866,0.121427237063329,0.140108350457687,0.10741640201756,0.0934055669717915,0.0934055669717915,0.0607136185316645,0.0700541752288436,0.0280216700915375,0.0280216700915375,0.00467027834858958,0.00934055669717915,0.00467027834858958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Fa008AA032043,M81e,50,E8,10360,2016-07-07 07:23:14.904,SV,VIS,256,hue,0,0,0,0,0.0405022276225192,0.0810044552450385,0.0810044552450385,0.50627784528149,1.07330903199676,2.28837586067234,4.07047387606318,8.03969218307007,9.25475901174565,9.05224787363305,6.58161198865938,3.86796273795059,2.3086269744836,1.88335358444714,1.57958687727825,1.19481571486432,0.992304576751721,1.03280680437424,0.931551235317942,1.03280680437424,0.891049007695423,1.19481571486432,1.03280680437424,0.951802349129202,1.1543134872418,1.98460915350344,1.39732685297691,2.12636695018226,2.06561360874848,2.93641150263264,3.30093155123532,3.32118266504658,4.65775617658971,4.61725394896719,3.70595382746051,3.28068043742406,1.70109356014581,1.03280680437424,0.607533414337789,0.52652895909275,0.324017820980154,0.141757796678817,0.141757796678817,0.263264479546375,0.101255569056298,0.141757796678817,0.101255569056298,0.0607533414337789,0.121506682867558,0.101255569056298,0.0405022276225192,0.0202511138112596,0.0202511138112596,0.0405022276225192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa008AA032043,M81e,50,E8,11978,2016-07-13 20:22:35.42,SV,VIS,256,hue,0,0,0,0,0,0,0.0146468641063948,0.0585874564255793,0.0410112194979055,0.0585874564255793,0.0732343205319741,0.111316167208601,0.137680522600111,0.190409233383133,0.205056097489527,0.28414916366406,0.325160383161965,0.415970940621613,0.439405923191845,0.489205261153587,0.673755748894162,0.632744529396256,0.65032076632393,0.811436271494273,0.782142543281483,0.867094355098573,0.887599964847526,0.817295017136831,0.767495679175089,0.782142543281483,1.09265606233705,0.864164982277294,0.829012508421947,0.943258048451826,1.0867973166945,1.1834666197967,1.37680522600111,1.61408442452471,2.06227846618039,2.5895655740106,3.70565661891789,4.9711456777104,5.81187567741746,6.38017400474558,6.48563142631163,5.93490933591118,5.63318393531945,5.76207633945572,5.9319799630899,5.6536895450684,5.29923543369365,4.35304801242054,3.20766323930047,2.58370682836805,1.57600257784808,0.957904912558221,0.533145853472772,0.354454111374755,0.164044877991622,0.143539268242669,0.0585874564255793,0.0673755748894162,0.0527287107830214,0.0497993379617424,0.0263643553915107,0.0263643553915107,0.0380818466766265,0.0292937282127896,0.00878811846383689,0.0117174912851159,0.0175762369276738,0.00292937282127896,0.00585874564255793,0.00292937282127896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Fa008AA032043,M81e,50,E8,12468,2016-07-14 17:07:25.986,SV,VIS,256,hue,0,0,0,0,0.00225311493139265,0.00225311493139265,0.0045062298627853,0.0112655746569633,0.0135186895883559,0.0337967239708898,0.051821643422031,0.0833652524615281,0.105896401775455,0.196020999031161,0.254601987247369,0.371763963679787,0.495685284906383,0.509203974494739,0.63763152558412,0.720996778045648,0.876461708311741,1.00714237433251,1.18063222404975,1.36313453349255,1.36313453349255,1.43748732622851,1.44424667102269,1.2572381317171,1.36989387828673,1.3180722348647,1.80699817497691,1.22344140774621,1.23696009733457,1.30004731541356,1.28202239596242,1.50733388910168,1.53887749814118,1.67631750895613,2.23283689701012,2.58432282630737,3.34587567311809,4.54002658675619,5.23173287069373,6.53628641597008,7.3271297568889,7.64707207714665,7.44429173332132,7.09731203388685,5.65081224793277,4.35977739224478,3.09127368587072,2.03230966811617,1.06347024761733,0.811121375301354,0.428091836964604,0.247842642453192,0.14419935560913,0.0923777121870987,0.0653403330103869,0.0698465628731722,0.0428091836964604,0.0315436090394971,0.0495685284906383,0.0383029538336751,0.0360498389022824,0.0292904941081045,0.0157718045197486,0.00675934479417795,0.0112655746569633,0.00225311493139265,0.00225311493139265,0.00225311493139265,0,0.0045062298627853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa008AA032043,M81e,50,E8,12816,2016-07-11 10:37:26.446,SV,VIS,256,hue,0,0,0,0.013412017167382,0.0268240343347639,0.13412017167382,0.214592274678112,0.563304721030043,1.43508583690987,2.89699570815451,5.9549356223176,11.0515021459227,12.7950643776824,10.9173819742489,6.63894849785408,4.15772532188841,2.37392703862661,1.91791845493562,1.23390557939914,1.24731759656652,1.28755364806867,1.193669527897,1.39484978540773,1.64967811158798,2.03862660944206,1.95815450643777,2.3068669527897,2.10568669527897,2.11909871244635,2.13251072961373,1.54238197424893,1.97156652360515,1.70332618025751,1.47532188841202,1.6362660944206,1.31437768240343,1.77038626609442,1.3412017167382,1.20708154506438,0.965665236051502,0.898605150214592,0.241416309012876,0.469420600858369,0.442596566523605,0.187768240343348,0.160944206008584,0.214592274678112,0.107296137339056,0.160944206008584,0.0670600858369099,0.0536480686695279,0.0670600858369099,0.0402360515021459,0.0804721030042918,0.0268240343347639,0,0.013412017167382,0.013412017167382,0.013412017167382,0.013412017167382,0.013412017167382,0.013412017167382,0,0.013412017167382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
