Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa007AA032042,NTJ2,50,E7,576,2016-07-11 10:55:19.185,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341180484476288,0.170590242238144,0.42647560559536,1.14295462299556,2.0129648584101,3.25827362674855,3.10474240873422,3.56533606277721,3.29239167519618,3.19003752985329,2.848857045377,3.10474240873422,3.08768338451041,3.34356874786762,3.49709996588195,3.00238826339133,3.22415557830092,2.50767656090072,2.2517911975435,2.11531900375299,1.87649266461958,1.67178437393381,1.36472193790515,1.45001705902422,1.07471852610031,1.04060047765268,1.02354145342886,0.938246332309792,1.34766291368134,1.24530876833845,1.80825656772433,2.3712043671102,2.79767997270556,3.65063118389628,4.3841692255203,4.29887410440123,4.53770044353463,3.80416240191061,3.51415899010577,2.64414875469123,1.96178778573866,0.870010235414534,0.562947799385875,0.290003411804845,0.170590242238144,0.0682360968952576,0.0341180484476288,0.0170590242238144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Fa007AA032042,NTJ2,50,E7,6134,2016-07-02 07:40:38.895,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895455563017685,0.391761808820237,1.0073875083949,2.69755988359078,3.72733378106112,4.65636892769196,4.66756212222968,4.79068726214462,4.58920976046564,4.42131184239982,5.0481307365122,4.86903962390866,4.79068726214462,4.98097156928587,4.64517573315424,4.92500559659727,4.11909558988135,3.95119767181554,3.5594358629953,3.07812849787329,2.88784419073203,2.14909335124244,1.80210432057309,1.53346765166779,1.14170584284755,1.01858070293262,0.884262368479964,0.884262368479964,1.09693306469666,1.28721737183792,1.89164987687486,1.81329751511081,1.7013655697336,1.53346765166779,1.08573987015894,0.693978061338706,0.470114170584285,0.335795836131632,0.223863890754421,0.145511528990374,0.2126706962167,0.0783523617640475,0,0.0335795836131632,0.0447727781508843,0.0223863890754421,0.0111931945377211,0,0.0111931945377211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa007AA032042,NTJ2,50,E7,6514,2016-07-05 14:50:19.557,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743494423791822,0.223048327137546,0.892193308550186,2.23048327137546,4.23791821561338,5.94795539033457,7.95539033457249,7.21189591078067,9.44237918215613,5.87360594795539,7.5092936802974,6.46840148698885,6.09665427509294,3.86617100371747,4.75836431226766,3.49442379182156,4.23791821561338,3.27137546468401,3.19702602230483,3.3457249070632,2.30483271375465,1.63568773234201,2.15613382899628,1.11524163568773,0.817843866171004,0.817843866171004,0.446096654275093,0.148698884758364,0.148698884758364,0.0743494423791822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa007AA032042,NTJ2,50,E7,7396,2016-07-14 17:25:18.591,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094488188976378,0.125984251968504,0.377952755905512,1.10236220472441,1.51181102362205,1.95275590551181,1.54330708661417,1.63779527559055,1.51181102362205,1.79527559055118,2.04724409448819,2.4251968503937,2.48818897637795,2.5511811023622,2.4251968503937,1.95275590551181,2.14173228346457,1.4488188976378,1.73228346456693,1.63779527559055,1.35433070866142,1.60629921259843,1.88976377952756,2.89763779527559,3.46456692913386,4.62992125984252,5.85826771653543,7.55905511811024,8.62992125984252,8.78740157480315,7.62204724409449,6.04724409448819,3.55905511811024,1.95275590551181,1.03937007874016,0.377952755905512,0.188976377952756,0,0,0.031496062992126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa007AA032042,NTJ2,50,E7,10984,2016-07-05 14:50:19.557,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196850393700787,0,0.0196850393700787,0.137795275590551,0.62992125984252,1.39763779527559,3.07086614173228,4.37007874015748,5.29527559055118,5.17716535433071,4.4488188976378,4.0748031496063,2.95275590551181,2.26377952755906,2.08661417322835,1.61417322834646,1.83070866141732,1.79133858267717,1.69291338582677,1.63385826771654,1.73228346456693,1.49606299212598,1.27952755905512,1.10236220472441,1.00393700787402,0.649606299212598,0.767716535433071,0.649606299212598,1.14173228346457,1.24015748031496,2.24409448818898,2.97244094488189,3.7992125984252,4.56692913385827,5.5511811023622,6.14173228346457,5.96456692913386,5.25590551181102,3.54330708661417,2.24409448818898,1.00393700787402,0.610236220472441,0.275590551181102,0.196850393700787,0.0196850393700787,0.0196850393700787,0.0196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa007AA032042,NTJ2,50,E7,11560,2016-07-07 07:41:13.834,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101615689462453,0.0101615689462453,0.162585103139925,0.487755309419774,1.12793415303323,1.99166751346408,2.73346204653999,2.8045930291637,3.81058835484199,4.45076719845544,5.64983233411239,5.13159231785388,4.4406056295092,3.8817193374657,3.50574128645463,3.37364089015344,2.97733970124987,3.22121735595976,3.01798597703485,2.90620871862616,2.61152321918504,2.63184635707753,2.21522203028148,1.90021339294787,1.75795142770044,1.48358906615181,1.3006808251194,1.21938827354944,1.19906513565695,1.17874199776445,1.077126308302,1.49375063509806,1.70714358296921,2.30667615079768,2.6013616502388,2.98750127019612,3.23137892490601,3.19073264912102,2.74362361548623,2.2660298750127,1.43278122142059,0.873894929377096,0.548724723097246,0.182908241032415,0.132100396301189,0.0304847068387359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa007AA032042,NTJ2,50,E7,12178,2016-07-08 20:40:24.152,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441189446748434,0.114709256154593,0.520603547163152,1.05885467219624,2.24124238948204,3.944233653931,5.34721609459102,6.23841877702285,6.24724256595782,5.19721168269655,4.16482837730522,4.15600458837025,3.19421159445866,2.98244066001941,2.7618459366452,2.63831289155563,2.79714109238507,2.83243624812494,2.47066090179123,2.25888996735198,2.12653313332745,1.78240536486367,1.55298685255449,1.37651107385511,1.05003088326127,0.926497838171711,0.829436159887056,0.741198270537369,0.926497838171711,1.38533486279008,1.65004853083914,2.10006176652254,2.81478867025501,3.41480631783288,3.57363451866231,3.53833936292244,3.31774463954822,2.37359922350657,1.4647489632048,1.02355951645637,0.529427336098121,0.167651989764405,0.0617665225447807,0.0529427336098121,0,0.00882378893496867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa007AA032042,NTJ2,50,E7,14308,2016-07-04 17:25:18.524,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105671010919338,0.369848538217682,0.880591757661148,2.46565692145121,4.96653751320888,7.62592462134554,7.96054948925678,8.54174004931314,7.20324057766819,6.00563578724903,5.07220852412821,4.64952448045086,4.35012328284607,5.19549137020077,4.64952448045086,4.5262416343783,4.10355759070095,3.31102500880592,2.76505811905601,2.74744628390278,2.39520958083832,1.9196900317013,1.39133497710461,0.774920746741811,0.986262768580486,0.862979922507925,0.29940119760479,0.510743219443466,0.510743219443466,0.405072208524128,0.334624867911236,0.281789362451567,0.334624867911236,0.264177527298344,0.264177527298344,0.211342021838676,0.193730186685453,0.193730186685453,0.193730186685453,0.0880591757661148,0.0528355054596689,0,0.017611835153223,0,0,0.017611835153223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa007AA032042,NTJ2,50,E7,15502,2016-07-15 14:10:17.282,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897953947790392,0.160348919248284,0.711949201462382,1.13527034827785,2.10377782053749,3.02097363863768,4.579565133731,5.7853890064781,6.9527291386056,6.83727791674684,6.09967288820473,5.11833750240523,5.0093002373164,4.23962542492464,3.77782053748958,3.45712269899301,3.06587133602719,2.79007119492015,2.32826630748509,2.37316400487461,2.09736386376756,1.72535437111154,1.52652171124367,1.14168430504778,0.814572509781284,0.788916682701559,0.872298120710666,0.731191071772176,0.942851645179911,1.01340516964916,1.14168430504778,1.44955423000449,1.91135911743955,2.25771278301584,2.41806170226413,2.7195176704509,2.32185235071516,1.80873580912065,1.23789365659675,0.75043294208197,0.365595535886088,0.211660573407735,0.0705535244692451,0.0384837406195882,0.00641395676993137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa007AA032042,NTJ2,50,E7,16560,2016-07-09 19:17:49.632,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198965380023876,0.0397930760047752,0.437723836052527,1.17389574214087,2.04934341424592,3.85992837246319,4.79506565857541,3.82013529645842,3.46199761241544,2.84520493434142,2.46717071229606,2.566653402308,3.00437723836052,2.64623955431755,2.7258257063271,2.66613609231994,3.22323915638679,3.54158376442499,2.70592916832471,2.52686032630322,1.98965380023876,1.73099880620772,1.73099880620772,1.27337843215281,0.935137286112216,0.915240748109829,1.07441305212893,1.1142061281337,1.57182650218862,1.69120573020294,2.48706725029845,2.58654994031039,3.14365300437724,3.62116991643454,3.40230799840828,4.13847990449662,3.89972144846797,3.95941106247513,3.0441703143653,2.22841225626741,1.57182650218862,0.616792678074015,0.437723836052527,0.159172304019101,0.0795861520095503,0,0.0198965380023876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
