Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa007AA032042,NTJ2,50,E7,576,2016-07-11 10:55:19.185,SV,VIS,256,hue,0,0,0.0511770726714432,0.0682360968952576,0.0682360968952576,0.27294438758103,0.27294438758103,0.528829750938246,1.14295462299556,1.99590583418628,3.53121801432958,5.71477311497782,7.60832480382122,6.92596383486865,5.44182872739679,3.13886045718185,1.97884680996247,1.09177755032412,0.835892186966906,0.955305356533606,0.784715114295462,0.921187308085977,0.818833162743091,1.16001364721938,1.38178096212897,1.38178096212897,1.62060730126237,1.85943364039577,2.06414193108154,2.43944046400546,2.20061412487206,2.16649607642443,2.47355851245309,2.69532582736267,3.53121801432958,4.29887410440123,4.75946775844422,5.40771067894916,5.39065165472535,3.20709655407711,1.97884680996247,1.09177755032412,0.665301944728762,0.460593654042989,0.392357557147731,0.221767314909587,0.392357557147731,0.392357557147731,0.375298532923917,0.221767314909587,0.221767314909587,0.358239508700102,0.102354145342886,0.187649266461958,0.0682360968952576,0.085295121119072,0.0682360968952576,0.136472193790515,0.0682360968952576,0.102354145342886,0.0511770726714432,0.0341180484476288,0.0511770726714432,0.0341180484476288,0.0341180484476288,0,0.0170590242238144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Fa007AA032042,NTJ2,50,E7,6134,2016-07-02 07:40:38.895,SV,VIS,256,hue,0,0.0111931945377211,0.0223863890754421,0.0559659726886053,0.0223863890754421,0.0335795836131632,0.156704723528095,0.223863890754421,0.358182225207074,0.805910006715917,1.07454667562122,2.126706962167,2.42892321468547,2.61920752182673,1.51108126259234,1.18647862099843,0.996194313857175,0.951421535706291,0.794716812178196,1.05216028654578,1.52227445713006,1.66778598612044,1.49988806805462,2.18267293485561,2.56324154913812,2.60801432728901,3.03335571972241,3.07812849787329,2.95500335795836,3.3467651667786,2.64159391090217,3.32437877770316,3.38034475039176,3.22364002686367,3.50346989030669,3.95119767181554,4.10790239534363,4.08551600626819,4.90261920752183,4.6227893440788,4.90261920752183,4.36534586971122,2.9214237743452,2.40653682561003,1.79091112603537,1.07454667562122,0.83948959032908,0.570852921423774,0.582046115961495,0.302216252518469,0.246250279829863,0.190284307141258,0.190284307141258,0.156704723528095,0.0671591672263264,0.0783523617640475,0.111931945377211,0.0895455563017685,0.0671591672263264,0.0671591672263264,0.0335795836131632,0.0447727781508843,0.0447727781508843,0.0895455563017685,0.0447727781508843,0.0447727781508843,0.0111931945377211,0.0111931945377211,0.0111931945377211,0.0111931945377211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa007AA032042,NTJ2,50,E7,6514,2016-07-05 14:50:19.557,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0,0,0.148698884758364,0.0743494423791822,0.0743494423791822,0.148698884758364,0.0743494423791822,0.297397769516729,0.594795539033457,0.520446096654275,1.2639405204461,2.30483271375465,1.41263940520446,1.63568773234201,2.45353159851301,2.75092936802974,2.60223048327138,3.64312267657993,2.52788104089219,2.23048327137546,1.93308550185874,1.63568773234201,2.52788104089219,2.30483271375465,2.0817843866171,1.71003717472119,2.75092936802974,2.97397769516729,5.35315985130112,5.50185873605948,7.65799256505576,8.69888475836431,7.73234200743494,9.29368029739777,4.75836431226766,2.97397769516729,2.00743494423792,0.817843866171004,0.817843866171004,0.371747211895911,0.223048327137546,0.223048327137546,0.0743494423791822,0.0743494423791822,0.223048327137546,0.148698884758364,0.148698884758364,0,0,0,0,0,0,0,0.0743494423791822,0.0743494423791822,0.0743494423791822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa007AA032042,NTJ2,50,E7,7396,2016-07-14 17:25:18.591,SV,VIS,256,hue,0,0,0,0,0.031496062992126,0.094488188976378,0.283464566929134,0.566929133858268,1.85826771653543,3.1496062992126,6.83464566929134,11.8425196850394,12.8818897637795,11.496062992126,7.59055118110236,4.66141732283465,2.74015748031496,1.79527559055118,1.10236220472441,1.07086614173228,1.16535433070866,1.00787401574803,1.54330708661417,1.25984251968504,1.79527559055118,1.54330708661417,2.20472440944882,1.63779527559055,1.92125984251969,1.73228346456693,1.13385826771654,1.60629921259843,1.03937007874016,1.10236220472441,1.54330708661417,1.25984251968504,1.66929133858268,1.76377952755906,1.4488188976378,0.818897637795276,0.881889763779528,0.283464566929134,0.283464566929134,0.283464566929134,0.125984251968504,0.188976377952756,0.062992125984252,0.15748031496063,0.188976377952756,0.094488188976378,0.031496062992126,0.031496062992126,0,0.062992125984252,0,0,0.031496062992126,0,0.031496062992126,0,0.031496062992126,0.031496062992126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa007AA032042,NTJ2,50,E7,10984,2016-07-05 14:50:19.557,SV,VIS,256,hue,0,0,0,0,0.0196850393700787,0.0393700787401575,0.196850393700787,0.354330708661417,1.41732283464567,2.75590551181102,5.35433070866142,8.05118110236221,9.31102362204724,7.7755905511811,5.09842519685039,3.58267716535433,1.43700787401575,1.10236220472441,0.688976377952756,0.590551181102362,0.452755905511811,0.492125984251969,0.688976377952756,0.78740157480315,1.16141732283465,0.964566929133858,1.22047244094488,1.73228346456693,1.37795275590551,1.61417322834646,1.06299212598425,1.73228346456693,1.77165354330709,1.59448818897638,1.67322834645669,3.07086614173228,3.11023622047244,5.35433070866142,6.5748031496063,6.04330708661417,3.99606299212598,1.98818897637795,0.984251968503937,0.47244094488189,0.177165354330709,0.15748031496063,0.078740157480315,0.255905511811024,0.196850393700787,0.0984251968503937,0.137795275590551,0.0984251968503937,0.15748031496063,0.137795275590551,0.0590551181102362,0.137795275590551,0.196850393700787,0.078740157480315,0.0590551181102362,0.137795275590551,0.0393700787401575,0.0590551181102362,0.0196850393700787,0.0196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa007AA032042,NTJ2,50,E7,11560,2016-07-07 07:41:13.834,SV,VIS,256,hue,0,0,0,0,0.0203231378924906,0.0812925515699624,0.17274667208617,0.355654913118585,0.884056498323341,1.51407377299055,3.0281475459811,4.35931307793923,5.43643938624124,4.61335230159537,3.36347932120719,2.12376790976527,1.37181180774312,1.01615689462453,1.19906513565695,0.975510618839549,0.965349049893304,1.43278122142059,1.39213494563561,1.55472004877553,1.91037496189412,1.90021339294787,1.63601260034549,2.04247535819531,1.4124580835281,1.84940554821664,1.28035768722691,1.57504318666802,1.4124580835281,1.79859770348542,2.01199065135657,2.07296006503404,2.22538359922772,2.41845340920638,3.17040951122853,3.33299461436846,4.09511228533686,4.62351387054161,5.71080174778986,5.6295091962199,4.4406056295092,2.95701656335738,1.68682044507672,0.945025912000813,0.457270602581039,0.315008637333604,0.213392947871151,0.162585103139925,0.0914541205162077,0.132100396301189,0.101615689462453,0.0609694136774718,0.0812925515699624,0.0711309826237171,0.0812925515699624,0.0203231378924906,0.0203231378924906,0.0203231378924906,0.0304847068387359,0.0304847068387359,0.0203231378924906,0.0406462757849812,0.0304847068387359,0.0101615689462453,0,0.0101615689462453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa007AA032042,NTJ2,50,E7,12178,2016-07-08 20:40:24.152,SV,VIS,256,hue,0,0,0,0.00882378893496867,0.00882378893496867,0.0176475778699373,0.114709256154593,0.291185034853966,0.838259948822024,1.76475778699374,3.08832612723904,5.5766346069002,6.04429542045354,5.16191652695668,3.17656401658872,1.67651989764405,1.00591193858643,0.785317215212212,0.838259948822024,0.697079325862525,1.00591193858643,1.0147357275214,1.2970969734404,1.4647489632048,1.67651989764405,1.62357716403424,1.8882908320833,1.69416747551399,1.84417188740845,1.54416306361952,1.45592517426983,1.48239654107474,1.68534368657902,1.72946263125386,1.64122474190417,2.15300450013236,2.3647754345716,2.55889879114092,3.4942204182476,3.22068296126357,2.96479308214948,3.26480190593841,3.39715873996294,3.81187681990647,3.944233653931,4.1118856436954,2.96479308214948,2.85008382599488,1.66769610870908,0.917674049236742,0.511779758228183,0.344127768463778,0.238242301244154,0.158828200829436,0.167651989764405,0.141180622959499,0.0970616782846554,0.0529427336098121,0.0882378893496868,0.0970616782846554,0.0794141004147181,0.0529427336098121,0.0352951557398747,0.0352951557398747,0.0441189446748434,0.026471366804906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa007AA032042,NTJ2,50,E7,14308,2016-07-04 17:25:18.524,SV,VIS,256,hue,0,0,0,0.0352236703064459,0.017611835153223,0,0.0352236703064459,0.0880591757661148,0.228953856991899,0.158506516379007,0.422684043677351,0.405072208524128,0.352236703064459,0.405072208524128,0.493131384290243,0.317013032758013,0.264177527298344,0.317013032758013,0.457907713983797,0.739697076435365,0.827756252201479,0.722085241282142,1.00387460373371,1.32088763649172,1.86685452624163,1.79640718562874,2.28953856991899,2.57132793237055,2.65938710813667,2.65938710813667,2.78266995420923,3.4519196900317,3.11729482212047,2.85311729482212,3.31102500880592,3.11729482212047,3.9098274040155,3.55759070095104,4.57907713983797,6.00563578724903,7.27368791828109,8.06622050017612,8.22472701655512,7.15040507220852,5.07220852412821,2.34237407537865,1.0743219443466,0.528355054596689,0.405072208524128,0.211342021838676,0.105671010919338,0.0880591757661148,0.140894681225784,0,0.0352236703064459,0.0352236703064459,0,0.017611835153223,0.017611835153223,0.017611835153223,0,0.017611835153223,0.017611835153223,0,0.017611835153223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa007AA032042,NTJ2,50,E7,15502,2016-07-15 14:10:17.282,SV,VIS,256,hue,0,0,0,0.00641395676993137,0.0192418703097941,0.0192418703097941,0.0448976973895196,0.0962093515489706,0.455390930665127,0.994163299339363,1.7381822846514,3.02738759540761,3.73292284010006,3.66878327240074,2.48220126996344,1.85363350651017,1.22506574305689,1.01981912641909,0.79533063947149,0.79533063947149,0.724777115002245,0.827400423321147,1.14809826181772,1.32127509460586,1.5136937977038,1.65480084664229,1.73176832788147,2.24488486947598,2.11660573407735,2.30902443717529,2.45654544288372,2.03963825283818,2.13584760438715,2.55916875120262,2.72593162722083,3.07228529279713,3.64954140209095,3.74575075363992,4.73350009620935,4.86177923160798,5.68917965492913,6.08043101789494,5.63145404399974,4.8874350586877,2.97607594124816,1.86646142005003,0.955679558719774,0.577256109293823,0.365595535886088,0.237316400487461,0.211660573407735,0.147521005708422,0.0641395676993137,0.0897953947790392,0.051311654159451,0.102623308318902,0.0897953947790392,0.0320697838496568,0.0577256109293823,0.0641395676993137,0.0192418703097941,0.0641395676993137,0.0384837406195882,0.0448976973895196,0.0192418703097941,0.0320697838496568,0.0192418703097941,0.0256558270797255,0.00641395676993137,0.00641395676993137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa007AA032042,NTJ2,50,E7,16560,2016-07-09 19:17:49.632,SV,VIS,256,hue,0,0,0,0,0,0.0397930760047752,0.159172304019101,0.338241146040589,0.855551134102666,1.53203342618384,2.82530839633904,5.07361719060883,6.36689216076403,6.48627138877835,5.09351372861122,3.64106645443693,2.36768802228412,1.96975726223637,1.57182650218862,1.27337843215281,0.974930362116992,0.915240748109829,1.07441305212893,1.03461997612415,1.61161957819339,1.9299641862316,2.22841225626741,2.96458416235575,2.78551532033426,2.42737763629129,3.14365300437724,2.70592916832471,2.54675686430561,2.20851571826502,2.20851571826502,3.48189415041783,3.95941106247513,5.133306804616,5.90927178670911,3.40230799840828,1.7707918822125,1.13410266613609,0.636689216076403,0.557103064066852,0.338241146040589,0.378034222045364,0.477516912057302,0.278551532033426,0.258654994031039,0.159172304019101,0.0994826900119379,0.139275766016713,0.218861918026263,0.218861918026263,0.159172304019101,0.159172304019101,0.139275766016713,0.0795861520095503,0.0994826900119379,0.0397930760047752,0.0596896140071628,0.0795861520095503,0.0596896140071628,0.0994826900119379,0.0397930760047752,0,0.0397930760047752,0.0198965380023876,0.0198965380023876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
