Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa006AA032041,PI_585954,50,E6,208,2016-07-15 13:44:22.5,SV,VIS,256,hue,0,0,0,0,0,0,0.471253534401508,2.35626767200754,4.05278039585297,6.69180018850141,8.29406220546654,9.23656927426956,8.29406220546654,3.86427898209237,1.88501413760603,2.73327049952875,1.31950989632422,1.03675777568332,1.79076343072573,1.69651272384543,1.13100848256362,1.31950989632422,1.22525918944392,2.07351555136664,2.07351555136664,1.97926484448633,3.01602262016965,2.54476908576814,3.20452403393025,4.05278039585297,3.29877474081056,2.35626767200754,3.01602262016965,2.26201696512724,2.16776625824694,1.69651272384543,1.97926484448633,1.69651272384543,1.79076343072573,0.848256361922714,0.377002827521206,0.282752120640905,0.754005655042413,0.188501413760603,0.188501413760603,0.0942507068803016,0.0942507068803016,0.188501413760603,0.188501413760603,0.0942507068803016,0.0942507068803016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa006AA032041,PI_585954,50,E6,2096,2016-07-02 07:14:34.507,SV,VIS,256,hue,0.0317474715406594,0.0430858542337521,0.0498888838496077,0.122454533085401,0.13832826885573,0.18594947616672,0.299333303097646,0.297065626559028,0.428590865798902,0.358292893101728,0.380969658487913,0.317474715406594,0.328813098099687,0.301600979636265,0.328813098099687,0.371898952333439,0.421787836183047,0.523833280420881,0.623611048120096,0.63268175427457,0.678035285046941,0.72565649235793,0.814095877364053,0.841307995827475,0.877590820445372,0.922944351217742,0.920676674679124,0.936550410449454,0.913873645063268,0.952424146219783,1.46265136740895,1.0771463558438,1.06580797315071,1.26763118508776,1.34019683432355,1.58737357703297,1.77785840627693,2.03410585514082,2.51485328132795,2.78243911288494,3.57612590140142,4.82334799764162,6.40618622159735,7.78039820400018,8.81672638214885,7.79173658669327,5.83473173386548,5.05918635765794,4.02739353258651,3.89813596988526,3.08630776905982,2.41507551362874,1.63499478434396,1.15651503469545,0.63268175427457,0.367363599256202,0.192752505782575,0.117919180008164,0.0748333257744115,0.068030296158556,0.0839040319288857,0.0498888838496077,0.0566919134654633,0.0771010023130301,0.0476212073109892,0.038550501156515,0.0453535307723706,0.0294797950020409,0.0272121184634224,0.0226767653861853,0.0158737357703297,0.0204090888475668,0.0113383826930927,0.00907070615447413,0.00680302961585559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00453535307723706,0.0136060592317112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa006AA032041,PI_585954,50,E6,2694,2016-07-12 08:41:51.249,SV,VIS,256,hue,0,0,0,0.00964971533339767,0.0192994306667953,0.0771977226671813,0.135096014667567,0.337740036668918,0.887773810672585,1.92029335134614,3.90813471002605,7.0056933320467,8.40490205538937,7.47852938338319,4.90205538936601,2.93351346135289,1.61150246067741,0.820225803338801,0.704429219338029,0.665830358004439,0.849174949338995,0.936022387339574,1.17726527067452,1.650101322011,1.53430473801023,1.56325388401042,2.09398822734729,2.0650390813471,2.53787513268359,2.26768310334845,2.28698253401525,2.31593168001544,1.98784135867992,2.34488082601563,2.58612370935057,2.81771687735212,3.03001061468687,3.17475634468783,3.61864325002412,3.56074495802374,3.75373926469169,2.75016887001833,2.29663224934864,1.12901669400753,0.656180642671041,0.385988613335907,0.202644022001351,0.357039467335714,0.279841744668532,0.241242883334942,0.221943452668146,0.183344591334556,0.0964971533339766,0.106146868667374,0.135096014667567,0.0771977226671813,0.106146868667374,0.106146868667374,0.106146868667374,0.115796584000772,0.12544629933417,0.0771977226671813,0.0771977226671813,0.0482485766669883,0.0675480073337837,0.0482485766669883,0.028949146000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Fa006AA032041,PI_585954,50,E6,2850,2016-07-20 13:44:21.313,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0.229357798165138,0.344036697247706,0.802752293577982,0.229357798165138,0.114678899082569,0.458715596330275,0.802752293577982,0.458715596330275,0.458715596330275,1.37614678899083,1.14678899082569,1.94954128440367,2.06422018348624,3.78440366972477,3.09633027522936,3.55504587155963,4.35779816513761,4.35779816513761,4.35779816513761,3.78440366972477,2.52293577981651,3.3256880733945,4.70183486238532,3.6697247706422,3.21100917431193,4.93119266055046,3.6697247706422,6.07798165137615,5.84862385321101,5.61926605504587,6.88073394495413,3.44036697247706,1.72018348623853,1.37614678899083,0.917431192660551,1.03211009174312,0.573394495412844,0.114678899082569,0.458715596330275,0,0.229357798165138,0.344036697247706,0.344036697247706,0.229357798165138,0,0.114678899082569,0,0.114678899082569,0.114678899082569,0.114678899082569,0,0,0.114678899082569,0.114678899082569,0.229357798165138,0,0.114678899082569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa006AA032041,PI_585954,50,E6,3340,2016-07-14 16:59:24.568,SV,VIS,256,hue,0,0,0,0,0,0.136705399863295,0.273410799726589,1.2987012987013,3.34928229665072,5.74162679425837,5.67327409432673,5.67327409432673,3.48598769651401,1.43540669856459,0.820232399179768,0.615174299384826,0.273410799726589,0.273410799726589,0.136705399863295,0.205058099794942,0.546821599453178,0.546821599453178,0.75187969924812,0.683526999316473,1.09364319890636,0.888585099111415,0.888585099111415,1.64046479835954,1.77717019822283,2.66575529733424,1.23034859876965,3.14422419685578,3.00751879699248,3.34928229665072,4.85304169514696,6.2200956937799,6.49350649350649,7.6555023923445,7.24538619275461,5.74162679425837,3.48598769651401,2.66575529733424,1.57211209842789,0.820232399179768,0.410116199589884,0.341763499658236,0.341763499658236,0.0683526999316473,0.136705399863295,0.0683526999316473,0.136705399863295,0.0683526999316473,0.0683526999316473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa006AA032041,PI_585954,50,E6,3964,2016-07-09 18:51:53.792,SV,VIS,256,hue,0,0,0,0,0,0.0107003370606174,0.0107003370606174,0.0240757583863892,0.0294259269166979,0.0481515167727783,0.0508266010379327,0.098978117810711,0.0829276122197849,0.163180140174415,0.208656572682039,0.283558932106361,0.33171044887914,0.457439409341394,0.521641431705099,0.599218875394575,0.636670055106736,0.831951206463003,0.890803060296399,1.05933336900112,1.10480980150875,0.979080841046493,1.00583168369804,0.973730672516184,1.01118185222835,1.13156064416029,1.54619870525922,1.00850676796319,1.03525761061473,1.01920710502381,1.24123909903162,1.40976940773634,1.48199668289551,1.73345460382002,2.44502701835108,2.99609437697287,3.92702370124659,5.17361296880852,5.77550692846825,6.94719383660585,7.42335883580333,7.50896153228827,6.53790594403724,6.65560965170403,5.41169546840726,5.00240757583864,3.57123749398106,2.62425766411642,1.56759937938045,1.17971216093307,0.732973088652293,0.377186881386764,0.216681825477503,0.171205392969879,0.144454550318335,0.098978117810711,0.0642020223637045,0.0642020223637045,0.0722272751591675,0.0749023594243219,0.0561767695682414,0.0428013482424696,0.0294259269166979,0.0321010111818522,0.0133754213257718,0.0214006741212348,0.0053501685303087,0.0107003370606174,0,0.00267508426515435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fa006AA032041,PI_585954,50,E6,7498,2016-07-15 13:44:22.5,SV,VIS,256,hue,0,0,0,0,0.125376128385155,0.100300902708124,0.250752256770311,0.551654964894684,1.60481444332999,2.68304914744233,5.04012036108325,7.34704112337011,9.20260782347041,7.34704112337011,6.01805416248746,3.53560682046138,1.90571715145436,1.27883650952859,0.802407221664995,0.702106318956871,0.626880641925777,0.827482447342026,0.977933801404213,1.22868605817452,1.10330992978937,1.17853560682046,1.73019057171515,1.62988966900702,2.05616850551655,2.43229689067202,1.93079237713139,2.43229689067202,2.55767301905717,2.60782347041123,2.68304914744233,3.3851554663992,3.68605817452357,3.53560682046138,3.3851554663992,3.53560682046138,1.88064192577733,1.32898696088265,0.902708124373119,0.802407221664995,0.651955867602808,0.476429287863591,0.275827482447342,0.300902708124373,0.22567703109328,0.150451354062187,0.100300902708124,0.150451354062187,0.125376128385155,0.0501504513540622,0.0250752256770311,0.150451354062187,0.0752256770310933,0.125376128385155,0.0250752256770311,0.0250752256770311,0.0250752256770311,0,0.0250752256770311,0.0250752256770311,0,0,0.0501504513540622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Fa006AA032041,PI_585954,50,E6,8116,2016-07-10 15:18:51.745,SV,VIS,256,hue,0,0,0,0,0,0.0328191663931736,0.131276665572694,0.246143747948802,0.492287495897604,0.968165408598622,1.27994748933377,1.83787331801772,1.77223498523138,1.91992123400066,1.60813915326551,1.69018706924844,1.05021332458156,1.08303249097473,0.804069576632753,1.1158516573679,1.16508040695766,1.70659665244503,1.96914998359042,1.8706924844109,2.21529373153922,2.05119789957335,2.39579914670167,2.16606498194946,2.24811289793239,1.95274040039383,1.23071873974401,1.69018706924844,1.75582540203479,2.13324581555628,2.13324581555628,2.03478831637676,2.10042664916311,2.14965539875287,3.29832622251395,3.34755497210371,4.36494913029209,6.62947161142107,6.85920577617329,7.02330160813915,5.7269445356088,3.87266163439449,2.55989497866754,1.64095831965868,1.23071873974401,0.590744995077125,0.246143747948802,0.393829996718083,0.131276665572694,0.180505415162455,0.180505415162455,0.0984574991795208,0.0656383327863472,0.114867082376108,0.0328191663931736,0.131276665572694,0.0656383327863472,0,0.0492287495897604,0,0.0328191663931736,0.0328191663931736,0.0164095831965868,0.0328191663931736,0.0328191663931736,0,0.0164095831965868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fa006AA032041,PI_585954,50,E6,9034,2016-07-13 20:14:33.999,SV,VIS,256,hue,0,0,0,0,0,0.0338696020321761,0.169348010160881,0.474174428450466,0.728196443691787,1.89669771380186,3.8272650296359,6.33361558001693,7.21422523285351,7.40050804403048,5.5376799322608,4.13209144792549,2.15071972904318,1.49026248941575,0.880609652836579,0.965283657917019,0.880609652836579,0.762066045723963,0.795935647756139,0.948348856900931,1.06689246401355,1.20237087214225,1.59187129551228,1.45639288738357,1.57493649449619,2.09991532599492,1.69348010160881,2.20152413209145,2.11685012701101,2.2692633361558,1.93056731583404,2.70956816257409,3.06519898391194,3.21761219305673,3.64098221845893,4.60626587637595,4.52159187129551,4.74174428450466,2.54022015241321,1.74428450465707,0.948348856900931,0.711261642675698,0.406435224386113,0.372565622353937,0.304826418289585,0.135478408128704,0.101608806096528,0.101608806096528,0.0846740050804403,0.0508044030482642,0.0508044030482642,0,0.0508044030482642,0.0169348010160881,0.0338696020321761,0,0.0169348010160881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Fa006AA032041,PI_585954,50,E6,10574,2016-07-11 10:29:25.555,SV,VIS,256,hue,0,0.0118021952083087,0.0118021952083087,0.0177032928124631,0.0236043904166175,0.100318659270624,0.200637318541249,0.354065856249262,0.79664817656084,1.55788976749675,2.61418623864039,4.20158149415791,4.27829576301192,3.53475746488847,2.42535111530745,1.51658208426767,0.837955859789921,0.572406467602974,0.507494393957276,0.601911955623746,0.619615248436209,0.867461347810693,1.1507140328101,1.4870765962469,1.83524135489201,1.93556001416263,2.39584562728668,2.46075770093237,3.00955977811873,3.10987843738935,3.69408710020064,3.49935087926354,3.60557063613832,4.04225185884575,4.01274637082497,4.21928478697038,4.05995515165821,3.38132892718046,3.68818600259648,3.94783429717927,4.34320783665762,3.89472441874189,3.44624100082615,2.60828514103623,1.74082379322554,0.784845981352531,0.56650536999882,0.259648294582792,0.236043904166175,0.218340611353712,0.135725244895551,0.123923049687242,0.118021952083087,0.0826153664581612,0.0649120736456981,0.0354065856249262,0.0531098784373894,0.0295054880207719,0.0236043904166175,0.0354065856249262,0.00590109760415437,0.00590109760415437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
