Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa027AA032062,PI_642998,50,S9,388,2016-07-04 17:33:57.043,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984251968503937,0.393700787401575,0.984251968503937,1.27952755905512,2.46062992125984,4.23228346456693,5.51181102362205,6.49606299212598,8.75984251968504,8.46456692913386,9.74409448818898,8.66141732283465,7.7755905511811,7.97244094488189,6.98818897637795,3.64173228346457,4.13385826771654,2.95275590551181,2.06692913385827,1.18110236220472,0.885826771653543,0.885826771653543,0.688976377952756,0.78740157480315,0.885826771653543,0.688976377952756,0.492125984251969,0.393700787401575,0.295275590551181,0.196850393700787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa027AA032062,PI_642998,50,S9,1282,2016-07-09 19:26:39.027,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00745990302126072,0.10443864229765,0.641551659828422,1.38754196195449,2.89444237224916,3.43901529280119,4.47594181275643,5.76650503543454,5.88586348377471,5.74412532637076,4.89369638194703,4.43118239462887,3.57329354718389,3.28235732935472,2.81238343901529,3.04364043267438,2.73032450578142,2.84222305110034,2.99888101454681,2.97650130548303,2.54382693024991,2.76762402088773,2.24543080939948,1.93957478552779,1.76053711301753,1.33532264080567,1.2532637075718,1.27564341663558,0.760910108168594,0.820589332338679,0.93248787765759,1.11898545318911,1.48452070123088,1.69339798582618,1.87243565833644,2.08131294293174,2.15591197314435,1.90227527042148,2.12607236105931,1.6337187616561,0.947407683700112,0.686311077955987,0.380455054084297,0.164117866467736,0.0671391271913465,0.0745990302126072,0.00745990302126072,0.0149198060425214,0.0149198060425214,0,0,0.00745990302126072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Fa027AA032062,PI_642998,50,S9,10872,2016-07-14 17:33:57.612,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470189956742524,0.206883580966711,0.695881135978936,1.87135602783525,4.04363362798571,6.53564039872108,7.35377092345307,8.44461162309573,7.01523415459846,6.34756441602407,5.24731991724657,4.56084258040248,4.09065262365996,4.17528681587361,4.09065262365996,3.9307880383675,3.48880947902953,3.10325371450066,2.99040812488245,2.65187135602784,2.28512318976867,2.13466240361106,1.80552943389129,1.53281925898063,1.30712807974422,1.15666729358661,0.912168516080497,0.827534323866842,0.59243934549558,0.498401354147075,0.630054542034982,0.545420349821328,0.413767161933421,0.376151965394019,0.498401354147075,0.376151965394019,0.38555576452887,0.441978559337973,0.432574760203122,0.460786157607674,0.38555576452887,0.338536768854617,0.244498777506112,0.169268384427309,0.150460786157608,0.0658265939439533,0.0376151965394019,0.018807598269701,0.0282113974045514,0.0376151965394019,0.00940379913485048,0.00940379913485048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa027AA032062,PI_642998,50,S9,11004,2016-07-07 07:49:55.813,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471698113207547,0.125786163522013,0.440251572327044,1.21069182389937,1.9811320754717,3.05031446540881,3.14465408805031,3.55345911949686,3.0188679245283,3.19182389937107,3.36477987421384,3.38050314465409,3.19182389937107,2.89308176100629,3.11320754716981,2.72012578616352,2.16981132075472,1.93396226415094,1.85534591194969,1.41509433962264,1.22641509433962,1.14779874213836,1.10062893081761,1.19496855345912,1.11635220125786,1.19496855345912,1.5251572327044,1.85534591194969,2.43710691823899,3.17610062893082,4.11949685534591,4.81132075471698,5.36163522012579,5.5188679245283,4.76415094339623,3.9937106918239,2.61006289308176,2.18553459119497,1.33647798742138,0.833333333333333,0.59748427672956,0.408805031446541,0.377358490566038,0.29874213836478,0.251572327044025,0.235849056603774,0.188679245283019,0.141509433962264,0.0471698113207547,0.0471698113207547,0.0471698113207547,0.0314465408805031,0.0157232704402516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Fa027AA032062,PI_642998,50,S9,11908,2016-07-05 14:58:58.043,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871839581517001,0.0871839581517001,0.2615518744551,0.523103748910201,1.2205754141238,1.743679163034,3.3129904097646,4.1848299912816,3.487358326068,5.14385353095031,4.9694856146469,5.66695727986051,6.62598081952921,6.88753269398431,5.0566695727986,6.10287707061901,4.5335658238884,5.49258936355711,5.31822144725371,4.79511769834351,3.487358326068,2.5283347863993,3.1386224934612,2.3539668700959,1.9180470793374,1.3949433304272,1.0462074978204,1.6564952048823,1.3949433304272,1.2205754141238,1.4821272885789,1.5693112467306,0.697471665213601,0.523103748910201,0,0,0.0871839581517001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa027AA032062,PI_642998,50,S9,13288,2016-07-14 17:33:57.612,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690846286701209,0.0621761658031088,0.124352331606218,0.449050086355786,1.36787564766839,2.43868739205527,4.18652849740933,5.58203799654577,5.00863557858376,5.11226252158895,4.6286701208981,4.29015544041451,3.89637305699482,3.55094991364421,3.56476683937824,3.34369602763385,3.70984455958549,3.57167530224525,3.44732297063903,3.17098445595855,3.0880829015544,2.75647668393782,2.61830742659758,2.37651122625216,2.13471502590674,1.8860103626943,1.47841105354059,1.15371329879102,1.16753022452504,1.04317789291883,0.974093264248705,1.11226252158895,1.11917098445596,1.22279792746114,1.35405872193437,1.37478411053541,1.57512953367876,1.81692573402418,1.87219343696028,1.78929188255613,1.67875647668394,1.12607944732297,0.677029360967185,0.538860103626943,0.241796200345423,0.103626943005181,0.110535405872193,0.0345423143350604,0.0207253886010363,0.00690846286701209,0.0138169257340242,0.0138169257340242,0,0.00690846286701209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa027AA032062,PI_642998,50,S9,15390,2016-07-02 07:49:18.825,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222419928825623,0,0,0.0222419928825623,0.0444839857651246,0.0667259786476868,0.0667259786476868,0.111209964412811,0.133451957295374,0.222419928825623,1.33451957295374,3.00266903914591,5.40480427046263,7.31761565836299,8.07384341637011,9.18594306049822,8.34074733096085,6.45017793594306,6.36120996441281,4.93772241992883,5.18238434163701,4.62633451957295,4.20373665480427,3.51423487544484,2.62455516014235,2.26868327402135,1.97953736654804,1.57918149466192,1.64590747330961,1.69039145907473,0.97864768683274,1.24555160142349,1.11209964412811,1.22330960854093,1.08985765124555,0.889679715302491,0.667259786476868,0.378113879003559,0.622775800711744,0.333629893238434,0.28914590747331,0.244661921708185,0.155693950177936,0.222419928825623,0.0667259786476868,0.0667259786476868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Fa027AA032062,PI_642998,50,S9,16540,2016-07-13 20:49:04.749,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284217792033781,0.0649640667505786,0.239554996142759,0.621218888302408,1.30740184335539,2.18035649031629,3.52430062121889,5.58690974054976,7.57643428478623,8.57525681107637,8.77826951967193,7.17040886759511,6.58167201266799,5.63563279061269,4.15770027203703,3.58926468796947,3.21978155832555,2.99240732469853,2.84623817450972,2.54983961996021,2.41991148645905,2.10727191522189,2.03418734012749,1.66470421048358,1.38454667262171,1.09626862641601,0.966340492914856,0.856713630273255,0.674002192537253,0.617158634130497,0.584676600755207,0.62933939664623,0.56031507572374,0.657761175849608,0.80393032603841,0.795809817694588,0.775508546835032,0.69836371756872,0.710544480084453,0.62933939664623,0.600917617442852,0.507531771488895,0.38572414633156,0.235494741970847,0.166470421048358,0.109626862641601,0.0446627958910228,0.024361525031467,0.0162410166876446,0.00406025417191116,0.0121807625157335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Fa027AA032062,PI_642998,50,S9,17798,2016-07-03 20:48:49.601,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533333333333333,0.0533333333333333,0.746666666666667,1.76,3.30666666666667,5.92,7.68,9.49333333333333,9.44,8.05333333333333,7.84,7.89333333333333,6.29333333333333,4.10666666666667,4.58666666666667,3.84,3.36,2.45333333333333,1.38666666666667,1.01333333333333,1.22666666666667,0.48,0.586666666666667,0.906666666666667,0.586666666666667,0.746666666666667,0.8,0.48,1.33333333333333,1.01333333333333,1.01333333333333,0.746666666666667,0.426666666666667,0.16,0.16,0.0533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa027AA032062,PI_642998,50,S9,20984,2016-07-10 15:53:26.83,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00645244547683572,0.0967866821525358,0.264550264550265,0.806555684604465,1.95509097948122,3.45851077558395,4.57478384307653,5.70396180152278,5.91044005678152,5.81365337462898,5.51038843721771,4.77480965285843,4.36185314234095,3.76822815847206,3.01974448315912,2.88424312814557,2.63259775454897,2.74874177313202,2.83907600980772,2.60678797264163,2.30352303523035,2.00025809781907,1.81313717899084,1.43889534133437,1.14208284939992,0.967866821525358,0.942057039618015,0.677506775067751,0.671054329590915,0.696864111498258,0.98077171247903,1.14208284939992,1.61956381468577,1.88411407923603,2.45192928119757,2.93586269196025,3.19396051103368,3.09717382888115,2.49709639953542,1.61311136920893,1.06465350367789,0.529100529100529,0.277455155503936,0.148406245967222,0.0967866821525358,0.0322622273841786,0.0193573364305072,0.00645244547683572,0,0.0129048909536714,0,0,0.00645244547683572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
