Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa026AA032061,Rio,50,S8,2482,2016-07-05 14:37:20.95,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276395798783858,0,0.0276395798783858,0.0552791597567717,0.165837479270315,0.276395798783859,0.80154781647319,0.829187396351575,1.32669983416252,1.43725815367606,2.45992260917634,3.17855168601437,3.09563294637922,2.87451630735213,2.79159756771697,2.21116639027087,2.12824765063571,1.85185185185185,1.9624101713654,1.71365395245992,1.9624101713654,1.57545605306799,2.40464344941957,2.7363184079602,3.3167495854063,3.1232725262576,4.06301824212272,4.47761194029851,5.83195135433941,6.79933665008292,6.6334991708126,7.24156992813709,7.15865118850193,5.00276395798784,3.62078496406855,2.21116639027087,1.32669983416252,0.746268656716418,0.276395798783859,0.165837479270315,0.0552791597567717,0.0552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa026AA032061,Rio,50,S8,2560,2016-07-16 10:42:31.505,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646830530401035,0.232858990944373,0.55627425614489,1.46183699870634,2.60025873221216,3.54463130659767,3.91979301423027,4.11384217335058,4.63130659767141,4.38551099611902,4.20439844760673,5.2522639068564,4.8124191461837,5.00646830530401,4.47606727037516,4.7477360931436,4.28201811125485,3.3764553686934,3.72574385510996,3.01423027166882,2.26390685640362,1.8111254851229,1.59120310478655,1.22897800776197,1.47477360931436,1.38421733505821,1.33247089262613,1.60413971539457,2.05692108667529,2.21216041397154,2.32858990944373,2.75549805950841,2.53557567917206,2.1862871927555,2.06985769728331,1.20310478654593,0.633893919793014,0.336351875808538,0.142302716688228,0.206985769728331,0.0905562742561449,0.0388098318240621,0.0517464424320828,0.0129366106080207,0.0129366106080207,0.0129366106080207,0,0.0129366106080207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa026AA032061,Rio,50,S8,5454,2016-07-10 15:31:50.322,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392618767177071,0,0.00392618767177071,0.0235571260306243,0.0706713780918728,0.168826069886141,0.537887711032587,1.19748723989007,2.45779348252846,3.40793089909698,4.47192775814684,5.70475068708284,6.46643109540636,6.9572045543777,6.1798193953671,5.62230074597566,5.0137416568512,4.46014919513153,4.24420887318414,4.47192775814684,4.58971338829996,4.20494699646643,3.39615233608166,2.34786022771888,1.849234393404,1.56654888103651,1.56654888103651,1.12681586179819,1.06792304672163,1.02473498233216,0.797016097369454,0.848056537102473,0.730270906949352,0.667451904201021,0.612485276796231,0.604632901452689,0.620337652139772,0.514330585001963,0.632116215155084,0.577149587750294,0.514330585001963,0.455437769925402,0.522182960345504,0.44365920691009,0.32979976442874,0.392618767177071,0.451511582253632,0.420102080879466,0.475068708284256,0.43973301923832,0.365135453474676,0.416175893207695,0.408323517864154,0.365135453474676,0.349430702787593,0.337652139772281,0.337652139772281,0.321947389085198,0.337652139772281,0.239497447978013,0.227718884962701,0.223792697290931,0.192383195916765,0.141342756183746,0.121711817824892,0.0745975657636435,0.0628190027483314,0.0549666274047899,0.0431880643894778,0.0431880643894778,0.0549666274047899,0.00785237534354142,0,0.0117785630153121,0.00785237534354142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fa026AA032061,Rio,50,S8,5792,2016-07-10 15:31:50.322,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00652315720808872,0.0848010437051533,0.391389432485323,0.991519895629485,2.23091976516634,4.84018264840183,6.23613829093281,7.78212654924984,7.72994129158513,7.07762557077625,6.39269406392694,5.45988258317025,4.85975212002609,3.99217221135029,3.43770384866275,2.91585127201566,2.74624918460535,2.70711024135682,2.39399869536856,1.9047619047619,1.66340508806262,1.64383561643836,1.20678408349641,0.939334637964775,0.815394651011089,0.678408349641226,0.880626223091976,1.01761252446184,1.18069145466406,1.36986301369863,1.63078930202218,2.07436399217221,2.33529028049576,2.14611872146119,1.8525766470972,1.66992824527071,1.14155251141552,0.645792563600783,0.443574690150033,0.25440313111546,0.110893672537508,0.0782778864970646,0.0326157860404436,0,0.00652315720808872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fa026AA032061,Rio,50,S8,6404,2016-07-19 17:17:59.647,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115141047783535,0.748416810592976,1.43926309729419,4.08750719631549,5.52677029360967,6.56303972366149,6.50546919976972,6.27518710420265,5.4691997697179,4.49050086355786,4.66321243523316,5.06620610247553,4.37535981577432,4.60564191134139,4.08750719631549,3.85722510074842,2.76338514680484,3.22394933793897,3.68451352907312,3.05123776626367,2.6482440990213,2.59067357512953,2.76338514680484,2.01496833621186,1.55440414507772,1.55440414507772,0.575705238917674,0.805987334484744,0.460564191134139,0.863557858376511,0.690846286701209,0.748416810592976,1.03626943005181,0.460564191134139,0.345423143350604,0.23028209556707,0.0575705238917674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Fa026AA032061,Rio,50,S8,9422,2016-07-04 17:12:19.249,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345602211854156,0.0103680663556247,0.0103680663556247,0.031104199066874,0.0691204423708312,0.0967686193191636,0.179713150164161,0.373250388802488,0.632452047693105,1.48954553309141,2.60238465526179,4.43753240020736,6.95006048038707,8.28408501814412,9.94643165716261,10.606531881804,10.3715223777432,8.43614999135995,6.08259892863314,4.9317435631588,4.20252289614654,3.3350613443926,2.55054432348367,2.18766200103681,1.8627959218939,1.48263348885433,1.16813547606705,1.07136685674788,0.978054259547261,0.805253153620183,0.777604976671851,0.701572490063936,0.618627959218939,0.483843096595818,0.542595472611025,0.366338344565405,0.37670641092103,0.273025747364783,0.169345083808536,0.148608951097287,0.138240884741662,0.100224641437705,0.0552963538966649,0.0207361327112494,0.0276481769483325,0.00345602211854156,0.00691204423708312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa026AA032061,Rio,50,S8,11476,2016-07-04 17:12:19.249,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139567341242149,0.153524075366364,0.334961618981158,0.753663642707606,1.63293789253315,2.94487090020935,3.07048150732729,4.07536636427076,3.58688066992324,4.21493370551291,4.63363572923936,4.59176552686671,4.11723656664341,3.94975575715283,3.71249127704117,2.94487090020935,2.60990928122819,1.99581297976274,1.99581297976274,1.54919748778786,1.29797627355199,0.96301465457083,0.976971388695045,0.99092812281926,0.99092812281926,1.10258199581298,1.10258199581298,1.64689462665736,2.34473133286811,3.00069783670621,3.87997208653175,4.89881367759944,6.02930914166085,5.48499651081647,4.70341939986043,3.05652477320307,1.98185624563852,1.14445219818562,0.865317515701326,0.376831821353803,0.153524075366364,0.0976971388695045,0.0279134682484299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa026AA032061,Rio,50,S8,14528,2016-07-20 13:57:17.674,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139645300935624,0.0139645300935624,0.0977517106549365,0.321184192151934,0.726155564865242,1.11716240748499,2.06675045384723,2.10864404412792,2.23432481496998,2.02485686356654,1.77349532188242,1.73160173160173,1.55006284038542,1.73160173160173,1.71763720150817,1.77349532188242,1.80142438206954,1.61988549085323,2.09467951403435,2.10864404412792,1.9271051529116,2.16450216450216,2.12260857422148,1.78745985197598,1.46627565982405,1.57799190057255,1.28473676860774,1.2987012987013,1.32663035888842,1.39645300935624,1.53609831029186,2.16450216450216,2.42982823627985,3.28166457198715,3.7843876553554,4.78983382209189,5.57184750733138,7.20569752827817,6.52143555369362,6.08853512079319,4.76190476190476,3.04426756039659,1.94106968300517,1.0752688172043,0.572545733836056,0.195503421309873,0.0418935902806871,0.0139645300935624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa026AA032061,Rio,50,S8,14952,2016-07-14 17:12:21.771,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00260742594910305,0,0.00521485189820609,0.00260742594910305,0.0156445556946183,0.0286816854401335,0.0521485189820609,0.151230705047977,0.401543596161869,1.07425949103045,2.58656654151022,4.94107217355027,7.7909887359199,8.9930120984564,10.3436587400918,10.3697329995828,9.25375469336671,7.20953274926992,5.02711722987067,3.91374634960367,3.40529828952858,3.5095953274927,3.09240717563621,2.93856904463913,2.32582394659992,1.69482686691698,1.42104714226116,1.25417188151856,1.16551939924906,0.917813934084272,0.912599082186066,0.876095118898623,0.677930746766792,0.683145598664998,0.542344597413433,0.511055486024197,0.391113892365457,0.307676261994159,0.247705465164789,0.224238631622862,0.190342094284522,0.151230705047977,0.0990821860659157,0.0964747601168127,0.054755944931164,0.0495410930329579,0.0417188151856487,0.0208594075928244,0.00521485189820609,0.0182519816437213,0.00521485189820609,0.00260742594910305,0.00260742594910305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa026AA032061,Rio,50,S8,16494,2016-07-11 10:42:22.638,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245911717693348,0.00491823435386696,0.00245911717693348,0,0.0147547030616009,0.00737735153080044,0.0147547030616009,0.0295094061232018,0.0737735153080044,0.137710561908275,0.334439936062953,0.799213082503381,1.54678470429116,3.09356940858232,5.61662363211607,8.42985368252797,11.6414607156031,12.679208164269,11.7422845198574,9.08889708594615,6.19205705151851,4.31083241116439,3.32964465756793,3.08127382269765,2.51567687200295,2.04352637403172,1.93286610106972,1.45825648592155,1.29103651789008,1.14348948727407,1.03774744866593,0.823804254272716,0.767244559203246,0.72789868437231,0.651666051887372,0.533628427394565,0.481986966678962,0.489364318209763,0.425427271609492,0.366408459363089,0.290175826878151,0.223779663100947,0.199188491331612,0.130333210377474,0.0590188122464035,0.0737735153080044,0.0442641091848027,0.0245911717693348,0.0172138202385344,0.0319685233001353,0.0172138202385344,0.00737735153080044,0,0.00983646870773392,0.00245911717693348,0,0.00491823435386696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
