Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa026AA032061,Rio,50,S8,2482,2016-07-05 14:37:20.95,SV,VIS,256,hue,0,0,0,0.0276395798783858,0.0276395798783858,0.0552791597567717,0.248756218905473,0.884466556108347,2.04532891100055,3.53786622443339,7.13101160862355,9.23161967938087,10.3095632946379,9.03814262023217,6.52294085129906,4.97512437810945,4.06301824212272,2.48756218905473,2.07296849087894,2.37700386954118,1.63073521282476,1.27142067440575,1.93477059148701,1.57545605306799,1.68601437258154,1.68601437258154,1.79657269209508,1.74129353233831,1.35433941404091,1.99004975124378,1.40961857379768,2.84687672747374,2.3493642896628,2.81923714759536,2.32172470978441,1.79657269209508,0.967385295743505,0.608070757324489,0.66334991708126,0.165837479270315,0.248756218905473,0.138197899391929,0.193477059148701,0.304035378662244,0.221116639027087,0.165837479270315,0.193477059148701,0.0829187396351575,0.110558319513543,0.110558319513543,0.0276395798783858,0.0829187396351575,0.0276395798783858,0,0.0829187396351575,0.0552791597567717,0,0.0829187396351575,0.0552791597567717,0.0276395798783858,0.0276395798783858,0,0.0276395798783858,0,0,0.0552791597567717,0.0276395798783858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa026AA032061,Rio,50,S8,2560,2016-07-16 10:42:31.505,SV,VIS,256,hue,0.0129366106080207,0.0258732212160414,0.0129366106080207,0.0129366106080207,0.0388098318240621,0.0646830530401035,0.142302716688228,0.284605433376455,0.517464424320828,0.802069857697283,1.84993531694696,3.23415265200517,4.372574385511,4.34670116429495,3.11772315653299,2.30271668822768,1.48771021992238,1.22897800776197,1.03492884864166,1.09961190168176,1.46183699870634,1.4359637774903,1.48771021992238,2.32858990944373,2.48382923673997,2.35446313065977,2.76843467011643,3.07891332470893,3.3117723156533,2.83311772315653,2.71668822768435,3.3117723156533,3.28589909443726,3.20827943078913,3.50582147477361,3.53169469598965,3.46701164294955,3.42820181112549,3.77749029754204,3.72574385510996,3.45407503234153,3.22121604139715,2.53557567917206,2.19922380336352,1.60413971539457,1.08667529107374,0.491591203104787,0.465717981888745,0.284605433376455,0.129366106080207,0.18111254851229,0.0905562742561449,0.129366106080207,0.168175937904269,0.0517464424320828,0.0646830530401035,0.0905562742561449,0.0517464424320828,0.0388098318240621,0.0258732212160414,0.0258732212160414,0.0129366106080207,0.0388098318240621,0.0258732212160414,0.0129366106080207,0.0258732212160414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa026AA032061,Rio,50,S8,5454,2016-07-10 15:31:50.322,SV,VIS,256,hue,0.121711817824892,0.208087946603848,0.270906949352179,0.361209265802905,0.478994895956027,0.702787593246957,0.714566156262269,0.94228504122497,1.10718492343934,0.891244601491951,0.961915979583824,0.961915979583824,0.800942285041225,0.749901845308206,0.816647035728308,0.742049469964664,0.742049469964664,0.710639968590499,0.671378091872792,0.77345897133883,0.789163722025913,0.844130349430703,0.922654102866117,0.985473105614448,1.02473498233216,0.977620730270907,0.99725166862976,1.04829210836278,1.02473498233216,0.977620730270907,1.80212014134276,0.934432665881429,1.06792304672163,1.14252061248528,1.15822536317236,1.51158225363172,1.7432273262662,2.05339615233608,2.72477424420887,3.78091872791519,4.6643109540636,6.06988614055752,6.49784059678053,7.28700431880644,7.0906949352179,5.84216725559482,4.73890851982725,4.18531605810758,3.20769532783667,2.71299568119356,2.03376521397723,1.35060855908912,0.9383588535532,0.604632901452689,0.369061641146447,0.215940321947389,0.172752257557911,0.0903023164507264,0.125638005496663,0.0745975657636435,0.0785237534354142,0.0549666274047899,0.0588928150765607,0.0392618767177071,0.0392618767177071,0.0314095013741657,0.027483313702395,0.0196309383588536,0.0157047506870828,0.00392618767177071,0.00785237534354142,0.00392618767177071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00785237534354142,0.027483313702395,0.0353356890459364,0.0353356890459364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fa026AA032061,Rio,50,S8,5792,2016-07-10 15:31:50.322,SV,VIS,256,hue,0,0,0,0,0.0130463144161774,0.0130463144161774,0.0978473581213307,0.143509458577952,0.397912589693412,0.769732550554468,1.52641878669276,2.52446183953033,2.94194390084801,3.0658838878017,2.55055446836269,1.93085453359426,1.33724722765819,0.952380952380952,0.795825179386823,0.96542726679713,1.04370515329419,1.0958904109589,1.40247879973907,1.36333985649054,1.48727984344423,1.65035877364644,1.74168297455969,1.88519243313764,1.86562296151337,1.95042400521853,1.51989562948467,1.66992824527071,1.5003261578604,1.74820613176778,1.93737769080235,2.1395955642531,2.33529028049576,2.85061969993477,3.62687540769733,4.31833007175473,5.10110893672538,6.48401826484018,6.94063926940639,6.68623613829093,5.52511415525114,4.1617742987606,2.43966079582518,1.40900195694716,0.756686236138291,0.495759947814742,0.20221787345075,0.156555772994129,0.0782778864970646,0.0848010437051533,0.0717547292889759,0.045662100456621,0.0260926288323549,0.0391389432485323,0.0326157860404436,0.00652315720808872,0.0260926288323549,0,0.00652315720808872,0.0195694716242661,0.0130463144161774,0.0195694716242661,0.0130463144161774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Fa026AA032061,Rio,50,S8,6404,2016-07-19 17:17:59.647,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0.115141047783535,0.345423143350604,0.690846286701209,0.805987334484744,0.805987334484744,0.633275762809442,0.518134715025907,0.287852619458837,0.575705238917674,0.575705238917674,0.690846286701209,0.575705238917674,1.03626943005181,1.09383995394358,1.32412204951065,2.01496833621186,1.20898100172712,1.84225676453656,1.95739781232009,2.41796200345423,2.01496833621186,1.84225676453656,2.475532527346,1.95739781232009,2.76338514680484,3.39666090961428,5.2964881980426,7.02360391479562,9.26885434657455,10.0172711571675,12.0898100172712,10.8232584916523,4.951065054692,2.13010938399539,1.32412204951065,0.633275762809442,0.690846286701209,0.575705238917674,0.460564191134139,0.345423143350604,0.115141047783535,0.0575705238917674,0.115141047783535,0,0,0.115141047783535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Fa026AA032061,Rio,50,S8,9422,2016-07-04 17:12:19.249,SV,VIS,256,hue,0,0,0,0,0,0.00345602211854156,0.00691204423708312,0.0276481769483325,0.0518403317781234,0.0552963538966649,0.0587523760152065,0.086400552963539,0.20044928287541,0.193537238638327,0.297217902194574,0.387074477276655,0.328322101261448,0.5322274062554,0.611715914981856,0.722308622775186,0.822533264212891,0.870917573872473,0.926213927769138,0.950406082598929,0.950406082598929,0.967686193191636,0.929669949887679,1.06791083462934,1.02989459132538,0.998790392258511,1.6796267496112,1.1888716087783,1.14394332123726,1.54138586486954,1.74874719198203,2.03214100570244,2.2706065318818,2.36391912908243,2.47105581475721,2.39156730603076,2.661137031277,2.87886642474512,3.0101952652497,3.68757560048384,4.23017107309487,5.49161914636254,5.75082080525315,6.75997926386729,6.64247451183688,6.36599274235355,5.67478831864524,4.77276654570589,3.36270952134094,2.63003283221013,1.67271470537411,0.895109728702264,0.521859339899775,0.297217902194574,0.179713150164161,0.131328840504579,0.0691204423708312,0.0725764644893727,0.0587523760152065,0.0276481769483325,0.0449282875410403,0.0380162433039571,0.0449282875410403,0.0449282875410403,0.0172801105927078,0.0345602211854156,0.0103680663556247,0.0103680663556247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa026AA032061,Rio,50,S8,11476,2016-07-04 17:12:19.249,SV,VIS,256,hue,0,0,0,0,0.0279134682484299,0.0837404047452896,0.195394277739009,0.614096301465457,1.28401953942777,2.55408234473133,5.19190509420796,7.27145847871598,8.33217027215631,6.69923237962317,4.35450104675506,2.40055826936497,1.42358688066992,1.03279832519191,0.851360781577111,0.739706908583391,0.781577110956036,0.823447313328681,0.739706908583391,0.893230983949756,1.15840893230984,1.40963014654571,1.43754361479414,1.493370551291,1.75854849965108,2.38660153524075,2.02372644801117,2.33077459874389,2.1493370551291,2.56803907885555,2.69364968597348,3.27983251919051,3.85205861828332,3.7404047452896,3.65666434054431,3.19609211444522,3.4612700628053,2.7076064200977,1.99581297976274,1.52128401953943,1.13049546406141,0.600139567341242,0.530355896720167,0.348918353105373,0.488485694347523,0.418702023726448,0.279134682484299,0.125610607117934,0.153524075366364,0.209351011863224,0.139567341242149,0.139567341242149,0.111653872993719,0.0558269364968597,0.0976971388695045,0.0279134682484299,0,0,0.0139567341242149,0,0,0.0139567341242149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Fa026AA032061,Rio,50,S8,14528,2016-07-20 13:57:17.674,SV,VIS,256,hue,0,0,0,0,0.0279290601871247,0.0698226504678118,0.209467951403435,0.446864962993995,1.03337522692361,2.40189917609272,4.99930177349532,9.14676721128334,12.1072475911186,10.3756458595168,6.66108085462924,4.02178466694596,2.36000558581204,1.36852394916911,1.2987012987013,1.1869850579528,1.0752688172043,1.21491411813992,1.45231112973048,1.48024018991761,1.70367267141461,1.75953079178886,2.40189917609272,2.10864404412792,2.02485686356654,1.89917609272448,1.70367267141461,1.68970814132104,1.53609831029186,2.19243122468929,2.69515430805753,3.21184192151934,2.98840944002234,2.1505376344086,1.43834659963692,0.768049155145929,0.363077782432621,0.432900432900433,0.335148722245496,0.363077782432621,0.349113252339059,0.307219662058372,0.0837871805613741,0.223432481496998,0.195503421309873,0.153609831029186,0.23739701159056,0.125680770842061,0.181538891216311,0.153609831029186,0.181538891216311,0.139645300935624,0.125680770842061,0.0977517106549365,0.111716240748499,0.153609831029186,0.0698226504678118,0.139645300935624,0.0698226504678118,0.0837871805613741,0.0698226504678118,0,0.0279290601871247,0,0.0139645300935624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa026AA032061,Rio,50,S8,14952,2016-07-14 17:12:21.771,SV,VIS,256,hue,0,0,0,0,0.00521485189820609,0.00260742594910305,0.00782227784730914,0.0208594075928244,0.0260742594910305,0.0495410930329579,0.0521485189820609,0.0495410930329579,0.11994159365874,0.109511889862328,0.226846057571965,0.281602002503129,0.284209428452232,0.367647058823529,0.500625782227785,0.544952023362536,0.664893617021277,0.680538172715895,0.823946599916562,0.883917396745933,0.883917396745933,0.90738423028786,1.00907384230288,0.928243637880684,0.829161451814769,0.795264914476429,1.29589069670421,0.714434710054235,0.735294117647059,0.797872340425532,0.865665415102211,0.889132248644139,1.03514810179391,1.26460158531498,1.73654568210263,2.23195661243221,3.00636211931581,4.29182311222361,5.37390488110138,6.22914059240718,7.19649561952441,6.30736337088027,6.51595744680851,6.60982478097622,6.74280350438048,6.99311639549437,6.26564455569462,4.52909887359199,2.78212348769295,1.81998331247393,0.941280767626199,0.552774301209846,0.372861910721736,0.17991239048811,0.114726741760534,0.0834376303712974,0.0677930746766792,0.0365039632874426,0.0704005006257822,0.0782227784730914,0.057363370880267,0.0417188151856487,0.0495410930329579,0.0260742594910305,0.0182519816437213,0,0.0130371297455152,0.00782227784730914,0,0,0.00260742594910305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Fa026AA032061,Rio,50,S8,16494,2016-07-11 10:42:22.638,SV,VIS,256,hue,0,0,0,0,0,0.00737735153080044,0.00245911717693348,0.0122955858846674,0.0442641091848027,0.0344276404770687,0.0541005778925366,0.130333210377474,0.142628796262142,0.277880240993483,0.307389647116685,0.418049920078692,0.49428255256363,0.681175458010574,0.693471043895242,0.730357801549244,0.870527480634452,1.0869297922046,0.912332472642321,1.12135743268167,1.08201155785073,1.01807451125046,1.04512480019673,0.872986597811386,0.993483339481126,1.1311939013894,1.84679699987704,1.26644534612074,1.35251444731341,1.36972826755195,1.36972826755195,1.6156399852453,1.6746587974917,1.7263002582073,2.28206074019427,2.40501659904094,3.02471412762818,3.60998401573835,3.89032337390877,4.26410918480266,4.74117791712775,5.74203860813968,5.95352268535596,7.15603098487643,7.09209393827616,6.66666666666667,5.4862904217386,4.04770687323251,2.65830566826509,2.05582195991639,0.991024222304193,0.60740194270257,0.287716709701217,0.179515553916144,0.118037624492807,0.0836099840157384,0.0491823435386696,0.0516414607156031,0.0270502889462683,0.0393458748309357,0.0245911717693348,0.0319685233001353,0.0196729374154678,0.0122955858846674,0.00245911717693348,0.00245911717693348,0.00245911717693348,0,0.00245911717693348,0.00245911717693348,0.00245911717693348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
