Barcodes,Line_name,Treatment,Labcode,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
Fa020AA032055,San Chi San,50,S2,1412,2016-07-16 11:01:00.179,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00428540818512963,0,0.00857081637025927,0.0342832654810371,0.0514248982215556,0.149989286479537,0.308549389329334,0.497107349475037,1.09277908720806,2.05699592886222,3.87829440754232,6.04671094921791,9.02506963788301,10.4521105635312,10.4092564816799,9.39790014998929,8.32226269552175,6.65095350332119,5.79815727448039,4.9453610456396,3.77544461109921,2.85836725948147,2.20698521534176,1.73987572316263,1.5470323548318,1.26419541461324,1.12706235268909,1.04563959717163,0.741375616027427,0.711377758731519,0.685665309620741,0.565673880437112,0.449967859438612,0.484251124919649,0.377115920291408,0.394257553031926,0.257124491107778,0.205699592886222,0.171416327405185,0.102849796443111,0.0642811227769445,0.0514248982215556,0.00857081637025927,0.0171416327405185,0.00857081637025927,0.00857081637025927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa020AA032055,San Chi San,50,S2,3188,2016-07-08 20:45:58.041,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332198322398472,0.0913545386595798,0.357113196578357,0.597956980317249,1.4782825346732,2.59945187276804,3.57943692384353,5.20720870359605,5.78855576779337,6.37820779005066,5.38991778091521,4.49298231043933,4.37671289759987,3.89502533012208,3.56282700772361,3.16418902084544,2.65758657918778,2.44996262768873,2.61606178888797,2.53301220828835,2.68250145336766,3.11435927248567,2.98978490158625,2.96487002740636,2.63267170500789,2.15928909559007,2.1094593472303,1.70251640229217,1.38692799601362,1.28726849929408,1.17099908645461,0.963375134955568,1.09625446391496,0.97168009301553,1.38692799601362,1.44506270243335,1.5862469894527,1.67760152811228,1.61116186363259,1.34540320571381,0.896935470475874,0.714226393156715,0.465077651357861,0.199318993439083,0.124574370899427,0.0498297483597708,0.0083049580599618,0.0083049580599618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Fa020AA032055,San Chi San,50,S2,4892,2016-07-17 07:46:10.522,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045570543200875,0.0820269777615749,0.537732409770325,1.4218009478673,3.36310608822457,6.47101713452424,11.7663142544659,16.3142544659132,16.979584396646,15.6580386438206,9.34196135617936,5.65074735690849,3.21728034998177,2.28764126868392,0.975209624498724,0.637987604812249,0.537732409770325,0.483047757929275,0.410134888807875,0.428363106088225,0.410134888807875,0.318993802406125,0.428363106088225,0.300765585125775,0.27342325920525,0.264309150565075,0.2551950419249,0.282537367845425,0.246080933284725,0.16405395552315,0.0729128691213999,0.0911410864017499,0.0546846518410499,0.027342325920525,0.045570543200875,0.0364564345607,0.027342325920525,0.01822821728035,0.01822821728035,0.01822821728035,0,0.00911410864017499,0.00911410864017499,0.00911410864017499,0.00911410864017499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Fa020AA032055,San Chi San,50,S2,7114,2016-07-20 16:00:06.884,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773993808049536,0.212848297213622,0.348297213622291,0.638544891640867,0.986842105263158,1.37383900928793,1.95433436532508,1.99303405572755,2.76702786377709,2.49613003095975,2.74767801857585,2.4187306501548,2.45743034055728,2.38003095975232,1.89628482972136,2.14783281733746,2.01238390092879,1.54798761609907,1.76083591331269,1.78018575851393,1.43188854489164,2.01238390092879,1.81888544891641,2.74767801857585,3.15402476780186,3.88931888544892,5.01160990712074,6.32739938080495,7.6625386996904,7.5077399380805,7.60448916408669,6.01780185758514,4.35371517027864,3.1733746130031,1.68343653250774,0.909442724458204,0.48374613003096,0.0773993808049536,0.0580495356037152,0.0580495356037152,0.0193498452012384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Fa020AA032055,San Chi San,50,S2,8006,2016-07-05 14:55:52.366,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148617853958189,0.168433567819281,0.663826414346577,1.59021103735262,2.88814029525414,5.13226989002279,5.91994451600119,6.9800852075696,7.98077875755474,8.66442088576241,7.85197661745764,6.85128306747251,5.65738630734172,4.72109382740513,3.81452491826018,3.2250074308927,2.90795600911523,2.42742494798375,1.92212424452591,1.6298424650748,1.55553353809571,1.28802140097097,1.10967997622114,0.975923907658773,0.767858912117309,0.614287129693847,0.475577132666204,0.361636777964926,0.381452491826018,0.430991776478748,0.589517487367482,0.738135341325671,0.728227484395125,0.961062122262955,1.27315961557515,1.05023283463787,1.18398890320024,0.911522837610225,0.871891409888041,0.569701773506391,0.480531061131477,0.406222134152383,0.26751213712474,0.203111067076191,0.158525710888735,0.237788566333102,0.153571782423462,0.0941246408401863,0.0594471415832755,0.0445853561874567,0.0346774992569107,0,0.00990785693054592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Fa020AA032055,San Chi San,50,S2,10004,2016-07-19 17:36:29.759,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00963514902363823,0.0160585817060637,0.0738694758478931,0.334018499486125,1.1337358684481,3.13463514902364,5.93846351490236,8.40827338129496,8.91893627954779,9.10521582733813,7.14928057553957,6.74139260020555,5.3924717368962,4.19450154162384,3.37230215827338,2.84236896197328,2.34776464542652,2.11973278520041,2.00411099691675,1.85637204522097,1.55447070914697,1.46775436793422,1.36497944501542,1.09840698869476,0.883221993833505,0.741906474820144,0.780447070914697,0.664825282631038,0.748329907502569,0.722636176772868,0.94745632065776,1.00526721479959,1.29110996916752,1.74075025693731,2.03943987667009,2.10046248715313,1.8660071942446,1.51593011305242,0.937821171634121,0.632708119218911,0.423946557040082,0.167009249743063,0.0835046248715313,0.0706577595066804,0.0289054470709147,0.012846865364851,0.00963514902363823,0.00321171634121274,0,0.00321171634121274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Fa020AA032055,San Chi San,50,S2,11486,2016-07-03 20:45:44.432,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0983284169124877,0.196656833824975,0.589970501474926,0.884955752212389,1.67158308751229,1.76991150442478,3.93313667649951,4.62143559488692,7.47295968534907,7.1779744346116,4.8180924287119,7.76794493608653,6.3913470993117,4.91642084562439,6.78466076696165,4.52310717797443,6.09636184857424,4.32645034414946,4.32645034414946,3.24483775811209,3.34316617502458,1.76991150442478,2.45821042281219,1.96656833824975,1.86823992133727,1.47492625368732,1.76991150442478,0.786627335299902,0.884955752212389,0.786627335299902,0.786627335299902,0.196656833824975,0.196656833824975,0.0983284169124877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa020AA032055,San Chi San,50,S2,12042,2016-07-16 11:01:00.179,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.75,1.91666666666667,2.83333333333333,6.5,6.33333333333333,6.33333333333333,7.33333333333333,5.91666666666667,6.16666666666667,4.58333333333333,5.5,5.41666666666667,5.58333333333333,6.66666666666667,4.91666666666667,3.33333333333333,3.08333333333333,3.25,2.16666666666667,1.58333333333333,1.75,1,1.08333333333333,0.833333333333333,0.833333333333333,1,0.333333333333333,0.583333333333333,1.08333333333333,0.25,0.0833333333333333,0.416666666666667,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Fa020AA032055,San Chi San,50,S2,14380,2016-07-03 20:45:44.432,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101988781234064,0,0,0.0305966343702193,0.0407955124936257,0.28556858745538,1.14227434982152,2.87608363080061,4.65068842427333,6.07853136155023,6.44569097399286,6.01733809280979,4.70168281489036,3.62060173380928,3.09026007139215,2.24375318714941,2.04997450280469,2.10096889342172,2.0601733809281,2.55991840897501,2.27434982151963,2.58031616522183,2.31514533401326,1.80520142784294,1.82559918408975,1.76440591534931,1.79500254971953,1.5910249872514,1.48903620601734,1.67261601223865,2.14176440591535,2.41713411524732,3.15145334013259,3.88577256501785,4.31412544620092,4.32432432432432,3.488016318205,2.75369709331973,1.69301376848547,1.20346761856196,0.683324834268231,0.387557368689444,0.224375318714941,0.0917899031106578,0.071392146863845,0.0203977562468129,0.0203977562468129,0,0,0.0101988781234064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Fa020AA032055,San Chi San,50,S2,14698,2016-07-06 11:00:53.927,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295770482105886,0.0887311446317657,0.118308192842354,0.532386867790595,0.857734398107069,1.44927536231884,2.01123927832002,1.86335403726708,1.36054421768707,1.65631469979296,2.21827861579414,1.50842945874002,1.89293108547767,2.0703933747412,2.18870156758355,1.89293108547767,2.0703933747412,1.8041999408459,1.44927536231884,1.36054421768707,1.09435078379178,1.53800650695061,1.44927536231884,1.89293108547767,1.77462289263531,2.42531795326826,2.95770482105886,3.99290150842946,5.175983436853,7.42383910085773,8.48861283643892,8.63649807749187,8.42945874001775,5.73794735285419,3.90417036379769,2.27743271221532,1.68589174800355,0.857734398107069,0.680272108843537,0.443655723158829,0.295770482105886,0.177462289263531,0.0887311446317657,0.0591540964211772,0.0591540964211772,0.0295770482105886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
