ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa022AA031211,Atlas,S4,10,3050,2016-06-12 20:33:15.545,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68431771894094,4.53156822810591,5.90631364562118,6.05906313645621,4.68431771894094,5.34623217922607,4.12423625254582,3.46232179226069,2.39307535641548,1.83299389002037,1.78207739307536,2.18940936863544,2.44399185336049,2.39307535641548,3.10590631364562,3.30957230142566,3.81873727087576,2.29124236252546,2.08757637474542,2.69857433808554,1.83299389002037,2.34215885947047,3.46232179226069,4.58248472505092,5.19348268839104,3.97148676171079,3.71690427698574,2.03665987780041,1.32382892057026,0.661914460285132,0.865580448065173,0.305498981670061,0.254582484725051,0.254582484725051,0.0509164969450102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BB001_F_060916,Fa022AA031211,Atlas,S4,10,3112,2016-06-21 07:33:07.889,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99383548449239,2.3116933153535,1.86861876324408,2.33095742631478,2.79329608938547,2.69697553457908,3.40974764014641,3.58312463879792,3.92987863610094,3.35195530726257,3.84319013677519,3.12078597572722,2.725871701021,2.61028703525332,2.20574070506646,2.44654209208245,2.80292814486611,3.00520130995955,3.59275669427856,3.89135041417839,3.1400500866885,3.90098246965902,4.91234829512618,5.60585628973223,6.25120400693508,6.05856289732229,3.95877480254286,3.03409747640146,1.81082643036024,1.00173376998652,0.577923328838374,0.500866884993258,0.250433442496629,0.202273165093431,0.144480832209594,0.0385282219225583,0.0866884993257561,0.00963205548063957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa022AA031211,Atlas,S4,10,3652,2016-06-25 10:49:16.198,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67798129883438,1.79326245676957,1.99180222876905,2.23517356218778,2.51056743947739,2.83079287818624,3.38798514153964,3.47124375560395,3.56090687844242,3.40719866786217,3.33034456257205,2.56180350967081,2.7027027027027,2.25438708851031,2.1455104393493,2.19674650954272,2.60663507109005,3.16382733444345,4.17573972076342,5.09798898424491,5.74484437043679,6.00742923017805,5.16203407198668,4.38068400153708,3.65697451005508,3.58652491353913,3.37517612399129,2.6194440886384,1.9789932112207,1.43460996541565,1.17842961444857,0.806968105546305,0.60202382477264,0.448315614192391,0.544383245805047,0.409888561547329,0.384270526450621,0.30101191238632,0.17292173690278,0.0576405789675932,0.0320225438708851,0.012809017548354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa022AA031211,Atlas,S4,10,5002,2016-06-17 20:33:19.411,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84262048192771,2.95557228915663,3.74623493975904,4.04743975903614,5.25225903614458,5.38403614457831,7.11596385542169,6.3441265060241,5.94879518072289,4.95105421686747,3.74623493975904,3.46385542168675,2.80496987951807,2.93674698795181,3.125,3.25677710843374,3.5203313253012,4.31099397590361,4.36746987951807,5.10165662650602,4.21686746987952,2.61671686746988,1.88253012048193,1.82605421686747,1.01656626506024,1.26129518072289,0.677710843373494,0.52710843373494,0.357680722891566,0.225903614457831,0.0564759036144578,0.0564759036144578,0.0564759036144578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa022AA031211,Atlas,S4,10,6058,2016-06-11 07:33:04.166,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98058252427184,3.98058252427184,2.52427184466019,2.62135922330097,3.10679611650485,1.84466019417476,2.03883495145631,2.03883495145631,2.03883495145631,2.81553398058252,3.00970873786408,2.52427184466019,1.84466019417476,3.00970873786408,2.71844660194175,4.75728155339806,5.8252427184466,6.50485436893204,5.24271844660194,3.98058252427184,3.68932038834951,2.13592233009709,2.23300970873786,2.33009708737864,2.33009708737864,3.00970873786408,2.52427184466019,3.59223300970874,3.49514563106796,3.78640776699029,1.84466019417476,1.2621359223301,0.679611650485437,0.0970873786407767,0.29126213592233,0.194174757281553,0.0970873786407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa022AA031211,Atlas,S4,10,8484,2016-06-26 07:33:03.41,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70143925025103,1.67354680352561,1.7516456543568,2.23139573803414,2.50474171594332,3.05701216110677,2.97891331027558,3.25783777752984,3.25783777752984,3.20205288407899,2.6665179069508,2.37085797166127,2.17561084458329,1.95247127077987,2.12540444047752,2.96217784224032,3.86031462679906,4.73613745397746,4.61341068838558,4.60225370969541,4.46279147606828,4.1894454981591,4.15597456208859,4.14481758339842,4.17828851946893,3.91609952024992,3.33593662836104,3.24110230949459,3.17973892669865,2.32065156755551,1.70701773959612,1.26631708133437,0.769831529621778,0.496485551712596,0.390494254155975,0.345866339395292,0.15619770166239,0.0557848934508535,0.00557848934508535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa022AA031211,Atlas,S4,10,8558,2016-06-21 07:33:07.889,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0034046692607,2.91828793774319,2.83317120622568,3.19795719844358,3.64785992217899,4.32879377431907,4.49902723735409,5.08268482490272,4.99756809338521,4.62062256809339,4.340953307393,3.38035019455253,3.07636186770428,2.93044747081712,2.96692607003891,3.0034046692607,2.8818093385214,3.70865758754864,4.0977626459144,4.79085603112841,5.5204280155642,4.74221789883268,3.4897859922179,2.11575875486381,1.31322957198444,1.16731517509728,1.10651750972763,0.960603112840467,1.24027237354086,1.15515564202335,1.14299610894942,0.778210116731518,0.486381322957198,0.267509727626459,0.10943579766537,0.0729571984435798,0.0243190661478599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa022AA031211,Atlas,S4,10,10272,2016-06-24 14:45:34.613,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53889997150185,1.76688515246509,1.87375320604161,1.93074950128242,2.11598746081505,2.35109717868339,3.0493017953833,3.21316614420063,3.79025363351382,3.83300085494443,3.79737817041892,3.32003419777714,2.76432031917925,2.82844115132516,2.89256198347107,3.41265317754346,4.30322029068111,5.67825591336563,7.43801652892562,8.21459105158165,7.87261328013679,6.24821886577372,3.91137076090054,2.4223425477344,1.66714163579367,0.983186092903961,1.13280136791109,0.933314334568253,0.883442576232545,0.740951838130522,0.933314334568253,0.819321744086634,0.555713878597891,0.398974066685665,0.220860644058136,0.0997435166714164,0.042747221430607,0.0142490738102023,0.00712453690510117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa022AA031211,Atlas,S4,10,10406,2016-06-24 17:35:14.155,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29929851909587,2.81371784879189,2.79033515198753,2.72018706157444,2.35385814497272,2.28371005455963,2.22915042868277,1.85502727981294,1.83164458300857,1.85502727981294,1.73031956352299,1.80826188620421,1.83164458300857,2.36944660950896,2.86048324240062,3.37490257209665,4.45830085736555,6.08729540140296,7.98908807482463,8.97895557287607,8.89321901792673,7.26422447388932,4.6921278254092,3.28916601714731,2.09664848012471,1.65237724084178,1.01325019485581,1.16913484021824,0.943102104442712,1.0833982852689,1.13795791114575,0.888542478565861,0.600155884645362,0.38971161340608,0.155884645362432,0.116913484021824,0.0467653936087295,0.0389711613406079,0.00779423226812159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa022AA031211,Atlas,S4,10,11500,2016-06-29 14:17:42.389,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72529920729496,1.76156675819906,1.7460235220973,1.91181804051604,1.98953422102482,2.49727993368219,2.73560955390912,3.19154447956064,3.39878762758406,2.96875809543547,2.76669602611264,2.34702865136521,2.22268276255116,2.02580177192892,2.36257188746697,2.54390964198746,3.2433552665665,4.00497383555256,4.69405730273043,5.60074607533288,6.34164032951661,6.60587534324646,6.24838091290607,4.99974094606497,3.59566861820631,2.93767162323196,2.61644474379566,2.65789337340034,2.36775296616756,1.7097559711932,1.35226154085281,0.891145536500699,0.725351018081965,0.471478161753277,0.295321485933371,0.191699911921662,0.134708046215222,0.0725351018081965,0.0310864722035128,0.0103621574011709,0.00518107870058546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
