ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,404,2016-06-29 14:27:34.417,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97387309790411,1.93080677576802,1.82314097042779,1.96669537754809,2.22509331036463,2.2609819121447,2.65575653172552,2.39735859890899,2.29687051392478,2.31122595463681,2.05282802182027,2.56244616709733,2.89262130347402,4.23485501004881,5.40482342807924,6.81165661785817,8.26155612977318,9.25208153890324,9.32385874246339,7.31409704277921,4.9526270456503,3.16537467700258,1.94516221648005,1.41401091013494,1.08383577375825,1.18432385874246,1.09101349411427,0.97616996841803,0.918748205569911,0.839793281653747,0.753660637381568,0.653172552397359,0.358886017800746,0.330175136376687,0.193798449612403,0.0645994832041344,0.0502440424921045,0.0287108814240597,0.0215331610680448,0.0143554407120299,0.00717772035601493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,4210,2016-06-15 10:57:49.749,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94088669950739,3.54679802955665,3.15270935960591,4.03940886699507,3.74384236453202,2.66009852216749,3.74384236453202,4.23645320197044,4.13793103448276,3.8423645320197,6.20689655172414,5.32019704433498,6.69950738916256,4.43349753694581,4.82758620689655,3.8423645320197,3.34975369458128,3.2512315270936,4.03940886699507,3.74384236453202,4.72906403940887,3.8423645320197,3.94088669950739,1.77339901477833,1.18226600985222,0.886699507389163,0.394088669950739,0.0985221674876847,0.197044334975369,0.0985221674876847,0.0985221674876847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,8250,2016-06-18 17:27:46.098,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44945085891298,5.18163897493664,5.74486060264714,5.20980005632216,4.53393410306956,4.84370599831034,4.50577302168403,5.57589411433399,3.77358490566038,3.97071247535905,4.25232328921431,3.37932976626302,4.50577302168403,5.40692762602084,5.68853843987609,5.26612221909321,3.4638130104196,4.16784004505773,3.32300760349197,3.32300760349197,2.45001408054069,1.77414812728809,1.21092649957758,1.09828217403548,0.788510278794706,0.450577302168403,0.64770487186708,0.281610813855252,0.253449732469727,0.253449732469727,0.140805406927626,0.0281610813855252,0.0563221627710504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,10848,2016-06-23 17:28:02.324,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69015212169736,2.65812650120096,3.07445956765412,3.49079263410729,3.2986389111289,3.87510008006405,4.4835868694956,3.90712570056045,3.98718975180144,3.84307445956765,3.55484387510008,2.96236989591673,3.07445956765412,3.79503602882306,4.4195356285028,5.07606084867894,5.5404323458767,5.95676541232986,5.98879103282626,5.76461168935148,4.96397117694155,4.08326661329063,2.53002401921537,1.80944755804644,1.1369095276221,0.848678943154524,0.608486789431545,0.624499599679744,0.608486789431545,0.480384307445957,0.192153722978383,0.272217774219375,0.11208967173739,0.192153722978383,0.0480384307445957,0.0320256204963971,0.0160128102481986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,10934,2016-06-15 10:57:49.749,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86396181384248,3.10262529832936,3.18217979315831,2.70485282418457,2.38663484486873,3.0230708035004,2.38663484486873,4.21638822593477,3.26173428798727,2.94351630867144,3.50039777247414,3.50039777247414,3.73906125696102,4.29594272076372,3.50039777247414,5.64836913285601,3.73906125696102,5.80747812251392,6.6030230708035,8.19411296738266,7.23945902943516,4.21638822593477,3.26173428798727,1.67064439140811,1.27287191726333,0.954653937947494,1.75019888623707,0.318217979315831,0.636435958631663,0,0.0795544948289578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,11662,2016-06-24 14:55:25.578,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9403521379806,2.20385674931129,2.44340639597557,3.01832554796982,3.20996526530123,3.22194274763445,3.20996526530123,2.86261827763804,2.73086597197269,2.45538387830878,2.47933884297521,2.74284345430591,2.63504611330698,3.73697448796263,4.28793867529045,6.20433584860462,7.46197149359205,8.01293568091987,8.38423763324949,7.39010659959277,6.65948017726674,4.33584860462331,2.3835189843095,1.38938795065277,1.1498383039885,0.778536351658881,0.778536351658881,0.562941669661037,0.407234399329261,0.359324469996407,0.155707270331776,0.263504611330698,0.0718648939992814,0.0239549646664271,0.0239549646664271,0,0.0119774823332136,0.0119774823332136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,14106,2016-06-26 07:42:55.937,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98884562769652,2.33610438808797,1.87309270756603,2.20982847521835,2.13616752604441,2.34662738082711,2.16773650426181,2.493949279175,2.64127117752289,2.33610438808797,2.87277701778386,3.09375986530569,3.25160475639272,3.70409344417552,4.19867410291487,4.67220877617594,5.31411133326318,5.60875512995896,6.24013469430706,5.56666315900242,4.89319162369778,3.80932337156687,3.09375986530569,2.85173103230559,2.51499526465327,2.50447227191413,1.90466168578344,1.91518467852257,1.6836788382616,1.28380511417447,1.56792591813112,1.74681679469641,1.29432810691361,0.841839419130801,0.410396716826265,0.2104598547827,0.178890876565295,0.0947069346522151,0.0526149636956751,0.0526149636956751,0.04209197095654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,21470,2016-06-20 10:57:44.83,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4180790960452,2.35028248587571,2.3728813559322,2.14689265536723,2.10169491525424,2.30508474576271,2.3728813559322,2.48587570621469,2.57627118644068,3.05084745762712,3.1638418079096,3.75141242937853,4.09039548022599,4.04519774011299,4.51977401129944,4.85875706214689,5.80790960451977,6.44067796610169,6.4180790960452,7.14124293785311,6.62146892655367,5.76271186440678,3.70621468926554,2.35028248587571,1.69491525423729,1.03954802259887,1.15254237288136,1.06214689265537,0.700564971751412,0.655367231638418,0.406779661016949,0.203389830508475,0.135593220338983,0.0451977401129944,0.0451977401129944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,23050,2016-06-21 07:43:02.971,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23123527431841,3.66879838438236,3.53416358128576,4.52709525412319,5.06563446650959,4.88051161225177,5.57051497812185,4.88051161225177,4.79636486031639,4.45977785257489,4.51026590373612,3.97172669134971,4.00538539212386,3.60148098283406,3.23123527431841,3.09660047122181,2.74318411309323,2.74318411309323,2.38976775496466,2.74318411309323,2.32245035341636,2.47391450690003,3.16391787277011,4.12319084483339,4.02221474251094,2.69269606193201,1.53147088522383,0.807808818579603,0.387075058902726,0.319757657354426,0.151464153483676,0.1346348030966,0.117805452709525,0.0336587007741501,0.0504880511612252,0.0168293503870751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa019AA031208,B.Az9504,S1,10,24154,2016-06-27 20:42:39.468,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12957408518296,2.00959808038392,2.10707858428314,2.15206958608278,2.22705458908218,2.57948410317936,2.63197360527894,2.63197360527894,2.57948410317936,2.60947810437912,2.53449310137972,2.95440911817636,3.41931613677265,4.20665866826635,4.70155968806239,5.20395920815837,6.10377924415117,5.95380923815237,6.34373125374925,5.80383923215357,6.05128974205159,5.68386322735453,4.10167966406719,3.56178764247151,3.26184763047391,1.88212357528494,1.32723455308938,0.809838032393521,0.742351529694061,0.509898020395921,0.352429514097181,0.2624475104979,0.2249550089982,0.15746850629874,0.0749850029994001,0.0674865026994601,0.02249550089982,0.00749850029994001,0.00749850029994001,0.00749850029994001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
