ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,3268,2016-06-20 11:19:18.8,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22977277553621,2.41027819069866,2.38904225950308,2.50583988107879,2.94117647058824,3.83308558080272,3.87555744319388,4.8524102781907,5.00106179655978,4.83117434699512,4.51263537906137,3.87555744319388,3.51454661286897,2.60140157145891,2.45275005308983,2.45275005308983,2.63325546825228,2.78190698662136,3.4826927160756,3.63134423444468,3.62072626884689,4.03482692716076,3.77999575281376,3.37651306009769,2.34657039711191,1.79443618602676,1.50775111488639,1.09365045657252,1.14674028456148,1.21044807814823,0.891909110214483,1.14674028456148,1.30600976852835,1.35909959651731,1.41218942450626,1.14674028456148,0.860055213421109,0.499044383096199,0.350392864727118,0.159269483966872,0.116797621575706,0.0106179655977915,0.0106179655977915,0.0106179655977915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,3832,2016-06-13 17:49:17.966,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15912897822446,5.79564489112228,4.95812395309883,5.56113902847571,5.12562814070352,4.42211055276382,3.91959798994975,3.18257956448911,3.18257956448911,3.68509212730318,2.74706867671692,3.41708542713568,4.02010050251256,2.98157453936348,3.14907872696817,3.3500837520938,2.74706867671692,2.3785594639866,2.94807370184255,2.44556113902848,3.55108877721943,3.04857621440536,2.44556113902848,2.61306532663317,3.14907872696817,2.51256281407035,1.84254606365159,1.44053601340034,1.60804020100503,0.804020100502513,0.569514237855946,0.603015075376884,0.402010050251256,0.134003350083752,0.100502512562814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,7718,2016-06-27 21:04:13.475,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38471720205671,1.14544621493662,1.22180929593239,1.42035330652141,1.45089853891972,1.83780481596497,1.98544010589014,2.03634882655399,2.4385277197984,2.65234434658657,2.9119788219722,2.74907091584788,2.34180115053709,2.22471109301023,2.40798248740009,2.77961614824619,3.34470294761493,4.0319706765769,4.58687573181286,5.83413938807718,6.58758845390215,6.34831746678206,5.554141424426,4.28651427989615,3.06470498396375,2.85088835717558,2.234892837143,2.03634882655399,1.75635086290282,1.56289772438019,1.38471720205671,1.44580766685333,1.4916255154508,1.21162755179962,1.23708191213155,1.26253627246347,1.12508272667108,1.13017359873746,0.86035737921906,0.758539937891361,0.544723311103192,0.244361859186479,0.157817034057934,0.0458178485974647,0.0254543603319249,0.00509087206638497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,8950,2016-06-20 11:19:18.8,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60098522167488,1.80623973727422,1.67487684729064,1.7816091954023,2.35632183908046,2.75862068965517,3.14449917898194,3.79310344827586,4.43349753694581,4.00656814449918,3.70279146141215,3.24302134646962,2.61904761904762,2.06075533661741,1.66666666666667,1.83908045977011,1.72413793103448,2.24137931034483,2.44663382594417,3.32512315270936,3.55500821018062,4.06403940886699,4.29392446633826,5.27914614121511,5.4679802955665,4.93431855500821,4.11330049261084,3.48111658456486,2.79967159277504,2.55336617405583,2.79146141215107,1.70771756978654,1.23973727422003,0.533661740558292,0.385878489326765,0.188834154351396,0.180623973727422,0.090311986863711,0.0492610837438424,0.0492610837438424,0.0164203612479475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,9124,2016-06-16 08:04:45.624,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0630384247231,3.40489539176808,3.63735812935868,4.06126076849446,4.45781485026665,5.60645425953781,6.35853958703678,6.00300834131,5.42868863667442,4.55353480103925,4.38944345685765,3.91084370299467,3.25447832626829,2.31095309722412,2.22890742513332,1.92807329413373,2.02379324490633,2.46137016272392,2.9673184739505,2.8579242444961,2.8442499658143,2.74853001504171,4.22535211267606,4.62190619444824,4.63558047313004,3.29550116231369,1.39477642554355,0.615342540680979,0.410228360453986,0.0820456720907972,0.123068508136196,0.0410228360453986,0.0410228360453986,0.0136742786817995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,11254,2016-06-22 21:39:41.63,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75782668700516,1.88857412653447,1.67066172731895,1.96121159293964,2.06290404590688,2.55683881746205,3.09435606886032,3.75535701314738,3.7190382799448,3.83525822619307,3.37037844119997,3.41396092104307,3.69724704002324,3.19604852182756,2.73843248347498,2.73843248347498,2.8764436696448,3.53744461393187,4.39456671751289,5.11367763492409,5.64393113968185,5.17178760804823,4.43088545071548,3.27594973487325,2.99266361589308,2.30260768504395,2.29534393840343,2.25902520520084,1.72150795380257,1.4382218348224,1.17672695576378,1.02418827631292,1.15493571584223,0.639209704365512,0.704583424130166,0.871649596862061,0.544780998038788,0.414033558509479,0.276022372339653,0.130747439529309,0.0944287063267233,0.0363187332025859,0.0145274932810344,0.00726374664051718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,13282,2016-06-13 17:49:17.966,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30321630247975,5.5241836484164,5.86791063098453,4.91038546525902,3.95286029953351,3.95286029953351,3.5354775349865,3.65823717161797,4.0265160815124,4.07561993616499,3.87920451755463,2.70071200589246,2.70071200589246,3.19175055241836,2.70071200589246,2.20967345936656,1.74318684016695,1.76773876749325,1.17849251166217,1.20304443898846,1.08028480235698,1.71863491284066,2.0132580407562,2.35698502332433,3.48637368033391,4.44389884605942,5.86791063098453,4.76307390130125,2.70071200589246,1.54677142155659,0.785661674441444,0.294623127915541,0.368278909894427,0.220967345936656,0.0982077093051805,0.0982077093051805,0.0245519273262951,0.0245519273262951,0,0.0245519273262951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,13852,2016-06-24 15:17:01.163,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01312065860561,1.78157962438899,1.83946488294314,1.92307692307692,2.0066889632107,2.44404425006432,2.81065088757396,3.11294057113455,3.08721378955493,3.19655261126833,2.8492410599434,2.72703884744018,2.33470542835091,2.20607152045279,1.73012606122974,2.06457422176486,2.01312065860561,2.34113712374582,3.20941600205814,4.09698996655518,4.7465912014407,5.71134551067661,6.69539490609725,6.65680473372781,4.6436840751222,3.40236686390533,2.34113712374582,2.07100591715976,1.86519166452277,1.85232827373296,1.6851041934654,1.29277077437613,1.31849755595575,1.00334448160535,1.17056856187291,1.06122974015951,1.01620787239516,0.681759711860046,0.559557499356831,0.289426292770774,0.122202212503216,0.0192950861847183,0.0064316953949061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,18974,2016-06-14 14:34:15.504,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55892409391384,5.63027125598359,7.63619785730568,7.27148392979257,7.40825165260998,6.31410987007066,5.99498518349669,4.85525416001824,4.05744244358331,3.57875541372236,2.39343514930476,2.64417597447003,2.75814907681787,2.57579211306132,2.00592660132209,2.39343514930476,2.46181901071347,2.27946204695692,2.05151584226123,2.11989970366993,2.09710508320036,2.4390243902439,2.59858673353089,1.98313198085252,1.96033736038295,1.82356963756553,1.25370412582631,1.59562343286984,0.888990198313198,0.683838614087075,0.706633234556645,0.319124686573969,0.136767722817415,0.341919307043538,0.136767722817415,0,0.0455892409391384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,19430,2016-06-11 08:04:38.401,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66766467065868,4.86526946107784,4.71556886227545,4.64071856287425,5.38922155688623,5.46407185628743,6.06287425149701,5.76347305389222,4.64071856287425,7.41017964071856,5.98802395209581,5.01497005988024,6.3622754491018,6.51197604790419,5.16467065868263,4.11676646706587,2.76946107784431,3.0688622754491,2.02095808383234,1.12275449101796,1.12275449101796,1.04790419161677,1.27245508982036,0.374251497005988,0.449101796407186,0.374251497005988,0.0748502994011976,0.0748502994011976,0.374251497005988,0.0748502994011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
