ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,3268,2016-06-20 11:19:18.8,SV,VIS,256,hue,0,0,0,0,0,0.0212359311955829,0.127415587173498,0.212359311955829,0.552134211085156,1.06179655977915,2.02803142917817,3.8543215119983,4.27904013590996,4.9798258653642,3.12168188575069,1.8687619452113,1.18921214695264,0.94499893820344,0.860055213421109,0.966234869399023,1.18921214695264,1.46527925249522,1.83690804841792,2.39966022510087,2.27224463792737,2.94117647058824,3.2278615417286,3.81184964960714,3.51454661286897,3.36589509449989,3.14291781694627,3.06859205776173,3.05797409216394,3.00488426417498,3.06859205776173,3.55701847526014,4.34274792949671,4.50201741346358,4.70375875982162,3.66319813123805,2.89870460819707,2.00679549798259,1.25291994053939,1.05117859418135,0.541516245487365,0.573370142280739,0.467190486302824,0.318538967933744,0.265449139944787,0.233595243151412,0.244213208749204,0.244213208749204,0.116797621575706,0.180505415162455,0.212359311955829,0.191123380760246,0.14865151836908,0.127415587173498,0.0849437247823317,0.127415587173498,0.106179655977915,0.0743257591845402,0.0637077935867488,0.0743257591845402,0.0743257591845402,0.0637077935867488,0.0106179655977915,0.0212359311955829,0.0106179655977915,0,0.0106179655977915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,3832,2016-06-13 17:49:17.966,SV,VIS,256,hue,0,0,0,0,0,0,0.16750418760469,0.234505862646566,1.13902847571189,1.50753768844221,1.70854271356784,2.3785594639866,2.14405360134003,1.70854271356784,1.13902847571189,1.4070351758794,1.20603015075377,1.20603015075377,1.54103852596315,1.74204355108878,2.57956448911223,2.68006700167504,3.04857621440536,2.61306532663317,2.91457286432161,3.91959798994975,3.55108877721943,4.0536013400335,3.91959798994975,3.11557788944724,2.94807370184255,3.785594639866,3.14907872696817,3.71859296482412,3.0820770519263,2.94807370184255,3.81909547738693,3.81909547738693,4.15410385259632,3.65159128978224,3.01507537688442,1.57453936348409,1.17252931323283,0.837520938023451,1.10552763819095,0.804020100502513,0.670016750418761,0.670016750418761,0.603015075376884,0.301507537688442,0.301507537688442,0.301507537688442,0.33500837520938,0.402010050251256,0.201005025125628,0.100502512562814,0.134003350083752,0.033500837520938,0.033500837520938,0.16750418760469,0.100502512562814,0.0670016750418761,0.0670016750418761,0.033500837520938,0.100502512562814,0.033500837520938,0.033500837520938,0.0670016750418761,0.033500837520938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,7718,2016-06-27 21:04:13.475,SV,VIS,256,hue,0,0,0,0.00509087206638497,0.0101817441327699,0.0254543603319249,0.0610904647966197,0.111999185460469,0.254543603319249,0.733085577559436,1.50689813164995,2.77961614824619,3.31415771521662,2.6777987069185,2.07198493101868,1.12508272667108,0.81963040268798,0.626177264165352,0.539632439036807,0.549814183169577,0.697449473094741,0.885811739550985,1.11999185460469,1.36944458585756,1.63926080537596,2.12289365168253,2.36725551086901,2.60652649798911,2.44870946393117,2.45380033599756,2.68798045105126,2.4741638242631,2.69816219518404,2.8101613806445,2.9476149264369,3.22252201802169,3.53306521407117,3.56870131853586,4.13887898997098,5.06032683398666,6.76576897622563,7.56503589064807,6.92358601028356,4.82105584686657,2.4741638242631,1.01308354121061,0.437814997709108,0.259634475385634,0.218907498854554,0.147635289925164,0.142544417858779,0.137453545792394,0.127271801659624,0.127271801659624,0.0865448251285445,0.0916356971949295,0.0509087206638497,0.0661813368630046,0.0814539530621596,0.0661813368630046,0.0559995927302347,0.0509087206638497,0.0610904647966197,0.0458178485974647,0.0356361044646948,0.0356361044646948,0.0203634882655399,0.0101817441327699,0.0101817441327699,0,0,0.00509087206638497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,8950,2016-06-20 11:19:18.8,SV,VIS,256,hue,0,0,0,0.00821018062397373,0.0246305418719212,0.0328407224958949,0.0410509031198686,0.139573070607553,0.459770114942529,0.927750410509031,2.04433497536946,4.31855500821018,5.43513957307061,4.82758620689655,2.94745484400657,1.73234811165846,0.9688013136289,0.714285714285714,0.582922824302135,0.533661740558292,0.467980295566503,0.673234811165846,0.697865353037767,1.01806239737274,1.14942528735632,1.35467980295567,1.42036124794745,1.41215106732348,1.80623973727422,1.86371100164204,1.80623973727422,2.05254515599343,2.05254515599343,2.26600985221675,2.41379310344828,2.95566502463054,3.86699507389163,4.52380952380952,6.60098522167488,9.03940886699507,9.17077175697865,7.65188834154351,3.44827586206897,1.30541871921182,0.500821018062397,0.303776683087028,0.254515599343186,0.246305418719212,0.188834154351396,0.197044334975369,0.180623973727422,0.172413793103448,0.205254515599343,0.238095238095238,0.114942528735632,0.139573070607553,0.114942528735632,0.0574712643678161,0.090311986863711,0.0492610837438424,0.0246305418719212,0.0410509031198686,0.0410509031198686,0.0246305418719212,0.0164203612479475,0.0246305418719212,0,0.00821018062397373,0.00821018062397373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,9124,2016-06-16 08:04:45.624,SV,VIS,256,hue,0,0,0,0,0.0136742786817995,0.0273485573635991,0.177765622863394,0.410228360453986,0.916176671680569,1.75030767127034,3.67838096540408,6.24914535758239,7.27471625871735,6.64569943935457,4.66292903049364,2.68015862163271,1.39477642554355,1.18966224531656,0.834130999589772,0.793108163544373,0.87515383563517,0.88882811431697,1.25803363872556,1.51784493367975,1.25803363872556,1.64091344181594,1.69561055654314,1.66826199917954,1.17598796663476,2.02379324490633,1.58621632708875,1.54519349104335,2.05114180226993,2.09216463831533,1.83235334336114,1.92807329413373,2.02379324490633,2.69383290031451,3.81512375222207,5.27827157117462,6.49528237385478,6.57732804594558,3.93819226035827,2.16053603172433,0.765759606180774,0.451251196499385,0.177765622863394,0.191439901545193,0.123068508136196,0.164091344181594,0.136742786817995,0.164091344181594,0.0683713934089977,0.136742786817995,0.0957199507725967,0.0683713934089977,0.0546971147271981,0.109394229454396,0.0820456720907972,0.109394229454396,0.0273485573635991,0.0546971147271981,0.0273485573635991,0.0820456720907972,0.0820456720907972,0.0683713934089977,0.0273485573635991,0,0,0,0.0136742786817995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,11254,2016-06-22 21:39:41.63,SV,VIS,256,hue,0,0,0,0.00726374664051718,0.00726374664051718,0.0508462264836203,0.108956199607758,0.138011186169826,0.377714825306893,0.980605796469819,2.02658531270429,3.15972978862497,3.84252197283359,3.40669717440256,2.30987143168446,1.43095808818188,1.04597951623447,0.777220890535338,0.857122103581027,1.2275731822474,1.57623302099223,1.73603544708361,1.99753032614222,2.31713517832498,2.42609137793274,2.57136631074308,2.52052008425946,2.44061887121377,2.12827776567153,2.21544272535774,2.37524515144912,2.1137502723905,2.46967385777584,2.70937749691291,2.71664124355342,2.7892787099586,2.8328611898017,3.12341105542239,4.91029272898961,6.39936079029563,6.83518558872666,5.86910728553788,3.87884070603617,2.25902520520084,1.24210067552844,0.646473451006029,0.392242318587928,0.28328611898017,0.239703639137067,0.261494879058618,0.217912399215515,0.167066172731895,0.188857412653447,0.167066172731895,0.159802426091378,0.079901213045689,0.145274932810344,0.101692452967241,0.138011186169826,0.116219946248275,0.0944287063267233,0.079901213045689,0.0944287063267233,0.0435824798431031,0.0871649596862061,0.0217912399215515,0.0217912399215515,0.0217912399215515,0.0145274932810344,0.00726374664051718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,13282,2016-06-13 17:49:17.966,SV,VIS,256,hue,0,0,0,0,0.0245519273262951,0.0245519273262951,0.294623127915541,0.515590473852197,1.39945985759882,2.28332924134545,3.63368524429168,4.81217775595384,3.26540633439725,2.11146575006138,1.42401178492512,0.957525165725509,0.761109747115149,0.466486619199607,0.466486619199607,0.491038546525902,0.834765529094034,0.834765529094034,0.883869383746624,1.15394058433587,1.22759636631476,1.79229069481954,2.23422538669286,2.06236189540879,2.16056960471397,2.57795236926099,2.16056960471397,2.70071200589246,2.74981586054505,3.16719862509207,2.94623127915541,4.19837957279646,4.44389884605942,4.86128161060643,6.65357230542598,7.21826663393076,5.91701448563712,4.71397004664866,3.04443898846059,2.23422538669286,1.15394058433587,0.687453965136263,0.564694328504788,0.515590473852197,0.392830837220722,0.245519273262951,0.196415418610361,0.122759636631476,0.0491038546525902,0.0491038546525902,0.122759636631476,0.0491038546525902,0,0.0491038546525902,0.0491038546525902,0,0.0491038546525902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,13852,2016-06-24 15:17:01.163,SV,VIS,256,hue,0,0,0.0064316953949061,0.0064316953949061,0.0128633907898122,0.0064316953949061,0.0771803447388732,0.102907126318498,0.360174942114741,0.739644970414201,1.4728582454335,2.72703884744018,3.42809364548495,2.91998970928737,1.71083097504502,1.29277077437613,0.919732441471572,0.752508361204013,0.720349884229483,0.771803447388732,0.881142269102135,1.14484178029329,1.74298945201955,1.89091844610239,2.17391304347826,2.79778749678415,2.84280936454849,3.15796243889889,3.01003344481605,2.96501157705171,3.08078209416002,2.85567275533831,2.83637766915359,3.15796243889889,3.13223565731927,3.4859789040391,3.47311551324929,4.38641625932596,5.42191921790584,6.42526369951119,6.67609981991253,4.75302289683561,3.08721378955493,1.31206586056084,0.752508361204013,0.495240545407769,0.340879855930023,0.302289683560587,0.276562901980962,0.237972729611526,0.302289683560587,0.237972729611526,0.218677643426807,0.225109338821713,0.205814252636995,0.167224080267559,0.167224080267559,0.192950861847183,0.186519166452277,0.154360689477746,0.128633907898122,0.109338821713404,0.109338821713404,0.135065603293028,0.102907126318498,0.0707486493439671,0.064316953949061,0.0450218677643427,0.0192950861847183,0.0128633907898122,0.0128633907898122,0.0064316953949061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,18974,2016-06-14 14:34:15.504,SV,VIS,256,hue,0,0,0,0,0.0455892409391384,0.113973102347846,0.341919307043538,0.888990198313198,1.50444495099157,2.39343514930476,4.30818326874858,7.04353772509688,5.4707089126966,4.49054023250513,2.82653293822658,1.91474811944381,1.34488260770458,1.1853202644176,1.27649874629587,1.39047184864372,1.8463642580351,2.02872122179166,2.4390243902439,3.00888990198313,2.68976521540916,3.10006838386141,3.57875541372236,2.46181901071347,2.91771142010486,2.89491679963529,2.16548894460907,2.62138135400046,2.62138135400046,2.68976521540916,2.66697059493959,2.91771142010486,2.87212217916572,2.55299749259175,2.57579211306132,2.57579211306132,2.0743104627308,1.50444495099157,1.04855254160018,0.888990198313198,0.54707089126966,0.56986551173923,0.364713927513107,0.250740825165261,0.319124686573969,0.250740825165261,0.319124686573969,0.319124686573969,0.227946204695692,0.0911784818782767,0.113973102347846,0.0455892409391384,0.113973102347846,0.113973102347846,0.0683838614087075,0.113973102347846,0.136767722817415,0.0911784818782767,0.159562343286984,0.159562343286984,0.0911784818782767,0.159562343286984,0.0455892409391384,0.0227946204695692,0,0.0227946204695692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa017AA031206,BTx623,Grain 1,10,19430,2016-06-11 08:04:38.401,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748502994011976,0.0748502994011976,0.598802395209581,0.973053892215569,1.34730538922156,1.87125748502994,1.57185628742515,2.39520958083832,2.69461077844311,2.9940119760479,2.61976047904192,3.1437125748503,2.84431137724551,2.84431137724551,3.44311377245509,3.59281437125748,2.9940119760479,2.9940119760479,2.76946107784431,2.91916167664671,3.51796407185629,3.74251497005988,5.23952095808383,5.91317365269461,5.31437125748503,7.03592814371257,5.31437125748503,4.19161676646707,3.89221556886228,1.87125748502994,1.87125748502994,1.34730538922156,1.49700598802395,1.04790419161677,0.748502994011976,0.523952095808383,0.149700598802395,0.224550898203593,0.374251497005988,0.374251497005988,0.0748502994011976,0.224550898203593,0.0748502994011976,0.224550898203593,0.224550898203593,0.0748502994011976,0,0,0.0748502994011976,0,0,0.0748502994011976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
