ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,2708,2016-06-28 17:58:25.685,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46978769733261,1.43168209036473,1.29014697876973,1.5405552531301,1.9270549809472,2.01959716929777,2.58029395753947,2.93413173652695,3.1355470876429,2.90146978769733,2.8198149156233,2.53130103429505,2.6619488296135,3.51660315732172,4.70876428960261,6.43984757757213,7.93685356559608,10.1197604790419,9.8421339139902,8.36145890038106,5.80838323353293,3.99564507348939,2.56396298312466,1.67120304844856,1.18671747414262,1.0506260206859,0.865541643984758,0.538922155688623,0.571584104518236,0.397387044093631,0.326619488296135,0.25040827436037,0.234077299945563,0.119760479041916,0.114316820903647,0.0707675557974959,0.0326619488296135,0.0163309744148067,0.0163309744148067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,3542,2016-06-24 15:22:34.411,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71072417886822,2.16660071230708,2.19628017411951,2.31499802136921,2.90858725761773,3.5615354174911,3.97704788286506,3.97704788286506,4.29362880886427,5.07518796992481,4.62010288880095,4.34309457855164,4.51127819548872,4.29362880886427,3.90779580530273,4.11555203798971,4.14523149980214,5.50059358923625,5.6390977443609,6.15354174910962,5.08508112386229,3.98694103680253,3.13612979817966,2.01820340324495,1.6818361693708,1.13771270280966,0.73209339137317,0.415512465373961,0.455085081123862,0.464978235061338,0.277008310249307,0.118717847249703,0.0593589236248516,0.00989315393747527,0,0.00989315393747527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8442,2016-06-18 17:54:52.884,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37662337662338,2.84186401833461,2.87242169595111,2.90297937356761,3.80443086325439,4.36974789915966,5.24064171122995,6.26432391138274,6.646294881589,7.01298701298701,6.92131398013751,5.36287242169595,4.36974789915966,3.34606569900688,3.20855614973262,3.22383498854087,3.78915202444614,4.70588235294118,4.62948815889992,4.09472880061115,3.43773873185638,3.26967150496562,2.04736440030558,0.993124522536287,0.473644003055768,0.229182582123759,0.290297937356761,0.137509549274255,0.0611153552330023,0.0458365164247517,0.0305576776165011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8976,2016-06-17 21:10:52.154,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18769923120195,3.22520157509844,3.86274142133883,4.12525782861429,4.48153009563098,5.86911681980124,6.63791486967936,7.12544534033377,7.5379711231952,7.91299456216013,6.58166135383461,4.96906056628539,4.16276017251078,3.63772735795987,2.62516407275455,3.86274142133883,3.84399024939059,4.23776486030377,3.63772735795987,2.83142696418526,1.83761485092818,0.956309769360585,0.862553909619351,0.468779298706169,0.506281642602663,0.450028126757922,0.243765235327208,0.206262891430714,0.0562535158447403,0.0375023438964935,0.0187511719482468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,14808,2016-06-17 21:10:52.154,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32342007434944,3.11338289962825,3.0359355638166,3.26827757125155,4.32156133828996,5.80855018587361,6.39714993804213,7.18711276332094,7.72924411400248,7.49690210656753,7.91511771995043,6.7998760842627,5.15799256505576,4.47645600991326,3.67100371747212,3.4541511771995,2.89653035935564,3.14436183395291,2.88104089219331,2.60223048327138,1.90520446096654,1.33209417596035,0.929368029739777,0.650557620817844,0.40272614622057,0.356257744733581,0.247831474597274,0.185873605947955,0.139405204460967,0.0774473358116481,0.0619578686493185,0.0154894671623296,0.0154894671623296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,17702,2016-06-24 15:22:34.411,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98376084148367,1.70695700313711,2.06680199298764,2.03912160915298,2.30669865288799,2.95257427569662,3.66303746078612,4.0505628344713,4.9547887064034,4.81638678723012,4.42886141354493,4.17051116442148,3.92138770990958,4.30891308359476,4.2443255213139,5.34231408008858,5.87746816755859,6.77246724487913,8.51633142646245,7.42756966229932,5.4345820262041,3.52463554161284,1.77154456541797,1.03340099649382,0.793504336593467,0.562834471304669,0.313711016792766,0.322937811404318,0.0922679461155195,0.193762686842591,0.0830411515039675,0.0922679461155195,0.0922679461155195,0.0645875622808636,0.0369071784462078,0.0184535892231039,0.0184535892231039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18006,2016-06-25 11:27:13.568,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53840389659048,2.82877482203072,2.3510678156613,2.48220307231173,2.63207193705508,3.04421131509929,3.24091420007493,3.60621955788685,4.24316223304608,4.6553016110903,4.6553016110903,4.22442862495317,4.12139378044211,3.87785687523417,3.27838141626077,3.68115399025852,3.69988759835144,4.24316223304608,4.89883851629824,5.9666541775946,5.44211315099288,5.27351067815661,4.03709254402398,2.88497564630948,2.0044960659423,1.71412514050206,1.43312101910828,0.927313600599475,0.412139378044211,0.552641438741101,0.299737729486699,0.262270513300862,0.215436493068565,0.159235668789809,0.0562008242787561,0.0468340202322967,0,0.00936680404645935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18022,2016-06-15 11:24:57.182,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57142857142857,3.76862401402279,5.23663453111306,5.56529360210342,6.81419807186678,7.93163891323401,8.10692375109553,8.15074496056091,8.56704645048203,7.09903593339176,5.54338299737073,4.64504820333041,3.24276950043821,2.1034180543383,2.01577563540754,2.30061349693252,2.47589833479404,2.23488168273444,2.3444347063979,1.79666958808063,1.95004382120947,1.62138475021911,0.832602979842244,0.766871165644172,0.372480280455741,0.394390885188431,0.219106047326906,0.131463628396144,0.153374233128834,0.0438212094653812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18740,2016-06-21 08:10:16.908,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42542514636186,2.45330359632004,2.71814887092278,2.60663507109005,2.8436018957346,3.70783384443825,3.86116531920825,4.78115416782827,5.26902704209646,5.65932534151101,5.32478394201282,4.99024254251464,4.34903819347644,3.52662391971006,3.48480624477279,3.37329244494006,3.02481182046278,3.54056314468916,4.65570114301645,5.49205464176192,5.85447449121829,5.18539169222191,3.51268469473097,2.5229997212155,1.31028714803457,0.83635349874547,0.683022023975467,0.515751324226373,0.376359074435461,0.432115974351826,0.334541399498188,0.195149149707276,0.0696961248954558,0.0278784499581823,0.0418176749372735,0.0139392249790912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18838,2016-06-22 21:45:15.906,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2198855006426,2.71059703236359,2.30167075592943,2.88585115083538,3.29477742726954,3.69202009580559,4.32293492230401,5.76001869377264,5.304357985746,6.50776959925225,6.22736300969739,6.75312536511275,6.32083187288235,5.42119406472719,5.37445963313471,5.31604159364412,5.68991704638392,5.33940880944036,4.52155625657203,2.73396424815983,1.88106087159715,1.51886902675546,1.13330996611754,0.806168944970207,0.514078747517233,0.350508236943568,0.338824629045449,0.268722981656736,0.0934688631849515,0.116836078981189,0.116836078981189,0.0467344315924758,0.0701016473887136,0.0116836078981189,0,0.0116836078981189,0,0,0.0233672157962379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
