ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,2708,2016-06-28 17:58:25.685,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272182906913446,0.119760479041916,0.626020685900925,1.6984213391399,3.64725095264017,6.43440391943386,8.74795862819815,9.04191616766467,8.60097985846489,6.48884050081655,5.65051714752314,4.54545454545455,4.08818726183996,3.28252585737616,2.60751224823081,2.60751224823081,2.30266739248775,2.15568862275449,2.0141535111595,1.62221012520414,1.56232988568318,1.30647795318454,1.25204137180185,0.919978225367447,0.865541643984758,0.571584104518236,0.419161676646707,0.511703864997278,0.484485574305934,0.658682634730539,0.680457267283615,0.870985302123027,1.09417528579205,1.44256940664126,1.79096352749047,1.78007621121394,1.83995645073489,1.74197060424605,1.51333696243876,1.06695699510071,0.647795318454001,0.370168753402286,0.20141535111595,0.065323897659227,0.0272182906913446,0.00544365813826892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,3542,2016-06-24 15:22:34.411,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296794618124258,0.247328848436882,0.435298773248912,1.49386624455877,2.59200633161852,3.93747526711516,5.07518796992481,5.34230312623664,4.89711119905026,4.87732489117531,4.08587257617729,3.92758211317768,3.6406806489909,3.53185595567867,3.67036011080332,4.13533834586466,4.16501780767709,3.70003957261575,3.19548872180451,2.82944202611793,2.49307479224377,2.06766917293233,1.77087455480807,1.46418678274634,1.17728531855956,0.949742777997626,0.93984962406015,0.771666007123071,1.0387811634349,1.14760585674713,1.54333201424614,1.94895132568263,2.54254056193114,3.06687772061733,3.04709141274238,2.54254056193114,1.9192718638702,1.57301147605857,0.989315393747527,0.56390977443609,0.286901464186783,0.197863078749505,0.0890383854372774,0.00989315393747527,0.0197863078749505,0,0,0,0.0197863078749505,0.00989315393747527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8442,2016-06-18 17:54:52.884,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152788388082506,0.0916730328495034,0.504201680672269,1.14591291061879,2.15431627196333,2.73491214667685,3.13216195569137,3.63636363636364,3.72803666921314,3.39190221543163,2.7807486631016,2.6890756302521,2.7807486631016,2.41405653170359,2.7807486631016,2.85714285714286,3.46829640947288,2.93353705118411,2.82658517952636,2.84186401833461,2.67379679144385,2.16959511077158,1.57372039724981,1.4514896867838,1.2375859434683,0.886172650878533,0.993124522536287,1.3292589763178,1.57372039724981,1.66539343009931,1.98624904507257,2.58212375859435,2.94881588999236,3.55996944232238,4.1100076394194,4.61420932009167,4.84339190221543,3.88082505729565,3.13216195569137,1.69595110771581,1.10007639419404,0.488922841864018,0.27501909854851,0.229182582123759,0.0611153552330023,0.0305576776165011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8976,2016-06-17 21:10:52.154,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375023438964935,0.206262891430714,0.675042190136884,1.74385899118695,2.68141758859929,3.43146446652916,3.97524845302831,3.78773673354585,3.33770860678792,3.03768985561598,2.90643165197825,3.61897618601163,3.4877179823739,3.35645977873617,3.43146446652916,3.4877179823739,2.86892930808176,2.10013125820364,1.66885430339396,1.20007500468779,1.42508906806675,0.843802737671104,0.900056253515845,1.05006562910182,1.65010313144572,1.59384961560097,2.28764297768611,2.43765235327208,3.05644102756422,4.10650665666604,4.46277892368273,4.91280705044065,5.32533283330208,4.51903243952747,3.63772735795987,2.83142696418526,1.78136133508344,1.12507031689481,0.562535158447403,0.243765235327208,0.131258203637727,0.0375023438964935,0.0375023438964935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,14808,2016-06-17 21:10:52.154,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154894671623296,0,0.0154894671623296,0.232342007434944,0.728004956629492,1.59541511771995,2.85006195786865,3.02044609665427,3.3457249070632,2.91201982651797,2.81908302354399,2.44733581164808,1.87422552664188,1.59541511771995,1.96716232961586,2.16852540272615,2.52478314745973,2.66418835192069,2.49380421313507,2.81908302354399,2.38537794299876,2.10656753407683,2.27695167286245,1.70384138785626,1.75030978934325,1.28562577447336,1.27013630731103,1.81226765799256,2.02912019826518,2.23048327137546,2.75712515489467,3.93432465923172,4.27509293680297,5.21995043370508,5.68463444857497,5.87050805452292,4.75526641883519,4.182156133829,3.02044609665427,1.56443618339529,0.991325898389095,0.4182156133829,0.247831474597274,0.0619578686493185,0.0619578686493185,0.0154894671623296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,17702,2016-06-24 15:22:34.411,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184535892231039,0.101494740727071,0.470566525189149,1.44860675401366,3.37700682782801,4.42886141354493,5.16700498246909,4.61339730577597,4.12437719136372,3.94906809374423,3.84757335301716,3.87525373685182,3.76453220151319,3.91216091529803,3.44159439010888,4.07824321830596,3.36778003321646,3.02638863258904,2.72190441040782,2.49123454511903,2.05757519837608,1.93762686842591,1.64236944085625,1.66082303007935,1.08876176416313,0.968813434212954,0.673556006643292,0.682782801254844,0.692009595866396,0.839638309651227,0.931906255766747,1.46706034323676,1.6515962354678,2.05757519837608,2.41742018822661,3.15556375715077,2.98025465953128,3.17401734637387,2.69422402657317,1.97453404687212,1.26407086178262,0.876545488097435,0.42443255213139,0.230669865288799,0.119948329950175,0.0461339730577597,0.0276803838346558,0.00922679461155195,0.00922679461155195,0,0.00922679461155195,0,0.00922679461155195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18006,2016-06-25 11:27:13.568,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936680404645935,0.0468340202322967,0.0936680404645935,0.618209067066317,1.35818658673661,2.91307605844886,4.49606594230049,5.95728737354815,5.55451479955039,4.85200449606594,4.79580367178719,4.31809666541776,4.03709254402398,3.9621581116523,4.06519295616336,3.72798801049082,4.06519295616336,3.69988759835144,3.72798801049082,3.36268265267891,2.81940801798426,2.38853503184713,2.21056575496441,1.64855751217685,1.50805545147995,1.25515174222555,1.05844885724991,0.974147620831772,1.14275009366804,1.03971524915699,1.20831772199326,1.32071937055077,1.59235668789809,1.6579243162233,2.33233420756838,2.56650430872986,2.31360059947546,2.10753091045335,1.47058823529412,0.730610715623829,0.524541026601724,0.234170101161484,0.0843012364181341,0.0468340202322967,0.0187336080929187,0.0562008242787561,0,0.0187336080929187,0.00936680404645935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18022,2016-06-15 11:24:57.182,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219106047326906,0.131463628396144,0.460122699386503,0.7011393514461,1.68711656441718,2.60736196319018,3.06748466257669,2.45398773006135,2.21297107800175,1.6432953549518,1.75284837861525,2.01577563540754,1.75284837861525,2.23488168273444,2.21297107800175,2.49780893952673,2.51971954425942,1.90622261174408,1.84049079754601,1.57756354075372,1.42418930762489,0.942156003505697,1.13935144609991,1.44609991235758,1.55565293602103,1.95004382120947,2.60736196319018,4.09728308501315,4.6669588080631,6.22261174408414,6.57318141980719,6.98948290972831,7.05521472392638,6.46362839614373,4.29447852760736,3.19894829097283,2.12532865907099,1.05170902716915,0.525854513584575,0.306748466257669,0.0438212094653812,0.0219106047326906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18740,2016-06-21 08:10:16.908,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278784499581823,0.0418176749372735,0.264845274602732,0.808475048787287,1.51937552272094,3.40117089489824,3.81934764427098,3.87510454418734,4.16782826874826,3.80540841929189,3.35935321996097,2.91329802063005,3.13632562029551,3.13632562029551,3.49874546975188,3.37329244494006,3.34541399498188,3.28965709506551,3.42904934485643,3.24783942012824,3.05269027042096,2.38360747142459,1.8957345971564,1.88179537217731,1.75634234736549,1.17089489824366,0.850292723724561,1.03150264845275,1.21271257318093,1.14301644828548,1.37998327293002,1.63088932255367,2.10482297184277,2.6763311959855,2.53693894619459,3.65207694452188,3.81934764427098,3.56844159464734,2.38360747142459,2.16057987175913,1.44967939782548,0.878171173682743,0.432115974351826,0.223027599665459,0.181209924728185,0.0418176749372735,0.0278784499581823,0,0.0139392249790912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18838,2016-06-22 21:45:15.906,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116836078981189,0.0116836078981189,0.0817852552868326,0.245355765860498,0.724383689683374,1.81095922420844,3.45834793784321,4.08926276434163,5.00058418039491,5.09405304357986,4.97721696459867,4.41640378548896,3.56350040892628,3.78548895899054,3.62191844841687,4.72017759084005,4.32293492230401,4.47482182497955,3.68033648790747,3.52844958523192,3.10783970089964,2.50029209019745,2.13810024535577,1.69412314522725,1.39034933987615,1.01647388713635,1.30856408458932,1.02815749503447,1.39034933987615,1.42540016357051,1.88106087159715,1.98621334268022,2.78069867975231,3.0844724851034,2.78069867975231,3.00268722981657,2.2198855006426,1.53055263465358,0.946372239747634,0.560813179109709,0.292090197452973,0.163570510573665,0.0116836078981189,0.0350508236943568,0.0233672157962379,0.0233672157962379,0.0467344315924758,0,0,0,0,0.0116836078981189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
