ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,2708,2016-06-28 17:58:25.685,SV,VIS,256,hue,0,0,0,0,0,0.0163309744148067,0.0435492651061513,0.0925421883505716,0.272182906913446,0.669569951007077,1.50789330430049,2.62928688078389,3.08111050626021,2.8198149156233,2.19923788786064,1.32280892759935,0.762112139357648,0.495372890582471,0.391943385955362,0.35383777898748,0.4028307022319,0.566140446379967,0.745781164942842,0.85465432770822,0.974414806750136,1.12683723462167,1.31736526946108,1.39357648339684,1.62765378334241,1.59499183451279,2.0141535111595,1.66031573217202,1.50789330430049,1.78007621121394,2.28089275993468,2.82525857376157,3.58192705498095,3.75612411540555,4.28960261295591,5.04627109417529,6.52150244964616,9.59172563962983,9.23244420250408,8.11649428415896,4.9210669569951,2.20468154599891,1.02885138813283,0.484485574305934,0.234077299945563,0.146978769733261,0.185084376701143,0.15242242787153,0.146978769733261,0.136091453456723,0.190528034839412,0.065323897659227,0.108873162765378,0.0544365813826892,0.0762112139357648,0.065323897659227,0.0598802395209581,0.0435492651061513,0.065323897659227,0.0544365813826892,0.0326619488296135,0.0489929232444202,0,0.0108873162765378,0.0108873162765378,0,0.00544365813826892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,3542,2016-06-24 15:22:34.411,SV,VIS,256,hue,0,0,0,0,0.00989315393747527,0.0593589236248516,0.0791452314998021,0.227542540561931,0.484764542936288,1.16739216462208,2.30510486743174,3.50217649386624,4.54095765730115,4.35298773248912,2.97783933518006,1.82034032449545,1.19707162643451,0.860704392560348,0.613375544123467,0.771666007123071,1.13771270280966,1.35536208943411,1.51365255243372,1.61258409180847,2.08745548080728,2.27542540561931,3.01741195092996,3.07677087455481,2.69093787099327,3.03719825880491,2.22595963593194,2.92837356549268,2.81954887218045,2.82944202611793,2.97783933518006,3.74950534230313,3.47249703205382,4.23426988523941,4.62010288880095,5.09497427779976,5.00593589236249,4.35298773248912,2.50296794618124,1.86980609418283,1.24653739612188,0.603482390185991,0.336367233874159,0.415512465373961,0.35615354174911,0.18796992481203,0.178076770874555,0.217649386624456,0.128611001187178,0.118717847249703,0.128611001187178,0.0989315393747527,0.0989315393747527,0.0593589236248516,0.0593589236248516,0.0593589236248516,0.0395726157499011,0.0395726157499011,0.0494657696873763,0.0692520775623269,0.00989315393747527,0.0197863078749505,0.00989315393747527,0,0.00989315393747527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8442,2016-06-18 17:54:52.884,SV,VIS,256,hue,0,0,0,0,0,0,0.198624904507257,0.458365164247517,0.855614973262032,1.89457601222307,3.88082505729565,5.85179526355997,8.14362108479756,7.11993888464477,4.61420932009167,3.23911382734912,1.72650878533231,1.37509549274255,0.901451489686784,0.763941940412529,0.80977845683728,0.962566844919786,1.05423987776929,1.49732620320856,1.55844155844156,1.72650878533231,1.95569136745607,2.42933537051184,1.77234530175707,2.21543162719633,1.4514896867838,2.32238349885409,2.15431627196333,1.81818181818182,2.38349885408709,2.15431627196333,2.36822001527884,2.97937356760886,3.22383498854087,4.17112299465241,4.43086325439267,4.21695951107716,3.39190221543163,1.72650878533231,1.00840336134454,0.397249809014515,0.244461420932009,0.27501909854851,0.25974025974026,0.168067226890756,0.198624904507257,0.229182582123759,0.106951871657754,0.168067226890756,0.168067226890756,0.122230710466005,0.0763941940412529,0.0916730328495034,0.0611153552330023,0.0916730328495034,0.0458365164247517,0.0763941940412529,0.0763941940412529,0.122230710466005,0.0611153552330023,0.0611153552330023,0.0305576776165011,0.0305576776165011,0.0305576776165011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8976,2016-06-17 21:10:52.154,SV,VIS,256,hue,0,0,0,0.0187511719482468,0,0.0562535158447403,0.300018751171948,0.262516407275455,1.03131445715357,1.95012188261766,4.20026251640728,6.82542658916182,7.55672229514345,8.08175510969436,5.86911681980124,3.86274142133883,2.36264766547909,1.85636602287643,0.956309769360585,0.787549221826364,0.675042190136884,0.675042190136884,0.768798049878117,1.10631914494656,1.03131445715357,1.33133320832552,1.87511719482468,1.7626101631352,2.0438777423589,2.10013125820364,1.98762422651416,2.25014063378961,2.10013125820364,2.55015938496156,2.19388711794487,2.90643165197825,3.07519219951247,3.78773673354585,4.01275079692481,3.82523907744234,3.86274142133883,2.9251828239265,1.63135195949747,0.975060941308832,0.562535158447403,0.468779298706169,0.206262891430714,0.318769923120195,0.225014063378961,0.187511719482468,0.0937558597412338,0.112507031689481,0.112507031689481,0.0750046877929871,0.0375023438964935,0.0375023438964935,0.0375023438964935,0,0.0375023438964935,0.0187511719482468,0.0187511719482468,0.0187511719482468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,14808,2016-06-17 21:10:52.154,SV,VIS,256,hue,0,0,0,0,0.0464684014869888,0.0309789343246592,0.185873605947955,0.449194547707559,1.27013630731103,2.63320941759603,4.97211895910781,7.91511771995043,10.4553903345725,8.34882280049566,5.52973977695167,3.7639405204461,2.10656753407683,1.54894671623296,1.44052044609665,1.34758364312268,1.27013630731103,1.57992565055762,1.78128872366791,1.87422552664188,2.07558859975217,2.06009913258984,2.18401486988848,1.84324659231722,1.82775712515489,1.61090458488228,1.02230483271375,1.19268897149938,1.39405204460967,1.37856257744734,1.37856257744734,1.82775712515489,2.44733581164808,2.12205700123916,2.89653035935564,2.81908302354399,2.54027261462206,2.46282527881041,1.73482032218092,1.16171003717472,0.758983890954151,0.495662949194548,0.263320941759603,0.263320941759603,0.263320941759603,0.154894671623296,0.170384138785626,0.170384138785626,0.170384138785626,0.139405204460967,0.0619578686493185,0.0464684014869888,0.108426270136307,0.0619578686493185,0.108426270136307,0.0464684014869888,0.0309789343246592,0.0154894671623296,0.0154894671623296,0.0154894671623296,0.0154894671623296,0,0.0619578686493185,0.0154894671623296,0,0,0,0.0154894671623296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,17702,2016-06-24 15:22:34.411,SV,VIS,256,hue,0.00922679461155195,0,0,0,0.0184535892231039,0.0369071784462078,0.0738143568924156,0.184535892231039,0.489020114412253,0.968813434212954,2.24211109060712,4.40118102971028,5.73906624838531,5.36999446392323,3.22015131943163,1.97453404687212,1.1718029156671,0.7104631850895,0.562834471304669,0.396752168296734,0.701236390477948,0.75659715814726,0.987267023436058,1.52242111090607,1.38401919173279,1.47628713784831,1.70695700313711,1.90994648459125,2.1129359660454,2.18675032293781,2.16829673371471,2.30669865288799,2.6111828750692,2.62040966968075,3.05406901642369,2.75881158885403,2.89721350802731,3.14633696253921,3.40468721166267,3.26628529248939,4.10592360214062,4.68721166266839,5.39767484775789,5.56375715076582,4.06901642369441,2.1129359660454,1.02417420188227,0.498246909023805,0.239896659900351,0.193762686842591,0.138401919173279,0.166082303007935,0.138401919173279,0.193762686842591,0.156855508396383,0.129175124561727,0.0830411515039675,0.0922679461155195,0.0738143568924156,0.0553607676693117,0.0553607676693117,0.0553607676693117,0.0645875622808636,0.0276803838346558,0.0369071784462078,0.0184535892231039,0.0276803838346558,0.0184535892231039,0,0.00922679461155195,0.0184535892231039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18006,2016-06-25 11:27:13.568,SV,VIS,256,hue,0,0,0,0,0.0187336080929187,0.0655676283252154,0.0749344323716748,0.177969276882728,0.393405769951293,0.805545147995504,1.54552266766579,2.86624203821656,3.65305357811915,4.09329336830274,2.9037092544024,2.03259647808168,1.20831772199326,0.71187710753091,0.908579992506557,0.786811539902585,1.00224803297115,1.47058823529412,1.44248782315474,1.91082802547771,2.18246534282503,2.57587111277632,2.59460472086924,3.02547770700637,2.82877482203072,2.99737729486699,2.64143874110154,2.99737729486699,3.00674409891345,3.18471337579618,3.41888347695766,3.72798801049082,3.90595728737355,4.73960284750843,4.94567253653054,4.82390408392656,4.14949419258149,3.25028100412139,2.72573997751967,1.7515923566879,1.08654926938928,0.852379168227801,0.646309479205695,0.487073810415886,0.487073810415886,0.374672161858374,0.224803297115024,0.252903709254402,0.29037092544024,0.271637317347321,0.252903709254402,0.168602472836268,0.224803297115024,0.159235668789809,0.121768452603972,0.103034844511053,0.0562008242787561,0.0936680404645935,0.0655676283252154,0.0468340202322967,0.0187336080929187,0.0562008242787561,0.0562008242787561,0.0187336080929187,0.0187336080929187,0.00936680404645935,0.00936680404645935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18022,2016-06-15 11:24:57.182,SV,VIS,256,hue,0,0,0,0,0.0438212094653812,0.0657318141980719,0.416301489921122,0.394390885188431,1.68711656441718,2.8045574057844,5.98159509202454,9.75021910604733,10.6047326906223,10.5170902716915,8.08501314636284,4.11919368974584,2.82646801051709,1.6432953549518,1.00788781770377,1.24890446976337,1.05170902716915,0.7011393514461,0.876424189307625,1.38036809815951,1.33654688869413,1.33654688869413,1.42418930762489,1.81858019281332,1.77475898334794,1.42418930762489,1.11744084136722,1.4022787028922,1.53374233128834,1.55565293602103,1.75284837861525,1.75284837861525,1.99386503067485,2.49780893952673,2.54163014899211,2.03768624014023,2.25679228746713,1.68711656441718,0.788781770376862,0.547765118317266,0.372480280455741,0.197195442594216,0.175284837861525,0.328659070990359,0.153374233128834,0.109553023663453,0.109553023663453,0.153374233128834,0.0219106047326906,0.0219106047326906,0.0657318141980719,0.0876424189307625,0.0657318141980719,0.0219106047326906,0.131463628396144,0.0438212094653812,0,0.0438212094653812,0,0.0438212094653812,0.0219106047326906,0.0438212094653812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18740,2016-06-21 08:10:16.908,SV,VIS,256,hue,0,0,0,0,0,0.0418176749372735,0.0418176749372735,0.292723724560914,0.794535823808196,1.19877334820184,2.66239197100641,4.43267354335099,5.63144689155283,5.72902146640647,4.39085586841372,2.55087817117368,1.61695009757457,1.22665179816002,0.752718148870923,0.989684973515473,0.975745748536381,0.892110398661834,1.32422637301366,1.65876777251185,1.63088932255367,1.92361304711458,1.97936994703095,2.5229997212155,2.11876219682186,2.63451352104823,2.18845832171731,2.96905492054642,2.46724282129914,2.56481739615277,2.73208809590187,3.09450794535824,2.95511569556733,3.3175355450237,4.22358516866462,4.00055756899916,4.5720657931419,4.05631446891553,3.74965151937552,2.42542514636186,1.35210482297184,0.613325899080011,0.418176749372735,0.278784499581823,0.306662949540006,0.23696682464455,0.153331474770003,0.153331474770003,0.083635349874547,0.250906049623641,0.139392249790912,0.12545302481182,0.0278784499581823,0.0278784499581823,0.0975745748536381,0.0975745748536381,0.0278784499581823,0.0557568999163646,0.0557568999163646,0.0418176749372735,0.0696961248954558,0.0278784499581823,0.0139392249790912,0.0139392249790912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18838,2016-06-22 21:45:15.906,SV,VIS,256,hue,0,0,0,0,0,0.10515247108307,0.0817852552868326,0.140203294777427,0.467344315924758,0.99310667134011,1.93947891108774,3.91400864586984,4.813646454025,4.90711531720995,3.85559060637925,2.25493632433696,1.22677882930249,0.87627059235892,0.934688631849515,0.887954200257039,1.32024769248744,1.47213459516299,1.79927561631032,2.17315106905012,2.37177240331814,3.02605444561281,2.72228064026171,2.75733146395607,3.02605444561281,3.20130856408459,2.19651828484636,3.0844724851034,2.79238228765043,2.66386260077112,2.652178992873,2.64049538497488,3.41161350625073,3.5751840168244,3.68033648790747,4.31125131440589,3.82053978268489,3.64528566421311,3.03773805351092,2.00958055847646,1.57728706624606,1.16836078981189,0.572496787007828,0.432293492230401,0.303773805351092,0.210304942166141,0.175254118471784,0.116836078981189,0.0934688631849515,0.210304942166141,0.0584180394905947,0.0467344315924758,0.0350508236943568,0.0116836078981189,0.0233672157962379,0.0934688631849515,0.0116836078981189,0.0233672157962379,0.0233672157962379,0,0,0.0116836078981189,0,0.0116836078981189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
