ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,2707,2016-06-28 17:58:25.685,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510986203372509,0,0.664282064384262,4.75217169136433,8.12468063362289,3.21921308124681,1.58405723045478,0.766479305058763,1.02197240674502,1.32856412876852,1.02197240674502,0.715380684721513,0.766479305058763,0.510986203372509,0.817577925396014,1.17526826775677,1.27746550843127,0.766479305058763,0.766479305058763,0.613183444047011,0.817577925396014,0.868676545733265,2.29943791517629,2.04394481349004,2.45273377618804,2.24833929483904,3.0148185998978,2.6060296371998,1.94174757281553,2.65712825753705,2.29943791517629,4.03679100664282,5.67194685743485,6.84721512519162,9.29994890137966,9.14665304036791,6.08073582013286,4.13898824731732,1.58405723045478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,3541,2016-06-24 15:22:34.411,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768639508070715,2.22905457340507,9.83858570330515,9.22367409684858,2.152190622598,0.691775557263643,0.845503458877786,0.999231360491929,1.92159877017679,0.922367409684858,0.614911606456572,0.461183704842429,0.845503458877786,1.84473481936972,1.53727901614143,1.99846272098386,1.99846272098386,2.152190622598,1.84473481936972,1.53727901614143,2.84396617986164,3.228285933897,3.45887778631822,3.30514988470407,3.61260568793236,3.53574173712529,3.07455803228286,2.30591852421214,2.6902382782475,3.30514988470407,3.68946963873943,4.99615680245965,8.22444273635665,5.61106840891622,2.30591852421214,0.0768639508070715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8441,2016-06-18 17:54:52.884,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122850122850123,0.982800982800983,9.82800982800983,20.1474201474201,8.23095823095823,2.82555282555283,1.47420147420147,0.982800982800983,2.7027027027027,1.22850122850123,1.5970515970516,0.85995085995086,1.5970515970516,1.5970515970516,4.05405405405405,4.42260442260442,4.66830466830467,2.33415233415233,2.82555282555283,1.96560196560197,2.33415233415233,4.42260442260442,4.79115479115479,3.80835380835381,3.07125307125307,1.71990171990172,3.07125307125307,1.96560196560197,0.368550368550369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,8975,2016-06-17 21:10:52.154,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561009817671809,9.39691444600281,23.2819074333801,11.3604488078541,2.52454417952314,1.40252454417952,1.40252454417952,1.96353436185133,3.92706872370266,0.981767180925666,1.68302945301543,0.420757363253857,1.82328190743338,4.06732117812062,2.80504908835905,3.2258064516129,3.2258064516129,3.64656381486676,3.08555399719495,2.24403927068724,1.54277699859748,2.80504908835905,1.40252454417952,3.2258064516129,4.62833099579243,1.96353436185133,1.12201963534362,0.280504908835905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,12895,2016-06-29 14:54:40.967,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106044538706257,1.69671261930011,7.26405090137858,6.30965005302227,1.74973488865323,0.95440084835631,0.689289501590668,0.477200424178155,0.689289501590668,0.477200424178155,0.477200424178155,0.742311770943796,0.848356309650053,1.74973488865323,1.90880169671262,2.22693531283139,1.74973488865323,1.37857900318134,1.59066808059385,1.21951219512195,2.4390243902439,3.5524920466596,3.28738069989396,3.28738069989396,3.1813361611877,3.12831389183457,3.39342523860021,3.5524920466596,4.13573700954401,3.87062566277837,6.46871686108165,7.68822905620361,5.83244962884411,5.56733828207847,4.13573700954401,1.85577942735949,0.31813361611877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,14807,2016-06-17 21:10:52.154,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242130750605327,4.35835351089588,18.6440677966102,13.4382566585956,7.74818401937046,3.99515738498789,0.968523002421308,2.05811138014528,1.57384987893462,1.57384987893462,1.57384987893462,2.17917675544794,1.45278450363196,1.81598062953995,1.08958837772397,3.26876513317191,5.08474576271187,3.51089588377724,2.90556900726392,3.26876513317191,6.41646489104116,7.26392251815981,4.84261501210654,0.605326876513317,0.121065375302663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,17701,2016-06-24 15:22:34.411,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323362974939369,3.31447049312854,12.1261115602264,8.40743734842361,2.91026677445432,2.26354082457559,1.13177041228779,1.45513338722716,1.21261115602264,1.29345189975748,0.646725949878739,1.29345189975748,0.889248181083266,0.970088924818108,2.18270008084074,1.77849636216653,0.646725949878739,0.404203718674212,0.565885206143896,0.808407437348424,1.21261115602264,2.74858528698464,2.18270008084074,2.26354082457559,2.50606305578011,2.34438156831043,1.535974130962,1.94017784963622,3.88035569927243,2.91026677445432,3.96119644300728,5.82053354890865,5.3354890864996,3.07194826192401,2.58690379951496,3.39531123686338,5.3354890864996,2.18270008084074,0.161681487469685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18005,2016-06-25 11:27:13.568,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726744186046512,0.944767441860465,6.75872093023256,10.3197674418605,2.10755813953488,1.09011627906977,0.944767441860465,0.799418604651163,1.81686046511628,1.45348837209302,0.726744186046512,0.436046511627907,0.944767441860465,1.74418604651163,1.38081395348837,1.96220930232558,2.32558139534884,1.67151162790698,2.10755813953488,1.09011627906977,2.10755813953488,2.90697674418605,2.90697674418605,3.70639534883721,2.9796511627907,4.36046511627907,4.06976744186047,3.56104651162791,3.63372093023256,2.76162790697674,5.01453488372093,5.23255813953488,5.74127906976744,5.66860465116279,3.92441860465116,0.726744186046512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18021,2016-06-15 11:24:57.182,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335570469798658,7.38255033557047,26.510067114094,17.1140939597315,7.21476510067114,2.85234899328859,2.01342281879195,1.51006711409396,0.838926174496644,2.01342281879195,1.84563758389262,3.18791946308725,4.36241610738255,5.87248322147651,5.36912751677852,3.69127516778524,1.00671140939597,1.51006711409396,1.67785234899329,1.51006711409396,2.01342281879195,0.167785234899329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa018AA031207,CK60B,Grain 2,10,18739,2016-06-21 08:10:16.908,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318809776833156,2.86928799149841,13.6025504782147,11.9022316684378,2.23166843783209,1.16896918172157,1.70031880977683,1.27523910733262,2.4442082890542,1.06269925611052,0.850159404888417,0.53134962805526,1.38150903294368,2.33793836344315,2.86928799149841,3.61317747077577,3.61317747077577,3.08182784272051,2.97555791710946,1.70031880977683,4.14452709883103,7.01381509032944,5.1009564293305,4.8884165781084,1.38150903294368,2.01912858660999,2.97555791710946,2.23166843783209,1.38150903294368,1.70031880977683,2.55047821466525,2.4442082890542,0.637619553666312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
