ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa028AA031217,China 17,S10,10,684,2016-06-24 15:26:53.117,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67355263846033,1.76246012237854,1.86182731028712,1.81475864233042,1.94550494221014,2.33774384184928,2.40573191778673,2.92871711730558,3.03854400920454,3.02808430521416,2.71429318550285,2.26975576591182,1.84613775430155,1.57418545055175,1.57941530254694,1.54803619057581,1.84090790230636,2.191307985984,2.87118874535851,3.04377386119973,3.87009047643952,4.09497411223262,5.04680717535694,6.14507609434653,6.00909994247163,5.44427592699127,3.94330840437216,2.34297369384446,1.83567805031118,1.553266042571,1.48004811463836,1.42774959468647,1.3231525547827,1.36499137074421,1.23424507086449,1.16102714293186,1.06688980701846,0.747868835311961,0.794937503268658,0.831546467234977,0.915224099157994,0.920453951153182,0.768788243292715,0.601432979446682,0.308561267716124,0.245803043773861,0.115056743894148,0.0889074839182051,0.00522985199518854,0.0366089639663198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa028AA031217,China 17,S10,10,2754,2016-06-11 08:14:31.93,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97409006785935,2.59099321406539,2.77606415792721,2.89944478716841,2.52930289944479,2.89944478716841,2.52930289944479,4.0715607649599,3.76310919185688,4.75015422578655,5.92227020357804,4.62677359654534,6.7242442936459,5.3670573719926,5.30536705737199,4.99691548426897,4.44170265268353,4.44170265268353,4.25663170882171,4.44170265268353,5.4287476866132,3.88648982109809,3.70141887723627,2.28254164096237,0.67859346082665,1.23380629241209,0.67859346082665,0.555212831585441,0.185070943861814,0.0616903146206046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa028AA031217,China 17,S10,10,4398,2016-06-18 17:59:12.108,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02881748923485,2.393176548526,2.31036767141438,2.66644584299437,3.33719774759854,4.30606160980457,4.6538588936734,5.02649884067572,5.44882411394501,4.99337528983107,4.67870155680689,3.78436568400133,2.99768135144087,2.80722093408413,3.02252401457436,3.17157999337529,3.68499503146737,3.80092745942365,3.72639947002319,3.73468035773435,3.65187148062272,3.90857899966876,3.12189466710831,3.12189466710831,2.749254720106,2.54223252732693,2.13646902947996,1.67273931765485,1.03511096389533,0.902616760516727,0.587943027492547,0.521695925803246,0.47201059953627,0.463729711825108,0.256707519046042,0.140775091089765,0.0993706525339517,0.0248426631334879,0.0165617754223253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa028AA031217,China 17,S10,10,4970,2016-06-21 08:14:36.633,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06404717822122,2.33148186244257,2.01604608105328,2.10519097579373,2.54405814990057,2.85949393128986,3.54522389083179,3.8332304738394,4.69725022286224,4.96468490708359,4.56010423095385,3.99780566412947,3.1955016114654,2.57834464787767,1.94061578550367,1.8446135911678,1.75546869642735,2.24233696770212,2.61263114585476,3.11321401632037,3.94294726736611,4.82068161557978,5.30069258725914,4.32695604470959,4.15552355482411,3.24350270863334,2.4823424535418,1.77604059521361,1.37145991908386,1.2411712267709,1.11773983405335,1.1725982308167,1.32345882191593,1.12459713364877,1.12459713364877,0.761160255091545,0.624014263183159,0.486868271274772,0.384008777343482,0.267434684221354,0.10285949393129,0.0342864979770966,0,0.00685729959541932,0.00685729959541932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa028AA031217,China 17,S10,10,6920,2016-06-15 11:29:15.927,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20121951219512,3.53381374722838,3.43680709534368,4.06042128603104,4.6840354767184,5.14135254988914,4.37915742793792,3.94955654101996,3.54767184035477,3.10421286031042,2.4390243902439,2.39745011086475,2.10643015521064,2.13414634146341,2.67461197339246,2.54988913525499,2.60532150776053,3.29822616407982,3.33980044345898,2.96563192904656,2.93791574279379,3.10421286031042,3.27050997782705,4.55931263858093,4.91962305986696,5.90354767184035,4.25443458980044,2.25886917960089,1.3719512195122,0.637472283813747,0.26330376940133,0.360310421286031,0.221729490022173,0.0970066518847007,0.124722838137472,0.069290465631929,0.0554323725055432,0.0277161862527716,0.0138580931263858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa028AA031217,China 17,S10,10,7016,2016-06-21 08:14:36.633,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4425158808267,2.50514449315559,2.62145477319495,2.88091616712893,3.18511228415496,3.42667978885211,3.9098147982464,4.41979064149593,4.61662342310101,4.58978258924577,4.69714592466673,3.82034535206227,3.489308401181,2.45146282544511,2.15621365303749,2.03095642837971,1.85201753601145,1.97727476066923,2.10253198532701,2.29041782231368,3.05985505949718,3.87402701977275,3.62351257045719,3.71298201664132,3.65930034893084,3.51614923503624,3.13143061644448,2.99722644716829,2.54093227162924,2.31725865616892,1.85201753601145,1.10942113268319,0.903641406459694,0.599445289433658,0.662073901762548,0.384718618591751,0.214726670841907,0.214726670841907,0.0715755569473025,0.0536816677104769,0.0268408338552384,0.00894694461841281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa028AA031217,China 17,S10,10,7130,2016-06-28 18:02:44.4,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57163591125855,1.69603980924736,1.60895708065519,1.91582002902758,2.16048102840556,2.28073812979473,2.45905038357869,2.79079411154883,3.29255650010367,3.28840970350404,3.30499688990255,3.11424424631972,3.40866680489322,3.60771304167531,4.30437487041261,4.80613725896745,5.29131246112378,6.00870827285922,6.45241550901928,6.37362637362637,5.71843251088534,4.59879742898611,3.50404312668464,2.68712419655816,2.16048102840556,1.7499481650425,1.50943396226415,1.33941530167945,1.0989010989011,0.966203607713042,0.704955421936554,0.713249015135808,0.588845117147004,0.422973253161932,0.385652083765291,0.389798880364918,0.381505287165665,0.33589052456977,0.298569355173129,0.265394982376114,0.215633423180593,0.132697491188057,0.0539083557951483,0.0248807795977607,0.0124403897988804,0,0.00414679659962679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa028AA031217,China 17,S10,10,7242,2016-06-26 08:15:18.906,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38676313714577,1.5212652474375,1.56764528546913,1.82273549464311,1.95259960113167,2.16594777607718,2.25870785214044,3.13529057093827,3.21413663559204,3.26051667362367,2.98223644543389,2.68540420203145,2.12420574184871,1.99434163536014,2.11492973424238,2.12884374565187,2.55090209173972,2.99615045684337,3.33936273827745,4.42929363202078,5.27341032419647,5.77431473493808,6.14071703538797,5.09716617967627,4.38291359398915,3.71040304253049,3.16775659756041,2.91266638838644,2.21232781410881,1.59547330828811,1.46560920179955,1.03427484810538,0.969342794861092,0.858030703585177,0.71425258568712,0.602940494411205,0.538008441166922,0.486990399332127,0.50554241454478,0.43133435369417,0.547284448773248,0.538008441166922,0.584388479198553,0.440610361300496,0.22262418255183,0.102036083669589,0.0602940494411205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa028AA031217,China 17,S10,10,13182,2016-06-27 21:14:04.958,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68778112491231,1.67127470804275,1.6506416869558,1.77443981347749,1.85697189782528,2.27788552799901,2.35216440391202,2.91338257747699,3.21875128956382,3.30953658234639,3.38794206247679,3.18161185160731,3.6602979408245,3.36318243717245,3.70569058721578,4.3659472619981,5.06334337473693,5.60805513143234,5.18714150125861,4.93129203978046,4.55989766021541,4.23389592704164,4.407213304172,4.30817480295465,3.64791812817233,2.89687616060744,2.22836627739034,1.79507283456444,1.36177939173854,1.25036107786902,0.920232740477861,0.817067635043123,0.631370445260595,0.441546651260678,0.363141171130277,0.280609086782487,0.218710023521644,0.189823793999917,0.111418313869517,0.0949118969999587,0.0330128337391161,0.0206330210869476,0.0123798126521685,0.00825320843477902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa028AA031217,China 17,S10,10,15826,2016-06-26 08:15:18.906,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58118999948663,1.62739360336773,1.63766107089686,1.96622003182915,2.15103444735356,2.26397659017403,2.8440885055701,3.00323425227168,3.75275938189845,3.77329431695672,3.79382925201499,3.449869089789,2.9056933107449,2.54633194722522,2.12536577853073,2.24344165511577,2.52066327840238,2.97243184968428,3.48580522614097,4.32260382976539,5.14913496586067,6.06807330971816,6.11427691359926,5.44175779044099,4.29693516094255,3.32152574567483,2.37178499922994,1.60172493454489,1.27316597361261,0.939473278915755,1.1653575645567,0.79572873350788,0.908670876328354,0.687920324451974,0.646850454335438,0.67765285692284,0.770060064685045,0.826531136095282,0.687920324451974,0.462036038811027,0.33882642846142,0.236151753170081,0.0872734739976385,0.0616048051748036,0.0564710714102367,0.0308024025874018,0.0102674675291339,0.00513373376456697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
