ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa028AA031217,China 17,S10,10,684,2016-06-24 15:26:53.117,SV,VIS,256,hue,0,0,0,0.00522985199518854,0.0261492599759427,0.0418388159615083,0.0627582239422624,0.303331415720935,0.496835939542911,1.20286595889336,1.95073479420532,3.6975053605983,4.07405470425187,3.71319491658386,2.93394696930077,1.89843627425344,1.38068092672977,1.12441817896554,1.02505099105695,1.34407196276345,1.78337953035929,1.94027509021495,1.88797657026306,2.26975576591182,2.15469902201768,2.49463940170493,2.40573191778673,2.49986925370012,2.4632602897338,2.21745724595994,2.55216777365201,2.10240050206579,1.92981538622457,2.07625124208985,2.21222739396475,2.32205428586371,2.37958265781078,2.38481250980597,3.08561267716124,4.11066366821819,6.10846713038021,7.82385858480205,6.1136969823754,3.32095601694472,1.23424507086449,0.538674755504419,0.287641859735369,0.230113487788296,0.193504523821976,0.198734375817164,0.17781496783641,0.146435855865279,0.135976151874902,0.120286595889336,0.115056743894148,0.0941373359133936,0.109826891898959,0.078447779927828,0.0627582239422624,0.0732179279326395,0.0366089639663198,0.0522985199518854,0.0313791119711312,0.0366089639663198,0.0522985199518854,0.0313791119711312,0.00522985199518854,0.0156895559855656,0.0104597039903771,0.00522985199518854,0,0.00522985199518854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa028AA031217,China 17,S10,10,2754,2016-06-11 08:14:31.93,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0,0,0.0616903146206046,0,0.123380629241209,0.246761258482418,0.185070943861814,0.185070943861814,0.246761258482418,0.308451573103023,0.801974090067859,0.863664404688464,1.23380629241209,1.66563849475632,2.15916101172116,1.85070943861814,3.33127698951265,2.28254164096237,3.33127698951265,3.94818013571869,3.39296730413325,3.63972856261567,4.25663170882171,4.31832202344232,4.25663170882171,4.0715607649599,4.38001233806292,4.50339296730413,3.76310919185688,6.10734114743985,5.79888957433683,5.98396051819864,5.86057988895743,4.44170265268353,3.39296730413325,2.59099321406539,1.23380629241209,0.987045033929673,1.3571869216533,0.555212831585441,0.616903146206046,0.370141887723627,0.555212831585441,0.185070943861814,0.185070943861814,0.0616903146206046,0.0616903146206046,0.0616903146206046,0.123380629241209,0.0616903146206046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa028AA031217,China 17,S10,10,4398,2016-06-18 17:59:12.108,SV,VIS,256,hue,0,0,0,0,0.0165617754223253,0.0496853262669758,0.198741305067903,0.405763497846969,0.679032792315336,1.4408744617423,2.97283868830739,5.25008280887711,6.69095727061941,6.21894667108314,3.9665452136469,2.83206359721762,1.65617754223253,1.31666114607486,1.18416694269626,1.01026830076184,0.869493209672077,0.7535607817158,0.869493209672077,1.25869493209672,1.30009937065253,1.54852600198741,1.55680688969858,1.58164955283206,2.13646902947996,2.44286187479298,2.16959258032461,2.1281881417688,2.14474991719112,2.51738986419344,2.46770453792647,2.55051341503809,3.31235508446505,3.61874792977807,4.76151043391852,5.3411725736999,4.89400463729712,4.04107320304737,3.45313017555482,2.18615435574694,1.5071215634316,0.794965220271613,0.43888704869162,0.240145743623716,0.207022192779066,0.149055978800927,0.115932427956277,0.091089764822789,0.0993706525339517,0.132494203378602,0.0828088771116264,0.0745279894004637,0.0496853262669758,0.0579662139781385,0.0496853262669758,0.0165617754223253,0.00828088771116264,0.0165617754223253,0.0165617754223253,0.0331235508446505,0.0165617754223253,0,0.00828088771116264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa028AA031217,China 17,S10,10,4970,2016-06-21 08:14:36.633,SV,VIS,256,hue,0,0,0.00685729959541932,0.0274291983816773,0.020571898786258,0.123431392717548,0.294863882603031,0.548583967633546,0.8160186518549,1.52917780977851,3.00349722279366,5.24583419049578,6.48014811767126,6.17842693547281,4.33381334430501,2.2697661660838,1.59089350613728,1.03545223890832,0.829733251045738,0.788589453473222,0.788589453473222,0.836590550641158,0.877734348213673,1.09716793526709,1.48117671261057,1.26174312555716,1.76918329561819,1.72118219845025,1.78975519440444,2.10519097579373,2.65377494342728,2.58520194747309,2.64006034423644,2.83206473290818,2.74977713776315,3.06521291915244,3.12692861551121,3.35321950216005,3.56579578961805,4.10752245765617,4.60124802852637,4.73839402043475,4.10752245765617,3.01035452238908,1.69375300006857,0.720016457519029,0.30172118219845,0.246862785435096,0.171432489885483,0.185147089076322,0.109716793526709,0.123431392717548,0.10285949393129,0.0891448947404512,0.0480010971679353,0.0617156963587739,0.0480010971679353,0.0274291983816773,0.0342864979770966,0.00685729959541932,0.00685729959541932,0,0.020571898786258,0.00685729959541932,0.00685729959541932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa028AA031217,China 17,S10,10,6920,2016-06-15 11:29:15.927,SV,VIS,256,hue,0,0,0,0.0277161862527716,0.0138580931263858,0.0970066518847007,0.235587583148559,0.346452328159645,1.06707317073171,1.99556541019956,3.17350332594235,5.05820399113082,5.19678492239468,4.60088691796009,3.40909090909091,2.21729490022173,1.12250554323725,0.776053215077605,0.928492239467849,0.789911308203991,0.498891352549889,0.776053215077605,0.845343680709534,0.85920177383592,0.789911308203991,1.23337028824834,1.53824833702882,1.62139689578714,1.49667405764967,1.96784922394679,1.89855875831486,2.20343680709534,2.31430155210643,2.07871396895787,2.56374722838137,2.46674057649667,3.75554323725055,4.82261640798226,7.01219512195122,8.19013303769401,8.03769401330377,5.51552106430155,2.3420177383592,1.24722838137472,0.623614190687361,0.42960088691796,0.360310421286031,0.152439024390244,0.180155210643016,0.069290465631929,0.0970066518847007,0.110864745011086,0.110864745011086,0.124722838137472,0.124722838137472,0.110864745011086,0.0554323725055432,0.0831485587583149,0.0415742793791574,0.0277161862527716,0.0138580931263858,0.0831485587583149,0.0277161862527716,0.0277161862527716,0.0138580931263858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa028AA031217,China 17,S10,10,7016,2016-06-21 08:14:36.633,SV,VIS,256,hue,0,0,0,0.0178938892368256,0.0178938892368256,0.0447347230920641,0.134204169276192,0.384718618591751,0.867853627986043,1.86096448062986,3.52509617965465,5.26975038024515,6.567057349915,6.27180817750738,4.12454146908831,2.514091437774,1.70886642211685,1.34204169276192,1.02889863111747,0.742596403328263,0.894694461841281,0.966270018788584,1.35098863738033,1.58360919745907,2.04885031761653,2.2367361546032,2.37094032387939,2.54093227162924,2.75565894247115,2.37094032387939,3.45352062270735,2.48725060391876,3.01512033640512,3.09564283797083,3.42667978885211,3.65035340431243,3.61456562583878,3.85613313053592,4.1871700814172,4.15138230294354,3.03301422564194,1.61045003131431,1.0467925203543,0.617339178670484,0.411559452446989,0.3489308401181,0.3489308401181,0.259461393933972,0.205779726223495,0.241567504697146,0.152098058513018,0.169991947749843,0.143151113894605,0.0536816677104769,0.143151113894605,0.169991947749843,0.0805225015657153,0.0984163908025409,0.0626286123288897,0.107363335420954,0.0357877784736512,0.0536816677104769,0.0447347230920641,0.0268408338552384,0.00894694461841281,0.0178938892368256,0.0268408338552384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa028AA031217,China 17,S10,10,7130,2016-06-28 18:02:44.4,SV,VIS,256,hue,0,0.00414679659962679,0.00414679659962679,0.00414679659962679,0.0414679659962679,0.0456147625958947,0.11611030478955,0.186605846983205,0.447854032759693,0.995231183910429,2.00290275761974,3.57453866887829,4.01409910843873,4.06800746423388,3.08521667012233,2.10242587601078,1.59651669085631,1.40991084387311,1.31038772548207,1.38088326767572,1.67945262284885,2.03193033381713,2.09827907941115,2.30976570599212,2.31805929919137,2.30147211279287,2.17292141820444,1.7499481650425,1.95314119842422,1.73750777524362,2.4300228073813,1.64627825005184,1.72921418204437,1.9033796392287,2.07339829981339,2.1978021978022,2.43831640058055,2.77420692515032,2.7244453659548,3.56209827907941,4.32510885341074,6.18287373004354,6.84636118598383,5.22081691893013,2.97739995853203,1.37258967447647,0.601285506945884,0.402239270163798,0.2322206095791,0.157578270785818,0.186605846983205,0.161725067385445,0.161725067385445,0.078789135392909,0.0829359319925358,0.0953763217914161,0.0912295251917894,0.10366991499067,0.078789135392909,0.0746423387932822,0.0829359319925358,0.0373211693966411,0.0373211693966411,0.0622019489944018,0.0331743727970143,0.0248807795977607,0.0331743727970143,0.0124403897988804,0.00829359319925358,0.0124403897988804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa028AA031217,China 17,S10,10,7242,2016-06-26 08:15:18.906,SV,VIS,256,hue,0,0,0,0.00463800380316312,0.0139140114094894,0.0278280228189787,0.0742080608506099,0.259728212977135,0.551922452576411,1.12703492416864,2.44422800426696,3.70112703492417,4.9673020731877,4.30406752933537,3.03325448726868,2.05463568480126,1.34965910672047,1.07137887853068,1.06674087472752,1.38212513334261,1.41922916376791,1.6975093919577,1.9989796391633,2.16594777607718,2.2633458559436,2.37465794721952,2.29117387876258,2.16594777607718,1.89230555169055,1.73461342238301,2.22160382171513,1.36357311812996,1.24762302305088,1.28008904967302,1.41922916376791,1.38676313714577,1.61402532350077,1.79026946802096,2.80135429711052,4.20666944946895,6.2752191456797,8.26956078103984,7.47646213069895,5.15746022911739,2.27262186354993,0.997170817680071,0.375678308056213,0.190158155929688,0.204072167339177,0.162330133110709,0.153054125504383,0.157692129307546,0.120588098882241,0.125226102685404,0.185520152126525,0.139140114094894,0.102036083669589,0.143778117898057,0.111312091275915,0.0649320532442837,0.0881220722600993,0.0927600760632624,0.0556560456379574,0.0602940494411205,0.0881220722600993,0.0556560456379574,0.0602940494411205,0.00463800380316312,0.0231900190158156,0.00927600760632624,0.00463800380316312,0.00463800380316312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa028AA031217,China 17,S10,10,13182,2016-06-27 21:14:04.958,SV,VIS,256,hue,0,0,0.00825320843477902,0.016506416869558,0.0206330210869476,0.0618990632608427,0.115544918086906,0.218710023521644,0.491065901869352,0.940865761564808,2.02616267073825,3.52412000165064,4.53513803491107,4.09771798786778,3.27652374860727,2.00140304543391,1.55160318573846,1.27099409895597,1.25448768208641,1.39479222547765,1.55985639417323,1.71254075021665,1.93950398217307,1.91061775265134,2.17884702678166,2.34803779969463,2.14583419304255,1.98902323278174,1.93125077373829,1.6135022489993,2.47596253043371,1.39891882969504,1.41955185078199,1.51033714356456,1.67952791647753,2.0839351297817,2.39343044608592,2.88862295217266,3.83774192217224,4.82812693434573,5.71122023686708,7.01110056534478,6.08674122064953,4.25452894812859,2.35216440391202,1.00276482482565,0.565344777782363,0.313621920521603,0.235216440391202,0.206330210869476,0.189823793999917,0.177443981347749,0.140304543391243,0.115544918086906,0.132051334956464,0.0949118969999587,0.0866586885651797,0.0742788759130112,0.0825320843477902,0.0660256674782322,0.0742788759130112,0.0701522716956217,0.0660256674782322,0.0660256674782322,0.0495192506086741,0.0577724590434531,0.0247596253043371,0.0206330210869476,0.0123798126521685,0,0.00412660421738951,0.00412660421738951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa028AA031217,China 17,S10,10,15826,2016-06-26 08:15:18.906,SV,VIS,256,hue,0,0,0.0102674675291339,0.0102674675291339,0,0.0410698701165358,0.112942142820473,0.251552954463782,0.569844447866934,1.16022383079214,2.11509831100159,4.23533035576775,5.26721084244571,4.92325068021972,3.36772934955593,2.04835977206222,1.26289850608347,0.96514194773859,0.877868473740952,1.02674675291339,1.15509009702757,1.07808409055906,1.19102623337954,1.7095333436008,1.83274295395041,2.04322603829765,2.31018019405514,2.62333795369372,2.63873915498742,2.60793675240002,3.66548590790082,2.39231993428821,2.41285486934648,2.2229067200575,2.47445967452128,2.63873915498742,2.69007649263309,3.18804866779609,3.98891113506854,5.43662405667642,6.61224908876226,6.39149853688588,3.70142204425278,2.04835977206222,0.805996201037014,0.395297499871657,0.225884285640947,0.174546947995277,0.174546947995277,0.143744545407875,0.0924072077622054,0.11807587658504,0.0770060064685045,0.102674675291339,0.0975409415267724,0.0564710714102367,0.0410698701165358,0.0821397402330715,0.0256686688228349,0.0256686688228349,0.0256686688228349,0.0154012012937009,0.00513373376456697,0,0.00513373376456697,0.0102674675291339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
