ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,3606,2016-06-13 17:01:48.123,SV,VIS,256,hue,0,0,0,0.0310945273631841,0.217661691542289,0.186567164179104,0.590796019900497,0.901741293532338,2.39427860696517,3.88681592039801,6.99626865671642,9.79477611940299,10.3855721393035,9.07960199004975,6.43656716417911,3.98009950248756,2.33208955223881,1.11940298507463,0.83955223880597,0.652985074626866,0.746268656716418,0.777363184079602,0.932835820895522,1.3681592039801,1.02611940298507,1.5547263681592,1.67910447761194,1.86567164179104,2.39427860696517,1.71019900497512,1.18159203980099,1.3681592039801,1.92786069651741,1.43034825870647,1.58582089552239,1.52363184079602,2.05223880597015,2.98507462686567,3.20273631840796,2.1455223880597,1.64800995024876,1.33706467661692,0.777363184079602,0.404228855721393,0.186567164179104,0.310945273631841,0.279850746268657,0.124378109452736,0.279850746268657,0.217661691542289,0.217661691542289,0.0932835820895522,0.0621890547263682,0.0310945273631841,0.217661691542289,0.0621890547263682,0.0310945273631841,0.0932835820895522,0.0621890547263682,0,0.0621890547263682,0.0310945273631841,0.0310945273631841,0.0310945273631841,0.0310945273631841,0.0310945273631841,0.0621890547263682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,4258,2016-06-13 17:01:48.123,SV,VIS,256,hue,0,0,0,0.0476417341591234,0.0952834683182468,0.14292520247737,0.190566936636494,0.524059075750357,1.28632682229633,1.95331110052406,3.62077179609338,5.47879942829919,6.38399237732254,6.86040971891377,5.52644116245831,4.66888994759409,2.76322058122916,1.90566936636494,1.66746069556932,0.952834683182468,1.19104335397808,1.28632682229633,1.47689375893283,1.09575988565984,2.04859456884231,1.66746069556932,2.00095283468318,1.95331110052406,2.14387803716055,2.09623630300143,1.28632682229633,1.66746069556932,1.57217722725107,2.81086231538828,2.62029537875179,2.76322058122916,3.00142925202477,3.95426393520724,5.00238208670796,5.43115769414007,3.38256312529776,1.6198189614102,1.28632682229633,0.666984278227727,0.190566936636494,0.28585040495474,0.238208670795617,0.190566936636494,0.14292520247737,0.14292520247737,0.14292520247737,0.0952834683182468,0.0952834683182468,0,0.0952834683182468,0.0476417341591234,0.0952834683182468,0.0476417341591234,0,0,0.0476417341591234,0,0,0,0.0476417341591234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,5624,2016-06-24 14:29:29.834,SV,VIS,256,hue,0,0,0,0,0,0.0123289360128221,0.0863025520897547,0.308223400320552,0.53014424855135,0.887683392923191,1.96030082603871,2.97127357909012,3.14387868326963,3.00826038712859,2.44112933053877,1.57810380964123,1.29453828134632,1.15891998520528,1.09727530514117,1.22056466526939,1.65207742571816,1.86166933793614,2.08359018616693,2.46578720256442,2.31783997041055,2.88497102700037,2.90962889902601,2.24386635433362,2.37948465047466,2.20687954629515,1.43015657748736,2.08359018616693,1.91098508198742,2.28085316237209,2.39181358648749,2.92195783503884,3.31648378744914,3.14387868326963,3.6247071877697,3.48908889162865,4.40143015657749,5.96720503020589,6.78091480705215,4.38910122056467,2.04660337812847,0.99864381703859,0.616446800641105,0.394525952410307,0.369868080384663,0.29589446430773,0.29589446430773,0.135618296141043,0.172605104179509,0.29589446430773,0.110960424115399,0.135618296141043,0.221920848230798,0.123289360128221,0.123289360128221,0.0986314881025767,0.110960424115399,0.110960424115399,0.0369868080384663,0.135618296141043,0.0739736160769326,0.0986314881025767,0.0739736160769326,0.0246578720256442,0.0123289360128221,0.0369868080384663,0.0123289360128221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,5652,2016-06-11 07:16:56.438,SV,VIS,256,hue,0,0,0,0,0,0,0,0,0,0,0,0.265957446808511,0,0.265957446808511,0.265957446808511,0.531914893617021,0.531914893617021,2.12765957446809,0.797872340425532,2.3936170212766,2.92553191489362,3.98936170212766,3.19148936170213,4.25531914893617,2.3936170212766,4.25531914893617,3.72340425531915,6.38297872340426,6.38297872340426,6.11702127659574,6.64893617021277,8.77659574468085,6.11702127659574,7.97872340425532,3.45744680851064,5.0531914893617,2.3936170212766,1.86170212765957,1.86170212765957,0.531914893617021,0.265957446808511,1.06382978723404,0.531914893617021,0.531914893617021,0.531914893617021,0,0.265957446808511,0.531914893617021,0,0,0,0,0.265957446808511,0,0,0.265957446808511,0.265957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,5824,2016-06-14 13:46:46.361,SV,VIS,256,hue,0,0,0,0.0747663551401869,0.0747663551401869,0.11214953271028,0.485981308411215,0.523364485981308,1.08411214953271,2.31775700934579,3.4018691588785,6.46728971962617,7.36448598130841,7.58878504672897,6.42990654205607,5.00934579439252,3.14018691588785,2.05607476635514,1.64485981308411,1.45794392523364,1.00934579439252,0.97196261682243,1.23364485981308,1.57009345794393,1.38317757009346,1.34579439252336,1.64485981308411,1.53271028037383,2.13084112149533,1.83177570093458,1.57009345794393,2.09345794392523,2.05607476635514,2.65420560747664,2.13084112149533,2.50467289719626,3.25233644859813,3.51401869158878,4.63551401869159,3.36448598130841,3.21495327102804,1.86915887850467,0.897196261682243,0.448598130841121,0.261682242990654,0.261682242990654,0.11214953271028,0.224299065420561,0.411214953271028,0.149532710280374,0,0.11214953271028,0.0373831775700935,0.0747663551401869,0,0.0747663551401869,0.0373831775700935,0.0747663551401869,0.0373831775700935,0,0,0.0373831775700935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,6778,2016-06-22 20:52:13.837,SV,VIS,256,hue,0,0,0,0,0.0331290376014577,0.0165645188007288,0.0828225940036442,0.331290376014577,0.71227430843134,1.0932582408481,2.20308100049694,2.98161338413119,4.43929103859533,4.43929103859533,3.36259731654795,2.43498426370714,2.13682292529402,1.8386615868809,1.954613218486,1.93804869968527,2.13682292529402,2.38529070730495,2.7000165645188,3.18038760973994,3.37916183534868,2.83253271492463,3.3294682789465,2.73314560212026,2.4681133013086,2.56750041411297,2.21964551929766,2.4681133013086,2.60062945171443,2.38529070730495,2.65032300811661,2.99817790293192,3.47854894815306,3.49511346695378,3.24664568494285,3.23008116614212,2.25277455689912,1.98774225608746,1.45767765446414,1.20920987245321,0.828225940036442,0.811661421235713,0.546629120424052,0.43067748881895,0.364419413616034,0.414112970018221,0.331290376014577,0.380983932416763,0.347854894815306,0.14908066920656,0.298161338413119,0.364419413616034,0.0828225940036442,0.132516150405831,0.099387112804373,0.115951631605102,0.132516150405831,0.115951631605102,0.115951631605102,0.115951631605102,0.099387112804373,0.0662580752029154,0.0828225940036442,0.0828225940036442,0.0662580752029154,0.0165645188007288,0,0.0165645188007288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,7420,2016-06-27 20:16:46.694,SV,VIS,256,hue,0,0,0,0,0.00891662951404369,0.0534997770842621,0.0802496656263932,0.258582255907267,0.606330806954971,1.35532768613464,2.47882300490415,4.19081587160054,4.8773963441819,4.39589835042354,3.0405706642889,1.65849308961213,1.32857779759251,0.838163174320107,0.936246098974588,1.09674543022737,1.29291127953634,1.61390994204191,1.81899242086491,2.05082478823005,2.3272403031654,2.52340615247436,2.99598751671868,2.28265715559519,2.4074899687918,2.20240748996879,1.53366027641551,1.73874275523852,1.84574230940704,1.72982612572448,2.17565760142666,2.77307177886759,2.84440481497994,2.87115470352207,3.01382077574677,3.21890325456977,3.86981720909496,4.35131520285332,4.49398127507802,4.19081587160054,3.49531876950513,2.19349086045475,1.56041016495765,0.677663843067321,0.606330806954971,0.365581810075791,0.267498885421311,0.178332590280874,0.178332590280874,0.196165849308961,0.133749442710655,0.151582701738743,0.0713330361123495,0.0891662951404369,0.0980829246544806,0.0534997770842621,0.0624164065983058,0.0356665180561748,0.0267498885421311,0.0267498885421311,0.0445831475702185,0.0356665180561748,0.0356665180561748,0.0267498885421311,0.0178332590280874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,7550,2016-06-21 07:16:57.959,SV,VIS,256,hue,0,0,0,0,0,0.0503271263210871,0.23485992283174,0.587149807079349,1.27495386680087,2.61701056869653,4.84817983559805,7.09612481127328,8.22009729911089,6.05603086730414,4.31135715483979,2.36537493709109,1.59369233350109,1.19107532293239,1.02331823519544,1.45948666331152,1.05686965274283,1.27495386680087,1.14074819661131,1.27495386680087,1.76144942123805,2.18084214058044,2.29827210199631,1.9627579265224,2.3485992283174,2.28149639322261,2.02986076161718,2.29827210199631,2.46602918973327,3.00285187049153,3.30481462841805,3.72420734776044,3.99261868813957,3.32159033719175,3.23771179332327,2.56668344237544,2.14729072303305,1.69434658614326,1.20785103170609,0.73813118604261,0.671028350947828,0.436168428116088,0.419392719342392,0.369065593021305,0.318738466700218,0.318738466700218,0.218084214058044,0.184532796510653,0.11742996141587,0.184532796510653,0.150981378963261,0.0671028350947828,0,0.0671028350947828,0.0503271263210871,0.0671028350947828,0.0335514175473914,0.0167757087736957,0,0,0.0335514175473914,0.0335514175473914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,8422,2016-06-19 13:46:50.966,SV,VIS,256,hue,0,0,0,0.015976993129893,0.0319539862597859,0.0479309793896789,0.111838951909251,0.239654896948394,1.03850455344304,2.01310113436651,3.8504553443042,6.21505032752836,7.18964690845183,5.95941843745007,4.56942003514938,2.09298610001598,1.8213772168078,0.990573574053363,0.814826649624541,0.639079725195718,0.990573574053363,0.910688608403898,0.958619587793577,1.46988336795015,1.27815945039144,1.53379134046972,2.06103211375619,2.09298610001598,2.2687330244448,2.20482505192523,1.8054002236779,2.12494008627576,2.18884805879533,2.92378974277041,3.38712254353731,3.25930659849816,4.2978111519412,4.88895989774724,5.94344144432018,4.58539702827928,3.19539862597859,2.31666400383448,1.40597539543058,0.687010704585397,0.655056718325611,0.479309793896789,0.287585876338073,0.303562869467966,0.303562869467966,0.27160888320818,0.15976993129893,0.175746924428822,0.143792938169037,0.0798849656494648,0.0958619587793577,0.111838951909251,0.0798849656494648,0.015976993129893,0.0639079725195718,0.0479309793896789,0.0639079725195718,0.0958619587793577,0.0479309793896789,0,0.0319539862597859,0.015976993129893,0.0479309793896789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa024AA031213,Chinese Amber,S6,10,10074,2016-06-20 10:31:51.641,SV,VIS,256,hue,0,0,0,0,0.0157455518815935,0.0472366556447803,0.141709966934341,0.299165485750276,0.677058730908518,1.30688080617226,1.90521177767281,3.8419146591088,4.31428121555661,4.89686663517556,4.06235238545111,2.42481498976539,1.24389859864588,0.976224216658794,1.03920642418517,0.881750905369233,0.881750905369233,1.14942528735632,1.27538970240907,1.48008187686978,1.95244843331759,2.26735947094946,2.56652495669973,2.22012281530468,2.50354274917336,2.62950716422611,2.4090694378838,2.4090694378838,2.03117619272555,2.4090694378838,2.81845378680523,3.44827586206897,3.57424027712171,4.75515666824122,4.89686663517556,5.98330971500551,4.83388442764919,3.47976696583215,1.95244843331759,1.48008187686978,0.566839867737364,0.50385766021099,0.330656589513462,0.45662100456621,0.314911037631869,0.346402141395056,0.45662100456621,0.267674381987089,0.314911037631869,0.157455518815935,0.267674381987089,0.173201070697528,0.283419933868682,0.220437726342308,0.188946622579121,0.236183278223902,0.204692174460715,0.220437726342308,0.125964415052748,0.188946622579121,0.204692174460715,0.220437726342308,0.125964415052748,0.0472366556447803,0.0787277594079673,0.0157455518815935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
