ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa014AA031203,Grassl,E14,10,176,2016-06-27 20:13:05.02,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3938105362627,1.252067091897,1.39853531774155,1.59697613985353,1.76706827309237,2.26789510985117,2.36711552090716,3.05220883534137,3.07110796125679,3.3309709425939,2.65532719111741,2.37656508386487,1.97968343964092,1.96078431372549,2.11670210252776,2.24899598393574,2.77344672808883,3.92156862745098,5.95794944483818,8.47625797306875,10.3708953460902,10.2338766832034,6.7942357665958,3.98771556815497,2.54665721710371,1.95605953224663,1.63004961020553,1.20009449562958,1.04417670682731,0.831561540278762,0.694542877391921,0.552799433026222,0.585872903378219,0.45830380344909,0.354358610914245,0.311835577604536,0.22206472950626,0.118119536971415,0.0803212851405622,0.023623907394283,0.0283486888731396,0.00944956295771321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa014AA031203,Grassl,E14,10,1464,2016-06-12 20:13:32.166,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28424105704157,6.96100547856913,8.60457621656461,9.08797937479858,8.89461811150499,7.47663551401869,6.44537544311956,5.47856912665163,4.67289719626168,3.57718337093136,3.48050273928456,3.57718337093136,2.8681920721882,3.89945214308734,3.28714147599098,3.57718337093136,2.67483080889462,2.35256203673864,1.57911698356429,1.19239445697712,0.837898807605543,0.902352562036739,0.515630035449565,0.29004189494038,0.29004189494038,0.354495649371576,0.161134386077989,0.257815017724782,0.128907508862391,0.0644537544311956,0.128907508862391,0.0644537544311956,0.0322268772155978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BB001_F_060916,Fa014AA031203,Grassl,E14,10,3888,2016-06-19 13:43:08.771,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65227086022767,2.96913507804248,2.66400657199859,3.32120643117005,3.25079216054454,4.18964910221805,4.0957634080507,4.36568477878183,4.57692759065837,4.69428470836756,3.99014200211243,3.907992019716,2.87524938387513,2.39408520126746,2.81657082502054,3.32120643117005,4.42436333763643,5.41016312639362,6.29034150921253,6.30207722098345,5.95000586785589,4.51824903180378,3.15690646637719,2.45276376012205,1.68994249501232,1.25572115948832,1.00927121229903,0.692406994484215,0.340335641356648,0.152564253021946,0.164299964792865,0.0469428470836756,0.0586785588545945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa014AA031203,Grassl,E14,10,7460,2016-06-27 20:13:05.02,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64485442490631,2.48630729316806,2.53675410781205,2.82502162006342,3.03401556644566,3.44479677140386,3.79792447391179,4.06457192274431,4.36004612280196,4.74200057653502,4.59066013260306,4.50417987892765,4.41769962525223,4.48255981550879,4.82848083021044,5.37618910348804,5.15998846929951,4.90054770827328,4.20149899106371,3.61775727875468,2.40703372729893,2.13317959066013,1.88094551744018,1.72960507350822,1.65753819544537,1.77284520034592,1.36206399538772,1.0521764197175,0.972902853848371,1.03055635629865,0.670221965984434,0.691842029403286,0.432401268377054,0.266647448832517,0.302680887863938,0.317094263476506,0.259440761026232,0.23782069760738,0.230614009801095,0.23782069760738,0.180167195157106,0.093686941481695,0.0576535024502739,0.00720668780628423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa014AA031203,Grassl,E14,10,12226,2016-06-11 07:13:12.762,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66001662510391,3.82377389858687,4.15627597672485,3.99002493765586,5.07065669160432,6.40066500415628,5.15378221113882,5.6525353283458,7.06566916043225,6.40066500415628,7.73067331670823,7.14879467996675,7.39817123857024,7.81379883624273,5.90191188694929,5.15378221113882,3.49127182044888,2.41064006650042,1.08063175394846,0.58187863674148,0.249376558603491,0.415627597672485,0.166251039068994,0,0.0831255195344971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa014AA031203,Grassl,E14,10,13792,2016-06-17 20:13:34.872,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0034046692607,2.6386186770428,3.01556420233463,3.87889105058366,4.86381322957198,5.25291828793774,5.61770428015564,5.69066147859922,6.10408560311284,5.56906614785992,5.17996108949416,5.70282101167315,6.38375486381323,5.86089494163424,6.01896887159533,5.82441634241245,5.37451361867704,3.91536964980545,2.67509727626459,1.79961089494163,1.03356031128405,0.924124513618677,0.875486381322957,0.753891050583658,0.522859922178988,0.498540856031128,0.389105058365759,0.206712062256809,0.194552529182879,0.14591439688716,0.01215953307393,0.0364785992217899,0.0243190661478599,0.01215953307393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa014AA031203,Grassl,E14,10,14748,2016-06-13 16:58:05.409,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46420323325635,3.69515011547344,4.26201973546084,5.66869619987403,6.50850304429981,8.02015536426622,7.62124711316397,7.34830988872559,6.25656099097208,5.50073483098887,4.63993281545245,3.38022254881377,2.8763384421583,2.77136258660508,2.64539155994121,3.12828049548604,2.6873819021625,3.00230946882217,2.33046399328154,1.86857022884736,1.28070543774932,0.671845475540626,0.986773042200294,1.17572958219609,1.28070543774932,1.38568129330254,1.25971026663867,1.30170060885996,0.902792357757716,0.608859962208692,0.335922737770313,0.398908251102246,0.272937224438379,0.167961368885156,0.0839806844425782,0.146966197774512,0.0209951711106445,0.0419903422212891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa014AA031203,Grassl,E14,10,15096,2016-06-16 07:13:19.579,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78102909748479,4.35640309058031,5.80305770179188,6.3619924379418,5.72086141706395,5.40851553509781,5.49071181982574,5.29344073647871,5.07973039618609,4.06049646555976,3.66595429886569,3.15633733355252,3.51800098635542,4.22488903501562,5.39207627815223,5.70442216011836,4.86602005589347,4.07693572250534,3.20565510438928,2.4823277987835,2.35081374321881,1.59460792372185,1.46309386815716,0.723327305605787,0.443859937530824,0.443859937530824,0.46029919447641,0.279467368074963,0.279467368074963,0.115074798619102,0.131514055564688,0.0657570277823442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa014AA031203,Grassl,E14,10,17948,2016-06-14 13:43:04.157,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81343414805697,3.34095305081765,3.604712502198,4.44874274661509,4.87075786882363,5.52136451556181,5.01142957622648,5.13451732020397,4.74767012484614,3.74538420960084,3.07719359943731,2.83101811148233,1.96940390363988,1.56497274485669,1.67047652540883,1.96940390363988,2.84860207490768,3.16511341656409,3.85088799015298,3.39370494109372,2.33866713557236,2.02215579391595,2.28591524529629,2.90135396518375,4.67733427114472,5.60928433268859,4.73008616142078,2.321083172147,1.35396518375242,0.861614207842448,0.457183049059258,0.263759451380341,0.193423597678917,0.193423597678917,0.0879198171267804,0.105503780552136,0.0175839634253561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa014AA031203,Grassl,E14,10,23018,2016-06-23 16:58:09.026,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41788716526562,2.71254008146287,2.35722332957795,3.2065170292053,3.44050610971488,3.74382528815322,4.49779010312852,5.1044284600052,5.18242482017506,5.36441632723806,5.44241268740792,4.93110321518329,4.80977554380796,4.36779616951209,4.06447699107375,3.80448912384089,3.7871565993587,3.57050004333131,3.7784903371176,3.50983620764364,3.11985440679435,2.79053644163272,2.78187017939163,2.12323424906838,1.61192477684375,1.34327064736979,1.28260681168212,0.961955108761591,0.823294912904064,0.857959961868446,0.537308258947916,0.476644423260248,0.363983014126007,0.20799029378629,0.233989080509576,0.138660195857527,0.121327671375336,0.0606638356876679,0.0259987867232862,0.0173325244821908,0.00866626224109542,0.00866626224109542,0.00866626224109542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
