ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa014AA031203,Grassl,E14,10,176,2016-06-27 20:13:05.02,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188991259154264,0.0944956295771321,0.401606425702811,1.12449799196787,3.14197968343964,5.73588471533192,8.84006614694071,9.95038979447201,8.69359792109615,6.41625324828727,4.42712024568864,3.20812662414363,2.52775809118828,2.11670210252776,1.93716040633121,1.81904086935979,1.5355539806284,1.74344436569809,1.69619655090952,1.88991259154264,1.92298606189464,1.77651783605008,1.72454523978266,1.69619655090952,1.5024805102764,1.29931490668557,1.13394755492558,1.12922277344673,0.793763288447909,0.718166784786204,0.713442003307347,0.670918969997638,1.04890148830617,1.1433971178833,1.62060004724781,2.03165603590834,2.29151901724545,2.37184030238601,2.08362863217576,1.87101346562721,1.18592015119301,0.732341129222773,0.477202929364517,0.217339948027404,0.188991259154264,0.0897708480982755,0.070871722182849,0.0803212851405622,0.0330734703519962,0.023623907394283,0.00944956295771321,0.023623907394283,0,0.0047247814788566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa014AA031203,Grassl,E14,10,1464,2016-06-12 20:13:32.166,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966806316467934,0.322268772155978,0.354495649371576,1.09571382533033,1.83693200128908,3.12600708991299,4.73735095069288,5.12407347728005,5.76861102159201,4.73735095069288,3.31936835320657,3.28714147599098,2.61037705446342,2.32033515952304,1.86915887850467,1.16016757976152,1.4179825974863,1.54689010634869,1.54689010634869,2.44924266838543,2.06252014179826,2.22365452787625,3.54495649371576,4.28617466967451,4.60844344183049,5.99419916210119,6.89655172413793,6.41314856590396,5.92974540767,3.35159523042217,2.9970995810506,1.77247824685788,0.58008378988076,0.354495649371576,0.128907508862391,0.0966806316467934,0.0322268772155978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BB001_F_060916,Fa014AA031203,Grassl,E14,10,3888,2016-06-19 13:43:08.771,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469428470836756,0.269921370731135,0.891914094589837,2.37061377772562,3.83757774909048,4.78817040253491,5.78570590306302,5.01114892618237,5.64487736181199,4.65907757305481,4.23659194930173,3.23905644877362,2.45276376012205,2.52317803074756,2.59359230137308,2.64053514845675,3.14517075460627,2.85177796033329,2.73442084262411,2.55838516606032,2.18284238939092,2.18284238939092,1.98333528928529,1.45522825959394,1.1148926182373,1.26745687125924,1.2439854477174,1.58432108907405,1.86597817157611,1.71341391855416,2.46449947189297,2.71094941908227,2.92219223095881,3.08649219575167,3.21558502523178,2.34714235418378,1.83077103626335,1.12662833000821,0.739349841567891,0.434221335524,0.10562140593827,0.0704142706255134,0.0352071353127567,0.0352071353127567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa014AA031203,Grassl,E14,10,7460,2016-06-27 20:13:05.02,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504468146439896,0.172960507350822,0.417987892764485,0.951282790429519,1.72960507350822,2.94753531277025,3.25742288844047,4.21591236667628,4.32401268377054,4.32401268377054,4.69876044969732,4.72038051311617,4.4321130008648,4.23753243009513,4.158258864226,4.41049293744595,4.36725281060824,4.41769962525223,3.66820409339867,3.49524358604785,2.91870856154511,2.788988181032,2.38541366388008,1.90977226866532,1.77284520034592,1.60709138080138,1.20351686364947,1.20351686364947,1.28279042951859,1.49899106370712,1.54223119054483,2.0106658979533,2.26289997117325,2.17641971749784,2.31334678581724,1.88815220524647,1.34044393196887,0.807149034303834,0.540501585471317,0.468434707408475,0.345921014701643,0.245027385413664,0.180167195157106,0.129720380513116,0.0720668780628423,0.0792735658691266,0.00720668780628423,0,0,0.0144133756125685,0.00720668780628423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa014AA031203,Grassl,E14,10,12226,2016-06-11 07:13:12.762,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831255195344971,0.914380714879468,1.08063175394846,1.91188694929343,2.32751454696592,4.48877805486284,4.23940149625935,4.73815461346633,5.8187863674148,7.98004987531172,7.89692435577722,7.56442227763923,6.40066500415628,6.56691604322527,7.64754779717373,8.06317539484622,5.32003325020781,5.07065669160432,3.15876974231089,3.40814630091438,1.91188694929343,1.33000831255195,0.914380714879468,0.415627597672485,0.332502078137988,0.332502078137988,0.0831255195344971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa014AA031203,Grassl,E14,10,13792,2016-06-17 20:13:34.872,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243190661478599,0.13375486381323,0.766050583657587,1.69017509727626,3.18579766536965,4.45038910505837,4.340953307393,4.48686770428016,4.0977626459144,3.46546692607004,3.6113813229572,3.57490272373541,3.58706225680934,3.86673151750973,3.39250972762646,3.03988326848249,2.8818093385214,2.55350194552529,2.16439688715953,1.87256809338521,1.4591439688716,1.39834630350195,1.08219844357977,0.972762645914397,1.08219844357977,1.22811284046693,1.37402723735409,1.65369649805447,2.23735408560311,2.79669260700389,3.84241245136187,3.95184824902724,4.41391050583658,3.9761673151751,3.52626459143969,3.06420233463035,2.06712062256809,1.215953307393,0.766050583657587,0.291828793774319,0.267509727626459,0.13375486381323,0.01215953307393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa014AA031203,Grassl,E14,10,14748,2016-06-13 16:58:05.409,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419903422212891,0.146966197774512,0.524879277766114,1.21771992441738,1.99454125551123,2.16250262439639,2.18349779550703,1.82657988662608,2.22548813772832,2.35145916439219,1.78458954440479,1.82657988662608,2.51942053327735,2.6873819021625,1.86857022884736,2.77136258660508,2.28847365106026,2.70837707327315,2.6873819021625,2.05752676884317,1.67961368885156,1.49065714885576,1.46966197774512,1.30170060885996,1.42767163552383,1.15473441108545,1.86857022884736,2.64539155994121,2.85534327104766,4.49296661767793,5.26978794877178,6.3615368465253,6.67646441318497,6.23556581986143,5.7946672265379,4.32500524879278,3.33823220659248,1.86857022884736,0.986773042200294,0.545874448876758,0.209951711106446,0.0839806844425782,0.0209951711106445,0.0209951711106445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa014AA031203,Grassl,E14,10,15096,2016-06-16 07:13:19.579,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164392569455861,0.131514055564688,0.953476902843991,2.25217820154529,4.29064606279796,5.04685188229492,4.30708531974355,3.27141213217163,2.77823442380404,2.35081374321881,2.25217820154529,2.1206641459806,2.56452408351143,2.31793522932763,2.81111293769522,2.9426269932599,2.54808482656584,2.02202860430709,1.98915009041591,2.10422488903502,1.69324346539536,1.31514055564688,1.21650501397337,1.33157981259247,1.10143021535427,1.31514055564688,1.49597238204833,2.15354265987177,2.26861745849088,3.23853361828045,4.15913200723327,4.75094525727437,5.40851553509781,5.45783330593457,4.78382377116554,3.71527206970245,2.25217820154529,1.72612197928654,0.821962847279303,0.427420680585238,0.197271083347033,0.0657570277823442,0.0328785138911721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa014AA031203,Grassl,E14,10,17948,2016-06-14 13:43:04.157,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351679268507121,0.140671707402849,0.826446280991736,1.6001406717074,3.11236152628803,3.99155969755583,4.02672762440654,3.78055213645156,2.95410585545982,3.18269737998945,3.30578512396694,3.88605591700369,4.34323896606295,3.46404079479515,2.97168981888518,2.0397397573413,1.91665201336381,1.84631615966239,1.70564445225954,1.93423597678917,1.54738878143133,1.38913311060313,1.01986987867065,1.09020573237208,0.756110427290311,0.720942500439599,1.03745384209601,1.45946896430455,1.40671707402849,1.63530859855812,1.54738878143133,2.30349920872165,2.51450676982592,3.16511341656409,3.97397573413047,4.00914366098119,4.81800597854757,4.13223140495868,3.79813609987691,2.83101811148233,1.84631615966239,1.07262176894672,0.580270793036751,0.175839634253561,0.0527518902760682,0.0175839634253561,0.0351679268507121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa014AA031203,Grassl,E14,10,23018,2016-06-23 16:58:09.026,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259987867232862,0.0693300979287633,0.225322818268481,0.615304619117775,1.09194904237802,1.62925730132594,2.01923910217523,2.66054250801629,3.17185198024092,3.71782650142993,4.22046971141347,4.09914204003813,4.5324551520929,4.49779010312852,4.36779616951209,4.45445879192304,4.20313718693128,4.06447699107375,3.11118814455325,2.91186411300806,3.07652309558887,2.63454372129301,2.02790536441633,1.5165958921917,1.28260681168212,1.1352803535835,1.14394661582459,1.10061530461912,1.36060317185198,1.33460438512869,2.14056677355057,2.56521362336424,3.11118814455325,3.7784903371176,3.82182164832308,3.52716873212583,3.24984834041078,2.09723546234509,1.54259467891498,0.823294912904064,0.545974521189011,0.233989080509576,0.103995146893145,0.0433313112054771,0.0346650489643817,0.0346650489643817,0.0259987867232862,0.0173325244821908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
