ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,575,2016-06-14 14:05:53.48,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124378109452736,0.995024875621891,10.5721393034826,19.6517412935323,7.83582089552239,1.99004975124378,1.24378109452736,0.497512437810945,1.74129353233831,1.11940298507463,3.23383084577114,2.86069651741294,2.23880597014925,1.99004975124378,2.36318407960199,1.86567164179104,2.11442786069652,5.22388059701492,5.59701492537313,5.97014925373134,1.49253731343284,3.10945273631841,3.73134328358209,4.35323383084577,2.7363184079602,2.98507462686567,1.3681592039801,0.995024875621891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,1643,2016-06-19 14:05:58.878,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147819660014782,3.17812269031781,10.5691056910569,10.5691056910569,4.21286031042129,1.25646711012565,0.369549150036955,0.886917960088692,0.517368810051737,0.665188470066519,0.73909830007391,0.960827790096083,1.25646711012565,1.55210643015521,2.88248337028825,2.95639320029564,3.17812269031781,2.80857354028086,1.92165558019217,0.517368810051737,1.47819660014782,2.36511456023651,3.39985218033998,2.95639320029564,4.21286031042129,5.46932742054693,5.02586844050259,4.80413895048041,4.50849963045085,2.88248337028825,2.21729490022173,2.58684405025868,2.14338507021434,3.03030303030303,1.55210643015521,0.221729490022173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,4685,2016-06-15 10:51:02.405,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.3,9.4,16.7,9.2,5.6,2,0.6,1,0.9,0.9,2.6,2.1,1.5,1.9,4.3,4.9,5.6,1.9,1.3,1.1,1.6,3.8,3.2,2.9,1.2,2.6,3.2,1.9,1.8,2.2,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,5693,2016-06-13 17:20:56.572,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602409638554217,7.95180722891566,19.5180722891566,14.6987951807229,7.2289156626506,3.13253012048193,1.08433734939759,1.20481927710843,1.56626506024096,1.20481927710843,2.7710843373494,2.65060240963855,1.92771084337349,2.53012048192771,6.62650602409639,7.71084337349398,6.02409638554217,1.68674698795181,1.56626506024096,1.08433734939759,1.32530120481928,1.56626506024096,1.92771084337349,2.04819277108434,0.240963855421687,0.120481927710843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,9669,2016-06-18 17:20:59.242,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08110300081103,0.8110300081103,7.13706407137064,12.7331711273317,5.6772100567721,0.89213300892133,1.05433901054339,0.32441200324412,1.13544201135442,1.13544201135442,1.54095701540957,1.94647201946472,1.29764801297648,1.6220600162206,0.97323600973236,1.54095701540957,0.97323600973236,1.45985401459854,3.00081103000811,3.40632603406326,2.91970802919708,2.27088402270884,3.32522303325223,4.70397404703974,4.54176804541768,6.00162206001622,5.92051905920519,4.37956204379562,5.35279805352798,3.81184103811841,2.35198702351987,3.08191403081914,1.78426601784266,0.56772100567721,0.24330900243309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,10129,2016-06-17 20:36:25.062,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932835820895522,0.746268656716418,9.23507462686567,15.2985074626866,6.99626865671642,2.79850746268657,0.932835820895522,0.373134328358209,1.02611940298507,0.83955223880597,0.83955223880597,2.23880597014925,1.9589552238806,1.30597014925373,2.51865671641791,3.35820895522388,3.26492537313433,4.66417910447761,4.38432835820896,1.49253731343284,0.932835820895522,2.23880597014925,3.07835820895522,3.54477611940298,3.17164179104478,3.45149253731343,4.47761194029851,2.79850746268657,3.45149253731343,6.0634328358209,2.23880597014925,0.186567164179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,12885,2016-06-25 10:52:35.345,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227479526842584,1.59235668789809,6.36942675159236,6.46041856232939,1.95632393084622,2.13830755232029,1.13739763421292,1.31938125568699,0.818926296633303,1.13739763421292,1.31938125568699,2.13830755232029,1.68334849863512,1.50136487716106,2.27479526842584,1.95632393084622,2.36578707916288,2.91173794358508,2.18380345768881,1.22838944494995,2.09281164695177,3.00272975432211,3.27570518653321,2.82074613284804,3.27570518653321,4.45859872611465,4.23111919927207,3.41219290263876,2.82074613284804,3.09372156505914,2.77525022747953,4.91355777979982,4.23111919927207,2.86624203821656,2.22929936305732,2.27479526842584,3.13921747042766,2.27479526842584,0.0909918107370337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,13637,2016-06-18 17:20:59.242,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999167360532889,7.49375520399667,13.0724396336386,7.32722731057452,2.5811823480433,0.582847626977519,0.499583680266445,1.08243130724396,0.749375520399667,0.749375520399667,1.16569525395504,1.24895920066611,0.999167360532889,2.5811823480433,3.91340549542048,3.58034970857619,3.74687760199834,2.33139050791007,1.24895920066611,1.24895920066611,1.83180682764363,3.66361365528726,3.99666944213156,3.16402997502082,5.32889258950874,4.74604496253122,3.99666944213156,5.41215653621982,4.8293089092423,1.83180682764363,1.08243130724396,1.58201498751041,1.16569525395504,0.166527893422148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,13871,2016-06-20 10:50:58.506,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651041666666667,0.455729166666667,5.2734375,11.5234375,6.31510416666667,3.25520833333333,0.846354166666667,0.390625,0.716145833333333,0.520833333333333,1.04166666666667,2.1484375,1.62760416666667,1.43229166666667,1.69270833333333,2.27864583333333,2.1484375,1.82291666666667,2.1484375,0.651041666666667,0.325520833333333,2.01822916666667,1.88802083333333,2.86458333333333,2.79947916666667,4.42708333333333,5.72916666666667,4.6875,4.42708333333333,2.86458333333333,2.27864583333333,3.3203125,3.84114583333333,2.734375,3.64583333333333,5.01302083333333,0.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa021AA031210,ICSV700,S3,10,15477,2016-06-23 17:21:07.456,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624609618988132,0.312304809494066,4.18488444722049,11.1180512179888,6.74578388507183,3.68519675202998,1.06183635227983,0.749531542785759,0.936914428482199,1.12429731417864,0.562148657089319,0.936914428482199,0.999375390381012,1.31168019987508,1.81136789506558,1.74890693316677,1.06183635227983,1.49906308557152,3.06058713304185,4.55965021861337,3.3104309806371,3.56027482823235,4.18488444722049,4.93441599000625,4.37226733291693,3.74765771392879,1.8738288569644,1.37414116177389,1.24921923797626,1.24921923797626,2.06121174266084,1.8738288569644,2.74828232354778,1.68644597126796,2.24859462835728,2.74828232354778,4.74703310430981,3.68519675202998,0.811992504684572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
