ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa023AA031212,Leoti,S5,10,858,2016-06-16 07:29:28.07,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94924554183813,3.39506172839506,3.96090534979424,5.1440329218107,6.43004115226337,7.81893004115226,9.27640603566529,10.1508916323731,8.65912208504801,7.1159122085048,6.13854595336077,5.04115226337449,2.96639231824417,2.09190672153635,1.2517146776406,1.21742112482853,1.08024691358025,1.33744855967078,1.62894375857339,1.78326474622771,1.33744855967078,1.4917695473251,1.30315500685871,1.33744855967078,1.38888888888889,1.28600823045267,0.63443072702332,0.754458161865569,0.39437585733882,0.222908093278464,0.12002743484225,0.205761316872428,0.0685871056241426,0.0171467764060357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa023AA031212,Leoti,S5,10,3348,2016-06-23 17:14:13.985,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28926978163888,2.1131721061282,2.14839164123034,2.20709086640056,2.94670110354543,3.82718948109885,4.97769429443531,5.84644282695468,6.8560694998826,8.24137121389998,8.61704625498943,7.95961493308288,6.77389058464428,5.78774360178446,5.16553181498004,3.99154731157549,3.21671753932848,2.59450575252407,2.65320497769429,2.31274947170697,2.12491195116224,1.69053768490256,1.52617985442592,1.15050481333646,0.798309462315097,0.493073491429913,0.575252406668232,0.281756280817093,0.270016435783048,0.21131721061282,0.199577365578774,0.0352195351021366,0.0234796900680911,0,0.0352195351021366,0.0117398450340456,0.0352195351021366,0,0,0.0117398450340456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BB001_F_060916,Fa023AA031212,Leoti,S5,10,3658,2016-06-24 17:31:08.363,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63818935288492,5.64233343959197,5.30761874402295,4.49474019764106,4.08033152693656,3.20369780044629,3.07618744022952,3.23557539050048,3.37902454574434,3.29933057060886,3.82531080650303,4.09627032196366,4.49474019764106,5.38731271915843,5.88141536499841,5.5148230793752,5.14823079375199,4.87727127829136,4.44692381255977,3.9368823716927,2.62990117947083,2.13579853363086,1.86483901817023,1.43449155243864,1.03602167676124,0.781000956327702,0.66942939113803,0.541919030921262,0.334714695569015,0.191265540325151,0.0796939751354798,0.0796939751354798,0.0478163850812879,0.0318775900541919,0.0796939751354798,0.0318775900541919,0.0318775900541919,0,0,0.0318775900541919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa023AA031212,Leoti,S5,10,6106,2016-06-23 17:14:13.985,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33194527067222,2.54610350981559,2.64128494943486,2.66508030933968,2.74836406900654,3.37894110648424,4.53301606186794,5.36585365853659,7.00773349196907,6.93634741225461,6.34146341463415,5.98453301606187,4.85425342058299,4.24747174301011,3.92623438429506,3.35514574657942,3.21237358715051,3.22427126710291,2.90303390838786,3.36704342653183,3.081499107674,3.11719214753123,2.65318262938727,2.08209399167162,1.48720999405116,1.17787031528852,0.975609756097561,1.07079119571684,1.07079119571684,0.606781677572873,0.452111838191553,0.356930398572278,0.130874479476502,0.0594883997620464,0.0356930398572278,0.0118976799524093,0.0594883997620464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BB001_F_060916,Fa023AA031212,Leoti,S5,10,8872,2016-06-15 10:44:15.028,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44827586206897,3.65003668378577,4.10858400586941,4.21863536316948,5.77769625825385,6.98826118855466,8.18048422597212,8.38224504768892,9.62949376375642,8.40058694057227,6.54805575935437,5.24578136463683,3.11812179016875,2.2927366104182,1.81584739545121,1.59574468085106,1.19222303741746,1.39398385913426,1.76082171680117,1.79750550256787,1.26559060895084,1.10051357300073,1.00880410858401,0.862068965517241,0.880410858400587,0.752017608217168,0.935436537050624,1.13719735876742,0.752017608217168,0.678650036683786,0.366837857666911,0.275128393250183,0.146735143066764,0.16507703595011,0.110051357300073,0.0183418928833456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa023AA031212,Leoti,S5,10,9556,2016-06-26 07:29:20.733,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59387583107033,3.2680962636951,3.07144863751288,3.01526360146081,3.42728719917595,4.09214345912539,4.75699971907482,5.78705871336267,6.6204700814683,6.54555670006555,5.63723195055717,5.07538159003652,4.12960014982676,3.06208446483753,2.83734432062927,2.76243093922652,3.60520648000749,4.16705684052814,3.99850173237195,3.94231669631988,3.69884820676093,3.12763367356494,2.41595655023879,1.73237194493866,1.69491525423729,1.33907669257421,1.08624403033992,0.955145612885102,0.54312201516996,0.421387770390486,0.252832662234292,0.103005899428785,0.0842775540780972,0.0561850360520648,0.0280925180260324,0.0561850360520648,0,0,0,0.00936417267534413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa023AA031212,Leoti,S5,10,13144,2016-06-18 17:14:12.399,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8236707720036,3.09402222889757,3.03394412736558,3.49954941423851,4.10033042955843,4.65605286872935,5.6924001201562,6.54851306698708,7.8852508260739,8.06548513066987,7.104235506158,5.33193151096425,4.46079903875038,3.33433463502553,2.65845599279063,2.31300690898168,1.89246019825774,1.93751877440673,1.98257735055572,2.59837789125864,2.95884650045059,2.40312406127966,2.50826073896065,2.40312406127966,1.98257735055572,1.38179633523581,0.976269149894863,0.720937218383899,0.57074196455392,0.435566236106939,0.300390507659958,0.0901171522979874,0.105136677680985,0.105136677680985,0.0300390507659958,0.0150195253829979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa023AA031212,Leoti,S5,10,14246,2016-06-26 07:29:20.733,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1356783919598,2.43180186647523,2.60229720028715,2.86252692031587,3.26633165829146,4.02010050251256,4.86360373295047,6.16475233309404,6.59547738693467,6.67623833452979,6.23653984206748,5.45585068198134,4.63926776740847,3.75089734386217,3.0689160086145,3.05096913137114,2.63819095477387,2.40488155061019,2.62024407753051,2.94328786791098,2.76381909547739,3.73295046661881,5.00717875089734,4.33417085427136,2.49461593682699,1.16654702081838,0.681981335247667,0.421751615218952,0.296123474515434,0.161521895190237,0.152548456568557,0.125628140703518,0.0717875089734386,0.0717875089734386,0.0269203158650395,0.0269203158650395,0.0179468772433597,0.0179468772433597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa023AA031212,Leoti,S5,10,18222,2016-06-20 10:44:11.719,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7342808961696,2.32474102625873,2.56564683208865,2.86677908937605,3.26427366899542,3.89062876415322,5.20356540592628,6.03469043603951,6.84172488556974,7.21512888460612,7.16694772344014,6.60081907973982,5.51674295350518,3.86653818357022,2.69814502529511,1.96338231751385,1.8067935437244,1.8308841243074,1.71043122139244,1.97542760780535,1.86701999518188,2.05974463984582,2.18019754276078,2.51746567092267,2.34883160684172,2.4090580582992,2.08383522042881,1.62611418935196,1.46952541556252,0.975668513611178,0.75885328836425,0.554083353408817,0.325222837870393,0.264996386412913,0.192724644663936,0.156588773789448,0.0481811611659841,0.0361358708744881,0.0481811611659841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa023AA031212,Leoti,S5,10,19628,2016-06-14 13:59:05.602,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11337380066575,4.03367926375563,4.22948893675348,4.34697474055218,5.48267084393969,6.12884276483258,6.81417662032504,8.1456823967104,8.32191110240846,9.69257881339338,8.16526336401018,7.24495790092031,5.44350890934012,3.62247895046015,2.87840219306834,1.99725866457803,1.42941061288428,1.86019189347954,1.72312512238105,1.33150577638535,0.920305463089877,0.97904836498923,0.450362247895046,0.430781280595261,0.274133542196985,0.411200313295477,0.2545525748972,0.117485803798708,0.097904836498923,0.0391619345995692,0.0195809672997846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
