ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa023AA031212,Leoti,S5,10,858,2016-06-16 07:29:28.07,SV,VIS,256,hue,0,0,0,0,0.0171467764060357,0.12002743484225,0.205761316872428,0.600137174211248,1.78326474622771,3.54938271604938,6.99588477366255,12.2942386831276,13.957475994513,11.6426611796982,8.09327846364883,4.56104252400549,2.07475994513032,1.23456790123457,0.703017832647462,0.651577503429355,0.548696844993141,0.51440329218107,0.411522633744856,0.51440329218107,0.703017832647462,0.805898491083676,1.06310013717421,1.14883401920439,1.4917695473251,1.56035665294925,1.40603566529492,1.83470507544582,2.26337448559671,2.43484224965706,2.58916323731139,2.26337448559671,2.38340192043896,2.22908093278464,1.40603566529492,0.977366255144033,0.737311385459534,0.51440329218107,0.39437585733882,0.480109739368999,0.188614540466392,0.0857338820301783,0.205761316872428,0.102880658436214,0.0171467764060357,0.0171467764060357,0.0342935528120713,0.051440329218107,0.0171467764060357,0.0685871056241426,0.0171467764060357,0,0.0171467764060357,0.0171467764060357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa023AA031212,Leoti,S5,10,3348,2016-06-23 17:14:13.985,SV,VIS,256,hue,0,0,0,0.0352195351021366,0.0469593801361822,0.164357830476638,0.21131721061282,0.469593801361822,0.974407137825781,1.94881427565156,4.43766142286922,7.76003756750411,10.6245597558112,9.84972998356422,6.49213430382719,3.22845738436253,1.77271660014088,1.06832589809815,1.12702512326837,0.810049307349143,0.833528997417234,0.763089927212961,0.962667292791735,1.11528527823433,1.1857243484386,1.30312279877906,1.33834233388119,1.7022775299366,1.92533458558347,2.23057055646865,1.8548955153792,2.08969241606011,2.06621272599202,2.80582296313689,2.66494482272834,2.89974172340925,2.71190420286452,2.86452218830711,2.57102606245598,2.05447288095797,2.10143226109415,1.87837520544729,1.63183845973233,1.38530171401737,0.798309462315097,0.73961023714487,0.657431321906551,0.42263442122564,0.42263442122564,0.199577365578774,0.234796900680911,0.10565860530641,0.0586992251702278,0.0821789152383189,0.129138295374501,0.0821789152383189,0.0352195351021366,0.0117398450340456,0.0352195351021366,0.0117398450340456,0.0117398450340456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BB001_F_060916,Fa023AA031212,Leoti,S5,10,3658,2016-06-24 17:31:08.363,SV,VIS,256,hue,0,0,0.0159387950270959,0.0318775900541919,0.0318775900541919,0.127510360216768,0.255020720433535,0.701306981192222,1.73732865795346,3.1399426203379,3.39496334077144,3.58622888109659,2.31112527892891,1.45043034746573,1.05196047178833,0.908511316544469,0.844756136436085,0.781000956327702,0.74912336627351,0.876633726490277,0.972266496652853,1.22728721708639,1.5620019126554,1.80108383806184,2.07204335352247,2.15173732865795,2.56614599936245,3.06024864520242,3.01243226012113,3.50653490596111,2.91679948995856,3.63404526617788,3.71373924131336,3.68186165125916,3.71373924131336,4.14408670704495,3.88906598661141,4.08033152693656,4.30347465731591,3.9209435766656,4.14408670704495,3.63404526617788,2.83710551482308,1.80108383806184,1.40261396238444,1.02008288173414,0.653490596110934,0.557857825948358,0.557857825948358,0.350653490596111,0.334714695569015,0.111571565189672,0.15938795027096,0.0956327701625757,0.0637551801083838,0.0956327701625757,0.0478163850812879,0.0478163850812879,0.0637551801083838,0.0637551801083838,0,0,0.0159387950270959,0,0,0.0159387950270959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa023AA031212,Leoti,S5,10,6106,2016-06-23 17:14:13.985,SV,VIS,256,hue,0,0,0,0,0.0237953599048186,0.0475907198096371,0.142772159428911,0.261748958953004,0.761451516954194,1.7965496728138,3.31945270672219,6.74598453301606,8.51873884592504,7.36466389054134,4.69958358120167,2.96252230814991,1.67757287328971,1.4158239143367,1.16597263533611,1.23735871505057,1.68947055324212,1.87983343248067,2.12968471148126,1.95121951219512,2.36763831052945,2.53420582986318,2.47471743010113,2.18917311124331,2.11778703152885,1.84414039262344,2.03450327186199,1.6656751933373,2.12968471148126,1.95121951219512,2.15348007138608,2.41522903033908,2.87923854848305,2.6888756692445,3.25996430696014,3.01011302795955,2.72456870910172,2.54610350981559,1.90362879238548,1.08268887566924,0.737656157049375,0.48780487804878,0.428316478286734,0.368828078524688,0.237953599048186,0.214158239143367,0.178465199286139,0.214158239143367,0.142772159428911,0.0951814396192742,0.107079119571684,0.130874479476502,0.16656751933373,0.118976799524093,0.0713860797144557,0.083283759666865,0.083283759666865,0.107079119571684,0.0713860797144557,0.0118976799524093,0.0594883997620464,0.0237953599048186,0.0475907198096371,0.0118976799524093,0.0356930398572278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BB001_F_060916,Fa023AA031212,Leoti,S5,10,8872,2016-06-15 10:44:15.028,SV,VIS,256,hue,0,0,0,0,0.0917094644167278,0.128393250183419,0.293470286133529,1.0454878943507,1.66911225238445,3.96184886280264,7.22670579603815,11.4453411592076,14.2516507703595,11.7021276595745,7.72193690388848,4.10858400586941,2.87967718268525,1.33895818048423,0.843727072633896,0.935436537050624,0.770359501100514,0.531914893617021,0.788701393983859,0.862068965517241,0.752017608217168,0.733675715333822,1.13719735876742,1.39398385913426,1.48569332355099,1.43066764490095,1.70579603815114,2.12765957446809,2.03595011005136,2.40278796771827,2.27439471753485,2.23771093176816,1.8525311812179,1.79750550256787,0.935436537050624,0.953778429933969,0.513573000733676,0.366837857666911,0.183418928833456,0.146735143066764,0.16507703595011,0.128393250183419,0.0917094644167278,0.128393250183419,0.0550256786500367,0.0550256786500367,0.0550256786500367,0.0183418928833456,0.0550256786500367,0.0183418928833456,0.0366837857666911,0.0550256786500367,0.0183418928833456,0.0366837857666911,0,0,0.0183418928833456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa023AA031212,Leoti,S5,10,9556,2016-06-26 07:29:20.733,SV,VIS,256,hue,0,0,0,0.0187283453506883,0.0374566907013765,0.0936417267534413,0.11237007210413,0.458844461091862,0.786590504728907,1.64809439086057,3.38983050847458,5.41249180634891,6.98567281580672,6.29272403783126,4.42925367543778,2.0788463339264,1.43271841932765,1.1237007210413,0.898960576833037,0.880232231482348,1.07687985766458,1.51699597340575,1.43271841932765,1.77919280831539,1.90092705309486,1.7604644629647,2.02266129787433,2.18185223335518,1.91965539844555,2.19121640603053,1.80728532634142,2.09757467927709,1.89156288041951,2.3972282048881,2.0788463339264,2.56578331304429,2.74370259387583,2.9497143927334,3.47410806255267,4.72890720104879,4.61653712894466,4.68208633767207,3.38046633579923,1.87283453506883,1.23607079314543,0.767862159378219,0.440116115741174,0.43075194306583,0.252832662234292,0.187283453506883,0.252832662234292,0.187283453506883,0.15919093548085,0.168555108156194,0.177919280831539,0.0842775540780972,0.0468208633767207,0.0561850360520648,0.0374566907013765,0.0842775540780972,0.0280925180260324,0.0374566907013765,0.0655492087274089,0.0561850360520648,0.00936417267534413,0.0280925180260324,0.0280925180260324,0.0280925180260324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa023AA031212,Leoti,S5,10,13144,2016-06-18 17:14:12.399,SV,VIS,256,hue,0,0,0,0.0150195253829979,0.0450585761489937,0.0150195253829979,0.225292880744968,0.525683388404926,1.11144487834184,2.08771402823671,5.21177530790027,8.47101231601081,10.7990387503755,10.4836287173325,7.49474316611595,4.70111144487834,3.03394412736558,1.90747972364073,1.4418744367678,1.65214779212977,1.56203063983178,1.4568939621508,1.53199158906579,1.57705016521478,1.74226494442776,2.1177530790027,2.70351456893962,2.1628116551517,1.66716731751277,1.3968158606188,1.15650345449084,1.11144487834184,1.29167918293782,1.4418744367678,1.78732352057675,1.89246019825774,2.41814358666266,2.64343646740763,1.96755782517272,1.4268549113848,0.93121057374587,0.705917693000901,0.555722439170922,0.345449083808952,0.255331931510964,0.180234304595975,0.36046860919195,0.225292880744968,0.135175728446981,0.195253829978973,0.225292880744968,0.0901171522979874,0.255331931510964,0.105136677680985,0.0901171522979874,0.120156203063983,0.0600781015319916,0.120156203063983,0.0901171522979874,0.105136677680985,0.0600781015319916,0.105136677680985,0.0450585761489937,0.0901171522979874,0.0600781015319916,0.0600781015319916,0.0300390507659958,0.0750976269149895,0.0300390507659958,0,0,0.0150195253829979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa023AA031212,Leoti,S5,10,14246,2016-06-26 07:29:20.733,SV,VIS,256,hue,0.00897343862167983,0,0.0358937544867193,0.00897343862167983,0.0358937544867193,0.0358937544867193,0.134601579325197,0.340990667623833,0.547379755922469,1.57932519741565,3.83165829145729,6.66726489590811,8.37221823402728,7.00825556353195,4.28033022254128,2.34206748025843,1.2921751615219,0.744795405599426,0.637114142139268,0.619167264895908,0.655061019382628,0.861450107681263,0.646087580760948,1.13962670495334,1.17552045944006,1.09475951184494,1.57035175879397,1.57035175879397,1.60624551328069,2.11773151471644,1.74084709260589,2.07286432160804,2.2254127781766,2.20746590093324,2.36001435750179,2.81765972720747,2.92534099066762,3.32914572864322,4.091888011486,5.2494615936827,6.4070351758794,5.62634601579325,2.99712849964106,1.48959081119885,0.924264178033022,0.610193826274228,0.394831299353912,0.367910983488873,0.269203158650395,0.179468772433597,0.242282842785355,0.134601579325197,0.0897343862167983,0.116654702081838,0.0358937544867193,0.0448671931083991,0.0448671931083991,0,0.00897343862167983,0,0.0179468772433597,0.0179468772433597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa023AA031212,Leoti,S5,10,18222,2016-06-20 10:44:11.719,SV,VIS,256,hue,0,0,0,0.0240905805829921,0.0361358708744881,0.108407612623464,0.277041676704409,0.517947482534329,1.03589496506866,2.74632618646109,5.25174656709227,8.80510720308359,11.2984822934233,10.1541797157311,6.45627559624187,3.9508552156107,2.25246928450976,1.12021199710913,1.07203083594315,1.10816670681763,1.04794025536015,1.14430257769212,1.42134425439653,1.68634064080944,1.77065767284992,1.77065767284992,1.92724644663936,1.90315586605637,1.58997831847748,1.8308841243074,1.28884606119007,1.2165743194411,1.26475548060708,1.73452180197543,1.84292941459889,1.74656709226692,2.49337509033968,3.05950373403999,3.09563960491448,2.25246928450976,1.5177065767285,0.975668513611178,0.722717417489761,0.385449289327873,0.349313418453385,0.325222837870393,0.301132257287401,0.313177547578897,0.24090580582992,0.168634064080944,0.216815225246928,0.192724644663936,0.132498193206456,0.168634064080944,0.168634064080944,0.192724644663936,0.144543483497952,0.132498193206456,0.192724644663936,0.108407612623464,0.0963623223319682,0.0963623223319682,0.108407612623464,0.0602264514574801,0.0722717417489761,0.0963623223319682,0.0481811611659841,0.0481811611659841,0.0481811611659841,0.0240905805829921,0.0240905805829921,0.012045290291496,0.012045290291496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa023AA031212,Leoti,S5,10,19628,2016-06-14 13:59:05.602,SV,VIS,256,hue,0,0.0195809672997846,0,0.0391619345995692,0.097904836498923,0.234971607597415,0.548267084393969,1.03779126688858,1.76228705698061,3.54415508126101,7.59741531231643,11.6115136087723,14.54865870374,12.9234384178578,9.61425494419424,5.65889954963775,3.09379283336597,1.56647738398277,1.42941061288428,0.959467397689446,1.25318190718621,0.97904836498923,1.15527707068729,1.272762874486,1.37066771098492,1.15527707068729,1.68396318778148,1.48815351478363,1.80144899158018,1.72312512238105,0.920305463089877,1.31192480908557,1.0182102995888,0.881143528490307,0.783238691991384,1.272762874486,0.567848051693754,0.626590953593107,0.450362247895046,0.2545525748972,0.195809672997846,0.176228705698061,0.156647738398277,0.176228705698061,0.137066771098492,0.137066771098492,0.097904836498923,0.137066771098492,0.0587429018993538,0.0587429018993538,0.097904836498923,0.0783238691991384,0.0195809672997846,0.097904836498923,0.0391619345995692,0.0195809672997846,0,0.0195809672997846,0,0,0,0.0195809672997846,0,0,0,0,0.0195809672997846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
