ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa008AA031197,M81e,E8,10,1957,2016-06-13 17:44:59.246,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36277602523659,24.1324921135647,21.1356466876972,10.5678233438486,6.78233438485804,2.6813880126183,1.57728706624606,2.8391167192429,1.89274447949527,1.73501577287066,2.8391167192429,4.73186119873817,6.15141955835962,2.52365930599369,0.946372239747634,0.946372239747634,1.73501577287066,1.41955835962145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa008AA031197,M81e,E8,10,1999,2016-06-14 14:29:56.784,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161290322580645,1.7741935483871,18.2258064516129,25.4838709677419,9.35483870967742,2.41935483870968,1.12903225806452,1.7741935483871,2.90322580645161,2.41935483870968,0.967741935483871,1.7741935483871,2.09677419354839,2.74193548387097,2.74193548387097,3.38709677419355,2.74193548387097,2.09677419354839,3.54838709677419,4.19354838709677,1.45161290322581,2.09677419354839,2.41935483870968,1.7741935483871,0.32258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa008AA031197,M81e,E8,10,6049,2016-06-18 17:45:00.933,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.813008130081301,11.0336817653891,18.0023228803717,8.01393728222996,4.18118466898955,1.74216027874564,1.27758420441347,2.55516840882695,1.04529616724739,1.27758420441347,1.16144018583043,1.04529616724739,3.2520325203252,4.99419279907085,2.55516840882695,1.97444831591173,2.55516840882695,2.20673635307782,1.16144018583043,1.74216027874564,2.78745644599303,4.52961672473868,7.20092915214866,3.13588850174216,2.09059233449477,2.78745644599303,1.50987224157956,1.85830429732869,1.50987224157956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa008AA031197,M81e,E8,10,10531,2016-06-21 08:00:23.824,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198216055500496,1.09018830525273,9.81169474727453,12.5867195242815,2.57680872150644,0.693756194251734,1.28840436075322,1.18929633300297,1.48662041625372,1.38751238850347,1.48662041625372,0.792864222001982,1.28840436075322,2.18037661050545,2.97324083250743,1.48662041625372,1.58572844400396,1.78394449950446,2.97324083250743,1.88305252725471,3.56788899900892,5.74826560951437,5.64915758176412,3.86521308225966,1.78394449950446,3.07234886025768,2.18037661050545,2.47770069375619,2.37859266600595,5.45094152626363,6.8384539147671,5.74826560951437,0.495540138751239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa008AA031197,M81e,E8,10,11371,2016-06-16 08:00:25.87,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151057401812689,1.20845921450151,12.8398791540786,22.9607250755287,7.70392749244713,1.3595166163142,1.81268882175227,1.05740181268882,2.41691842900302,2.26586102719033,1.96374622356495,1.20845921450151,2.41691842900302,2.41691842900302,3.62537764350453,3.62537764350453,3.02114803625378,4.0785498489426,5.13595166163142,2.87009063444109,4.0785498489426,7.70392749244713,3.32326283987915,0.755287009063444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa008AA031197,M81e,E8,10,13745,2016-06-29 14:44:49.87,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521104742053153,0.364773319437207,1.87597707139135,6.04481500781657,5.21104742053153,1.19854090672225,0.573215216258468,0.99009900990099,1.04220948410631,1.19854090672225,0.937988535695675,0.937988535695675,0.99009900990099,1.04220948410631,1.40698280354351,1.87597707139135,1.66753517457009,1.19854090672225,1.56331422615946,2.81396560708702,3.33507034914018,2.50130276185513,2.86607608129234,3.54351224596144,6.1490359562272,5.73215216258468,5.52371026576342,5.05471599791558,4.48150078165711,4.01250651380928,4.11672746221991,5.21104742053153,3.12662845231892,1.98019801980198,1.56331422615946,2.70974465867639,3.7519541427827,1.14643043251694,0.208441896821261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
BB001_F_060916,Fa008AA031197,M81e,E8,10,14269,2016-06-17 21:00:52.688,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3690036900369,7.99507995079951,20.7872078720787,11.5621156211562,6.88806888068881,3.3210332103321,1.4760147601476,1.5990159901599,2.3370233702337,1.1070110701107,1.4760147601476,0.738007380073801,2.5830258302583,5.41205412054121,3.690036900369,1.9680196801968,2.5830258302583,2.5830258302583,1.5990159901599,1.1070110701107,2.460024600246,2.460024600246,4.920049200492,5.04305043050431,2.7060270602706,0.984009840098401,0.2460024600246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BB001_F_060916,Fa008AA031197,M81e,E8,10,17677,2016-06-25 11:17:08.572,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209643605870021,2.23619846261356,9.22431865828092,8.17610062893082,1.46750524109015,0.76869322152341,0.489168413696716,0.76869322152341,0.978336827393431,1.0482180293501,0.698812019566737,0.908455625436757,1.39762403913347,2.30607966457023,1.67714884696017,1.18798043326345,1.0482180293501,1.0482180293501,2.30607966457023,3.42417889587701,1.81691125087351,2.6554856743536,3.91334730957372,5.0314465408805,5.17120894479385,4.26275331935709,3.00489168413697,4.05310971348707,7.40740740740741,6.84835779175402,4.54227812718379,2.86512928022362,3.56394129979036,2.6554856743536,0.76869322152341,0.0698812019566736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa008AA031197,M81e,E8,10,18099,2016-06-22 21:35:22.415,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103412616339193,1.03412616339193,7.65253360910031,13.0299896587384,3.61944157187177,1.03412616339193,1.13753877973113,1.03412616339193,1.5511892450879,1.5511892450879,1.13753877973113,0.827300930713547,1.44777662874871,3.1023784901758,3.82626680455016,2.27507755946225,2.27507755946225,1.44777662874871,1.86142709410548,1.75801447776629,3.61944157187177,5.17063081695967,7.96277145811789,5.27404343329886,2.89555325749741,2.58531540847983,2.58531540847983,1.86142709410548,2.06825232678387,1.13753877973113,0.93071354705274,1.03412616339193,1.5511892450879,2.06825232678387,1.5511892450879,2.58531540847983,3.1023784901758,0.31023784901758,0,0,0,0,0,0,0,0,0,0,0,0,19
BB001_F_060916,Fa008AA031197,M81e,E8,10,18251,2016-06-14 14:29:56.784,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741839762611276,12.6112759643917,27.4480712166172,13.5014836795252,7.2700296735905,3.41246290801187,1.78041543026706,3.41246290801187,1.3353115727003,1.63204747774481,2.22551928783383,3.70919881305638,6.67655786350148,2.9673590504451,1.18694362017804,0.890207715133531,1.48367952522255,2.52225519287834,0.741839762611276,0.593471810089021,1.3353115727003,1.48367952522255,0.890207715133531,0.148367952522255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
