ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,2984,2016-06-28 17:12:53.187,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15035931453842,2.18352681039248,2.29408512990603,2.46545052515202,2.81923714759536,3.39966832504146,3.83637368711996,4.04643449419569,4.212271973466,4.18463239358762,4.05749032614704,3.48258706467662,3.67606412382532,3.99115533443892,4.60475400773908,5.56661138750691,5.86511885019348,5.72692095080155,5.73244886677722,5.07462686567164,4.62686567164179,4.36152570480929,3.27805417357656,2.26091763405196,1.5257048092869,0.983969043670536,0.867882808181316,0.674405749032615,0.503040353786622,0.431177446102819,0.342730790491985,0.226644555002764,0.204532891100055,0.127142067440575,0.0939745715865119,0.0386954118297402,0.0552791597567717,0.0165837479270315,0.00552791597567717,0.00552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,5364,2016-06-24 17:27:49.102,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39738234475077,3.21173303629444,3.4159472755964,3.03536619326093,3.03536619326093,3.21173303629444,3.09106098579783,3.4716420681333,3.21173303629444,2.84043441938179,2.76617469599926,2.9611064698784,3.02608372783811,3.95433027011974,4.37204121414648,5.30957022185092,6.62768031189084,6.97113153253504,6.35848881462917,4.52056066091154,3.15603824375754,1.83792815371763,1.81936322287199,1.3088276246171,1.37380488257681,1.80079829202636,1.67084377610693,1.34595748630836,1.01178873108698,0.789009560939385,0.612642717905876,0.584795321637427,0.621925183328692,0.668337510442774,0.696184906711222,0.50125313283208,0.519818063677713,0.436275874872366,0.269191497261673,0.120672050496612,0.0371298616912652,0.0278473962684489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,9134,2016-06-12 20:26:28.742,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45360824742268,9.36082474226804,10.5154639175258,10.1030927835052,9.60824742268041,7.38144329896907,5.97938144329897,4.57731958762887,2.80412371134021,2.51546391752577,2.30927835051546,1.03092783505155,2.02061855670103,2.06185567010309,2.2680412371134,2.06185567010309,2.35051546391753,1.89690721649485,2.39175257731959,1.52577319587629,1.69072164948454,1.69072164948454,1.23711340206186,1.23711340206186,0.907216494845361,0.494845360824742,0.701030927835051,0.371134020618557,0.164948453608247,0.164948453608247,0.123711340206186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,9766,2016-06-26 07:26:15.084,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06056129985229,2.13441654357459,2.14918759231905,2.57754800590842,2.74002954209749,3.50812407680945,4.4903988183161,5.02215657311669,5.15509601181684,5.17725258493353,4.43870014771049,4.03988183161004,3.47858197932053,3.20531757754801,3.71491875923191,4.12112259970458,4.85228951255539,4.97784342688331,4.51994091580502,3.92171344165436,3.38995568685377,2.66617429837518,2.44460856720827,2.36336779911374,1.80945347119645,1.63220088626292,1.34416543574594,1.0930576070901,0.878877400295421,0.805022156573117,0.583456425406204,0.627769571639586,0.709010339734121,0.539143279172821,0.590841949778434,0.472673559822747,0.502215657311669,0.531757754800591,0.391432791728213,0.228951255539143,0.0738552437223043,0.0369276218611521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,11902,2016-06-14 13:56:00.39,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68288427989921,3.85733669315759,4.61329715061058,5.34987400659042,5.71816243458034,7.01686373328164,7.65652258189572,8.16049622019771,8.19926342314402,8.41248303934871,5.9895328552045,4.71021515797635,3.35336305485559,2.42295018414421,1.5506881178523,1.2987012987013,1.16301608838922,1.0467144795503,1.24055049428184,1.0467144795503,1.24055049428184,1.27931769722815,1.25993409575499,1.49253731343284,1.57007171932545,1.88020934289591,1.00794727660399,1.00794727660399,0.911029269238224,0.368288427989921,0.426439232409382,0.348904826516767,0.251986819150998,0.15506881178523,0.193836014731537,0.0581508044194611,0.0193836014731537,0.0387672029463074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,13350,2016-06-13 17:11:04.092,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50978372811535,6.51390319258496,6.95159629248198,7.56951596292482,8.72811534500515,8.9340885684861,10.1184346035015,8.98558187435633,7.23480947476828,5.69001029866117,4.17095777548919,2.90937178166838,2.3686920700309,1.33882595262616,1.28733264675592,1.10710607621009,1.00411946446962,0.772399588053553,0.566426364572606,0.978372811534501,0.978372811534501,0.978372811534501,0.926879505664264,0.746652935118435,0.772399588053553,0.798146240988671,0.669412976313079,0.540679711637487,0.386199794026777,0.102986611740474,0.257466529351184,0.0514933058702369,0.0257466529351184,0.0257466529351184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,14040,2016-06-18 17:11:07.249,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37669307436749,2.74725274725275,2.93892154357271,3.2583695374393,4.01226680296448,4.65116279069767,5.67339637107079,6.93841042678252,6.83618706874521,6.93841042678252,5.80117556861743,4.60005111167902,3.27114745719397,2.37669307436749,1.78890876565295,1.81446460516228,2.07002300025556,2.41502683363148,2.69614106823409,3.28392537694863,3.6161512905699,2.91336570406338,3.05392282136468,2.91336570406338,2.1978021978022,2.0189113212369,2.1978021978022,1.558906210069,1.18834653718375,0.766675185279836,0.383337592639918,0.383337592639918,0.166112956810631,0.102223358037312,0.0511116790186558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,19554,2016-06-19 13:56:06.897,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74126924521217,2.80385530103893,3.19188884716485,3.51733633746401,4.04305920640881,4.48116159719615,5.55764175741645,5.97070972587308,6.44636375015647,6.29615721617224,5.16960821129052,4.76905745399925,3.47978470396796,2.69120040055076,2.21554637626737,2.3907873325823,2.09037426461384,2.02778820878708,2.24058079859807,1.96520215296032,2.49092502190512,3.04168231318062,2.14044310927525,2.22806358743272,2.1279258981099,2.01527099762173,1.90261609713356,1.63975466266116,1.47703091751158,1.314307172362,1.03892852672425,1.17661784954312,0.951308048566779,0.650894980598323,0.588308924771561,0.588308924771561,0.287895856803104,0.162723745149581,0.0751032669921142,0.0125172111653524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,23254,2016-06-27 20:26:01.143,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69517764532859,2.17509095131202,2.22927471166499,2.23701524885827,2.29119900921124,3.22006347240498,3.9554145057667,4.35792243981732,5.75121913460794,6.09180277111232,6.44012694480997,5.81314343215419,5.13197615914544,4.09474417524576,3.78512268751451,4.44306834894342,5.13971669633873,5.48804087003638,4.59013855561576,3.42905797662358,2.76337177800139,1.9351342983203,1.55584797584952,1.37007508321077,1.08367520705937,1.09915628144593,0.944345537580308,0.913383388807183,0.812756405294528,0.588280826689372,0.642464587042341,0.479913305983435,0.51087545475656,0.580540289496091,0.456691694403592,0.425729545630467,0.549578140722966,0.464432231596873,0.263178264571561,0.131589132285781,0.0541837603529685,0.0154810743865624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,24322,2016-06-28 17:12:53.187,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84929013469239,2.11867491809246,1.82744812522752,2.28613032398981,2.53367309792501,3.3636694575901,4.01892974153622,4.39024390243902,4.94357480888242,4.22278849654168,4.35384055333091,3.70586093920641,3.65489625045504,3.80779031670914,4.65234801601747,5.07462686567164,6.02111394248271,7.01856570804514,6.41427011285038,5.21295959228249,3.95340371314161,2.65744448489261,1.95850018201675,1.4197306152166,0.990171095740808,0.837277029486713,0.800873680378595,0.640698944302876,0.764470331270477,0.728066982162359,0.662540953767747,0.626137604659629,0.480524208227157,0.407717510010921,0.378594830724427,0.378594830724427,0.262104113578449,0.225700764470331,0.189297415362213,0.0800873680378595,0.0509646887513651,0.0364033491081179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
