ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,2984,2016-06-28 17:12:53.187,SV,VIS,256,hue,0,0,0,0,0.0165837479270315,0.0608070757324489,0.110558319513543,0.221116639027087,0.525152017689331,1.02819237147595,2.41569928137092,4.0685461580984,4.62133775566611,4.56053067993366,3.1951354339414,2.27197346600332,1.66943062465451,1.0889994472084,0.768380320619127,0.80154781647319,0.989496959646213,1.02266445550028,1.12216694306247,1.23272526257601,1.45936981757877,1.77446102819237,1.89054726368159,1.83526810392482,1.61415146489773,1.95135433941404,2.16694306246545,2.11719181868436,2.19458264234384,2.44333886124931,2.41569928137092,2.59812050856827,2.98507462686567,3.32780541735766,3.8750690989497,4.43891652846877,5.27363184079602,5.58872305140962,4.95301271420674,4.35599778883361,3.68711995577667,2.02321724709784,1.42620232172471,0.525152017689331,0.348258706467662,0.127142067440575,0.187949143173024,0.099502487562189,0.0608070757324489,0.099502487562189,0.0773908236594804,0.0884466556108347,0.0276395798783858,0.0221116639027087,0.0221116639027087,0.0497512437810945,0.0276395798783858,0.00552791597567717,0.0110558319513543,0,0.0221116639027087,0.00552791597567717,0,0,0,0.00552791597567717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,5364,2016-06-24 17:27:49.102,SV,VIS,256,hue,0,0,0,0,0.0185649308456326,0.0649772579597141,0.269191497261673,0.482688201986448,1.3088276246171,2.35774621739534,3.31384015594542,3.62016151489836,2.91469414276432,2.42272347535505,1.83792815371763,1.41093474426808,1.28098022834865,1.05820105820106,0.946811473127263,0.956093938550079,1.13246078158359,1.40165227884526,1.66156131068412,2.04214239301959,2.15353197809338,2.58052538754293,2.85899935022742,3.09106098579783,2.94254153903277,2.64550264550265,2.0514248584424,2.6176552492342,2.40415854450942,2.48770073331477,2.75689223057644,3.27671029425415,3.23029796714007,3.8707880813144,4.16782697484452,4.68764503852223,4.30706395618676,4.90114174324701,3.93576533927411,3.20245057087162,1.95860020421424,0.983941334818528,0.473405736563631,0.352733686067019,0.25062656641604,0.232061635570407,0.213496704724775,0.102107119650979,0.111389585073796,0.111389585073796,0.102107119650979,0.0742597233825304,0.092824654228163,0.0185649308456326,0.0371298616912652,0.0278473962684489,0.0185649308456326,0.0371298616912652,0.0185649308456326,0.0185649308456326,0.0371298616912652,0.0278473962684489,0.0185649308456326,0,0.0092824654228163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,9134,2016-06-12 20:26:28.742,SV,VIS,256,hue,0,0,0,0,0.0412371134020619,0.164948453608247,0.412371134020619,1.48453608247423,3.09278350515464,5.69072164948454,7.95876288659794,9.60824742268041,8.70103092783505,6.55670103092783,5.81443298969072,3.95876288659794,2.30927835051546,1.60824742268041,1.56701030927835,1.44329896907216,1.7319587628866,1.48453608247423,1.31958762886598,1.4020618556701,2.10309278350515,1.77319587628866,2.76288659793814,2.30927835051546,2.76288659793814,2.68041237113402,1.97938144329897,2.80412371134021,2.2680412371134,2.68041237113402,1.44329896907216,1.52577319587629,0.989690721649484,0.989690721649484,0.824742268041237,0.65979381443299,0.536082474226804,0.494845360824742,0.329896907216495,0.288659793814433,0.329896907216495,0.206185567010309,0.0412371134020619,0.0824742268041237,0.0824742268041237,0.123711340206186,0.0412371134020619,0.0412371134020619,0.0824742268041237,0.123711340206186,0.123711340206186,0.0412371134020619,0,0.0412371134020619,0.0412371134020619,0,0,0.0412371134020619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,9766,2016-06-26 07:26:15.084,SV,VIS,256,hue,0,0,0,0.00738552437223043,0.0221565731166913,0.0590841949778434,0.0664697193500739,0.221565731166913,0.760709010339734,1.28508124076809,3.02067946824224,4.99261447562777,6.41063515509601,5.51698670605613,3.68537666174298,2.05317577548006,1.38847858197932,1.1890694239291,0.974889217134416,1.24076809453471,1.33677991137371,1.5288035450517,1.77991137370753,1.698670605613,1.67651403249631,1.83899556868538,2.06056129985229,2.48153618906942,2.03101920236337,2.26735598227474,1.87592319054653,2.36336779911374,2.23781388478582,2.48153618906942,2.74741506646972,2.94682422451994,3.51550960118168,4.12850812407681,4.54948301329394,4.57163958641063,3.9807976366322,3.68537666174298,2.68094534711965,2.19350073855244,1.34416543574594,0.812407680945347,0.443131462333826,0.369276218611521,0.17725258493353,0.199409158050222,0.184638109305761,0.17725258493353,0.0812407680945347,0.110782865583456,0.103397341211226,0.0443131462333826,0.0590841949778434,0.0590841949778434,0.0443131462333826,0.0738552437223043,0.0369276218611521,0,0.0443131462333826,0.0221565731166913,0.0221565731166913,0.0221565731166913,0.0147710487444609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,11902,2016-06-14 13:56:00.39,SV,VIS,256,hue,0,0,0,0,0.0387672029463074,0.174452413258383,0.348904826516767,1.00794727660399,1.95774374878852,3.8961038961039,7.90850940104671,11.0680364411708,12.0566001163016,11.6883116883117,7.23008334948633,4.74898236092266,2.5974025974026,1.88020934289591,1.51192091490599,1.37623570459391,1.20178329133553,0.988563675130839,1.08548168249661,1.14363248691607,1.12424888544292,1.35685210312076,1.76390773405699,1.97712735026168,1.70575692963753,1.82205853847645,1.74452413258383,1.16301608838922,1.57007171932545,1.16301608838922,1.22116689280868,1.35685210312076,1.06609808102345,1.00794727660399,1.20178329133553,0.891645667765071,0.794727660399302,0.465206435355689,0.426439232409382,0.290754022097306,0.174452413258383,0.174452413258383,0.15506881178523,0.15506881178523,0.135685210312076,0.0775344058926148,0.0775344058926148,0.0969180073657686,0.0581508044194611,0.0775344058926148,0.0581508044194611,0.0969180073657686,0.135685210312076,0.0775344058926148,0.0193836014731537,0.0387672029463074,0.0193836014731537,0.0581508044194611,0.0775344058926148,0.0969180073657686,0.0193836014731537,0.0387672029463074,0.0387672029463074,0,0.0193836014731537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,13350,2016-06-13 17:11:04.092,SV,VIS,256,hue,0,0,0,0.0514933058702369,0.154479917610711,0.205973223480947,0.82389289392379,1.72502574665294,3.08959835221421,5.84449021627188,9.80947476828012,13.1307929969104,11.7919670442842,11.1483007209063,8.13594232749742,4.53141091658084,2.80638516992791,2.21421215242019,1.64778578784758,1.2615859938208,1.00411946446962,0.82389289392379,1.08135942327497,1.23583934088568,0.901132852729145,1.15859938208033,0.926879505664264,1.18434603501545,1.51905252317199,1.54479917610711,1.10710607621009,1.28733264675592,1.10710607621009,1.13285272914521,1.21009268795057,0.82389289392379,0.746652935118435,0.463439752832132,0.308959835221421,0.231719876416066,0.360453141091658,0.0514933058702369,0.205973223480947,0.0514933058702369,0.180226570545829,0.128733264675592,0.128733264675592,0.0257466529351184,0.0772399588053553,0.0514933058702369,0.102986611740474,0.0514933058702369,0.102986611740474,0.102986611740474,0.0772399588053553,0,0.0257466529351184,0.0257466529351184,0.0257466529351184,0,0.0257466529351184,0,0,0,0.0257466529351184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,14040,2016-06-18 17:11:07.249,SV,VIS,256,hue,0,0,0,0.0255558395093279,0.0127779197546639,0.0511116790186558,0.127779197546639,0.600562228469205,1.32890365448505,2.42780475338615,5.60950677229747,9.09787886532072,10.2095578839765,9.08510094556606,5.46894965499617,3.5778175313059,2.00613340148224,1.26501405571173,0.881676463071812,0.715563506261181,0.868898543317148,0.792231024789164,0.84334270380782,1.16279069767442,1.30334781497572,1.52057245080501,1.6994633273703,1.91668796319959,1.6994633273703,2.10835675951955,1.31612573473039,1.71224124712497,1.21390237669307,1.77613084589829,1.80168668540762,1.6994633273703,2.24891387682085,2.88780986455405,3.64170713007922,3.84615384615385,3.46281625351393,2.83669818553539,1.82724252491694,1.02223358037312,0.562228469205213,0.166112956810631,0.178890876565295,0.191668796319959,0.0894454382826476,0.153335037055967,0.0638895987733197,0.0894454382826476,0.115001277791975,0.0894454382826476,0.0383337592639918,0.0511116790186558,0.0255558395093279,0.0383337592639918,0,0.0127779197546639,0.0511116790186558,0.0255558395093279,0.0766675185279836,0.0638895987733197,0.0894454382826476,0.0255558395093279,0.0511116790186558,0.0127779197546639,0.0127779197546639,0.0127779197546639,0.0127779197546639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,19554,2016-06-19 13:56:06.897,SV,VIS,256,hue,0,0,0,0,0,0.100137689322819,0.200275378645638,0.300413067968457,0.90123920390537,2.20302916510202,3.88033546125923,7.03467267492803,7.97346351232945,8.18625610214044,5.84553761421955,3.51733633746401,2.00275378645638,1.52709976217299,1.25172111653524,1.43947928401552,1.28927275003129,1.52709976217299,1.56465139566905,1.8400300413068,2.47840781073977,2.27813243209413,2.50344223307047,2.96657904618851,2.76630366754287,3.07923394667668,3.00413067968457,2.79133808987358,2.67868318938541,2.77882087870822,2.77882087870822,3.10426836900738,2.8914757791964,2.61609713355864,1.99023657529103,1.43947928401552,0.988859682062836,0.876204781574665,0.488171235448742,0.438102390787333,0.400550757291275,0.300413067968457,0.312930279133809,0.162723745149581,0.150206533984228,0.187758167480285,0.125172111653524,0.0876204781574665,0.0625860558267618,0.0625860558267618,0.100137689322819,0.0876204781574665,0.0500688446614094,0.0625860558267618,0.0250344223307047,0.0500688446614094,0.0375516334960571,0.0375516334960571,0.0625860558267618,0.0125172111653524,0.0375516334960571,0.0125172111653524,0.0375516334960571,0,0.0125172111653524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,23254,2016-06-27 20:26:01.143,SV,VIS,256,hue,0,0,0.00774053719328121,0,0,0.0541837603529685,0.0928864463193746,0.309621487731249,0.673426735815466,1.44748045514359,3.03429057976624,5.65059215109529,7.376731945197,6.16920814304513,3.99411719173311,2.6782258688753,1.64099388497562,1.67195603374874,1.45522099233687,1.40877776917718,1.31589132285781,1.49392367830327,1.66421549655546,1.88095053796733,1.90417214954718,1.91191268674046,2.34538276956421,2.57759888536264,2.17509095131202,2.03576128183296,1.63325334778234,1.74936140568155,2.13638826534561,2.11316665376577,2.52341512500968,2.74015016642155,3.0497716541528,3.07299326573264,2.94914467064014,3.2974688443378,3.35939314188405,3.76964161312795,3.42905797662358,2.83303661274092,1.57132905023609,0.735351033361715,0.487653843176716,0.278659338958124,0.19351342983203,0.162551281058905,0.108367520705937,0.116108057899218,0.0851459091260933,0.0696648347395309,0.0774053719328121,0.0619242975462497,0.0774053719328121,0.0774053719328121,0.0696648347395309,0.0232216115798436,0.0232216115798436,0.0309621487731249,0.0464432231596873,0.0309621487731249,0.0232216115798436,0.0154810743865624,0,0.00774053719328121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,24322,2016-06-28 17:12:53.187,SV,VIS,256,hue,0,0,0.0145613396432472,0.00728066982162359,0.0436840189297415,0.0364033491081179,0.167455405897343,0.298507462686567,0.516927557335275,1.23043319985439,2.40262104113578,4.2591918456498,5.64251911175828,4.86348744084456,3.62577357116855,2.36621769202767,1.55806334182745,1.05569712413542,0.800873680378595,1.05569712413542,1.07025846377867,1.12850382235166,1.23771386967601,1.60174736075719,1.68911539861667,1.81288678558427,1.84929013469239,2.22060429559519,2.35893702220604,2.36621769202767,1.98762286130324,2.27156898434656,2.44630506006553,2.55551510738988,2.65016381507099,2.48998907899527,3.53840553330906,3.79322897706589,4.14270112850382,4.32471787404441,4.84892610120131,5.13287222424463,4.47761194029851,3.19621405169276,1.97306152165999,0.924645067346196,0.604295595194758,0.196578085183837,0.225700764470331,0.0946487076811067,0.131052056789225,0.131052056789225,0.123771386967601,0.0655260283946123,0.0873680378594831,0.0800873680378595,0.0218420094648708,0.0436840189297415,0.0145613396432472,0.0436840189297415,0.0218420094648708,0.0145613396432472,0.0218420094648708,0.00728066982162359,0.00728066982162359,0.00728066982162359,0.00728066982162359,0.0145613396432472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
