ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,805,2016-06-24 17:27:49.102,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06782464846981,7.85773366418528,5.12820512820513,2.31596360628619,1.32340777502068,0.496277915632754,1.24069478908189,1.0752688172043,1.24069478908189,1.65425971877585,2.23325062034739,3.47394540942928,2.97766749379653,0.744416873449132,0.827129859387924,0.578990901571547,2.97766749379653,2.89495450785773,2.72952853598015,2.1505376344086,5.4590570719603,4.54921422663358,6.45161290322581,4.96277915632754,4.54921422663358,6.61703887510339,6.03804797353184,4.46650124069479,2.39867659222498,2.48138957816377,2.48138957816377,1.57154673283706,1.32340777502068,0.496277915632754,0.165425971877585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,2983,2016-06-28 17:12:53.187,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917431192660551,0.55045871559633,4.44954128440367,8.02752293577982,4.35779816513761,2.06422018348624,0.963302752293578,0.871559633027523,1.28440366972477,1.3302752293578,1.28440366972477,1.51376146788991,1.69724770642202,3.02752293577982,2.47706422018349,1.51376146788991,1.78899082568807,1.23853211009174,1.37614678899083,1.92660550458716,1.78899082568807,2.88990825688073,3.99082568807339,4.35779816513761,3.62385321100917,3.6697247706422,2.88990825688073,1.3302752293578,2.11009174311927,3.53211009174312,5.04587155963303,4.08256880733945,3.02752293577982,1.60550458715596,2.88990825688073,6.42201834862385,4.03669724770642,0.871559633027523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,5363,2016-06-24 17:27:49.102,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733675715333822,0.440205429200293,3.08143800440205,8.36390315480558,7.11665443873808,4.47542186353632,2.12765957446809,0.513573000733676,1.02714600146735,1.10051357300073,0.807043286867205,0.953778429933969,0.807043286867205,2.20102714600147,2.64123257520176,2.12765957446809,1.98092443140132,1.39398385913426,1.98092443140132,1.76082171680117,2.93470286133529,4.03521643433602,5.42920029347029,4.5487894350697,2.78796771826853,3.08143800440205,4.03521643433602,3.59501100513573,3.81511371973588,3.96184886280264,6.01614086573734,5.20909757887014,3.15480557593544,2.27439471753485,0.0733675715333822,0.0733675715333822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,9133,2016-06-12 20:26:28.742,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715990453460621,5.48926014319809,19.5704057279236,19.3317422434368,7.87589498806683,7.15990453460621,0.954653937947494,3.5799522673031,4.05727923627685,3.10262529832936,5.48926014319809,4.05727923627685,5.48926014319809,6.20525059665871,3.5799522673031,2.86396181384248,0.477326968973747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,9765,2016-06-26 07:26:15.084,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630517023959647,0.94577553593947,5.42244640605296,10.2774274905422,6.68348045397226,3.65699873896595,1.26103404791929,0.441361916771753,1.00882723833544,0.693568726355612,0.630517023959647,1.0718789407314,0.756620428751576,1.26103404791929,2.1437578814628,1.95460277427491,1.57629255989912,1.32408575031526,1.89155107187894,1.76544766708701,2.20680958385876,3.27868852459016,4.03530895334174,5.10718789407314,3.40479192938209,2.64817150063052,4.47667087011349,4.16141235813367,3.84615384615385,5.04413619167718,3.40479192938209,1.51324085750315,2.58511979823455,2.1437578814628,4.66582597730139,2.01765447667087,0.567465321563682,0.0630517023959647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,11901,2016-06-14 13:56:00.39,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550964187327824,5.78512396694215,20.3856749311295,19.9724517906336,12.6721763085399,5.92286501377411,1.51515151515152,3.03030303030303,1.79063360881543,2.75482093663912,1.92837465564738,3.85674931129477,3.58126721763085,5.64738292011019,3.99449035812672,2.06611570247934,1.79063360881543,2.34159779614325,0.413223140495868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,13349,2016-06-13 17:11:04.092,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20068610634648,7.2041166380789,28.4734133790738,20.5831903945111,12.8644939965695,6.17495711835334,2.22984562607204,2.40137221269297,1.54373927958834,3.77358490566038,2.91595197255575,2.40137221269297,2.22984562607204,1.71526586620926,3.08747855917667,1.02915951972556,0.171526586620926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,14039,2016-06-18 17:11:07.249,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219058050383352,3.50492880613363,13.5815991237678,18.2913472070099,8.98138006571742,5.58598028477547,2.08105147864184,1.64293537787514,1.97152245345016,1.75246440306681,0.985761226725082,1.20481927710843,2.30010952902519,4.052573932092,3.39539978094195,4.27163198247536,2.08105147864184,1.20481927710843,1.31434830230011,1.09529025191676,1.53340635268346,2.95728368017525,3.39539978094195,6.13362541073384,4.27163198247536,1.53340635268346,0.657174151150055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,19553,2016-06-19 13:56:06.897,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193236714975845,2.9951690821256,13.5265700483092,14.8792270531401,5.1207729468599,2.31884057971015,0.966183574879227,0.772946859903382,1.64251207729469,1.35265700483092,1.44927536231884,1.06280193236715,3.18840579710145,5.41062801932367,2.89855072463768,1.64251207729469,0.966183574879227,1.64251207729469,3.47826086956522,3.47826086956522,2.41545893719807,3.38164251207729,3.67149758454106,4.54106280193237,6.66666666666667,7.05314009661836,3.09178743961353,0.193236714975845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa007AA031196,NTJ2,E7,10,23253,2016-06-27 20:26:01.143,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195185426154847,0.910865322055953,5.9206245933637,11.8412491867274,6.37605725439167,3.90370852309694,1.88679245283019,0.390370852309694,0.910865322055953,0.910865322055953,0.910865322055953,0.910865322055953,0.650618087182824,1.23617436564736,2.47234873129473,1.43135979180221,2.08197787898504,2.27716330513988,1.82173064411191,2.01691607026675,1.56148340923878,3.3181522446324,3.77358490566038,5.33506831489915,5.85556278464541,3.44827586206897,4.68445022771633,3.05790500975927,3.38321405335068,4.09889394925179,3.77358490566038,3.77358490566038,2.86271958360442,1.69160702667534,0.325309043591412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
