ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,1450,2016-06-26 07:52:26.371,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191791331031837,0.0383582662063675,0.105485232067511,0.498657460682777,1.21787495205217,3.03030303030303,4.99616417337936,5.35097813578826,6.39624088991178,5.41810510164941,4.16187188339087,3.13578826237054,3.08784042961258,2.7138473341005,2.53164556962025,2.50287686996548,2.45492903720752,2.43574990410433,2.07134637514384,1.92750287686997,1.85078634445723,1.36171845032605,1.33294975067127,1.09321058688147,1.00690448791715,0.958956655159187,0.76716532412735,0.863060989643268,0.882240122746452,1.22746451860376,1.51515151515152,1.72612197928654,2.30149597238205,3.25086306098964,3.67280398925969,4.58381281166091,4.39202148062908,4.02761795166859,3.64403528960491,2.28231683927886,1.42884541618719,0.834292289988492,0.421940928270042,0.239739163789797,0.124664365170694,0.0479478327579593,0.0575373993095512,0,0.00958956655159187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,2228,2016-06-13 17:36:57.842,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132525558500568,0.227186671715259,0.605831124574025,1.34418780764862,1.72283226050738,1.96895115486558,1.7796289284362,2.15827338129496,1.70390003786445,1.43884892086331,1.96895115486558,1.81749337372208,1.9310867095797,1.49564558879212,1.60923892464975,1.533510034078,1.51457781143506,1.34418780764862,0.908746686861038,0.681560015145778,0.77622112836047,0.643695569859902,0.605831124574025,0.927678909503976,1.00340780007573,1.26845891707686,1.59030670200682,2.46118894358198,2.93449450965543,4.10829231351761,5.22529344945097,6.51268458917077,8.04619462324877,8.19765240439228,7.85687239681939,7.09958349110186,5.71753123816736,3.16168118137069,1.79856115107914,1.06020446800454,0.511170011359334,0.378644452858766,0.11359333585763,0.0567966679288148,0.0378644452858766,0.0189322226429383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,2316,2016-06-18 17:37:01.556,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911023382933495,0.197388399635591,0.28849073792894,0.986941998177953,1.36653507440024,2.04980261160036,2.01943516550258,2.49013058001822,2.97600971758275,3.21894928636502,2.41421196477376,2.77862131794716,2.18645611904039,2.65715153355603,2.73307014880049,2.74825387184938,3.05192833282721,2.85453993319162,2.30792590343152,2.56604919526268,2.1712723959915,1.65502581232918,1.6246583662314,1.56392347403583,1.95870027330701,2.11053750379593,2.5356817491649,2.91527482538718,3.72001214697844,4.72213786820528,5.90646826601883,5.92165198906772,6.01275432736107,5.0561797752809,4.12997266929851,2.45976313392044,1.59429092013362,0.941390829031278,0.546614029760097,0.227755845733374,0.136653507440024,0.0911023382933495,0.0151837230488916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,5796,2016-06-23 17:38:35.406,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155496812315348,0.0466490436946043,0.233245218473021,0.886331830197481,1.75711397916343,3.14103560877002,3.38983050847458,3.40538018970611,2.81449230290779,2.5501477219717,2.20805473487794,2.25470377857254,2.44129995335096,1.94371015394184,1.7882133416265,2.34800186596175,1.86596174778417,1.71046493546882,1.89706111024724,1.55496812315348,1.18177577359664,1.69491525423729,1.24397449852278,1.24397449852278,1.41502099206966,1.27507386098585,1.39947131083813,1.66381589177422,2.11475664748873,2.42575027211942,2.5501477219717,3.21878401492769,3.94961903280983,5.39573938734256,6.51531643601306,6.31317058000311,5.4579381122687,4.50940755714508,3.2654330586223,2.16140569118333,1.25952417975431,0.65308661172446,0.466490436946043,0.108847768620743,0.124397449852278,0.108847768620743,0.0155496812315348,0.0155496812315348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,6236,2016-06-16 07:52:22.435,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136915967824748,0.49632038336471,1.26647270237892,2.77254834845114,4.48399794626048,4.55245593017286,5.04877631353757,4.51822693821667,3.54270066746534,3.14906725996919,2.51583090877974,2.20776998117405,2.39602943693308,2.13931199726168,2.13931199726168,1.96816703748075,1.66010610987506,1.79702207769981,1.66010610987506,1.5574191340065,1.42050316618176,1.21512921444463,0.958411774773233,0.872839294882766,0.564778367277084,0.718808831079925,0.735923327058018,0.958411774773233,1.50607564607222,1.89970905356837,2.55005990073592,4.12459353072052,4.9632038336471,5.42529522505562,6.14410405613555,5.39106623309944,4.51822693821667,2.84100633236351,1.60876262194078,0.701694335101831,0.410747903474243,0.222488447715215,0.154030463802841,0.0342289919561869,0.0513434879342803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,10148,2016-06-11 07:52:16.224,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0897666068222621,0.0897666068222621,0.179533213644524,0.538599640933573,1.43626570915619,3.05206463195691,4.39856373429084,6.46319569120287,6.37342908438061,6.91202872531418,7.8096947935368,6.91202872531418,6.19389587073609,7.00179533213645,6.37342908438061,3.94973070017953,4.0394973070018,4.75763016157989,3.50089766606822,2.42369838420108,2.42369838420108,1.8850987432675,2.69299820466786,1.34649910233393,1.16696588868941,1.07719928186715,0.538599640933573,0.987432675044883,1.61579892280072,1.61579892280072,1.07719928186715,0.718132854578097,0.0897666068222621,0.269299820466786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,12608,2016-06-20 11:07:00.231,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419052940354798,0.125715882106439,0.433021371699958,1.42477999720631,3.19877077804163,4.40005587372538,3.92512920798994,3.39432881687387,3.19877077804163,3.11496018997067,2.86352842575779,2.75178097499651,2.27685430926107,2.27685430926107,2.27685430926107,1.74605391814499,1.99748568235787,2.03939097639335,1.85780136890627,1.96954881966755,1.78795921218047,1.60636960469339,1.88573823159659,1.57843274200307,1.63430646738371,1.32700097779019,1.28509568375471,1.03366391954184,0.935884900125716,1.34096940913535,1.49462215393211,2.16510685849979,2.61209666154491,3.29654979745775,3.88322391395446,4.72132979466406,5.01466685291242,4.20449783489314,4.27433999161894,3.15686548400615,2.29082274060623,1.39684313451599,0.726358429948317,0.516831959770918,0.209526470177399,0.139684313451599,0.11174745076128,0.0279368626903199,0.0139684313451599,0.0139684313451599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,13186,2016-06-11 07:52:16.224,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403225806451613,0.564516129032258,1.37096774193548,1.93548387096774,2.74193548387097,4.51612903225806,4.03225806451613,5.7258064516129,8.06451612903226,8.79032258064516,6.61290322580645,5.40322580645161,3.95161290322581,4.75806451612903,3.46774193548387,3.95161290322581,4.35483870967742,2.58064516129032,2.98387096774194,3.06451612903226,2.66129032258065,2.33870967741935,2.17741935483871,1.45161290322581,1.20967741935484,0.645161290322581,1.20967741935484,1.93548387096774,1.20967741935484,2.01612903225806,0.967741935483871,0.483870967741935,1.45161290322581,0.483870967741935,0.161290322580645,0.32258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,19254,2016-06-25 11:08:48.646,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037262451869333,0.223574711215998,0.434728605142218,1.46565644019376,2.76984225562042,4.38454850329152,5.61420941497951,4.81927710843374,3.77592845609241,3.0058377841262,2.64563408272264,2.62079244814309,2.4469010060862,2.47174264066576,2.42205937150665,2.04943485281332,2.28543038131909,2.42205937150665,2.02459321823376,1.91280586262576,1.82586014159732,1.58986461309154,1.11787355607999,1.34144826729599,1.14271519065955,1.1675568252391,1.20481927710843,1.13029437336977,1.42839398832443,1.97490994907465,1.90038504533598,2.4469010060862,3.32877903366042,3.6144578313253,4.23549869581418,4.48391504160974,4.57086076263818,3.86287417712085,3.25425412992175,1.91280586262576,1.19239845981866,0.633461681778661,0.285678797664886,0.173891442056887,0.149049807477332,0.0496832691591107,0.037262451869333,0.037262451869333,0.0496832691591107,0.0124208172897777,0,0.0124208172897777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa004AA031193,PI_329632,E4,10,19386,2016-06-16 07:52:22.435,SV,VIS,256,green-magenta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016116035455278,0.209508460918614,0.451248992747784,1.24093473005641,2.35294117647059,2.7074939564867,3.54552780016116,3.14262691377921,2.98146655922643,3.35213537469782,2.88477034649476,2.51410153102337,2.9331184528606,2.40128928283642,2.53021756647865,2.53021756647865,2.11120064464142,2.51410153102337,1.95004029008864,1.82111200644641,1.56325543916197,1.01531023368251,0.934730056406124,0.934730056406124,0.934730056406124,1.0958904109589,1.12812248186946,2.01450443190975,2.94923448831587,3.28767123287671,4.67365028203062,5.56003223207091,5.83400483481064,6.72038678485093,5.43110394842869,4.41579371474617,3.06204673650282,1.96615632554392,0.999194198227236,0.596293311845286,0.40290088638195,0.096696212731668,0.128928283642224,0.048348106365834,0.016116035455278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
