ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,1948,2016-06-21 07:30:38.734,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64141414141414,1.91622103386809,1.99049316696376,1.8270944741533,2.04248366013072,2.67379679144385,2.91889483065954,3.5873440285205,3.91414141414141,4.1369578134284,3.98841354723708,3.49079025549614,2.39156268568033,1.7825311942959,1.64141414141414,1.65626856803327,1.58942364824718,1.89393939393939,2.465834818776,2.98573975044563,3.34967320261438,3.62448009506833,4.56773618538324,4.93166963755199,4.91681521093286,5.00594177064765,4.24093879976233,4.03297682709447,3.66161616161616,3.29768270944742,2.63666072489602,2.45098039215686,1.47801544860368,0.698158051099228,0.341651812240048,0.148544266191325,0.05941770647653,0.0222816399286988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,2640,2016-06-13 17:15:22.818,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.94117647058823,5.9327731092437,6.73949579831933,8.11764705882353,8,7.19327731092437,6.26890756302521,5.46218487394958,3.78151260504202,2.73949579831933,2.38655462184874,2.05042016806723,1.79831932773109,1.88235294117647,2.28571428571429,2.23529411764706,2.05042016806723,1.86554621848739,1.86554621848739,1.61344537815126,1.56302521008403,1.63025210084034,1.71428571428571,1.63025210084034,1.2436974789916,1.3781512605042,1.56302521008403,1.19327731092437,1.47899159663866,0.873949579831933,0.756302521008403,0.453781512605042,0.453781512605042,0.252100840336134,0.319327731092437,0.117647058823529,0.0840336134453782,0.0504201680672269,0.0336134453781513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,4380,2016-06-13 17:15:22.818,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53211762773123,4.86282240841137,5.30639066863808,6.06209955643174,5.50353211762773,5.40496139313291,4.41925414818466,3.41711844915393,2.03712830622638,1.83998685723673,1.34713323476261,1.2978478725152,0.936421882700838,1.39641859701002,1.56070313783473,1.98784294397897,2.34926893379333,3.10497782158699,3.40068999507146,3.10497782158699,2.62855265319533,2.02069985214391,1.85641531131921,1.93855758173156,1.80712994907179,2.39855429604074,2.54641038278298,3.23640545424676,4.91210777065878,4.82996550024643,3.92640052571053,2.25069820929851,1.21570560210284,0.574995892886479,0.328569081649417,0.213569903072121,0.180712994907179,0.147856086742238,0.0657138163298834,0.0328569081649417,0.0164284540824708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,6182,2016-06-28 17:18:00.386,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84481273123511,1.97151690233642,2.08808473974963,2.08808473974963,2.08301657290558,2.23506157822716,2.66585575997162,2.79255993107293,3.02569560589935,3.57812579190107,3.43114895342355,3.52237595661649,3.47676245502002,3.0409001064315,3.2436267801936,3.87714763570017,3.99878363995743,4.20657848056358,4.70325883128073,5.19487101515382,5.84359637119254,6.75079823627794,6.60888956464447,4.8451675029142,3.31964928285439,2.27560691297958,1.26704171101313,1.13526937306776,0.957883533525924,0.907201865085399,0.917338198773504,0.902133698241346,0.587907353910091,0.34463534539557,0.152045005321575,0.0912270031929451,0.0152045005321575,0.00506816684405251,0.00506816684405251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,7536,2016-06-16 07:30:42.639,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55228243759838,2.55228243759838,3.09197211603328,3.82280188891387,4.30627389251181,4.51990105689229,5.44187092421857,4.90218124578367,4.02518551832696,3.53046997976164,3.13694625590286,2.41736001798966,1.72026085001124,1.69777378007646,1.51787722059816,1.82145266471779,2.25995052844614,2.76590960197886,3.67663593433776,3.47425230492467,3.73285360917472,4.14886440296829,5.01461659545761,5.14953901506634,5.52057566899033,4.51990105689229,3.84528895884866,2.57476950753317,1.28176298628289,0.595907353271869,0.258601304250056,0.0337306049021812,0.0787047447717562,0.0112435349673937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,7774,2016-06-24 17:32:35.411,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6000734484025,2.87183253764231,2.5706940874036,2.58538376790305,2.40910760190966,1.96107234667646,1.65993389643775,1.65258905618803,1.58648549394051,1.82152038193169,1.93169298567756,2.0932794711715,2.1226588321704,2.19610723466765,2.21814175541682,2.49724568490635,3.0187293426368,3.64304076386339,4.16452442159383,4.92838780756519,5.75100991553434,6.50752846125597,6.99963275798751,6.7278736687477,5.42049210429673,3.63569592361366,2.47521116415718,1.92434814542784,1.81417554168197,1.36614028644877,1.16782959970621,1.06500183621006,1.20455380095483,1.24127800220345,0.918105031215571,0.587587219977965,0.301138450238707,0.242379728240911,0.0661035622475211,0.051413881748072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,8790,2016-06-18 17:15:26.485,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41294752329573,2.55026974006866,2.73663560568906,3.09955860716037,3.46248160863168,3.58999509563511,4.55125061304561,5.88523786169691,6.18930848455125,6.77783227072094,6.63070132417852,5.40461010299166,4.71799901912702,3.19764590485532,2.19715546836685,2.11868563021089,1.68710152035311,2.43256498283472,2.79548798430603,3.51152525747916,4.27660617949975,4.0019617459539,4.12947523295733,2.76606179499755,2.07945071113291,1.92251103482099,1.46150073565473,0.961255517410495,0.843550760176557,0.64737616478666,0.431584109857773,0.215792054928887,0.107896027464443,0.117704757233938,0.0196174595389897,0.0392349190779794,0.0294261893084846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,11508,2016-06-27 20:30:19.856,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91292501560992,2.02077538740989,2.24215246636771,2.17971277743089,2.14565476528353,2.38406085031504,2.83249134358858,3.03116308111483,3.96208207980928,4.3423965487881,4.64324232275643,5.14275983425101,4.7454163591985,4.507010274167,4.17210648805131,4.36510189021967,4.92705909065108,5.33007890106147,5.64795368110348,5.70471703468241,5.33007890106147,4.86461940171425,3.8655843787251,2.74166997786229,1.7710166316626,1.23744110802066,0.823068626894477,0.698189249020832,0.561957200431402,0.368961798263041,0.38599080433672,0.329227450757791,0.24975875574729,0.170290060736788,0.164613725378895,0.0908213657262871,0.0567633535789294,0.0283816767894647,0.0113526707157859,0.0113526707157859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,13644,2016-06-21 07:30:38.734,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62362076011443,2.29668982427462,2.55006129955047,2.81977932161831,3.15488353085411,3.04045770331018,3.6616264814058,4.91213731099305,5.19820187985288,5.97466285247241,5.53330608908868,5.02656313853698,4.26644871270944,3.46546791990192,2.43563547200654,2.11687780956273,2.02697180220678,2.8361258684103,3.41642827952595,3.62893338782182,3.81691867592971,3.24478953821005,2.95872496935022,2.8279525950143,2.57458111973846,2.50919493257049,2.26399673069064,2.01062525541479,1.51205557825909,1.11973845525133,1.08704536166735,0.85002043318349,0.588475684511647,0.539436044135676,0.441356763383735,0.277891295463833,0.179812014711892,0.0980792807519411,0.0490396403759706,0.0572129137719657,0.0081732733959951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa012AA031201,PI_508366,E12,10,14566,2016-06-15 10:45:29.107,SV,VIS,256,blue-yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38941306212474,2.92856267614263,3.0633500796471,3.76179389780664,4.48474451660336,5.10966793285137,5.34248253890455,4.81558632520524,4.12939590736429,3.4922190907977,2.67124126945227,2.27913245925744,1.82575664746967,1.62970224237226,1.43364783727484,1.87477024874403,1.72772944492097,2.16885185639015,2.83053547359392,2.7447616713638,2.70800147040804,3.1736306825144,3.82306089939958,3.82306089939958,4.66854552138218,5.12192133316996,5.5998039455949,4.60727851978924,2.8550422742311,1.5806886410979,0.588163215292244,0.281828207327533,0.257321406690357,0.110280602867296,0.061267001592942,0.0367602009557652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
