ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,3150,2016-06-25 10:22:33.028,SV,VIS,256,hue,0,0,0.0139547864917667,0.0348869662294167,0.0418643594753,0.0767513257047167,0.195367010884733,0.446553167736534,0.844264582751884,1.56991348032375,3.02818866871337,5.04465531677365,6.50990789840916,5.86798771978789,4.4376221043818,2.87468601730394,1.84900921015908,1.9257605358638,2.04437622104382,2.52581635500977,2.44906502930505,1.84900921015908,1.4652525816355,1.44432040189785,1.20011163829193,1.32570471671783,1.24197599776723,1.17917945855428,1.09545073960368,1.02567680714485,0.879151548981301,0.851241975997767,1.1303377058331,0.934970694948367,1.16522467206252,1.70946134524142,1.93273792910968,2.51883896176389,3.3910131174993,4.47250907061122,6.12615126988557,6.10521909014792,5.6516885291655,3.48171922969579,1.93971532235557,0.823332403014234,0.43957577449065,0.195367010884733,0.160480044655317,0.1674574379012,0.153502651409433,0.160480044655317,0.132570471671783,0.2093217973765,0.27211833658945,0.237231370360033,0.181412224392967,0.223276583868267,0.14652525816355,0.0697739324588334,0.14652525816355,0.0837287189506001,0.0767513257047167,0.0697739324588334,0.0558191459670667,0.0488417527211834,0.0348869662294167,0.00697739324588334,0.00697739324588334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,4706,2016-06-21 07:07:37.974,SV,VIS,256,hue,0,0,0,0,0.0296267035354533,0.0888801106063599,0.404898281651195,0.582658502863915,1.22457041279874,2.38001185068141,4.84890381196919,7.70294291921785,8.73987754295872,7.6338139443018,4.63164131937586,3.19968398182896,1.89610902626901,1.80722891566265,1.26407268417934,1.27394825202449,1.44183290539206,1.3332016590954,1.36282836263085,1.54058858384357,1.7578510764369,1.89610902626901,1.98498913687537,2.31088287576536,2.39976298637172,2.44914082559747,2.41951412206202,2.53802093620383,2.41951412206202,2.44914082559747,2.84416353940352,2.35038514714596,2.40963855421687,1.93561129764961,2.2417539008493,2.222002765159,2.34050957930081,2.19237606162354,1.62946869444993,1.01718348805056,0.681414181315426,0.246889196128777,0.148133517677266,0.17776022121272,0.128382381986964,0.138257949832115,0.158009085522418,0.118506814141813,0.108631246296662,0.0592534070709066,0.0888801106063599,0.0691289749160577,0.0790045427612088,0.0493778392257555,0.0888801106063599,0.0493778392257555,0.0592534070709066,0.0395022713806044,0.0691289749160577,0.0592534070709066,0.0395022713806044,0.0197511356903022,0.0493778392257555,0.0296267035354533,0.0197511356903022,0.0197511356903022,0.0098755678451511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,4714,2016-06-19 13:37:35.994,SV,VIS,256,hue,0,0,0,0,0.0270075621173929,0.0630176449405834,0.162045372704357,0.360100828231905,0.828231904933381,1.58444364422038,3.07886208138279,4.75333093266114,5.79762333453367,5.17644940583363,3.58300324090745,2.73676629456248,1.68347137198416,1.44040331292762,1.56643860280879,1.35037810586964,1.21534029528268,1.19733525387108,1.24234785740007,1.34137558516385,1.5034209578682,1.57544112351458,1.73748649621894,1.98955707598127,1.72848397551314,1.38638818869283,1.97155203456968,1.79150162045373,1.92653943104069,1.9085343896291,2.60172848397551,2.97983435361901,3.45696795102629,4.09614692113792,5.06841915736406,6.60785019805546,7.03096867122794,5.08642419877566,2.16060496939143,0.72020165646381,0.369103348937703,0.252070579762333,0.198055455527548,0.171047893410155,0.216060496939143,0.135037810586964,0.18905293482175,0.144040331292762,0.108030248469571,0.171047893410155,0.144040331292762,0.117032769175369,0.126035289881167,0.171047893410155,0.0810226863521786,0.171047893410155,0.0900252070579762,0.0630176449405834,0.15304285199856,0.117032769175369,0.0900252070579762,0.0450126035289881,0.072020165646381,0.0540151242347857,0.0180050414115952,0.00900252070579762,0.00900252070579762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,5622,2016-06-20 10:22:35.242,SV,VIS,256,hue,0,0,0,0.0181126607498642,0.00905633037493208,0.0724506429994566,0.135844955623981,0.298858902372759,0.751675421119362,1.72070277123709,2.83463140735374,4.87230574171346,5.91378373483065,5.73265712733201,3.68592646259736,2.45426553160659,1.97428002173519,1.36750588661474,1.56674515486325,1.33128056511502,1.27694258286542,1.47618185111393,1.68447744973737,1.68447744973737,1.73881543198696,2.20068828110849,2.25502626335809,2.20068828110849,2.27313892410795,1.80220974461148,2.12823763810904,2.08295598623438,2.55388516573085,2.49049085310632,2.73501177322949,3.55008150697337,3.29650425647528,2.97047636297772,4.12968665096903,5.43379822495925,5.04437601883717,3.54102517659844,1.6935337801123,0.824126064118819,0.425647527621808,0.316971563122623,0.253577250498098,0.362253214997283,0.298858902372759,0.199239268248506,0.126788625249049,0.21735192899837,0.144901285998913,0.190182937873574,0.144901285998913,0.153957616373845,0.144901285998913,0.135844955623981,0.108675964499185,0.153957616373845,0.163013946748777,0.0905633037493208,0.0633943126245246,0.0724506429994566,0.144901285998913,0.0815069733743887,0.0724506429994566,0.0452816518746604,0.0362253214997283,0.0362253214997283,0.00905633037493208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,6110,2016-06-16 07:07:42.754,SV,VIS,256,hue,0,0,0,0,0.104347826086957,0.208695652173913,0.382608695652174,0.811594202898551,1.65797101449275,2.82898550724638,4.8463768115942,7.37391304347826,7.37391304347826,6.63188405797101,3.75652173913043,1.90144927536232,1.28695652173913,0.846376811594203,0.568115942028986,0.579710144927536,0.707246376811594,0.718840579710145,1.05507246376812,1.17101449275362,1.26376811594203,1.6463768115942,1.70434782608696,1.82028985507246,1.94782608695652,2.13333333333333,1.80869565217391,1.95942028985507,1.87826086956522,2.19130434782609,1.95942028985507,2.4,2.71304347826087,2.51594202898551,3.57101449275362,4.49855072463768,4.8695652173913,4.7304347826087,3.45507246376812,2.15652173913043,1.22898550724638,0.556521739130435,0.371014492753623,0.255072463768116,0.208695652173913,0.266666666666667,0.16231884057971,0.150724637681159,0.115942028985507,0.16231884057971,0.0811594202898551,0.0579710144927536,0.0347826086956522,0.0463768115942029,0.0463768115942029,0.0579710144927536,0.0579710144927536,0.0115942028985507,0.0115942028985507,0.0231884057971014,0.0115942028985507,0.0347826086956522,0,0.0115942028985507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,6126,2016-06-15 10:22:37.834,SV,VIS,256,hue,0,0,0,0.0243279406398248,0.0729838219194745,0.194623525118599,0.231115436078336,0.656854397275271,0.900133803673519,1.58131614158861,3.63702712565381,5.66841016907919,6.48339618051332,5.94818148643717,4.42768519644812,2.50577788590196,1.55698820094879,1.22856100231115,0.717674248874833,0.851477922393869,1.03393747719256,1.07042938815229,1.10692129911203,1.80026760734704,1.71511981510765,1.8610874589466,2.08003892470502,2.01921907310546,1.9583992215059,1.93407128086607,1.41102055710984,1.5691521712687,1.65429996350809,1.78810363702713,1.94623525118599,2.4449580343024,2.53010582654178,2.99233669869846,3.6248631553339,5.32781900012164,5.6805741393991,5.16968738596278,3.89247050237197,1.81243157766695,0.75416615983457,0.70551027855492,0.364919109597373,0.316263228317723,0.279771317357986,0.255443376718161,0.279771317357986,0.158131614158861,0.121639703199124,0.121639703199124,0.255443376718161,0.133803673519037,0.133803673519037,0.145967643838949,0.0851477922393869,0.0851477922393869,0.0608198515995621,0.158131614158861,0.133803673519037,0.109475732879212,0.0608198515995621,0.0243279406398248,0.0486558812796497,0.0243279406398248,0.0486558812796497,0.0121639703199124,0.0121639703199124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,6930,2016-06-15 10:22:37.834,SV,VIS,256,hue,0,0,0,0.0254388196387688,0.0763164589163063,0.152632917832613,0.4070211142203,0.432459933859069,1.50089035868736,2.88730602900025,3.84126176545408,6.74128720427372,7.46629356397863,6.77944543373187,4.33731874841007,2.50572373441872,1.66624268633935,0.979394556092597,0.585092851691681,0.534215212414144,0.623251081149835,0.737725769524294,0.826761638259985,1.43729330959043,1.57720681760366,1.65352327651997,1.70440091579751,2.11142203001781,1.95878911218519,2.06054439074027,1.4627321292292,1.88247265326889,1.64080386670058,1.6280844568812,2.14958025947596,2.26405494785042,2.37852963622488,2.81098957008395,3.84126176545408,5.38031035359959,5.30399389468329,4.83337573136606,3.31976596285932,1.64080386670058,0.979394556092597,0.432459933859069,0.394301704400916,0.216229966929534,0.178071737471381,0.139913508013228,0.20351055711015,0.152632917832613,0.20351055711015,0.101755278555075,0.127194098193844,0.0635970490969219,0.0763164589163063,0.0763164589163063,0.0381582294581531,0.0763164589163063,0.0890358687356907,0.0381582294581531,0.0890358687356907,0.0254388196387688,0.0508776392775375,0.0127194098193844,0.0508776392775375,0.0254388196387688,0.0127194098193844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,10966,2016-06-18 16:52:34.851,SV,VIS,256,hue,0,0,0,0,0.0852696653165636,0.127904497974845,0.22383287145598,0.682157322532509,1.17245789810275,2.73928799829461,4.13557876785334,7.46109571519932,8.5482839479855,7.12001705393306,4.86037092304413,2.98443828607973,1.91856746962268,1.83329780430612,1.85461522063526,1.57748880835643,1.65209976550842,1.63078234917928,1.73736943082498,2.29162225538265,2.19569388190151,2.50479641867406,2.95246216158602,2.36623321253464,2.19569388190151,2.25964613088894,2.15305904924323,1.97186101044553,2.04647196759753,2.14240034107866,1.92922617778725,1.92922617778725,2.49413771050949,2.65401833297804,2.78192283095289,3.04839053506715,2.37689192069921,1.42826689405244,0.916648902153059,0.447665742911959,0.298443828607973,0.255808995949691,0.22383287145598,0.23449157962055,0.127904497974845,0.138563206139416,0.159880622468557,0.127904497974845,0.0852696653165636,0.170539330633127,0.0746109571519932,0.0746109571519932,0.0746109571519932,0.117245789810275,0.0532935408228523,0.0426348326582818,0.0426348326582818,0.0426348326582818,0.0532935408228523,0.0746109571519932,0.0426348326582818,0.0213174163291409,0.0213174163291409,0.0106587081645705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,11660,2016-06-27 20:07:32.753,SV,VIS,256,hue,0,0,0,0.00326925591735321,0.0196155355041193,0.0359618150908853,0.0490388387602982,0.107885445272656,0.18307833137178,0.493657643520335,0.882699097685367,1.55943507257748,2.20674774421342,1.99751536550281,1.65424349418072,1.00039231071008,0.810775467503596,0.735582581404472,0.70289002223094,0.689812998561527,0.938276448280371,1.05270040538773,1.08866222047862,1.3273179024454,1.20962468942069,1.41885706813129,1.33058715836276,1.34366418203217,1.46462665097424,1.26193278409834,1.425395579966,1.33058715836276,1.33058715836276,1.58885837583366,1.80462926637897,2.01713090100693,2.25905583889107,2.48136524127109,3.05675428272525,3.02079246763437,4.29580227540212,6.00235386426049,8.6504511573166,10.5531581012162,10.0987315287041,6.69870537465673,3.73675951353472,1.77847521904015,0.859814306263894,0.477311363933569,0.219040146462665,0.17327056361972,0.0882699097685367,0.0784621420164771,0.0523080946776514,0.0588466065123578,0.0457695828429449,0.0392310710082385,0.0261540473388257,0.0326925591735321,0.0228847914214725,0.0130770236694128,0.0196155355041193,0.0130770236694128,0.0326925591735321,0.0261540473388257,0.0163462795867661,0.00326925591735321,0.00326925591735321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,13366,2016-06-29 13:52:26.785,SV,VIS,256,hue,0,0.00225423232118302,0.00225423232118302,0.00225423232118302,0.0180338585694642,0.0225423232118302,0.0383219494601114,0.0676269696354906,0.132999706949798,0.275016343184329,0.572575009580487,0.788981312414057,1.25786163522013,1.37057325127928,1.35028516038863,1.07977728184667,0.825049029552986,0.755167827596312,0.779964383129325,0.76869322152341,0.892675999188476,1.03694686774419,1.194743130227,1.30294628164379,1.40664096841821,1.41340366538175,1.37282748360046,1.35253939270981,1.31196321092852,1.37057325127928,1.42918329163004,1.32323437253443,1.37733594824283,1.81014855390997,1.88679245283019,2.27902887671603,2.57207907846983,2.73212957327382,3.52561935033025,3.584229390681,3.80739839047812,4.70232862198778,5.83846171186403,7.26313653885169,8.53001510335655,9.58950429431257,6.44259597394107,4.31685489506549,2.01077523049526,1.00087915060526,0.462117625842519,0.182592818015825,0.132999706949798,0.0879150605261378,0.0834065958837718,0.0360677171389283,0.0541015757083925,0.0360677171389283,0.0202880908906472,0.0225423232118302,0.0202880908906472,0.0180338585694642,0.0180338585694642,0.0112711616059151,0.00901692928473208,0.00676269696354906,0.00901692928473208,0,0,0.00225423232118302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
