ExperimentCode,Barcodes,Line_name,Labcode,Treatment,PlantID,Time,Camera,Type,Max,Color,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93,h94,h95,h96,h97,h98,h99,h100,h101,h102,h103,h104,h105,h106,h107,h108,h109,h110,h111,h112,h113,h114,h115,h116,h117,h118,h119,h120,h121,h122,h123,h124,h125,h126,h127,h128,h129,h130,h131,h132,h133,h134,h135,h136,h137,h138,h139,h140,h141,h142,h143,h144,h145,h146,h147,h148,h149,h150,h151,h152,h153,h154,h155,h156,h157,h158,h159,h160,h161,h162,h163,h164,h165,h166,h167,h168,h169,h170,h171,h172,h173,h174,h175,h176,h177,h178,h179,h180,h181,h182,h183,h184,h185,h186,h187,h188,h189,h190,h191,h192,h193,h194,h195,h196,h197,h198,h199,h200,h201,h202,h203,h204,h205,h206,h207,h208,h209,h210,h211,h212,h213,h214,h215,h216,h217,h218,h219,h220,h221,h222,h223,h224,h225,h226,h227,h228,h229,h230,h231,h232,h233,h234,h235,h236,h237,h238,h239,h240,h241,h242,h243,h244,h245,h246,h247,h248,h249,h250,h251,h252,h253,h254,h255,DAP
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,3149,2016-06-25 10:22:33.028,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627352572145546,0.501882057716437,0.250941028858218,0.501882057716437,1.3801756587202,0.627352572145546,0.439146800501882,0.188205771643664,0.501882057716437,0.627352572145546,0.752823086574655,0.501882057716437,0.564617314930991,0.878293601003764,0.941028858218319,1.25470514429109,1.19196988707654,1.63111668757842,1.44291091593476,1.69385194479297,1.56838143036386,1.56838143036386,1.81932245922208,1.00376411543287,1.63111668757842,1.69385194479297,1.50564617314931,1.44291091593476,1.25470514429109,1.88205771643664,1.94479297365119,2.88582183186951,2.13299874529486,3.63864491844417,4.76787954830615,4.57967377666248,3.19949811794228,3.32496863237139,2.82308657465496,1.75658720200753,6.08531994981179,14.1781681304893,9.97490589711418,4.39146800501882,2.00752823086575,0.376411543287327,0.0627352572145546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,4705,2016-06-21 07:07:37.974,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409836065573771,5.08196721311475,12.3770491803279,9.50819672131147,4.42622950819672,1.63934426229508,0.655737704918033,0.491803278688525,0.491803278688525,1.22950819672131,1.22950819672131,1.0655737704918,1.22950819672131,1.55737704918033,1.0655737704918,1.47540983606557,2.04918032786885,2.04918032786885,1.55737704918033,1.22950819672131,1.88524590163934,3.0327868852459,2.13114754098361,2.45901639344262,2.13114754098361,4.75409836065574,7.54098360655738,6.63934426229508,4.34426229508197,2.95081967213115,3.0327868852459,3.60655737704918,3.77049180327869,0.901639344262295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,4713,2016-06-19 13:37:35.994,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760456273764259,1.21673003802281,6.31178707224335,12.6235741444867,4.56273764258555,1.74904942965779,0.608365019011407,0.608365019011407,0.456273764258555,0.760456273764259,0.836501901140684,1.74904942965779,1.97718631178707,0.532319391634981,0.91254752851711,1.36882129277567,1.29277566539924,2.3574144486692,1.21673003802281,1.52091254752852,2.58555133079848,3.19391634980989,2.58555133079848,3.34600760456274,4.25855513307985,8.06083650190114,8.59315589353612,5.24714828897338,3.87832699619772,3.04182509505703,4.25855513307985,5.17110266159696,2.88973384030418,0.152091254752852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,5621,2016-06-20 10:22:35.242,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744601638123604,1.04244229337305,6.25465376023827,11.98808637379,4.76545048399106,1.63812360387193,0.595681310498883,0.595681310498883,0.670141474311243,0.148920327624721,1.41474311243485,2.01042442293373,1.93596425912137,0.744601638123604,1.93596425912137,2.90394638868206,2.45718540580789,1.78704393149665,1.93596425912137,3.42516753536858,6.55249441548771,10.2755026061057,11.0201042442293,6.77587490692479,6.92479523454952,6.77587490692479,3.05286671630678,0.297840655249442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,6109,2016-06-16 07:07:42.754,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900900900900901,0.810810810810811,8.01801801801802,14.6846846846847,9.18918918918919,5.22522522522523,2.16216216216216,0.36036036036036,0.45045045045045,0.540540540540541,0.45045045045045,1.26126126126126,1.44144144144144,3.06306306306306,1.98198198198198,1.26126126126126,0.990990990990991,0.540540540540541,0.720720720720721,1.35135135135135,2.34234234234234,3.24324324324324,2.43243243243243,2.34234234234234,2.61261261261261,3.24324324324324,2.79279279279279,1.8018018018018,3.24324324324324,3.24324324324324,2.97297297297297,2.97297297297297,2.79279279279279,5.4954954954955,3.33333333333333,0.540540540540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,6125,2016-06-15 10:22:37.834,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0406811731315,9.08230842005676,14.2857142857143,7.75780510879849,3.2166508987701,1.60832544938505,0.473036896877956,1.1352885525071,0.567644276253548,0.851466414380322,1.60832544938505,2.64900662251656,1.60832544938505,1.51371807000946,1.98675496688742,1.51371807000946,1.51371807000946,1.32450331125828,0.946073793755913,2.45979186376537,3.3112582781457,5.10879848628193,5.67644276253548,2.83822138126774,3.02743614001892,5.29801324503311,5.4872280037843,5.77105014191107,3.68968779564806,2.27057710501419,0.378429517502365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,6929,2016-06-15 10:22:37.834,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962463907603465,0.769971126082772,7.60346487006737,15.0144369586141,9.81713185755534,7.50721847930703,2.6948989412897,0.384985563041386,0.384985563041386,0.481231953801732,0.577478344562079,1.34744947064485,1.2512030798845,2.98363811357074,2.50240615976901,1.63618864292589,1.05871029836381,0.769971126082772,0.481231953801732,0.962463907603465,2.50240615976901,3.84985563041386,3.46487006737247,3.17613089509143,3.56111645813282,3.07988450433109,3.27237728585178,1.73243503368624,2.59865255052935,3.17613089509143,1.15495668912416,1.05871029836381,2.50240615976901,4.04234841193455,2.11742059672762,0.384985563041386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,10965,2016-06-18 16:52:34.851,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831255195344971,0.665004156275977,7.48129675810474,13.9650872817955,8.22942643391521,3.99002493765586,2.07813798836243,0.498753117206983,0.665004156275977,0.415627597672485,0.498753117206983,1.24688279301746,1.99501246882793,2.32751454696592,1.57938487115544,1.57938487115544,0.997506234413965,0.415627597672485,0.58187863674148,1.49625935162095,2.7431421446384,3.07564422277639,2.32751454696592,2.9925187032419,2.41064006650042,2.57689110556941,2.07813798836243,1.99501246882793,3.49127182044888,3.32502078137988,3.82377389858687,4.82128013300083,6.48379052369077,4.90440565253533,1.82876142975894,0.332502078137988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,11659,2016-06-27 20:07:32.753,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638569604086845,0.478927203065134,0.41507024265645,0.159642401021711,0.319284802043423,0.542784163473819,1.18135376756066,3.73563218390805,4.757343550447,1.85185185185185,1.46871008939974,1.37292464878672,1.02171136653895,0.862068965517241,1.02171136653895,0.925925925925926,1.4367816091954,1.14942528735632,1.0536398467433,1.46871008939974,1.18135376756066,2.01149425287356,3.25670498084291,2.2669220945083,1.08556832694764,1.30906768837803,1.97956577266922,3.0970625798212,4.50191570881226,2.68199233716475,2.80970625798212,3.19284802043423,3.79948914431673,3.89527458492976,4.72541507024266,4.40613026819923,3.73563218390805,4.08684546615581,6.64112388250319,8.93997445721584,4.34227330779055,0.734355044699872,0.0319284802043423,0,0,0,0,0,0,0,0,0,0,0,24
BB001_F_060916,Fa020AA031209,San Chi San,S2,10,13365,2016-06-29 13:52:26.785,SV,NIR,256,nir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425803704492229,0,0.0638705556738344,0.106450926123057,0.0425803704492229,0.106450926123057,0.106450926123057,0.0638705556738344,0.0425803704492229,0.191611667021503,0.191611667021503,0.14903129657228,0.170321481796892,0.191611667021503,0.191611667021503,0.170321481796892,0.170321481796892,0.319352778369172,0.212901852246115,0.319352778369172,0.127741111347669,0.212901852246115,0.276772407919949,0.0851607408984458,0.276772407919949,0.234192037470726,0.106450926123057,0.127741111347669,0.170321481796892,0.14903129657228,0.191611667021503,0.170321481796892,0.106450926123057,0.0638705556738344,0.14903129657228,0.14903129657228,0.0851607408984458,0.106450926123057,0.170321481796892,0.29806259314456,0.255482222695337,0.234192037470726,0.447093889716841,0.361933148818395,0.191611667021503,0.510964445390675,1.00063870555674,0.702576112412178,0.617415371513732,0.489674260166063,0.596125186289121,0.340642963593783,0.212901852246115,0.234192037470726,0.383223334043006,0.340642963593783,0.234192037470726,0.127741111347669,0.276772407919949,0.212901852246115,0.170321481796892,0.191611667021503,0.234192037470726,0.170321481796892,0.191611667021503,0.361933148818395,0.425803704492229,0.617415371513732,0.489674260166063,0.510964445390675,0.425803704492229,0.340642963593783,0.29806259314456,0.319352778369172,0.319352778369172,0.361933148818395,0.383223334043006,0.383223334043006,0.361933148818395,0.234192037470726,0.29806259314456,0.170321481796892,0.191611667021503,0.106450926123057,0.255482222695337,0.29806259314456,0.489674260166063,0.361933148818395,0.596125186289121,0.638705556738344,0.87289759420907,0.979348520332127,0.894187779433681,1.27741111347669,1.34128166915052,1.17096018735363,1.02192889078135,2.25675963380881,3.83223334043006,2.72514370875027,1.76708537364275,1.34128166915052,1.40515222482436,1.46902278049819,1.21354055780285,1.00063870555674,1.66063444751969,1.61805407707047,1.55418352139664,2.10772833723653,2.40579093038109,2.15030870768576,2.32063018948265,2.10772833723653,2.15030870768576,3.04449648711944,3.70449222908239,4.42835852671918,5.36512667660209,5.66318926974665,4.00255482222695,3.08707685756866,1.80966574409197,1.44773259527358,0.638705556738344,0.0851607408984458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
